"ACP_RID_ACR_CY_PMT","ACP_RID_OWNER","ACP_CDE_OWNER_TYPE","ACP_RID_ACR_CYCLE","ACP_DTE_EFFECTIVE","ACP_AMT_PAYMENT","ACP_AMT_REQUESTED","ACP_CDE_OBJ_STATE","ACP_CDE_OB_ST_CTG","ACP_UID_REC_CREATE","ACP_UID_REC_UPDATE","ACP_TSP_REC_CREATE","ACP_TSP_REC_UPDATE","ACP_CID_BORROWER","ACP_PID_DEAL","ACP_PID_FACILITY","ACP_CDE_PMT_TYPE","ACP_CDE_PRORAT_TYP","ACP_IND_PMT_FR_BOR","ACP_IND_ACR_SH_ADJ","ACP_CDE_GROUP_TYPE","ACP_RID_GROUP_TRAN","ACP_DTE_RELEASE","ACP_RID_ORIG_PMT","ACP_RID_LINK","ACP_CDE_LINK_TYPE","ACP_RID_OST_TRAN","ACP_AMT_TAX_WTHLD","ACP_AMT_PRINCIPAL","ACP_AMT_EC_INC_INT","ACP_TXT_SYS_SOURCE","ACP_CDE_ADJ_SC_TYP","ACP_RID_ADJ_SC_ID","ACP_CDE_BRANCH"
"C9EGWSQY","KIEGPCDP","OST  ","KIEGPCEV","2020-07-03 00:00:00","256.6","256.6","RELSD","ACTUA","SMANZANO","MANZANOS","2020-09-22 12:22:38","2020-09-22 12:32:38",")?EF8978","YZEFEWH5","YZEFEXAM","OPMT ","PCYCD","Y","N","PCP  ","C9EGWSNG","2020-07-03 00:00:00","","","","","0","0","0","","","","CG852"
"C@EHZYSC","GREGNHV8","FEE  ","YZEI073X","2021-03-01 00:00:00","-764876.71","-764876.71","LWREL","POTEN","JANICEA1","JAQUITAN","2020-10-13 15:21:37","2020-10-13 15:23:00","ZHEF7YY1","9ZEF82FK","GREGNHU7","RFPMT","LNDSH","Y","N","","","","C(EHZYAT","","","","0","0","","","","","CG852"
"CBEGWTIM","KIEGPCDP","OST  ","KIEGPCEV","2020-07-03 00:00:00","-256.6","-256.6","RELSD","ACTUA","MANZANOS","MANZANOM","2020-09-22 12:37:08","2020-09-22 12:44:24",")?EF8978","YZEFEWH5","YZEFEXAM","ROPMT","LNDSH","Y","N","PCP  ","CBEGWTIL","2020-07-03 00:00:00","C9EGWSQY","","","","0","0","0","","","","CG852"
"CDEI0149","C6EI0017","FEE  ","C=EI00L0","2021-03-01 00:00:00","100821.92","100821.92","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-10-13 16:18:08","2020-10-13 16:23:42","ZHEF7YY1","9ZEF82FK","C6EHZZZO","FPMT ","PCYCD","Y","N","","","2021-03-01 00:00:00","","","","","0","0","","","","","CG852"
"CXEI01MO","C6EI0017","FEE  ","C=EI00L0","2021-03-01 00:00:00","-100821.92","-100821.92","LWREL","POTEN","JANICEA1","JANICEA2","2020-10-13 16:24:09","2020-10-13 16:25:06","ZHEF7YY1","9ZEF82FK","C6EHZZZO","RFPMT","LNDSH","Y","N","","","","CDEI0149","","","","0","0","","","","","CG852"
"DVEI1YYF","@5EI02X0","AFE  ","@5EI02X2","2021-03-03 00:00:00","1000","1000","LWREL","POTEN","SMANZANO","MANZANOS","2020-10-14 14:36:44","2020-10-14 14:38:06","5QEF3VVU","@EEI01UV","NONE    ","ACAF ","LNDSH","Y","N","","","","","","","","0","0","","","","","CG852"
"F)EHSGZ1","4MEHS8E8","OST  ","4MEHS8F3","2020-07-13 00:00:00","39.45","39.45","LWREL","POTEN","MANZANOM","MANZANOS","2020-10-09 14:49:18","2020-10-09 14:59:12","ZHEF7YY1","+OEH9ZC4","+OEH9ZD0","OPMT ","PCYCD","Y","N","LRP  ","F)EHSGO4","","","","","","0","0","0","","","","CG852"
"F)EK5IKW","7)EETAU9","OST  ","7)EETAUY","2021-11-02 00:00:00","21.81","21.81","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-11-24 12:56:37","2020-11-24 13:13:22","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","PCP  ","F)EK5IE5","2021-11-02 00:00:00","","","","","0","0","0","","","","CG852"
"F)EK5IL6","7)EETAU9","OST  ","SMEFKWCT","2021-11-02 00:00:00","21.81","21.81","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-11-24 12:56:37","2020-11-24 13:13:22","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","PCP  ","F)EK5IE5","2021-11-02 00:00:00","","","","","0","0","0","","","","CG852"
"F2EHSIPV","4;EHS6TZ","OST  ","4;EHS6UL","2020-07-13 00:00:00","32.88","32.88","LWREL","POTEN","CMARTILL","RPTSUP01","2020-10-09 15:31:18","2020-10-09 15:51:11","SIEESUTN","#!EFTROA","#!EFTRT9","OPMT ","CYCLD","Y","N","LRP  ","F2EHSIH5","","","","","","0","0","0","","","","CG852"
"F3EG718C","KLEG6TZ1","OST  ","KLEG6TZO","2020-06-04 00:00:00","383.56","383.56","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-09-08 14:20:01","2020-09-08 14:33:49","ZHEF7YY1","9ZEF82FK","9ZEF82GL","OPMT ","PCYCD","Y","N","PCP  ","F3EG7178","2020-06-04 00:00:00","","","","","0","0","0","","","","CG852"
"F3EG718R","9ZEF82HP","FEE  ","9LEF83IN","2020-06-04 00:00:00","692909.59","692909.59","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-09-08 14:20:01","2020-09-08 14:33:49","ZHEF7YY1","9ZEF82FK","9ZEF82GL","FPMT ","PCYCD","Y","N","PCP  ","F3EG7178","2020-06-04 00:00:00","","","","","0","0","","","","","CG852"
"F?EG7C4P","4DEG5D0E","OST  ","4DEG5D0X","2020-06-04 00:00:00","279.45","279.45","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-09-08 18:20:56","2020-09-08 18:26:11","ZHEF7YY1","9ZEF82FK","9ZEF82GL","OPMT ","PCYCD","Y","N","LRP  ","F?EG7BW8","2020-06-04 00:00:00","","","","","0","0","0","","","","CG852"
"FAEHSDEU","4;EHS6TZ","OST  ","4;EHS6UL","2020-07-13 00:00:00","32.88","32.88","LWREL","POTEN","SMANZANO","MANZANOM","2020-10-09 13:31:55","2020-10-09 13:38:02","SIEESUTN","#!EFTROA","#!EFTRT9","OPMT ","PCYCD","Y","N","LRP  ","FAEHSD5D","","","","","","0","0","0","","","","CG852"
"FGEG7E59","!1EG56OY","OST  ","!1EG56PH","2020-05-29 00:00:00","180.82","180.82","CNCLD","INACT","JAQUITAN","JAQUITAN","2020-09-08 18:36:00","2020-09-08 18:36:59","ZHEF7YY1","9ZEF82FK","9ZEF82GL","OPMT ","PCYCD","Y","N","LRP  ","FGEG7DX9","","","","","","0","0","0","","","","CG852"
"FJEG71T8","UKEG6TAW","OST  ","UKEG6TBJ","2020-06-04 00:00:00","213.07","213.07","RELSD","ACTUA","SMANZANO","MANZANOM","2020-09-08 14:34:36","2020-09-08 16:57:10",")?EF8978","YZEFEWH5","YZEFEXAM","OPMT ","PCYCD","Y","N","LRP  ","FJEG71M4","2020-06-04 00:00:00","","","","","0","0","0","","","","CG852"
"FJEG73AG","K1EG6P9T","OST  ","K1EG6PAH","2020-06-04 00:00:00","230.3","230.3","RELSD","ACTUA","SMANZANO","MANZANOM","2020-09-08 15:12:10","2020-09-08 17:55:19",")?EF8978","YZEFEWH5","YZEFEXAM","OPMT ","CYCLD","Y","N","LRP  ","FJEG72AS","2020-06-04 00:00:00","","","","","0","0","0","","","","CG852"
"FJEG73M1","K1EG6O8V","OST  ","K1EG6OA8","2020-06-04 00:00:00","180.66","180.66","RELSD","ACTUA","SMANZANO","MANZANOM","2020-09-08 15:18:39","2020-09-08 17:55:19",")?EF8978","YZEFEWH5","YZEFEXAM","OPMT ","CYCLD","Y","N","LRP  ","FJEG72AS","2020-06-04 00:00:00","","","","","0","0","0","","","","CG852"
"G(EHQL6F","+.EHA6G1","OST  ","+.EHA6GT","2020-07-09 00:00:00","0.54","0.54","RELSD","ACTUA","LIQSVR02","LIQUSR02","2020-10-08 11:24:48","2020-10-08 11:33:21",")?EF8978","IREFMCO3","I:EFMEGK","OPMT ","PCYCD","Y","N","LRP  ","G(EHQKTI","2020-07-10 00:00:00","","","","","0","0","0","","","","CG852"
"G8EK1TVY","YVEGE4PI","OST  ","YVEGE4Q4","2020-06-22 00:00:00","3.62","3.62","PEND ","POTEN","CMARTILL","CMARTILL","2020-11-22 13:08:14","2020-11-22 13:08:14","SIEESUTN","#!EFTROA","#!EFTRT9","OPMT ","CYCLD","Y","N","LRP  ","G8EK1TM1","","","","","","","0","0","","","","CG852"
"GKEH9QYS","YZEFF053","FEE  ","J6EFF7L6","2020-07-07 00:00:00","10000","10000","RELSD","ACTUA","SMANZANO","MANZANOS","2020-09-29 11:26:34","2020-09-29 11:28:06",")?EF8978","YZEFEWH5","YZEFEXAM","FPMT ","LNDSH","Y","N","","","2020-07-07 00:00:00","","","","","0","0","","","","","CG852"
"GZEH9RKP","YZEFF053","FEE  ","J6EFF7L6","2020-07-07 00:00:00","-10000","-10000","LWREL","POTEN","MANZANOS","MANZANOM","2020-09-29 11:29:34","2020-09-29 11:32:18",")?EF8978","YZEFEWH5","YZEFEXAM","RFPMT","LNDSH","Y","N","","","","GKEH9QYS","","","","0","0","","","","","CG852"
"H*EFJ24H","3.EFFE0Q","FEE  ","3YEFFEGT","2020-05-28 00:00:00","748602.74","748602.74","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-08-26 15:42:28","2020-08-26 15:45:56","ZHEF7YY1","3.EFFDYP","3.EFFDZL","FPMT ","PCYCD","Y","N","","","2020-05-28 00:00:00","","","","","0","0","","","","","CG852"
"HREFIUDU","Y2EFF2M7","OST  ","Y2EFF2MU","2020-05-28 00:00:00","164.38","164.38","RELSD","ACTUA","JAQUITAN","JAQUITAN","2020-08-26 11:54:56","2020-08-26 14:52:00","ZHEF7YY1","9ZEF82FK","9ZEF82GL","OPMT ","CYCLD","Y","N","LRP  ","HREFIU62","2020-05-28 00:00:00","","","","","0","0","0","","","","CG852"
"HZEFIWN7","(7EFHGVA","OST  ","(7EFHGVZ","2020-05-28 00:00:00","9.62","9.62","AWSTA","POTEN","CMARTILL","RPTSUP01","2020-08-26 13:43:18","2020-08-26 14:01:29","SIEESUTN","(7EFGUDN","(7EFGUEQ","OPMT ","CYCLD","Y","N","PCP  ","HZEFIWJN","","","","","","0","0","0","","","","CG852"
"HZEFIYOD","(7EFHGVA","OST  ","(7EFHGVZ","2020-04-06 00:00:00","9.62","9.62","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-08-26 14:27:27","2020-08-26 14:58:29","SIEESUTN","(7EFGUDN","(7EFGUEQ","OPMT ","CYCLD","Y","N","LRP  ","HZEFIXZ8","2020-05-28 00:00:00","","","","","0","0","0","","","","CG852"
"HZEFJ1NG","Y@EFF7N9","OST  ","Y@EFF7NZ","2020-05-28 00:00:00","1.32","1.32","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-08-26 15:29:59","2020-08-26 15:52:57","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","LRP  ","HZEFJ1FS","2020-05-28 00:00:00","","","","","0","0","0","","","","CG852"
"HZEFJ72X","86EFDXX2","OST  ","86EFDXXR","2020-05-28 00:00:00","45.21","45.21","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-08-26 17:28:46","2020-08-26 17:42:28","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","PCP  ","HZEFJ6ZU","2020-05-28 00:00:00","","","","","0","0","0","","","","CG852"
"I-EFMHGQ","9ZEF82HP","FEE  ","9LEF83IN","2020-05-29 00:00:00","737383.56","737383.56","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-08-28 11:13:07","2020-08-28 11:14:13","ZHEF7YY1","9ZEF82FK","9ZEF82GL","FPMT ","PCYCD","Y","N","","","2020-05-29 00:00:00","","","","","0","0","","","","","CG852"
"IHEFML3H","IHEFMJUB","OST  ","IHEFMJUU","2020-06-05 00:00:00","4.23","4.23","LWREL","POTEN","LIQUSR05","LIQSVR04","2020-08-28 11:24:50","2020-08-28 11:44:47","5QEF3VVU","V8EF4706","V8EF471U","OPMT ","LNDSH","Y","N","LRP  ","IHEFMKVX","","","","","","0","0","0","","","","CG852"
"IQEGLHP4","OCEGCG78","OST  ","MYEGI2PN","2020-06-23 00:00:00","134.79","134.79","RELSD","ACTUA","SMANZANO","MANZANOS","2020-09-16 08:38:32","2020-09-16 08:45:26",")?EF8978","IREFMCO3","I:EFMEGK","OPMT ","PCYCD","Y","N","PCP  ","IQEGLHNJ","2020-06-23 00:00:00","","","","","0","0","0","","","","CG852"
"IQEGLHPK","I:EFMH5Q","FEE  ","2?EFMSLZ","2020-06-23 00:00:00","575.34","575.34","RELSD","ACTUA","SMANZANO","MANZANOS","2020-09-16 08:38:32","2020-09-16 08:45:26",")?EF8978","IREFMCO3","I:EFMEGK","FPMT ","PCYCD","Y","N","PCP  ","IQEGLHNJ","2020-06-23 00:00:00","","","","","0","0","","","","","CG852"
"J+EFFEDF","ZIEF9NP7","OST  ","ZIEF9NPQ","2020-05-27 00:00:00","4.61","4.61","PEND ","POTEN","LIQUSR05","LIQUSR05","2020-08-24 14:16:19","2020-08-28 10:00:49","5QEF3VVU","V8EF4706","V8EF471U","OPMT ","LNDSH","Y","N","LRP  ","J+EFFE2C","","","","","","0","0","0","","","","CG852"
"JIEHZQTH","?EEHN4OB","OST  ","Y9EI2LIW","2021-03-01 00:00:00","1.13","1.13","LWREL","POTEN","LIQUSR05","LIQSVR05","2020-10-13 08:58:54","2020-10-13 09:07:24",")?EF8978","IREFMCO3","I:EFMEGK","OPMT ","CYCLD","Y","N","PCP  ","JIEHZQSE","","","","","","0","0","0","","","","CG852"
"JIEHZQYU","+.EHBPCH","OST  ","Y9EHYVTE","2021-03-01 00:00:00","0.76","0.76","RELSD","ACTUA","LIQUSR05","LIQUSR05","2020-10-13 09:23:39","2020-10-13 09:32:22","5QEF3VVU","V8EF4706","V8EF471U","OPMT ","PCYCD","Y","N","PCP  ","JIEHZQY4","2021-03-01 00:00:00","","","","","0","0","0","","","","CG852"
"JJEGUZ6Y","GREGNHV8","FEE  ","G=EGNIFA","2020-07-01 00:00:00","748635.62","748635.62","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-09-21 12:25:52","2020-09-21 12:27:02","ZHEF7YY1","9ZEF82FK","GREGNHU7","FPMT ","PCYCD","Y","N","","","2020-07-01 00:00:00","","","","","0","0","","","","","CG852"
"K#EG6SZ8","HREFIUF7","OST  ","HREFIUFQ","2020-06-03 00:00:00","205.48","205.48","LWREL","POTEN","JAQUITAN","JANICEA1","2020-09-08 10:13:43","2020-09-08 10:14:57","ZHEF7YY1","9ZEF82FK","9ZEF82GL","OPMT ","PCYCD","Y","N","PCP  ","K#EG6SY5","","","","","","0","0","0","","","","CG852"
"K#EG6SZN","9ZEF82HP","FEE  ","9LEF83IN","2020-06-03 00:00:00","707580.82","707580.82","LWREL","POTEN","JAQUITAN","JANICEA1","2020-09-08 10:13:43","2020-09-08 10:14:57","ZHEF7YY1","9ZEF82FK","9ZEF82GL","FPMT ","PCYCD","Y","N","PCP  ","K#EG6SY5","","","","","","0","0","","","","","CG852"
"K2EG77X9","04EFZE6G","OST  ","+)EFZN7T","2020-06-04 00:00:00","0.78","0.78","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-09-08 16:50:54","2020-09-08 16:56:17","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","PCP  ","K2EG77T2","2020-06-04 00:00:00","","","","","0","0","0","","","","CG852"
"K2EG78BL","04EFZE6G","OST  ","+)EFZN7T","2020-06-04 00:00:00","-0.78","-0.78","CNCLD","INACT","CMARTILL","CMARTILL","2020-09-08 17:02:07","2020-09-16 17:07:19","SIEESUTN","S#EESVPY","S#EESVR1","ROPMT","LNDSH","Y","N","PCP  ","K2EG78BG","","K2EG77X9","","","","0","0","0","","","","CG852"
"KREG5NL6","!REG54I6","OST  ","!REG54IT","2020-06-03 00:00:00","164.38","164.38","RELSD","ACTUA","SMANZANO","SMANZANO","2020-09-07 19:42:49","2020-09-08 08:29:56","ZHEF7YY1","3ZEFFD20","3ZEFFD2W","OPMT ","PCYCD","Y","N","LRP  ","KREG5NFQ","2020-06-03 00:00:00","","","","","0","0","0","","","","CG852"
"L)EHP1B9","N$EHN6FB","OST  ","N$EHN6GL","2020-05-29 00:00:00","0.51","0.51","RELSD","ACTUA","RPTSUP01","RPTMGR01","2020-10-07 17:40:41","2020-10-07 19:10:51","SIEESUTN","(7EFGXIA","(7EFGXST","OPMT ","CYCLD","Y","N","LRP  ","L)EHP0ZK","2020-07-10 00:00:00","","","","","0","0","0","","","","CG852"
"L3EFXZ3Z","9ZEF82HP","FEE  ","9LEF83IN","2020-05-29 00:00:00","737383.56","737383.56","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-09-03 16:45:04","2020-09-03 18:35:08","ZHEF7YY1","9ZEF82FK","9ZEF82GL","FPMT ","PCYCD","Y","N","","","2020-05-29 00:00:00","","","","","0","0","","","","","CG852"
"LDEFY5Q5","9ZEF82HP","FEE  ","9LEF83IN","2020-05-29 00:00:00","-737383.56","-737383.56","RELSD","ACTUA","JANICEA1","JANICEA1","2020-09-03 19:26:02","2020-09-04 09:53:16","ZHEF7YY1","9ZEF82FK","9ZEF82GL","RFPMT","LNDSH","Y","N","","","2020-05-29 00:00:00","L3EFXZ3Z","","","","0","0","","","","","CG852"
"LFEH9Q3Y","YZEFF053","FEE  ","J6EFF7L6","2020-07-07 00:00:00","10000","10000","RELSD","ACTUA","SMANZANO","MANZANOS","2020-09-28 17:39:06","2020-09-28 17:41:06",")?EF8978","YZEFEWH5","YZEFEXAM","FPMT ","LNDSH","Y","N","","","2020-07-07 00:00:00","","","","","0","0","","","","","CG852"
"LZEH9QN9","YZEFF053","FEE  ","J6EFF7L6","2020-07-07 00:00:00","-10000","-10000","LWREL","POTEN","MANZANOS","MANZANOM","2020-09-28 17:41:16","2020-09-28 17:41:52",")?EF8978","YZEFEWH5","YZEFEXAM","RFPMT","LNDSH","Y","N","","","","LFEH9Q3Y","","","","0","0","","","","","CG852"
"N#EJUIWG","S#EESVSH","FEE  ","7)EESZ1H","2021-11-02 00:00:00","73977.15","73977.15","AWA  ","POTEN","CMARTILL","CMARTILL","2020-11-18 13:07:50","2020-11-18 14:12:29","SIEESUTN","S#EESVPY","S#EESVR1","FPMT ","CYCLD","Y","N","","","","","","","","0","0","","","","","CG852"
"N.EH2BOX","HZEFJ1HC","OST  ","+)EFZN5H","2020-07-07 00:00:00","2.18","2.18","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-09-25 10:56:43","2020-09-25 11:24:07","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","PCP  ","N.EH2BO5","2020-07-07 00:00:00","","","","","0","0","0","","","","CG852"
"N7EJUHY9","9ZEF82HP","FEE  ","YZEHZVQJ","2021-11-02 00:00:00","662786.12","662786.12","AWSTA","POTEN","JAQUITAN","JAQUITAN","2020-11-18 12:48:39","2020-11-18 12:49:00","ZHEF7YY1","9ZEF82FK","9ZEF82GL","FPMT ","PCYCD","Y","N","","","","","","","","0","0","","","","","CG852"
"NJEHN8Q4","XHEFLBMZ","OST  ","XHEFLBNL","2020-07-08 00:00:00","-0.59","-0.59","CNCLD","INACT","LIQUSR03","LIQUSR03","2020-10-06 19:07:24","2020-10-06 19:52:58","SIEESUTN","(7EFGXIA","(7EFGXST","ROPMT","LNDSH","Y","N","","","","+REH9YQF","","","","0","0","0","","","","CG852"
"NREJ852A","CNEHZZZ9","FEE  ","C#EI0133","2021-10-15 00:00:00","378082.19","378082.19","LWREL","POTEN","RPTINP01","RPTINP01","2020-11-06 11:04:38","2020-11-06 11:04:56","$$EHNARP",")YEHXS7X","CNEHZZU5","FPMT ","CYCLD","N","N","","","","","","","","0","0","","","","","CG852"
"OLEGDDIQ","HZEFJ1HC","OST  ","HZEFJ1HY","2020-06-19 00:00:00","2.18","2.18","RELSD","ACTUA","CMARTILL","RPTMGR01","2020-09-11 13:07:31","2020-09-11 15:29:06","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","","","2020-06-19 00:00:00","","","","","0","0","0","","","","CG852"
"OLEGDDML","0-EFZSFV","OST  ","0-EFZSGK","2020-06-19 00:00:00","1.53","1.53","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-09-11 13:16:29","2020-09-11 15:37:09","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","PCP  ","OLEGDDLW","2020-06-19 00:00:00","","","","","0","0","0","","","","CG852"
"OLEGDNQA","(7EFHHE2","OST  ","(7EFHHES","2020-05-28 00:00:00","0.66","0.66","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-09-11 14:49:23","2020-09-11 15:41:36","SIEESUTN","(7EFGXIA","(7EFGXST","OPMT ","CYCLD","Y","N","PCP  ","OLEGDNPF","2020-06-19 00:00:00","","","","","0","0","0","","","","CG852"
"Q8EH9O5D","YZEFF053","FEE  ","J6EFF7L6","2020-07-07 00:00:00","10000","10000","RELSD","ACTUA","SMANZANO","MANZANOS","2020-09-28 12:49:15","2020-09-28 12:51:32",")?EF8978","YZEFEWH5","YZEFEXAM","FPMT ","LNDSH","Y","N","","","2020-07-07 00:00:00","","","","","0","0","","","","","CG852"
"Q=EI3LBZ","(VEHZRVD","OST  ","(VEHZRW0","2021-04-01 00:00:00","135.04","135.04","AWSRA","POTEN","LIQUSR03","LIQAPCP3","2020-10-15 14:43:47","2020-10-15 15:31:06","SIEESUTN","#!EFTROA","#!EFTRT9","OPMT ","PCYCD","Y","N","LRP  ","Q=EI3KRB","","","","","","0","0","0","","","","CG852"
"SDEI1XLC","@5EI02X0","AFE  ","@5EI02X2","2021-03-03 00:00:00","90.03","90.03","LWREL","POTEN","SMANZANO","MANZANOS","2020-10-14 15:50:37","2020-10-14 15:51:28","5QEF3VVU","@EEI01UV","NONE    ","ACAF ","LNDSH","Y","N","","","","","","","","0","0","","","","","CG852"
"SWEI1WTT","@5EI02X0","AFE  ","@5EI02X2","2021-03-03 00:00:00","105.56","105.56","LWREL","POTEN","SMANZANO","MANZANOS","2020-10-14 15:43:19","2020-10-14 15:44:03","5QEF3VVU","@EEI01UV","NONE    ","ACAF ","LNDSH","Y","N","","","","","","","","0","0","","","","","CG852"
"UMEGPG24","L*EGNM1D","OST  ","L*EGNM2Q","2020-06-26 00:00:00","-0.77","-0.77","RELSD","ACTUA","CMARTILL","RPTMGR01","2020-09-18 12:21:23","2020-09-18 12:24:22","SIEESUTN","(7EFGXIA","(7EFGXST","ROPMT","LNDSH","Y","N","","","2020-06-26 00:00:00","AJEGO1JI","","","","0","0","0","","","","CG852"
"V:EH9SNN","-AEFMZGX","OST  ","TUEGB4Q9","2020-07-07 00:00:00","1045.21","1045.21","RELSD","ACTUA","LIQUSR05","LIQSVR02","2020-09-29 10:47:46","2020-10-08 09:59:48",")?EF8978","IREFMCO3","I:EFMEGK","OPMT ","PCYCD","Y","N","LRP  ","V:EH9SAJ","2020-07-10 00:00:00","","","","","0","0","0","","","","CG852"
"V:EH9VP3","YVEGDOS1","OST  ","YVEGDOSR","2020-06-22 00:00:00","11.51","11.51","RELSD","ACTUA","LIQUSR05","LIQUSR05","2020-09-29 11:52:43","2020-09-29 12:19:51",")?EF8978","IREFMCO3","I:EFMEGK","OPMT ","CYCLD","Y","N","LRP  ","V:EH9TD1","2020-07-07 00:00:00","","","","","0","0","0","","","","CG852"
"X=EFL8IH","=SEFJ4YS","OST  ","=SEFJ50S","2020-05-29 00:00:00","372.6","372.6","RELSD","ACTUA","SMANZANO","MANZANOM","2020-08-27 19:55:40","2020-08-27 20:16:18",")?EF8978","YZEFEWH5","YZEFEXAM","OPMT ","CYCLD","Y","N","LRP  ","X=EFL89C","2020-05-29 00:00:00","","","","","0","0","0","","","","CG852"
"XHEFLBUS","HZEFJ9ST","OST  ","HZEFJ9TI","2020-05-29 00:00:00","0.17","0.17","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-08-27 20:29:57","2020-08-27 20:53:03","SIEESUTN","(7EFGXIA","(7EFGXST","OPMT ","CYCLD","Y","N","LRP  ","XHEFLBKC","2020-05-29 00:00:00","","","","","0","0","0","","","","CG852"
"XHEFLBY1","HZEFJ9H5","OST  ","HZEFJ9HV","2020-05-29 00:00:00","0.33","0.33","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-08-27 20:31:24","2020-08-27 20:53:03","SIEESUTN","(7EFGXIA","(7EFGXST","OPMT ","CYCLD","Y","N","LRP  ","XHEFLBKC","2020-05-29 00:00:00","","","","","0","0","0","","","","CG852"
"XMEFL7D9","YZEFF053","FEE  ","J6EFF7L6","2020-05-29 00:00:00","724545.21","724545.21","RELSD","ACTUA","SMANZANO","MANZANOS","2020-08-27 19:28:29","2020-08-27 19:39:07",")?EF8978","YZEFEWH5","YZEFEXAM","FPMT ","PCYCD","Y","N","","","2020-05-29 00:00:00","","","","","0","0","","","","","CG852"
"Y1EH6E3Z","C6EFHASQ","FEE  ","CLEFHBYF","2020-06-19 00:00:00","756164.38","756164.38","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-09-11 14:45:04","2020-09-11 14:49:04","ZHEF7YY1","C6EFHAQ1","C6EFHAR6","FPMT ","PCYCD","N","N","","","2020-06-19 00:00:00","","","","","0","0","","","","","CG852"
"Y?EH6F14","C(EFH91P","OST  ","SWEFKWFS","2020-06-19 00:00:00","172.6","172.6","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-09-11 15:07:43","2020-09-11 15:13:00","ZHEF7YY1","@-EFH363","@-EFH76E","OPMT ","PCYCD","N","N","PCP  ","Y?EH6F05","2020-06-19 00:00:00","","","","","0","0","0","","","","CG852"
"Y?EH6F1E","@-EFH7C0","FEE  ","COEFH8N1","2020-06-19 00:00:00","747.94","747.94","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-09-11 15:07:43","2020-09-11 15:13:00","ZHEF7YY1","@-EFH363","@-EFH76E","FPMT ","PCYCD","N","N","PCP  ","Y?EH6F05","2020-06-19 00:00:00","","","","","0","0","","","","","CG852"
"Z$EG8MQP","04EFZE6G","OST  ","+)EFZN7T","2020-06-04 00:00:00","-0.78","-0.78","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-09-09 10:08:08","2020-09-09 11:17:06","SIEESUTN","S#EESVPY","S#EESVR1","ROPMT","LNDSH","Y","N","PCP  ","Z$EG8MQO","2020-06-04 00:00:00","K2EG77X9","","","","0","0","0","","","","CG852"
