"OTR_RID_OST_TRAN","OTR_RID_COMMIT_TRN","OTR_RID_LINK_TRN","OTR_AMT_ACTUAL","OTR_AMT_REQUESTED","OTR_AMT_NEW_RELSE","OTR_CDE_TYPE","OTR_CDE_LOAN_PURP","OTR_CDE_OBJ_STATE","OTR_CDE_OB_ST_CTG","OTR_CDE_PROC_AREA","OTR_CDE_REPR_FREQ","OTR_CDE_ACCR_FREQ","OTR_CDE_RISK_TYPE","OTR_DTE_EFFECTIVE","OTR_DTE_RELEASE","OTR_DTE_REPRICING","OTR_IND_AUTO_RELSE","OTR_PID_SUBLIMIT","OTR_RID_GROUP_TRAN","OTR_CDE_GROUP_TYPE","OTR_RID_OUTSTANDNG","OTR_UID_PROCESSOR","OTR_IND_CREATE_TRN","OTR_TSP_REC_CREATE","OTR_TSP_REC_UPDATE","OTR_UID_REC_CREATE","OTR_UID_REC_UPDATE","OTR_IND_NON_ACCR","OTR_AMT_FUND_FROZN","OTR_IND_PMT_FR_BOR","OTR_IND_AUTO_RDUCE","OTR_AMT_SCHED_BAL","OTR_AMT_PREMIUM","OTR_CDE_TRNS_PURP","OTR_RID_ORIG_OST","OTR_IND_UPD_FLEX","OTR_TXT_APP_TYPE","OTR_TXT_SYS_SOURCE","OTR_DTE_ACCR_EFFEC","OST_AMT_DISCOUNT","OST_DTE_NOTE","OST_IND_ELG_99A","OTR_AMT_CAP_CL_AMT","OTR_AMT_CAPT_INCRE","OTR_AMT_DF_PIN_AMT","OTR_AMT_IN_CHO_AMT","OTR_CDE_TAX_W_METH","OTR_DTE_TRN","OTR_IND_ATO_RDE_EX","OTR_IND_DEFR_AMT","OTR_IND_FIX_RA_RT","OTR_IND_ISTAX_REV","OTR_IND_MANUAL_CR","OTR_IND_ONDEL","OTR_IND_PREPAYMENT","OTR_IND_RFL_ALD","OTR_IND_ST_TR_UNSC","OTR_IND_TMP_UPD","OTR_IND_UNFREEZE","OTR_IND_UPDATED","OTR_RID_BORR_RLSD","OTR_RID_CSHFLTRN","OTR_RID_INT_PMT","OTR_RID_LOAN_CONV","OTR_RID_PD_ITM_TN","OTR_UID_ORIG","OTR_CDE_AGNT_ALIAS","OTR_RID_AGNT_TRANS","OTR_OID_OST_TRAN","OTR_CDE_BRANCH"
"?:EFKWUX","","DGEFKGC9","-1010000","-1010000","1010000","LRID ","","RELSD","ACTUA","EUOPS","1D   ","","LOANS","2020-05-28 00:00:00","2020-05-28 00:00:00","2020-05-29 00:00:00","N","","","","DGEFKGBP","MANZANOM","N","2020-08-27 14:43:28","2020-08-27 15:02:16","MANZANOM","JANICEA2","","","Y","N","-1010000","0","","DGEFKGBP","N","","","2020-05-28 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","345f775023dce7379e1bf89","CG852"
"XKEFL4ZQ","","","1300100","1300100","","ID   ","ACQ  ","RELSD","ACTUA","EUOPS","7D   ","WEEK ","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-06-05 00:00:00","N","","","","XKEFL4Z3","MANZANOS","Y","2020-08-27 18:40:50","2020-08-27 19:03:14","SMANZANO","MANZANOM","N","","Y","N","1300100","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3462ec97ee08348b5e1c05c","CG852"
"XREFL69W","","XKEFL4ZQ","-1300100","-1300100","1300100","LRID ","","RELSD","ACTUA","EUOPS","7D   ","","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-06-05 00:00:00","N","","","","XKEFL4Z3","MANZANOM","N","2020-08-27 19:07:08","2020-08-27 19:18:25","MANZANOM","MANZANOS","","","Y","N","-1300100","0","","XKEFL4Z3","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3463533445021ebade1c068","CG852"
"7(EFL032","","","1012000","1012000","","ID   ","ACQ  ","RELSD","ACTUA","EUOPS","7D   ","WEEK ","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-06-05 00:00:00","N","","","","7(EFL02I","MANZANOS","Y","2020-08-27 16:27:11","2020-08-27 16:46:12","SMANZANO","MANZANOM","N","","Y","N","1012000","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3460f72b5e9a50743e1bfd6","CG852"
"X=EFL89E","","","-1700000","-1700000","","PRDCR","","RELSD","ACTUA","EUOPS","1D   ","","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-05-29 00:00:00","N","","X=EFL89C","LRP  ","=SEFJ4YS","SMANZANO","N","2020-08-27 19:47:34","2020-08-27 20:16:18","SMANZANO","MANZANOM","","","Y","N","-1700000","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3463ebb89abef27ede1c091","CG852"
"IHEFMJRC","","","-900","-900","","PRDCR","","RELSD","ACTUA","EUOPS","7D   ","","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-06-03 00:00:00","N","","IHEFMJRA","LRP  ","!ZEF5V91","LIQUSR05","N","2020-08-28 10:43:07","2020-08-28 11:08:27","LIQUSR05","LIQUSR05","","","Y","N","-900","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34710b104eb9d749be1c1aa","CG852"
"2YEFMLZF","","","1100000","1100000","","RCMF ","ACQ  ","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-05-29 00:00:00","N","","2YEFMLQ8","LRP  ","2YEFMLYV","JAQUITAN","Y","2020-08-28 12:03:01","2020-08-28 13:17:36","JAQUITAN","JANICEA1","N","","Y","N","1100000","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","347235b0c07c8faa8e1c252","CG852"
"-LEFSEWC","","","3200","3200","","ID   ","CONSH","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-20 00:00:00","2020-05-29 00:00:00","2020-05-22 00:00:00","N","","","","-LEFSEVP","CMARTILL","Y","2020-08-31 17:00:15","2020-08-31 17:17:00","CMARTILL","RPTSUP01","N","","Y","N","3200","0","","","N","","","2020-05-20 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34b5cbe971b962090e1c397","CG852"
"-LEFSDKU","","-LEFSBP8","-2000","-2000","","LRID ","","PEND ","POTEN","EUOPS","","","FIXED","2020-05-29 00:00:00","","","N","","","","-LEFSBOL","RPTSUP01","N","2020-08-31 16:28:51","2020-08-31 16:40:54","CMARTILL","RPTSUP01","","","Y","N","-2000","0","","-LEFSBOL","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34b56245474538377e1c38e","CG852"
"-LEFSDOH","","-LEFSBP8","-2000","-2000","2000","LRID ","","RELSD","ACTUA","EUOPS","","","FIXED","2020-05-29 00:00:00","2020-05-29 00:00:00","","N","","","","-LEFSBOL","CMARTILL","N","2020-08-31 16:30:49","2020-08-31 16:40:54","CMARTILL","RPTSUP01","","","Y","N","-2000","0","","-LEFSBOL","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34b56a74238560ddce1c390","CG852"
"26EFN2DY","","","-1000","-1000","700000","UPPPT","","RELSD","ACTUA","EUOPS","","","FIXED","2020-05-29 00:00:00","2020-05-29 00:00:00","","N","","","","H+EFJ1OL","LIQUSR03","N","2020-08-28 19:38:27","2020-08-31 18:32:03","LIQUSR03","LIQUSR03","","","Y","N","-1000","0","","H+EFJ1OL","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3478e263c13c4b5fce1c2f6","CG852"
"#AEFTQAI","","","-1300000","-1300000","","PRDCR","","RELSD","ACTUA","EUOPS","1D   ","","LOANS","2020-05-28 00:00:00","2020-05-29 00:00:00","2020-05-28 00:00:00","N","","#AEFTQAG","LRP  ","RZEFHIPH","SMANZANO","N","2020-09-01 10:00:10","2020-09-01 13:21:07","SMANZANO","MANZANOM","","","Y","N","-1300000","0","","","N","","","2020-05-28 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34c4c91b385a9d2d2e1c3ce","CG852"
"#AEFTQE6","","","700000","700000","","RCMF ","ACQ  ","RELSD","ACTUA","EUOPS","1M   ","MON  ","LOANS","2020-05-28 00:00:00","2020-05-29 00:00:00","2020-06-29 00:00:00","N","","#AEFTQAG","LRP  ","#AEFTQDM","SMANZANO","Y","2020-09-01 10:07:55","2020-09-01 13:21:07","SMANZANO","MANZANOM","N","","Y","N","700000","0","","","N","","","2020-05-28 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34c4d3c5532699772e1c3d7","CG852"
"=SEFJ4ZD","","","1700000","1700000","","ID   ","ACQ  ","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-28 00:00:00","2020-05-28 00:00:00","2020-05-29 00:00:00","N","","","","=SEFJ4YS","MANZANOS","Y","2020-08-26 16:46:41","2020-08-26 18:44:30","SMANZANO","MANZANOM","N","","Y","N","1700000","0","","","N","","","2020-05-28 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","344c2325e1ff380e4e1be56","CG852"
"#AEFTQX1","","","600000","600000","","RCMF ","ACQ  ","RELSD","ACTUA","EUOPS","1M   ","MON  ","LOANS","2020-05-28 00:00:00","2020-05-29 00:00:00","2020-06-29 00:00:00","N","","#AEFTQAG","LRP  ","#AEFTQWG","SMANZANO","Y","2020-09-01 10:23:37","2020-09-01 13:21:07","SMANZANO","MANZANOM","N","","Y","N","600000","0","","","N","","","2020-05-28 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34c4fe3e4bf8bf4afe1c3df","CG852"
"#!EFUAPE","","","120000","120000","","ID   ","CONSH","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-05-29 00:00:00","N","","","","#!EFUAOU","CMARTILL","Y","2020-09-01 17:22:24","2020-09-01 19:26:35","CMARTILL","RPTSUP01","N","","Y","N","120000","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34cb412f3a44a31ffe1c41a","CG852"
"#!EFUIOD","","#!EFUH7E","-1500","-1500","","LRID ","","AWSTA","POTEN","EUOPS","1D   ","","LOANS","2020-05-29 00:00:00","","2020-05-29 00:00:00","N","","","","#!EFUH6R","CMARTILL","N","2020-09-01 20:14:42","2020-09-01 20:15:00","CMARTILL","CMARTILL","","","Y","N","-1500","0","","#!EFUH6R","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34cdc7c8add837a81e1c427","CG852"
":OEFW1R5","","","-1183.43","-1183.43","600000","SPPMT","","RELSD","ACTUA","EUOPS","","","FIXED","2020-05-29 00:00:00","2020-05-29 00:00:00","","N","",":OEFW1RP","PCP  ","H+EFJ2J9","LIQUSR03","N","2020-09-02 15:44:50","2020-09-03 21:57:16","LIQUSR03","LIQUSR03","","","Y","N","-1183.43","0","","H+EFJ2J9","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34deef1e9661fb638e1c455","CG852"
":)EFW3VE","","#!EFUAPE","-120000","-120000","","LRID ","","AWSTA","POTEN","EUOPS","1D   ","","LOANS","2020-05-29 00:00:00","","2020-05-29 00:00:00","N","","","","#!EFUAOU","CMARTILL","N","2020-09-02 16:04:17","2020-09-02 16:04:35","CMARTILL","CMARTILL","","","Y","N","-120000","0","","#!EFUAOU","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34df36ca41f2bbd6ee1c45b","CG852"
":)EFW3X9","","#!EFUH7E","-1500","-1500","","LRID ","","AWSTA","POTEN","EUOPS","1D   ","","LOANS","2020-05-29 00:00:00","","2020-05-29 00:00:00","N","","","","#!EFUH6R","CMARTILL","N","2020-09-02 16:41:30","2020-09-02 16:41:50","CMARTILL","CMARTILL","","","Y","N","-1500","0","","#!EFUH6R","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34dfc2064295da267e1c45d","CG852"
"51EFXX29","","7KEFL0O2","1577.91","1577.91","798422.09","LRPPY","","RELSD","ACTUA","EUOPS","","","FIXED","2020-05-29 00:00:00","2020-05-29 00:00:00","","N","","","","H+EFJ25O","LIQUSR03","N","2020-09-03 16:17:38","2020-09-03 16:19:39","LIQUSR03","LIQAPCP3","","","Y","N","1577.91","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34f481d1691b05391e1c4e4","CG852"
"LCEFY069","","LCEFY00U","-2500","-2500","2500","LRID ","","RELSD","ACTUA","EUOPS","1D   ","","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-05-29 00:00:00","N","","","","LCEFY007","CMARTILL","N","2020-09-03 17:14:09","2020-09-03 18:10:20","CMARTILL","CMARTILL","","","Y","N","-2500","0","","LCEFY007","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34f554e3f26ef9310e1c4fd","CG852"
"51EFYCXJ","",":OEFW1R5","1183.43","1183.43","598816.57","LRPPY","","RELSD","ACTUA","EUOPS","","","FIXED","2020-05-29 00:00:00","2020-06-01 00:00:00","","N","","","","H+EFJ2J9","LIQUSR03","N","2020-09-03 22:00:25","2020-09-04 16:03:50","LIQUSR03","LIQAPCP3","","","Y","N","1183.43","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34f98734fbd4dfa13e1c528","CG852"
"04EFZE02","","","4200","4200","","ID   ","CONSH","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-05-29 00:00:00","N","","","","04EFZDZF","CMARTILL","Y","2020-09-04 10:14:29","2020-09-04 12:09:21","CMARTILL","RPTMGR01","N","","Y","N","4200","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","35043c32860653420e1c57f","CG852"
"2OEFMMRP","","","2293","2293","","RCMF ","ACQ  ","LWREL","POTEN","EUOPS","7D   ","WEEK ","LOANS","2020-06-03 00:00:00","","2020-06-10 00:00:00","N","","2OEFMMMR","LRP  ","2OEFMMR5","LIQUSR05","Y","2020-08-28 11:59:10","2020-08-28 13:56:58","LIQUSR05","LIQSVR05","N","","Y","N","2293","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3472225444f566bdee1c217","CG852"
"2YEFMLLH","","","1200000","1200000","","RCMF ","ACQ  ","CNCLD","INACT","EUOPS","1D   ","DAL  ","LOANS","2020-05-29 00:00:00","","2020-05-29 00:00:00","N","","2YEFMLII","LRP  ","2YEFMLKX","JAQUITAN","Y","2020-08-28 11:59:59","2020-08-28 12:00:31","JAQUITAN","JAQUITAN","N","","Y","N","1200000","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34722b5bac41e38dce1c22a","CG852"
"2YEFMLQA","","","-1000000","-1000000","","PRDCR","","RELSD","ACTUA","EUOPS","1D   ","","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-05-29 00:00:00","N","","2YEFMLQ8","LRP  ","HREFIU8E","JAQUITAN","N","2020-08-28 12:01:47","2020-08-28 13:17:36","JAQUITAN","JANICEA1","","","Y","N","-1000000","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","347232ad21c85c6fce1c23a","CG852"
"2YEFMLT6","","","1000000","1000000","","RCMF ","ACQ  ","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-05-29 00:00:00","N","","2YEFMLQ8","LRP  ","2YEFMLSM","JAQUITAN","Y","2020-08-28 12:02:01","2020-08-28 13:17:36","JAQUITAN","JANICEA1","N","","Y","N","1000000","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3472331ae15ca9a4ce1c243","CG852"
"#!EFUH7E","","","1500","1500","","ID   ","CONSH","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-05-29 00:00:00","N","","","","#!EFUH6R","CMARTILL","Y","2020-09-01 19:42:36","2020-09-01 20:06:29","CMARTILL","RPTSUP01","N","","Y","N","1500","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34cd4f58a670bd601e1c421","CG852"
"2OEFMUK3","","","-251","-251","251","PPPMT","","RELSD","ACTUA","EUOPS","7D   ","","LOANS","2020-05-29 00:00:00","2020-07-08 00:00:00","2020-06-03 00:00:00","N","","2OEFMSX3","PCP  ","F?EF7SNQ","LIQUSR05","N","2020-08-28 14:49:24","2020-09-30 14:50:00","LIQUSR05","LIQUSR05","","","Y","N","-251","0","","F?EF7SNQ","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3474a637669e23967e1c2bc","CG852"
"+:EFZTEW","",":.EFW0T0","1200","1200","697800","LRPPY","","RELSD","ACTUA","EUOPS","","","FIXED","2020-05-29 00:00:00","2020-06-01 00:00:00","","N","","","","H+EFJ1OL","LIQUSR03","N","2020-09-04 15:36:37","2020-09-04 16:16:20","LIQUSR03","LIQAPCP3","","","Y","N","1200","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3508ff46ee605539ae1c59e","CG852"
"BGEFVSR2","BSEFVPSJ","","0","0","1400000","ADJST","","PEND ","POTEN","EUOPS","1D   ","","LOANS","2020-05-29 00:00:00","","2020-05-28 00:00:00","N","","","","MWEFINF0","MANZANOS","N","2020-09-02 12:49:25","2020-09-02 12:49:25","MANZANOS","MANZANOS","","700000","Y","N","0","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34dc5c23a985bd3bbe1c435","CG852"
"BGEFVSRC","BSEFVPSJ","","0","0","1011000","ADJST","","PEND ","POTEN","EUOPS","1D   ","","LOANS","2020-05-29 00:00:00","","2020-05-29 00:00:00","N","","","","S!EFKY0T","MANZANOS","N","2020-09-02 12:49:25","2020-09-02 12:49:25","MANZANOS","MANZANOS","","505500","Y","N","0","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34dc5cab4dcaf9c2ee1c436","CG852"
"BGEFVSRF","BSEFVPSJ","","0","0","1210000","ADJST","","PEND ","POTEN","EUOPS","7D   ","","LOANS","2020-05-29 00:00:00","","2020-06-05 00:00:00","N","","","","7GEFL2JQ","MANZANOS","N","2020-09-02 12:49:25","2020-09-02 12:49:25","MANZANOS","MANZANOS","","605000","Y","N","0","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34dc5cc553c0f95dce1c437","CG852"
"B*EFVTNP","","","2120","2120","","ID   ","CONSH","AWSTA","POTEN","EUOPS","7D   ","WEEK ","LOANS","2020-05-29 00:00:00","","2020-06-05 00:00:00","N","","","","B*EFVTN3","SMANZANO","Y","2020-09-02 13:12:32","2020-09-02 13:18:15","SMANZANO","SMANZANO","N","","Y","N","2120","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34dca5946c8fe8a46e1c439","CG852"
":DEFW6U9",":DEFW6RE","","0","0","1000000","ADJST","","RELSD","ACTUA","EUOPS","6M   ","","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-11-27 00:00:00","N","","","","JLEFFB50","LIQUSR03","N","2020-09-02 16:44:44","2020-09-02 16:57:23","LIQUSR03","LIQUSR03","","300000","Y","N","0","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34dfcfb7f23421aa3e1c45f","CG852"
"B*EFVX8W","","","216","216","","ID   ","CONSH","RELSD","ACTUA","EUOPS","7D   ","WEEK ","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-06-05 00:00:00","N","","","","B*EFVX86","MANZANOS","Y","2020-09-02 14:29:26","2020-09-02 17:53:07","SMANZANO","MANZANOM","N","","Y","N","216","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34ddc7b3cd4285ff7e1c443","CG852"
"QNEFW8J7","","","1160","1160","","ID   ","CONSH","RELSD","ACTUA","EUOPS","7D   ","WEEK ","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-06-05 00:00:00","N","","","","QNEFW8IN","MANZANOS","Y","2020-09-02 18:32:38","2020-09-02 19:53:31","SMANZANO","MANZANOM","N","","Y","N","1160","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34e155383708ee2b8e1c487","CG852"
"Q5EFWG6W","","QNEFW8J7","-1160","-1160","1160","LRID ","","RELSD","ACTUA","EUOPS","7D   ","","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-06-05 00:00:00","N","","","","QNEFW8IN","SMANZANO","N","2020-09-02 20:09:55","2020-09-02 20:48:43","SMANZANO","MANZANOS","","","Y","N","-1160","0","","QNEFW8IN","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34e2cd6d911677957e1c49e","CG852"
"04EFZE72","","","5700","5700","","ID   ","CONSH","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-29 00:00:00","2020-05-29 00:00:00","2020-05-29 00:00:00","N","","","","04EFZE6G","CMARTILL","Y","2020-09-04 10:55:38","2020-09-04 12:17:47","CMARTILL","RPTMGR01","N","","Y","N","5700","0","","","N","","","2020-05-29 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3504d3cd293fa97dfe1c592","CG852"
"+:EFZTIS","","","-1100","-2300","699000","UPPPT","","RELSD","ACTUA","EUOPS","","","FIXED","2020-05-28 00:00:00","2020-06-01 00:00:00","","N","","","","H+EFJ1OL","LIQUSR03","N","2020-09-04 16:18:54","2020-09-04 16:29:47","LIQUSR03","LIQUSR03","","","Y","N","-1100","0","","H+EFJ1OL","N","","","2020-05-28 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","35099b64eff73a35fe1c5ab","CG852"
"0-EFZSBM","","","-1000","-1000","4200","PPPMT","","RELSD","ACTUA","EUOPS","1D   ","","LOANS","2020-06-01 00:00:00","2020-06-02 00:00:00","2020-05-29 00:00:00","N","","","","04EFZDZF","RPTSUP01","N","2020-09-04 16:31:08","2020-09-07 15:30:11","CMARTILL","RPTMGR01","","","Y","N","-1000","0","","04EFZDZF","N","","","2020-06-01 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3509ca5b889a35af6e1c5b7","CG852"
"0-EFZSGH","","","3800","3800","","ID   ","CONSH","RELSD","ACTUA","EUOPS","7D   ","WEEK ","LOANS","2020-06-01 00:00:00","2020-06-01 00:00:00","2020-06-09 00:00:00","N","","","","0-EFZSFV","CMARTILL","Y","2020-09-04 16:34:43","2020-09-04 17:30:54","CMARTILL","RPTSUP01","N","","Y","N","3800","0","","","N","","","2020-06-01 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3509d431c0d3b802ce1c5bc","CG852"
"0-EFZSW4","","","-2700","-2700","5700","PPPMT","","RELSD","ACTUA","EUOPS","1D   ","","LOANS","2020-06-01 00:00:00","2020-06-02 00:00:00","2020-05-29 00:00:00","N","","","","04EFZE6G","CMARTILL","N","2020-09-04 16:44:10","2020-09-07 12:05:17","CMARTILL","RPTSUP01","","","Y","N","-2700","0","","04EFZE6G","N","","","2020-06-01 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3509f87e0fd128191e1c5c1","CG852"
