"RBP_CDE_RISK_BOOK","RBP_UID_USERID","RBP_TSP_REC_CREATE","RBP_TSP_REC_UPDATE","RBP_UID_REC_CREATE","RBP_UID_REC_UPDATE","RBP_IND_BUY_SELL","RBP_IND_MARK","RBP_IND_VIEW_PRCES","RBP_IND_PRIMARY"
"RELEN","KANDERSO","2019-04-03 23:48:20","2019-04-03 23:48:20","LS2BATCH","LS2BATCH","Y","N","Y","N"
"RELEN","DONALD98","2019-04-03 23:48:20","2019-04-03 23:48:20","LS2BATCH","LS2BATCH","Y","N","Y","N"
"PRFIN","FOULISTR","2019-04-03 23:48:20","2019-04-03 23:48:20","LS2BATCH","LS2BATCH","Y","N","Y","N"
"SAF  ","DONALD98","2019-04-03 23:48:20","2019-04-03 23:48:20","LS2BATCH","LS2BATCH","Y","N","Y","N"
"SAF  ","BRIANMOK","2019-04-03 23:48:20","2019-04-03 23:48:20","LS2BATCH","LS2BATCH","Y","N","Y","N"
"CORPF","FOULISTR","2019-04-03 23:48:20","2019-04-03 23:48:20","LS2BATCH","LS2BATCH","Y","N","Y","N"
"PRFIN","LAWLESS2","2019-04-03 23:48:21","2019-04-03 23:48:21","LS2BATCH","LS2BATCH","Y","N","Y","N"
"BPB  ","FOULISTR","2019-04-03 23:48:21","2019-04-03 23:48:21","LS2BATCH","LS2BATCH","Y","N","Y","N"
"BPB  ","LAWLESS2","2019-04-03 23:48:21","2019-04-03 23:48:21","LS2BATCH","LS2BATCH","Y","N","Y","N"
"CORPF","GIBLINC ","2019-04-03 23:48:21","2019-04-03 23:48:21","LS2BATCH","LS2BATCH","Y","N","Y","N"
"PRIEQ","DONALD98","2019-04-03 23:48:21","2019-04-03 23:48:21","LS2BATCH","LS2BATCH","Y","N","Y","N"
"CORPF","LAWLESS2","2019-04-03 23:48:21","2019-04-03 23:48:21","LS2BATCH","LS2BATCH","Y","N","Y","N"
"PRFIN","PETURNER","2019-04-03 23:48:21","2019-04-03 23:48:21","LS2BATCH","LS2BATCH","Y","N","Y","N"
"PRFIN","KANDERSO","2019-04-03 23:48:21","2019-04-03 23:48:21","LS2BATCH","LS2BATCH","Y","N","Y","N"
"RELEN","GIBLINC ","2019-04-03 23:48:21","2019-04-03 23:48:21","LS2BATCH","LS2BATCH","Y","N","Y","N"
"BKGOV","RPTINP01","2020-01-22 10:56:28","2020-01-23 10:33:09","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","RPTINP01","2020-01-22 10:56:28","2020-01-22 10:56:28","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","RPTINP01","2020-01-22 10:56:28","2020-01-22 10:56:28","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","RPTINP01","2020-01-22 10:56:28","2020-01-22 10:56:28","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","RPTINP01","2020-01-22 10:56:28","2020-01-22 10:56:28","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","RPTINP01","2020-01-22 10:56:28","2020-01-22 10:56:28","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","RPTINP01","2020-01-22 10:56:28","2020-01-23 10:33:09","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","RPTINP01","2020-01-22 10:56:28","2020-01-22 10:56:28","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","RPTINP01","2020-01-22 10:56:28","2020-01-22 10:56:28","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","RPTINP01","2020-01-22 10:56:28","2020-01-22 10:56:28","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","RPTSUP01","2020-01-22 10:57:32","2020-01-22 10:57:32","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","RPTSUP01","2020-01-22 10:57:32","2020-01-22 10:57:32","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","RPTSUP01","2020-01-22 10:57:32","2020-01-23 10:33:39","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","RPTSUP01","2020-01-22 10:57:32","2020-01-22 10:57:32","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","RPTSUP01","2020-01-22 10:57:32","2020-01-23 10:33:39","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","RPTSUP01","2020-01-22 10:57:32","2020-01-22 10:57:32","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","RPTSUP01","2020-01-22 10:57:32","2020-01-22 10:57:32","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","RPTSUP01","2020-01-22 10:57:32","2020-01-22 10:57:32","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","RPTSUP01","2020-01-22 10:57:32","2020-01-22 10:57:32","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","SRHMAE  ","2020-02-04 09:53:00","2020-02-04 09:53:00","CMARTILL","CMARTILL","Y","N","Y","N"
"CORPF","SRHMAE  ","2020-02-04 09:53:00","2020-02-04 09:53:00","CMARTILL","CMARTILL","Y","N","Y","N"
"PRFIN","SRHMAE  ","2020-02-04 09:53:00","2020-02-04 09:53:00","CMARTILL","CMARTILL","Y","N","Y","N"
"BCF  ","SRHMAE  ","2020-02-04 09:53:00","2020-02-04 09:53:00","CMARTILL","CMARTILL","Y","N","Y","N"
"SAF  ","SRHMAE  ","2020-02-04 09:53:00","2020-02-04 09:53:00","CMARTILL","CMARTILL","Y","N","Y","N"
"PRIEQ","SRHMAE  ","2020-02-04 09:53:00","2020-02-04 09:53:00","CMARTILL","CMARTILL","Y","N","Y","N"
"BPB  ","SRHMAE  ","2020-02-04 09:53:00","2020-02-04 09:53:00","CMARTILL","CMARTILL","Y","N","Y","N"
"RELEN","SRHMAE  ","2020-02-04 09:53:00","2020-02-04 09:53:00","CMARTILL","CMARTILL","Y","N","Y","N"
"SAF  ","SPAYOYO ","2020-02-04 10:13:59","2020-02-04 10:13:59","CMARTILL","CMARTILL","Y","N","Y","N"
"PRIEQ","SPAYOYO ","2020-02-04 10:13:59","2020-02-04 10:13:59","CMARTILL","CMARTILL","Y","N","Y","N"
"BPB  ","SPAYOYO ","2020-02-04 10:13:59","2020-02-04 10:13:59","CMARTILL","CMARTILL","Y","N","Y","N"
"RELEN","SPAYOYO ","2020-02-04 10:13:59","2020-02-04 10:13:59","CMARTILL","CMARTILL","Y","N","Y","N"
"DCM  ","SPAYOYO ","2020-02-04 10:13:59","2020-02-04 10:13:59","CMARTILL","CMARTILL","Y","N","Y","N"
"PRFIN","SPAYOYO ","2020-02-04 10:13:59","2020-02-04 10:13:59","CMARTILL","CMARTILL","Y","N","Y","N"
"CORPF","SPAYOYO ","2020-02-04 10:13:59","2020-02-04 10:13:59","CMARTILL","CMARTILL","Y","N","Y","N"
"BCF  ","SPAYOYO ","2020-02-04 10:13:59","2020-02-04 10:13:59","CMARTILL","CMARTILL","Y","N","Y","N"
"PRFIN","U721520 ","2020-02-04 10:15:04","2020-02-04 10:15:04","CMARTILL","CMARTILL","Y","N","Y","N"
"RELEN","U721520 ","2020-02-04 10:15:04","2020-02-04 10:15:04","CMARTILL","CMARTILL","Y","N","Y","N"
"PRIEQ","U721520 ","2020-02-04 10:15:04","2020-02-04 10:15:04","CMARTILL","CMARTILL","Y","N","Y","N"
"BPB  ","U721520 ","2020-02-04 10:15:04","2020-02-04 10:15:04","CMARTILL","CMARTILL","Y","N","Y","N"
"SAF  ","U721520 ","2020-02-04 10:15:04","2020-02-04 10:15:04","CMARTILL","CMARTILL","Y","N","Y","N"
"CORPF","U721520 ","2020-02-04 10:15:04","2020-02-04 10:15:04","CMARTILL","CMARTILL","Y","N","Y","N"
"BCF  ","U721520 ","2020-02-04 10:15:04","2020-02-04 10:15:04","CMARTILL","CMARTILL","Y","N","Y","N"
"DCM  ","U721520 ","2020-02-04 10:15:04","2020-02-04 10:15:04","CMARTILL","CMARTILL","Y","N","Y","N"
"RTZ  ","DHENDERS","2020-02-05 10:07:08","2020-02-05 10:07:08","WBAYERS ","WBAYERS ","N","N","Y","N"
"RELEN","DANUSR01","2020-02-13 10:20:02","2020-02-13 10:20:02","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","DANUSR01","2020-02-13 10:20:02","2020-02-13 10:20:02","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","DANUSR01","2020-02-13 10:20:02","2020-02-13 10:20:02","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","DANUSR01","2020-02-13 10:20:02","2020-02-13 10:20:02","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","DANUSR01","2020-02-13 10:20:02","2020-02-13 10:20:02","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","DANUSR01","2020-02-13 10:20:02","2020-02-13 10:20:02","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","DANUSR01","2020-02-13 10:20:02","2020-02-13 10:20:02","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","DANUSR01","2020-02-13 10:20:02","2020-02-13 10:20:02","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","JCAPR01 ","2020-02-17 09:40:58","2020-02-17 09:40:58","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","JCAPR01 ","2020-02-17 09:40:58","2020-02-17 09:40:58","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","JCAPR01 ","2020-02-17 09:40:58","2020-02-17 09:40:58","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","JCAPR01 ","2020-02-17 09:40:58","2020-02-17 09:40:58","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","JCAPR01 ","2020-02-17 09:40:58","2020-02-17 09:40:58","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","JCAPR01 ","2020-02-17 09:40:58","2020-02-17 09:40:58","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","JCAPR01 ","2020-02-17 09:40:58","2020-02-17 09:40:58","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","JCAPR01 ","2020-02-17 09:40:58","2020-02-17 09:40:58","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","JCAPR02 ","2020-02-20 07:19:21","2020-02-20 07:19:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","JCAPR02 ","2020-02-20 07:19:21","2020-02-20 07:19:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","JCAPR02 ","2020-02-20 07:19:21","2020-02-20 07:19:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","JCAPR02 ","2020-02-20 07:19:21","2020-02-20 07:19:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","JCAPR02 ","2020-02-20 07:19:21","2020-02-20 07:19:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","JCAPR02 ","2020-02-20 07:19:21","2020-02-20 07:19:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","JCAPR02 ","2020-02-20 07:19:21","2020-02-20 07:19:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","JCAPR02 ","2020-02-20 07:19:21","2020-02-20 07:19:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","RUNINP  ","2020-02-27 04:23:23","2020-02-27 04:23:23","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","RUNINP  ","2020-02-27 04:23:23","2020-02-27 04:23:23","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","RUNINP  ","2020-02-27 04:23:23","2020-02-27 04:23:23","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","RUNINP  ","2020-02-27 04:23:23","2020-02-27 04:23:23","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","RUNINP  ","2020-02-27 04:23:23","2020-02-27 04:23:23","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"PRIEQ","RUNINP  ","2020-02-27 04:23:23","2020-02-27 04:23:23","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","RUNINP  ","2020-02-27 04:23:23","2020-02-27 04:23:23","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","RUNINP  ","2020-02-27 04:23:23","2020-02-27 04:23:23","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","RUNINP  ","2020-02-27 04:23:23","2020-02-27 04:23:23","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","RUNINP  ","2020-02-27 04:23:23","2020-02-27 04:23:23","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"BKGOV","RUNINP01","2020-03-03 04:06:49","2020-03-03 04:14:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","RUNINP01","2020-03-03 04:06:49","2020-03-03 04:14:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","RUNINP01","2020-03-03 04:06:49","2020-03-03 04:14:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","RUNINP01","2020-03-03 04:06:49","2020-03-03 04:14:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","RUNINP01","2020-03-03 04:06:49","2020-03-03 04:14:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","RUNINP01","2020-03-03 04:06:49","2020-03-03 04:14:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","RUNINP01","2020-03-03 04:06:49","2020-03-03 04:14:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","RUNINP01","2020-03-03 04:06:49","2020-03-03 04:14:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","RUNINP01","2020-03-03 04:06:49","2020-03-03 04:14:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","RUNINP01","2020-03-03 04:06:49","2020-03-03 04:14:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","JCD900  ","2020-03-03 05:11:44","2020-03-03 05:11:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","JCD900  ","2020-03-03 05:11:44","2020-03-03 05:11:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","JCD900  ","2020-03-03 05:11:44","2020-03-03 05:11:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","JCD900  ","2020-03-03 05:11:44","2020-03-03 05:11:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","JCD900  ","2020-03-03 05:11:44","2020-03-03 05:11:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","JCD900  ","2020-03-03 05:11:44","2020-03-03 05:11:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","JCD900  ","2020-03-03 05:11:44","2020-03-03 05:11:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","JCD900  ","2020-03-03 05:11:44","2020-03-03 05:11:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","JCD900  ","2020-03-03 05:11:44","2020-03-03 05:11:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","JCD900  ","2020-03-03 05:11:44","2020-03-03 05:11:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","EUGENEH ","2020-05-14 12:11:31","2020-05-14 12:11:31","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","LQEU0010","2020-05-06 14:47:18","2020-05-06 14:47:18","RETAIL  ","RETAIL  ","Y","Y","Y","Y"
"SAF  ","LQEU0010","2020-05-06 14:47:18","2020-05-06 14:47:18","RETAIL  ","RETAIL  ","Y","Y","Y","Y"
"BKGOV","LQEU0010","2020-05-06 14:47:18","2020-05-06 14:47:18","RETAIL  ","RETAIL  ","Y","Y","Y","Y"
"BPB  ","EUGENEH ","2020-05-14 12:11:31","2020-05-14 12:11:31","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","LQEU0012","2020-05-06 16:23:47","2020-05-06 16:23:47","RETAIL  ","RETAIL  ","Y","Y","Y","Y"
"SAF  ","LQEU0013","2020-05-06 16:28:45","2020-05-06 16:28:45","RETAIL  ","RETAIL  ","Y","Y","Y","Y"
"BCF  ","EUGENEH ","2020-05-14 12:11:31","2020-05-14 12:11:31","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","LQDLGA01","2020-07-16 14:53:45","2020-07-16 14:53:45","CFRANCIS","CFRANCIS","Y","N","Y","N"
"BPB  ","LQDLGA01","2020-07-16 14:53:45","2020-07-16 14:53:45","CFRANCIS","CFRANCIS","Y","N","Y","N"
"CORPF","EUGENEH ","2020-05-14 12:11:31","2020-05-14 12:11:31","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","EUGENEH ","2020-05-14 12:11:31","2020-05-14 12:11:31","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","EUGENEH ","2020-05-14 12:11:31","2020-05-14 12:11:31","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","EUGENEH ","2020-05-14 12:11:31","2020-05-14 12:11:31","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","EUGENEH ","2020-05-14 12:11:31","2020-05-14 12:11:31","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","INPCHER ","2020-07-09 11:18:44","2020-07-09 11:18:44","MGALING ","MGALING ","Y","N","Y","N"
"BCF  ","INPCHER ","2020-07-09 11:18:44","2020-07-09 11:18:44","MGALING ","MGALING ","Y","N","Y","N"
"PRIEQ","INPCHER ","2020-07-09 11:18:44","2020-07-09 11:18:44","MGALING ","MGALING ","Y","N","Y","N"
"PRFIN","INPCHER ","2020-07-09 11:18:44","2020-07-09 11:18:44","MGALING ","MGALING ","Y","N","Y","N"
"DCM  ","INPCHER ","2020-07-09 11:18:44","2020-07-09 11:18:44","MGALING ","MGALING ","Y","N","Y","N"
"SAF  ","INPCHER ","2020-07-09 11:18:44","2020-07-09 11:18:44","MGALING ","MGALING ","Y","N","Y","N"
"CORPF","INPCHER ","2020-07-09 11:18:44","2020-07-09 11:18:44","MGALING ","MGALING ","Y","N","Y","N"
"BPB  ","INPCHER ","2020-07-09 11:18:44","2020-07-09 11:18:44","MGALING ","MGALING ","Y","N","Y","N"
"SAF  ","LQDLGA01","2020-07-16 14:53:45","2020-07-16 14:53:45","CFRANCIS","CFRANCIS","Y","N","Y","N"
"CORPF","LQDLGA01","2020-07-16 14:53:45","2020-07-16 14:53:45","CFRANCIS","CFRANCIS","Y","N","Y","N"
"PRIEQ","LQDLGA01","2020-07-16 14:53:45","2020-07-16 14:53:45","CFRANCIS","CFRANCIS","Y","N","Y","N"
"RELEN","LQDLGA01","2020-07-16 14:53:45","2020-07-16 14:53:45","CFRANCIS","CFRANCIS","Y","N","Y","N"
"PRFIN","LQDLGA01","2020-07-16 14:53:45","2020-07-16 14:53:45","CFRANCIS","CFRANCIS","Y","N","Y","N"
"DCM  ","LQDLGA01","2020-07-16 14:53:45","2020-07-16 14:53:45","CFRANCIS","CFRANCIS","Y","N","Y","N"
"SAF  ","INPRON01","2020-08-19 10:54:40","2020-08-19 10:54:40","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","INPRON01","2020-08-19 10:54:40","2020-08-19 10:54:40","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","INPRON01","2020-08-19 10:54:40","2020-08-19 10:54:40","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","INPRON01","2020-08-19 10:54:40","2020-08-19 10:54:40","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","INPRON01","2020-08-19 10:54:40","2020-08-19 10:54:40","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","INPRON01","2020-08-19 10:54:40","2020-08-19 10:54:40","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","INPRON01","2020-08-19 10:54:40","2020-08-19 10:54:40","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","INPRON01","2020-08-19 10:54:40","2020-08-19 10:54:40","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","MGRAMT01","2020-08-19 12:27:42","2020-08-19 12:27:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","MGRAMT01","2020-08-19 12:27:42","2020-08-19 12:27:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","MGRAMT01","2020-08-19 12:27:42","2020-08-19 12:27:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","MGRAMT01","2020-08-19 12:27:42","2020-08-19 12:27:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","MGRAMT01","2020-08-19 12:27:42","2020-08-19 12:27:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","MGRAMT01","2020-08-19 12:27:42","2020-08-19 12:27:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","MGRAMT01","2020-08-19 12:27:42","2020-08-19 12:27:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","MGRAMT01","2020-08-19 12:27:42","2020-08-19 12:27:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","DANMGR01","2020-08-19 12:43:59","2020-08-19 12:43:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","DANMGR01","2020-08-19 12:43:59","2020-08-19 12:43:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","DANMGR01","2020-08-19 12:43:59","2020-08-19 12:43:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","DANMGR01","2020-08-19 12:43:59","2020-08-19 12:43:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","DANMGR01","2020-08-19 12:43:59","2020-08-19 12:43:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","DANMGR01","2020-08-19 12:43:59","2020-08-19 12:43:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","DANMGR01","2020-08-19 12:43:59","2020-08-19 12:43:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","DANMGR01","2020-08-19 12:43:59","2020-08-19 12:43:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","DANMGR01","2020-08-19 12:43:59","2020-08-19 12:43:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","DANMGR01","2020-08-19 12:43:59","2020-08-19 12:43:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","INPCHO01","2020-08-19 12:53:33","2020-08-19 12:53:33","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","INPCHO01","2020-08-19 12:53:33","2020-08-19 12:53:33","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","INPCHO01","2020-08-19 12:53:33","2020-08-19 12:53:33","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","INPCHO01","2020-08-19 12:53:33","2020-08-19 12:53:33","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","INPCHO01","2020-08-19 12:53:33","2020-08-19 12:53:33","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","INPCHO01","2020-08-19 12:53:33","2020-08-19 12:53:33","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","INPCHO01","2020-08-19 12:53:33","2020-08-19 12:53:33","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","INPCHO01","2020-08-19 12:53:33","2020-08-19 12:53:33","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","MGRCHO01","2020-08-19 12:54:11","2020-08-19 12:54:11","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","JAQUITAN","2020-08-20 11:10:01","2020-08-20 11:10:01","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","JAQUITAN","2020-08-20 11:10:01","2020-08-20 11:10:01","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"LIQEU","JAQUITAN","2020-08-20 11:10:01","2020-08-20 11:10:01","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RTZ  ","JAQUITAN","2020-08-20 11:10:01","2020-08-20 11:10:01","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RISKA","JAQUITAN","2020-08-20 11:10:01","2020-08-20 11:10:01","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"TEST ","JAQUITAN","2020-08-20 11:10:01","2020-08-20 11:10:01","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RISKC","JAQUITAN","2020-08-20 11:10:01","2020-08-20 11:10:01","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAM  ","JAQUITAN","2020-08-20 11:10:01","2020-08-20 11:10:01","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RISKI","JAQUITAN","2020-08-20 11:10:01","2020-08-20 11:10:20","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"BCF  ","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"RTZ  ","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"TEST ","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"BKGOV","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"PRFIN","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"RELEN","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"RISKC","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"RISKA","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"SAF  ","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"RISKI","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"DCM  ","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"SAM  ","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"LIQEU","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"GTS  ","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
"BPB  ","JANICEA3","2020-08-24 10:30:57","2020-08-24 10:30:57","ADMIN3  ","ADMIN3  ","Y","N","Y","N"
