"SNM_CDE_GL_SHTNAME","SNM_DSC_GL_SHTNAME","SNM_CDE_MAP_PROCES","SNM_CDE_GL_GROUPNG","SNM_IND_HIGH_LEVEL","SNM_IND_MGL_ALLOW","SNM_IND_PORTPOS_AG","SNM_CDE_SUBLGR_BAL","SNM_CDE_NATURL_BAL","SNM_IND_INC_GL_AGR"
"URPLA","Recog. Unreal. P&L (Avail)","ACCT ","RUPLA","N","N","Y","INCOM","CR   ","N"
"URPLS","Recog. Unreal. P&L (Sells)","ACCT ","RUPLS","N","N","Y","INCOM","CR   ","N"
"UTILF","Utilized Fee Income","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"VATPY","VAT Payable to Government","ACCT ","","N","Y","N","TRANS","CR   ","N"
"VATRC","VAT Recoverable","ACCT ","","N","Y","N","TRANS","DR   ","N"
"AADMF","Amortized Admin. Fee Income","ACCT ","AADMF","N","Y","N","INCOM","CR   ",""
"ABAIS","ABA Issuance","ACCT ","ABAIS","N","N","N","BAL  ","CR   ","N"
"SUSOT","Suspense - Other","WIP  ","","N","Y","N","WIP  ","CR   ","N"
"SUSP ","Suspense Account","WIP  ","","N","Y","N","WIP  ","CR   ",""
"SUSPM","Suspense Misc.","WIP  ","","N","Y","N","WIP  ","CR   ",""
"SWAFI","SWAP Sell Return Assg Fee Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"SWBFE","SWAP Buy Return Assg Fee Expense","ACCT ","","N","Y","N","INCOM","CR   ","N"
"UNCOC","Unutilized Commitment Offset","ACCT ","","N","N","N","LTD  ","CR   ",""
"UNCOM","Unutilized Commitment","ACCT ","","N","N","N","LTD  ","DR   ",""
"LSPRS","L/C Principal Account - Short","ACCT ","PRINS","N","N","N","BAL  ","CR   ","N"
"LTINT","Export Credit Late Interest Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"MFPRN","Match-Funding Principal","ACCT ","MFPRN","N","N","N","BAL  ","DR   ","N"
"MSCRC","Misc. Account Rec.","WIP  ","","N","Y","N","WIP  ","DR   ","N"
"MSINC","Misc. Income","ACCT ","MSINC","N","Y","N","INCOM","CR   ","N"
"MSPAY","Misc. Accounts Pay.","WIP  ","","N","Y","N","WIP  ","CR   ","N"
"MT   ","Money Transfer","CAMAP","","N","N","N","TRANS","CR   ","N"
"MTM  ","Mark To Market Valuation","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"MTMCS","MTM Reval-Offset to Unreal P&L on Covered Short","ACCT ","","N","N","N","LTD  ","DR   ","N"
"MTMNB","MTM Revaluation - Offset To Unrealized P&L Based On Non-Book Balance","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"MTMOT","MTM Revaluation - Offset To Unrealized P&L Based On Open Trades","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"PDIIR","Past Due Interest Income Realized","ACCT ","INTIN","N","N","N","INCOM","CR   ","N"
"ORIG ","WAC Exclusive Origination Cost","ORIG ","","Y","N","N","","","N"
"MTMSP","MTM Revaluation - Offset To Unrealized P&L Based On Short Position","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"MTMTP","MTM Revaluation - Offset To Unrealized P&L Based On Trade Date Position","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"LFRWT","Flat Rate Withholding Tax","ACCT ","","N","Y","N","TRANS","CR   ","N"
"LCTWT","Church Withholding Tax","ACCT ","","N","Y","N","TRANS","CR   ","N"
"LSTWT","Solidarity Withholding Tax","ACCT ","","N","Y","N","TRANS","CR   ","N"
"PTRFI","Part Transfer Fee Income","ACCT ","","N","N","N","INCOM","CR   ","N"
"RDAIN","Re-Discount Amort Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"REALL","Realized Loss","ACCT ","RRPL ","N","Y","Y","INCOM","DR   ",""
"REALP","Realized Profit","ACCT ","RRPL ","N","Y","Y","INCOM","CR   ",""
"RECOV","Recovery","ACCT ","","N","Y","N","INCOM","CR   ","N"
"RESDL","Reserve - Deal Specific","WIP  ","","N","Y","N","WIP  ","CR   ",""
"DCPCP","Par Comp Payable","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCPCR","Par Comp Receivable","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"DCREU","DSS Comp Expense (Unpaid Int/Fee)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCRIU","DSS Comp Income (Unpaid Int/Fee)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCRPU","DSS Comp Payable (Unpaid Int/Fee)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"ABALI","ABA Customer Liability","ACCT ","ABALI","N","N","N","BAL  ","DR   ","N"
"ACOFP","Accrued MF Cost Of Funds Pay.","ACCT ","ACOFP","N","Y","N","LTDIN","CR   ","N"
"ACOMF","Amort Commitment Fee","ACCT ","ACOMF","N","Y","Y","INCOM","CR   ",""
"ACPAY","Acc't Pay.","WIP  ","","N","Y","N","WIP  ","CR   ",""
"ACPCI","Acceptance Commission Income","ACCT ","","N","Y","N","INCOM","CR   ",""
"ACREC","Receivable Account","WIP  ","","N","Y","N","WIP  ","DR   ",""
"ACTVF","Activation Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"ADMIF","Accrued Admin. Fee Income","ACCT ","ADMIF","N","Y","N","INCOM","CR   ",""
"AINTI","Amort Interest Income","ACCT ","AINTI","N","Y","Y","INCOM","CR   ",""
"ALLOW","Allowance for loan losses","ACCT ","","N","Y","N","INCOM","DR   ","N"
"AMNDF","Amendment Processing Fee Income","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"ASRFE","Asg.Recordation Fee Expense","ACCT ","","N","Y","N","INCOM","DR   ","N"
"RPCMS","Risk Part Commitment Sold","ACCT ","","N","Y","N","LTDIN","DR   ","N"
"RPCSO","Risk Part Comm. Sold Offset","ACCT ","","N","Y","N","LTDIN","CR   ","N"
"ASRFI","Asg.Recordation Fee Income","ACCT ","","N","Y","N","INCOM","CR   ",""
"SWDCE","SWAP Delayed Comp Expense","ACCT ","","N","Y","N","INCOM","CR   ","N"
"SWDCI","SWAP Delayed Comp Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"SWEFI","SWAP Event Fee Income","ACCT ","SWFIN","N","Y","Y","INCOM","CR   ","N"
"SWEFX","SWAP Event Fee Expense","ACCT ","SWFIN","N","Y","Y","INCOM","CR   ","N"
"SWFEX","SWAP Sell Return Fee Expense","ACCT ","SWFIN","N","Y","Y","INCOM","CR   ","N"
"ICBPL","Intercompany Borrower Principal Liability         ","ACCT ","BPRIN","N","N","N","BAL  ","CR   ",""
"ICBIE","Intercompany Borrower Interest Expense            ","ACCT ","","N","Y","N","INCOM","CR   ",""
"ICBIP","Intercompany Borrower Interest Payable            ","ACCT ","BINTR","N","N","N","BAL  ","CR   ",""
"ICBTL","Intercompany Borrower Foreign Tax Liability","ACCT ","","N","Y","N","TRANS","CR   ","N"
"UEINT","Unearned Interest","ACCT ","UEINT","N","N","N","BAL  ","CR   ","N"
"HATWB","Host Bank as Agent Tax Withheld by Borrower","ACCT ","","N","Y","N","TRANS","CR   ","N"
"SWREP","Swap Event Fee Receiver Expense Process","FEE  ","SWFIN","Y","N","N","","","N"
"SWRIP","Swap Event Fee Receiver Income Process","FEE  ","SWFIN","Y","N","N","","","N"
"CINTI","Corporate Interest Income","ACCT ","CINTI","N","Y","Y","INCOM","CR   ","N"
"INTRP","Interest Receivable PIK","ACCT ","INTRP","N","N","N","BAL  ","DR   ","N"
"INTOP","Interest Offset PIK","ACCT ","INTOP","N","N","N","INCOM","CR   ","N"
"ININR","Interest Income Realized","ACCT ","INTIN","N","Y","Y","INCOM","CR   ","N"
"INEXR","Interest Expense Realized","ACCT ","INTIN","N","Y","Y","INCOM","CR   ","N"
"FEINR","Fee Income Realized","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"FEEXR","Fee Expense Realized","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"GCVAL","Guarantee Commit Value","ACCT ","GUARV","N","Y","N","LTD  ","CR   ","N"
"DCRPM","DSS Comp Receivable (Int/Fee Received) - Memo","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"DCIPM","DSS Comp Income (Int/Fee Received) - Memo","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCPPM","DSS Comp Payable (Int/Fee Received) - Memo","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCPEM","DSS Comp Expense (Int/Fee Received) - Memo","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"PMIRC","Post-Maturity Accrued Interest Rec","ACCT ","","N","N","N","BAL  ","DR   ","N"
"IBOFE","Intercompany Borrower Ongoing Fee Expense","ACCT ","","N","Y","N","INCOM","DR   ","N"
"IBOFP","Intercompany Borrower Ongoing Fee Payable","ACCT ","IBOFP","N","Y","N","BAL  ","CR   ","N"
"PDINR","Past Due Interest Receivable","ACCT ","PDINR","N","N","N","BAL  ","DR   ","N"
"TKFEE","Ticking Fee Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"ISSRI","Issuance Fee (BG/LC)","ACCT ","FEEIN","N","Y","N","INCOM","CR   ","N"
"ESTAB","Establishment Fee","ACCT ","","N","Y","N","INCOM","CR   ","N"
"UNDWR","Underwriting Fee","ACCT ","","N","Y","N","INCOM","CR   ","N"
"CCOMR","Corporate Accrued Commission Receivable","ACCT ","CCOMR","N","Y","N","TRANS","DR   ",""
"CINTR","Corporate Accrued Interest Receivable","ACCT ","CINTR","N","Y","N","TRANS","DR   ",""
"FVRBS","Fair Value Revaluation Book Adj. Bal. Sheet","ACCT ","","N","Y","Y","LTD  ","CR   ",""
"FVROF","Fair Value Revaluation Offset","ACCT ","","N","Y","Y","LTD  ","CR   ",""
"MSUSP","Loan IQ Migration Control Suspense","CAMAP","","N","Y","N","TRANS","CR   ","N"
"IMSOX","Imposta Sostitutiva Tax Paid (Expense)","ACCT ","","N","Y","N","INCOM","DR   ","N"
"IMSOP","Imposta Sostitutiva Payable","ACCT ","","N","Y","N","INCOM","CR   ","N"
"IMBRI","Borrower Recovery of IS Tax","ACCT ","","N","Y","N","INCOM","CR   ","N"
"EXPIG","Borrower Recovery of IS Tax Lender Share","ACCT ","","N","Y","N","TRANS","CR   ","N"
"NMCOE","Non Matchfunded Cost of Funds Expense","ACCT ","NMCOE","N","Y","Y","INCOM","DR   ","N"
"NMCOP","Non Matchfunded Cost of Funds Payable             ","ACCT ","NMCOP","N","Y","N","LTDIN","CR   ",""
"NMFCL","Non Matchfunded Clearing                          ","ACCT ","","N","Y","N","TRANS","CR   ",""
"NMFPN","Non Matchfunded Principal                         ","ACCT ","NMFPN","N","N","N","BAL  ","DR   ",""
"SWDSI","SWAP Delayed Settlement Fee Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"BTLPD","Borrower Tax Withholding on Principal Loan Draw","ACCT ","","N","Y","N","TRANS","CR   ","N"
"STAII","Stabilization Interest Income","ACCT ","","N","N","N","LTDIN","CR   ","N"
"STAIR","Stabilization Interest Receivable","ACCT ","","N","N","N","LTDIN","DR   ","N"
"STAIE","Stabilization Interest Expense","ACCT ","","N","N","N","LTDIN","DR   ","N"
"STAIP","Stabilization Interest Payable","ACCT ","","N","N","N","LTDIN","CR   ","N"
"STASI","Stabilization Additional Spread Income","ADSPR","","Y","N","N","","","N"
"STASR","Stabilization Additional Spread Receivable","ADSPR","","Y","N","N","","","N"
"STASE","Stabilization Additional Spread Expense","ADSPR","","Y","N","N","","","N"
"STASP","Stabilization Additional Spread Payable","ADSPR","","Y","N","N","","","N"
"EXPII","Exporter Interest Income","ACCT ","","N","N","N","LTDIN","CR   ","N"
"EXPIR","Exporter Interest Receivable","ACCT ","","N","N","N","LTDIN","DR   ","N"
"EXPIE","Exporter Interest Expense","ACCT ","","N","N","N","LTDIN","DR   ","N"
"EXPIP","Exporter Interest Payable","ACCT ","","N","N","N","LTDIN","CR   ","N"
"BRBRI","Borrower Base Rate Income","ACCT ","","N","N","N","LTDIN","CR   ","N"
"BRSPI","Borrower Spread Income","ACCT ","","N","N","N","LTDIN","CR   ","N"
"BRRCI","Borrower RAC Income","ACCT ","","N","N","N","LTDIN","CR   ","N"
"BRBSR","Borrower Base Rate + Spread + RAC Receivable","ACCT ","","N","N","N","LTDIN","DR   ","N"
"BRASI","Borrower Additional Spread Income","ADSPR","","Y","N","N","","","N"
"BRASR","Borrower Additional Spread Receivable","ADSPR","","Y","N","N","","","N"
"BRASE","Borrower Additional Spread Expense","ADSPR","","Y","N","N","","","N"
"BGFIL","Bank Group Funding Rate Income","ACCT ","","N","N","N","LTDIN","CR   ","N"
"BGFPL","Bank Group Funding Rate Payable","ACCT ","","N","N","N","LTDIN","CR   ","N"
"BGFRL","Bank Group Funding Rate Receivable","ACCT ","","N","N","N","LTDIN","DR   ","N"
"GTFEE","Guarantee Fee Expense","ACCT ","","N","Y","N","INCOM","DR   ","N"
"STSEL","Stab Additional Spread Expense","ACCT ","","N","N","N","LTDIN","DR   ","N"
"FATCA","FATCA Tax Withholding Account","ACCT ","","N","Y","N","TRANS","CR   ","N"
"COMOF","Commission Offset","ACCT ","","N","Y","N","INCOM","CR   ","N"
"BGFEL","Bank Group Funding Rate Expense","ACCT ","","N","N","N","LTDIN","DR   ","N"
"OCOST","Unamortized Origination Cost                      ","ACCT ","OCOST","N","N","N","BAL  ","DR   ",""
"ORIGI","WAC Inclusive Origination Cost                    ","ACCT ","","N","Y","N","LTDIN","CR   ",""
"SWDSE","SWAP Delayed Settlement Fee Expense","ACCT ","","N","Y","N","INCOM","CR   ","N"
"TCEXP","Transaction Cost Expense","ACCT ","TCEXP","N","Y","Y","INCOM","CR   ","N"
"CAPCO","Capitalized Cost","ACCT ","","N","Y","N","TRANS","CR   ","N"
"SRIEN","SWAP Buy Return Int Exp - Non-Accrual","ACCT ","","N","Y","N","INCOM","CR   ","N"
"SRIIN","SWAP Sell Return Int Inc - Non-Accrual","ACCT ","","N","Y","N","INCOM","CR   ","N"
"BFEE ","Breakfunding Event Fee Expense","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"BFEI ","Breakfunding Event Fee Income","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"UNCST","Unamortized Transaction Cost","ACCT ","TRCST","N","N","N","BAL  ","CR   ","N"
"CASH ","Cash Account","CAMAP","","N","N","N","TRANS","CR   ","N"
"IMT  ","International Monetary Transfer","CAMAP","","N","N","N","TRANS","CR   ","N"
"STSPL","Stab Additional Spread Payable","ACCT ","","N","N","N","LTDIN","CR   ","N"
"CCMRO","Corporate Commission Receivable Offset","ACCT ","","N","Y","N","TRANS","DR   ","N"
"CCOMO","Corporate Commission Offset","ACCT ","","N","Y","N","INCOM","CR   ","N"
"STSIL","Stab Additional Spread Income","ACCT ","","N","N","N","LTDIN","CR   ","N"
"HBCVO","Host Bank Collateral Market Value-Offset","ACCT ","","N","N","N","INCOM","CR   ","N"
"HBCMV","Host Bank Collateral Market Value","ACCT ","","N","N","N","INCOM","DR   ","N"
"HBGVO","Host Bank Guarantee Ceiling Value-Offset","ACCT ","","N","N","N","INCOM","CR   ","N"
"HBGUV","Host Bank Guarantee Ceiling Value","ACCT ","","N","N","N","INCOM","DR   ","N"
"NHCVO","Non Host Bank Collateral Market Value-Offset","ACCT ","","N","N","N","INCOM","CR   ","N"
"NHCMV","Non Host Bank Collateral Market Value","ACCT ","","N","N","N","INCOM","DR   ","N"
"NHGVO","Non Host Bank Guarantee Ceiling Value-Offset","ACCT ","","N","N","N","INCOM","CR   ","N"
"NHGUV","Non Host Bank Guarantee Ceiling Value","ACCT ","","N","N","N","INCOM","DR   ","N"
"CALOW","Allowance for Corporate Losses","ACCT ","","N","Y","N","INCOM","DR   ","N"
"PDIRC","Past Due Accrued Interest Receivable","ACCT ","INTRC","N","N","N","BAL  ","DR   ","N"
"PDIIO","Past Due Interest Income Offset","ACCT ","","N","Y","N","INCOM","CR   ","N"
"PDIIN","Past Due Interest Income Unrealized","ACCT ","INTIN","N","Y","Y","INCOM","CR   ","N"
"TAXRC","Tax Received Process","TAXDF","","Y","N","N","","","N"
"TAXLY","Tax Liability Process","TAXDF","","Y","N","N","","","N"
"TAXNA","Tax Received from Non-Agent Host Bank Process","TAXDF","","Y","N","N","","","N"
"TAXAG","Tax Paid to Host Bank Agent Process","TAXDF","","Y","N","N","","","N"
"TAXEX","Tax Expense Process","TAXDF","","Y","N","N","","","N"
"GCVOF","Guarantee Commit Value Offset","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"CPRIN","Corporate Principal","ACCT ","CPRIN","N","Y","N","TRANS","DR   ","N"
"COMRC","Accrued Commission Receivable","ACCT ","COMRC","N","N","N","BAL  ","DR   ","N"
"CPRIO","Corporate Principal Offset","ACCT ","","N","Y","N","TRANS","CR   ","N"
"CCOMI","Corporate Commission Income","ACCT ","CCOMI","N","Y","Y","INCOM","CR   ","N"
"COMIN","Commission Income","ACCT ","COMIN","N","Y","Y","INCOM","CR   ","N"
"FXVAL","F/X Valuation","ACCT ","","N","Y","N","TRANS","CR   ","N"
"CFXVA","Corporate F/X Valuation","ACCT ","","N","Y","N","TRANS","CR   ","N"
"RNRES","General Reserve","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"CCOIN","Capitalized Collectable Interest","ACCT ","CCOIN","N","N","N","BAL  ","DR   ","N"
"CINTO","Corporate Interest Offset","ACCT ","","N","Y","N","INCOM","CR   ","N"
"BRASP","Borrower Additional Spread Payable","ADSPR","","Y","N","N","","","N"
"DEFEX","Deferred Expense","ACCT ","DEFEX","N","N","N","BAL  ","CR   ","N"
"COLSC","Commercial Loan Standard Cost","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"DNDC ","Direct Note Deposit Clearing","ACCT ","","N","Y","N","TRANS","DR   ","N"
"RPLPB","Risk Participation L/C Principle Buy","ACCT ","RPLPB","N","Y","N","LTDIN","DR   ","N"
"RPLBO","Risk participation L/C Principal Buy Offset","ACCT ","RPLBO","N","Y","N","LTDIN","CR   ","N"
"RPLPS","Risk Participation L/C Principal Sell","ACCT ","RPLPS","N","Y","N","LTDIN","CR   ","N"
"RPLSO","Risk Participation L/C Principal Sell Offset","ACCT ","RPLSO","N","Y","N","LTDIN","DR   ","N"
"SWEIP","Swap Event Fee Income Process","FEE  ","","Y","N","N","","","N"
"SWEEP","Swap Event Fee Expense Process","FEE  ","","Y","N","N","","","N"
"LLRE ","Loan Loss Reserve Exp.","ACCT ","","N","Y","N","INCOM","CR   ","N"
