"LNE_CDE_CODE","LNE_TXT_DESCRIPTIN"
"FPREP","Full Prepayment Penalty Fee Applied"
"EMDRL","Escrow Mass Disbursement Transaction Released"
"COFIS","Cost of Funds Index Changed"
"FSCC ","FATCA Source Country Changed"
"FSTC ","FATCA Status Changed"
"FGEF ","FATCA Grace Period Effective Date Changed"
"PSSCG","Penalty Spread Status Changed"
"PSAIC","Penalty Spread All-In Rate Cap Changed"
"PSAIF","Penalty Spread All-In Rate Floor Changed"
"TMACH","Trade Matched in E-Settlement System"
"PNCHG","Property Name Changed"
"RGCTR","Registration Change Transaction Released"
"ORRT ","Outstanding Risk Ratings Applicable Indicator Changed"
"SAPLS","Spot Automatic Portfolio Adjustment Released"
"RCAPT","Capitalization Reverse Applied"
"LETRR","Loan Extension Transaction Released"
"EXMAT","Extended Maturity Date Changed"
"LTSRC","Schedule Rule Creation"
"LTSRU","Schedule Rule Update"
"LTSRD","Schedule Rule Delete"
"PDIPC","Past Due Interest Pricing Changed"
"PDPPC","Past Due Principal Pricing Changed"
"TGDTE","Trigger Date Modified"
"SRGLC","L/C Principal Offset Remediation Performed"
"BADJC","Spread Adjustment Changed"
"DPNAY","Disbursements Projected For Next Analysis Year"
"MIBCC","Missed Interest Payment Behaviour Changed"
"REVUF","Reverse Upfront Fee Payment from Borrower/Agent Released"
"WAA  ","Watchful Account Approved"
"PRJST","Project Status Changed"
"FGTI ","FATCA Grace Period To And Thru Indicator Changed"
"FIBC ","FATCA Intermediary Blend Rate Changed"
"FGEC ","FATCA GIIN Effective Date Changed"
"RSTTR","Reverse Automatic Swap Trade Termination Released"
"REACP","Reallocation Completed"
"SRACP","Short Reallocation Completed"
"CRAFS","Ad Hoc Fee Settlement Created"
"CRRST","Residual Interest and Fee Settlement Created"
"RUPTR","Reverse Unpaid Transaction Released"
"SVRCH","Standard VAT Rate Changed"
"PFNAP","Periodic Fee Not Applicable for Period"
"SBAGS","SBA Loan Guarantee Status Changed"
"MCTR ","Messaging Change Transaction Released"
"DTCC ","Data extracted for DTCC LoanSERV"
"CFAER","Cashflow Awaiting External Reconciliation"
"CFUPD","Cashflow Unpaid"
"CFFLD","Cashflow Failed"
"ECHOA","Escrow Charge-off Released"
"EACHA","Escrow Automatic Charge-off Released"
"OEXDC","Overdraw Expiry Date Changed"
"OEXDA","Overdraw Expiry Date Change Approved"
"REINC","Escrow Reverse Increase Applied"
"NFIPC","Net First Interest Payment Changed"
"LKTCR","Lockout Created"
"LKTDL","Lockout Deleted"
"RPCTC","Reverse Paper Clip Transaction Cancelled"
"RPCTR","Reverse Paper Clip Transaction Released"
"PROPT","Pricing Option Changed"
"LNABD","Loan Abandonment Released"
"LABDC","Loan Abandonment Completed"
"GLTIN","Template Inactivated"
"TSPND","Trade Suspended in E-Settlement System"
"TREMD","Trade Removed in E-Settlement System"
"ESSCH","E-Settlement System Changed"
"ESSCA","Trade Cancelled in E-Settlement System"
"ESSTU","Trade Updates Sent to E-Settlement System"
"EICHK","E-settlement Indicator is Checked"
"EIUCK","E-settlement Indicator is Unchecked"
"FIDEC","Include in DTCC Extract Indicator Changed"
"SRPCH","Servicer Reporting Period Changed"
"PTASS","Pipe Line Transaction Associated"
"CICHG","Commitment Indicator Changed"
"LMSCH","Facility Limit Structure Changed"
"TAXIR","Tax Inactivation Transaction Released"
"TAXRR","Tax Reactivation Transaction Released"
"ACFTM","Cashflows Set to Custom Payment Method"
"TXCTR","Collateral Tax Change Transaction Released"
"CFCOP","Created From Common Party"
"TINDC","Tax Information Details Created"
"TINDM","Tax Information Details Modified"
"PDRGL","Past Due Reclassification GL Entries"
"GLTAP","Template Applied"
"UDTCH","User Defined Task Changed"
"UDTCM","User Defined Task Completed"
"FDSU ","FATCA Details Updated"
"GFFU ","FATCA Grandfathered Fields Updated"
"DISCH","Discretionary Indicator Changed"
"SRBCH","Spread Rate Basis Changed"
"GLTCR","Created"
"GLTCH","Template Changed"
"GLTDL","Template Deleted"
"PPACH","PDC Protocol Applies"
"LKTCH","Lockout Changed"
"IVREN","Invoice Regenerated"
"CRREN","Credit Note Regenerated"
"FGED ","FATCA Grace Period End Date Changed"
"BARFL","Base Rate Floor Changed"
"PDPSC","Past Due Penalty Spread Changed"
"PBB  ","Fee Paid on Behalf of the Borrower Created"
"RPBB ","Reimbursement of Fee Paid on Behalf of the Borrower Created"
"MSCD ","Mass Sale Completed"
"FXCRT","FxRate Changed"
"POCIC","POCI status updated"
"AUCFR","Auto Cashflow Released"
"CFACH","Automatic Charge-off Indicator Changed"
"ARHRD","Asset Revaluation History Transaction Released"
"IMPAA","Impairment Allowance Applied"
"RNAPC","Reamortized Notices for ARM Plan Created"
"SLMFD","Facility added via Deal Take-On Notice"
"SLMTF","Facility Take-On Notice Generated"
"UNFRC","Unfreeze/Return to creator"
"COTAP","Cash on Transfer Indicator Changed"
"UPSPU","User Profile Secondary Processing Area Updated"
"PLCDB","Pledge Code Changed By Batch"
"BKPRD","Banking Product Event Fee Released"
"REMDR","Reverse Escrow Mass Disbursement Transaction Released"
"CKNMC","Check Number Changed"
"REDEC","Escrow Reverse Decrease Applied"
"UDPLR","User Defined Plan Released"
