"LOC_CDE_LOCATION","LOC_DSC_LOCATION","LOC_CDE_COUNTRY","LOC_CDE_STATE","LOC_IND_ACTIVE","LOC_IND_MAY_DEACT","LOC_TSP_REC_CREATE","LOC_TSP_REC_UPDATE","LOC_UID_REC_CREATE","LOC_UID_REC_UPDATE","LOC_CDE_COUNTY","LOC_CDE_PROVINCE"
"GER  ","Gerlafingen, Switzerland","CH","","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:30","LS2BATCH","LS2BATCH","",""
"GET  ","Georgetown, KY","US","KY","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GEV  ","Genoa, NV","US","NV","N","Y","1997-12-04 10:41:00","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GFL  ","Glens Falls, NY","US","NY","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GFN  ","Griffin, GA","US","GA","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GFP  ","Gulfport, MS","US","MS","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GFS  ","Great Falls, MT","US","MT","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GGT  ","Georgetown, Malaysia","MY","","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GHE  ","Ghent, Belgium","BE","","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GHG  ","Gravenhage, Netherlands","NL","","Y","Y","1993-06-11 23:22:50","1993-06-11 23:22:50","LS2BATCH","LS2BATCH","",""
"GIA  ","Gila, FL","US","FL","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GIB  ","Gilbert, AZ","US","AZ","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GIL  ","Gillingham, United Kingdom","GB","","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GIN  ","Gaine, FL","US","FL","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GLA  ","Glasgow, United Kingdom","GB","","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","",""
"GLB  ","Goulburn, NSW,Australia","AU","","Y","Y","1993-06-11 23:22:50","2019-04-03 23:45:31","LS2BATCH","LS2BATCH","","NSW  "
"GLBY ","Glastonbury, CT","US","CT","N","Y","1997-01-03 16:50:30","2019-04-03 23:45:32","LS2BATCH","LS2BATCH","",""
"GLC  ","Gloucester, MA","US","MA","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:32","LS2BATCH","LS2BATCH","",""
"GLD  ","Glendale, CA","US","CA","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:32","LS2BATCH","LS2BATCH","",""
"GLE  ","Goleta, CA","US","CA","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:32","LS2BATCH","LS2BATCH","",""
"GLH  ","Glen Head, NY","US","NY","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:32","LS2BATCH","LS2BATCH","",""
"GLL  ","St Gallen, Switzerland","CH","","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:32","LS2BATCH","LS2BATCH","",""
"GLN  ","Galion, OH","US","OH","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:32","LS2BATCH","LS2BATCH","",""
"GLO  ","Gloucester, NJ","US","NJ","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:32","LS2BATCH","LS2BATCH","",""
"GLR  ","Glen Rock, NJ","US","NJ","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:32","LS2BATCH","LS2BATCH","",""
"GLS  ","Gloucester, United Kingdom","GB","","Y","Y","1993-06-11 23:22:50","1993-06-11 23:22:50","LS2BATCH","LS2BATCH","",""
"GLT  ","Gallarate, Italy","IT","","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:32","LS2BATCH","LS2BATCH","",""
"GLV  ","Glenview, IL","US","IL","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:33","LS2BATCH","LS2BATCH","",""
"GLY  ","Greely, CO","US","CO","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:33","LS2BATCH","LS2BATCH","",""
"GML  ","Georges Mills, NH","US","NH","N","Y","1995-06-16 17:03:27","2019-04-03 23:45:33","LS2BATCH","LS2BATCH","",""
"GMT  ","Germantown, TN","US","TN","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:33","LS2BATCH","LS2BATCH","",""
"GNB  ","Greenburg, PA","US","PA","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:33","LS2BATCH","LS2BATCH","",""
"GND  ","Glendora, CA","US","CA","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:33","LS2BATCH","LS2BATCH","",""
"GNE  ","Gurnee, IL","US","IL","N","Y","1995-07-10 15:45:03","2019-04-03 23:45:33","LS2BATCH","LS2BATCH","",""
"GNG  ","Groningen, Netherlands","NL","","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:33","LS2BATCH","LS2BATCH","",""
"FPI  ","Fort Pierce, FL","US","FL","N","Y","1993-06-11 23:22:49","2019-04-03 23:45:25","LS2BATCH","LS2BATCH","",""
"FPK  ","Franklin Park, IL","US","IL","N","Y","1993-06-11 23:22:49","2019-04-03 23:45:25","LS2BATCH","LS2BATCH","",""
"FPT  ","Freeport, IL","US","IL","N","Y","1993-06-11 23:22:49","2019-04-03 23:45:25","LS2BATCH","LS2BATCH","",""
"FR   ","France, France","FR","","N","Y","1993-06-11 23:22:49","2019-04-03 23:45:25","LS2BATCH","LS2BATCH","",""
"FRA  ","Framingham, MA","US","MA","N","Y","1993-06-11 23:22:49","2019-04-03 23:45:25","LS2BATCH","LS2BATCH","",""
"FRC  ","Flat Rock, MI","US","MI","N","Y","1993-06-11 23:22:49","2019-04-03 23:45:25","LS2BATCH","LS2BATCH","",""
"FRD  ","Fredonia, NY","US","NY","N","Y","1993-06-11 23:22:49","2019-04-03 23:45:25","LS2BATCH","LS2BATCH","",""
"FRE  ","Freehold, NJ","US","NJ","N","Y","1993-06-11 23:22:49","2019-04-03 23:45:25","LS2BATCH","LS2BATCH","",""
"FRF  ","Frenchs Forest, NSW,Australia","AU","","Y","Y","1993-06-11 23:22:49","2019-04-03 23:45:25","LS2BATCH","LS2BATCH","","NSW  "
"FRG  ","Farmington, MI","US","MI","N","Y","1993-06-11 23:22:49","2019-04-03 23:45:25","LS2BATCH","LS2BATCH","",""
"FRGHL","Farmington Hills, MI","US","MI","N","Y","1994-04-20 08:48:29","2019-04-03 23:45:26","LS2BATCH","LS2BATCH","",""
"GOT  ","Goete(Gothen)Borg, Sweden","SE","","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:34","LS2BATCH","LS2BATCH","",""
"GPA  ","Greenville, PA","US","PA","N","Y","1997-11-14 15:33:47","2019-04-03 23:45:34","LS2BATCH","LS2BATCH","",""
"GPR  ","Grand Prairie, TX","US","TX","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:34","LS2BATCH","LS2BATCH","",""
"GR   ","Greenfield, MA","US","MA","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:34","LS2BATCH","LS2BATCH","",""
"GRA  ","Gravesend, United Kingdom","GB","","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:34","LS2BATCH","LS2BATCH","",""
"GRB  ","Granbury, TX","US","TX","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:35","LS2BATCH","LS2BATCH","",""
"GRD  ","Gardena, CA","US","CA","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:35","LS2BATCH","LS2BATCH","",""
"GRE  ","Greenville, SC","US","SC","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:35","LS2BATCH","LS2BATCH","",""
"GRF  ","Grafton, New Zealand","NZ","","Y","Y","1993-06-11 23:22:50","2019-04-03 23:45:35","LS2BATCH","LS2BATCH","",""
"GRG  ","Georgia, GA United States","US","GA","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:35","LS2BATCH","LS2BATCH","",""
"GRH  ","Granada Hills, CA","US","CA","N","Y","1993-06-11 23:22:50","2019-04-03 23:45:35","LS2BATCH","LS2BATCH","",""
"GRI  ","Grimstead, United Kingdom","GB","","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:35","LS2BATCH","LS2BATCH","",""
"GRJ  ","Grand Junction, CO","US","CO","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:35","LS2BATCH","LS2BATCH","",""
"GRK  ","Grayslake, IL","US","IL","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:35","LS2BATCH","LS2BATCH","",""
"GRL  ","Greely, CA","US","CA","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:35","LS2BATCH","LS2BATCH","",""
"GRM  ","Germantown, MD","US","MD","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:35","LS2BATCH","LS2BATCH","",""
"GRN  ","Granville, OH","US","OH","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:35","LS2BATCH","LS2BATCH","",""
"GRO  ","Groenlo, Netherlands","NL","","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GRP  ","Grapevine, TX","US","TX","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GRR  ","Green River, WY","US","WY","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GRS  ","Grand Rapids, MI","US","MI","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GRT  ","Great Neck, NY","US","NY","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GRV  ","Greenville, TN","US","TN","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GRW  ","Greenwich, United Kingdom","GB","","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GRZ  ","Graz, Austria","AT","","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GSG  ","Gibsonburg, OH","US","OH","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GSP  ","Glassport, PA","US","PA","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GST  ","Grimstad, Norway","NO","","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GTA  ","Gastonia, NC","US","NC","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GTCI ","Georgetown, Cayman Islands","KY","","N","Y","1996-10-04 16:41:24","2019-04-03 23:45:36","LS2BATCH","LS2BATCH","",""
"GTG  ","Guttenberg, NJ","US","NJ","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:37","LS2BATCH","LS2BATCH","",""
"GTM  ","Grantham, United Kingdom","GB","","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:37","LS2BATCH","LS2BATCH","",""
"GTN  ","Gretna, LA","US","LA","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:37","LS2BATCH","LS2BATCH","",""
"GTR  ","Gautier, MS","US","MS","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:37","LS2BATCH","LS2BATCH","",""
"GTV  ","Gatesville, TX","US","TX","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:37","LS2BATCH","LS2BATCH","",""
"GUA  ","Guatemala City, Guatemala","GT","","N","Y","1993-06-11 23:22:51","2019-04-03 23:45:37","LS2BATCH","LS2BATCH","",""
"GUE  ","Guerrero, Mexico","MX","","Y","Y","1993-06-11 23:22:51","2019-04-03 23:45:37","LS2BATCH","LS2BATCH","",""
"GUI  ","Guildford, United Kingdom","GB","","Y","Y","1993-06-11 23:22:52","2019-04-03 23:45:37","LS2BATCH","LS2BATCH","",""
"GUR  ","Guernsey, United Kingdom","GB","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:37","LS2BATCH","LS2BATCH","",""
"GUT  ","Gutesloh, Germany","DE","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:37","LS2BATCH","LS2BATCH","",""
"GUY  ","Guayaquil, Equatorial Guinea","EK","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:37","LS2BATCH","LS2BATCH","",""
"GVA  ","Geneva, IL","US","IL","N","Y","1996-07-31 16:09:59","2019-04-03 23:45:37","LS2BATCH","LS2BATCH","",""
"GVE  ","Granville, MA","US","MA","N","Y","1995-07-24 11:03:18","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"GVL  ","Greenville, DE","US","DE","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"GVS  ","Galveston, TX","US","TX","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"GWC  ","Greenwich, CT,United States","US","CT","Y","Y","1993-06-11 23:22:52","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"GWD  ","Glenwood, IA United States","US","IA","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"GWN  ","Gwinnett, GA","US","GA","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"GWO  ","Greenwood, SC","US","SC","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"HAA  ","Haarlem, Netherlands","NL","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"HAC  ","Hackensack, NJ","US","NJ","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"HAD  ","Haddonfield, NJ","US","NJ","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"HAG  ","The Hague, Netherlands","NL","","Y","Y","1993-06-11 23:22:52","1993-06-11 23:22:52","LS2BATCH","LS2BATCH","",""
"HAI  ","Harris, TX","US","TX","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"HAK  ","Hackettstown, NJ","US","NJ","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"HAL  ","Hallandale, FL","US","FL","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:38","LS2BATCH","LS2BATCH","",""
"HAM  ","Hammond, IN","US","IN","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HAN  ","Hanover, Germany","DE","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HAP  ","Hampton, GA","US","GA","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HAQ  ","Hauppauge, NY","US","NY","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HAR  ","Harare, Zimbabwe","ZW","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HAS  ","Hasketon, United Kingdom","GB","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HAT  ","Hampton, VA","US","VA","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HAV  ","Haverhill, MA","US","MA","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HAW  ","Hawthorne, CA","US","CA","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HAX  ","Halifax, United Kingdom","GB","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HAY  ","Hayes, United Kingdom","GB","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HAZ  ","Hazleton, PA","US","PA","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HBH  ","Hasbrouck Heights, NJ","US","NJ","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HBO  ","Hertogenbosch, Netherlands","NL","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:39","LS2BATCH","LS2BATCH","",""
"HBT  ","Hobart, TAS Australia","AU","","Y","Y","1993-06-11 23:22:52","2019-08-13 09:35:58","LS2BATCH","ADM_DARR","","TAS  "
"HCA  ","Humacao,","US","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:40","LS2BATCH","LS2BATCH","",""
"HCK  ","Hickory, NC","US","NC","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:40","LS2BATCH","LS2BATCH","",""
"HCM  ","Ho Chi Minh City, Vietnam","VN","","Y","Y","1993-06-11 23:22:52","2019-04-03 23:45:40","LS2BATCH","LS2BATCH","",""
"HCO  ","Hancock, MI","US","MI","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:40","LS2BATCH","LS2BATCH","",""
"HDF  ","Hudderfield, United Kingdom","GB","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:40","LS2BATCH","LS2BATCH","",""
"HDN  ","Hamden, CT","US","CT","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:40","LS2BATCH","LS2BATCH","",""
"HDO  ","Hondo, TX","US","TX","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:40","LS2BATCH","LS2BATCH","",""
"HDS  ","Hudson, OH","US","OH","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:40","LS2BATCH","LS2BATCH","",""
"HED  ","Herndon, VA","US","VA","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:40","LS2BATCH","LS2BATCH","",""
"HEE  ","Heerlen, Netherlands","NL","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:40","LS2BATCH","LS2BATCH","",""
"HEG  ","Hengham, United Kingdom","GB","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:40","LS2BATCH","LS2BATCH","",""
"HEI  ","Herning, Denmark","DK","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:40","LS2BATCH","LS2BATCH","",""
"HEL  ","Helsinki, Finland","FI","","Y","Y","1993-06-11 23:22:52","1993-06-11 23:22:52","LS2BATCH","LS2BATCH","",""
"HEM  ","Hemet, CA","US","CA","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HEN  ","Henderson, NC","US","NC","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HER  ","Hershey, PA","US","PA","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HEW  ","Hewlett, NY","US","NY","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HFA  ","Haifa, Israel","IL","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HFD  ","Hamford, CA","US","CA","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HFE  ","Hoffman Estates, IL","US","IL","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HFLD ","Hatsfield, PA","US","PA","N","Y","1997-06-11 16:41:44","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HFX  ","Halifax, Canada","CA","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HG   ","Hamburg, Germany","DE","","Y","Y","1993-06-11 23:22:52","1993-06-11 23:22:52","LS2BATCH","LS2BATCH","",""
"HGH  ","Highland, OH","US","OH","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HGL  ","Highland Ranch, CO","US","CO","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HGN  ","Highland, IN","US","IN","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HGP  ","Highland Park, IL","US","IL","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HGS  ","Haugesund, Norway","NO","","Y","Y","1993-06-11 23:22:52","1993-06-11 23:22:52","LS2BATCH","LS2BATCH","",""
"HHD  ","Hemel Hempsted, United Kingdom","GB","","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:41","LS2BATCH","LS2BATCH","",""
"HHK  ","Hohokus, NJ","US","NJ","N","Y","1993-06-11 23:22:52","2019-04-03 23:45:42","LS2BATCH","LS2BATCH","",""
"KNG  ","Kingsport, TN","US","TN","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:57","LS2BATCH","LS2BATCH","",""
"KNIAK","Kenai AK, AR","US","AR","N","Y","1994-01-10 08:56:49","2019-04-03 23:45:57","LS2BATCH","LS2BATCH","",""
"KNK  ","Kankakee, IL","US","IL","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:57","LS2BATCH","LS2BATCH","",""
"KNL  ","Kenilworth, NJ","US","NJ","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:57","LS2BATCH","LS2BATCH","",""
"KNO  ","Knoxville, TN","US","TN","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:57","LS2BATCH","LS2BATCH","",""
"KNS  ","Kennesaw, GA","US","GA","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:57","LS2BATCH","LS2BATCH","",""
"KNT  ","Kinston, NC","US","NC","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:57","LS2BATCH","LS2BATCH","",""
"KNW  ","Kenilworth, United Kingdom","GB","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:57","LS2BATCH","LS2BATCH","",""
"KNY  ","Kentfield, NY","US","NY","N","Y","1996-10-24 09:26:36","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KNZ  ","Kanazawa, Japan","JP","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KOB  ","Kobe, Japan","JP","","Y","Y","1993-06-11 23:22:54","1993-06-11 23:22:54","LS2BATCH","LS2BATCH","",""
"KOC  ","Kochi, Japan","JP","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KOH  ","Kohler, WI","US","WI","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KOK  ","Kokomo, IN","US","IN","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KOL  ","Koln, Germany","DE","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KOM  ","Komaki, Japan","JP","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KOP  ","King of Prussia, PA,United States","US","PA","Y","Y","1993-06-11 23:22:54","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KOW  ","Kowloon, Hong Kong","HK","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KPT  ","Kings Point, NY","US","NY","N","Y","1995-07-05 11:34:22","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KRH  ","Karlsruhe, Germany","DE","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KRL  ","Karlstad, Sweden","SE","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KRY  ","Kiryu, Japan","JP","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:58","LS2BATCH","LS2BATCH","",""
"KSN  ","Kensington, MD","US","MD","N","Y","1995-07-06 11:17:48","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KSQ  ","Kennett Square, PA","US","PA","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KSS  ","Kassel, Germany","DE","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KT   ","Kent, United Kingdom","GB","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KTC  ","Kutchan-Cho, Japan","JP","","Y","Y","1993-06-11 23:22:54","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KTL  ","Kirtland, OH","US","OH","N","Y","1997-09-30 11:22:52","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KTN  ","Kotonah, NY","US","NY","N","Y","1995-06-19 09:35:04","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KUE  ","Kuessuacht, Switzerland","CH","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KUM  ","Kumamoto, Japan","JP","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KUW  ","Kuwait City, Kuwait","KW","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KVE  ","Kaysville, UT","US","UT","N","Y","1995-01-19 17:24:54","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KW   ","Kew, United Kingdom","GB","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KWD  ","Kishiwada, Japan","JP","","N","Y","1993-06-11 23:22:54","2019-04-03 23:45:59","LS2BATCH","LS2BATCH","",""
"KWT  ","Key West, FL","US","FL","N","Y","1997-06-16 10:49:44","2019-04-03 23:46:00","LS2BATCH","LS2BATCH","",""
"KYC  ","Kariya City, Japan","JP","","N","Y","1993-06-11 23:22:54","2019-04-03 23:46:00","LS2BATCH","LS2BATCH","",""
"KYN  ","Keystone, DE","US","DE","N","Y","1993-06-11 23:22:54","2019-04-03 23:46:00","LS2BATCH","LS2BATCH","",""
"KYO  ","Kyoto, Japan","JP","","Y","Y","1993-06-11 23:22:54","1993-06-11 23:22:54","LS2BATCH","LS2BATCH","",""
"KYS  ","Kitakyushu, Japan","JP","","N","Y","1993-06-11 23:22:54","2019-04-03 23:46:00","LS2BATCH","LS2BATCH","",""
"L    ","London, United Kingdom","GB","","Y","Y","1993-06-11 23:22:54","1993-06-11 23:22:54","LS2BATCH","LS2BATCH","",""
"LAC  ","La Crosse, WI","US","WI","N","Y","1993-06-11 23:22:54","2019-04-03 23:46:00","LS2BATCH","LS2BATCH","",""
"LAE  ","Lawrence, PA","US","PA","N","Y","1993-06-11 23:22:55","2019-04-03 23:46:00","LS2BATCH","LS2BATCH","",""
"LAF  ","Lafayette, LA","US","LA","N","Y","1993-06-11 23:22:55","2019-04-03 23:46:00","LS2BATCH","LS2BATCH","",""
"LAG  ","Lagos, Nigeria","NG","","N","Y","1993-06-11 23:22:55","2019-04-03 23:46:00","LS2BATCH","LS2BATCH","",""
