"LEV_RID_LEND_EVENT","LEV_IID_INV_ID","LEV_FID_FAC_INV_ID","LEV_CDE_EVENT_TYPE","LEV_DTE_EFFECTIVE","LEV_PID_DEAL","LEV_PID_FACILITY","LEV_TSP_REC_CREATE","LEV_TSP_REC_UPDATE","LEV_UID_REC_CREATE","LEV_UID_REC_UPDATE","LEV_TXT_EVENT_CMT","LEV_RID_TRADE_TKT","LEV_CDE_BRANCH"
"@+EFH75U","@+EFH732","","STSA ","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 15:06:23","2020-08-25 15:06:23","LIQUSR03","LIQUSR03","Warnings occurred during validation: Yes","","CG852"
"CPEFH9FM","@+EFH732","","APPST","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 15:06:49","2020-08-25 15:06:49","LIQAPCP3","LIQAPCP3","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands. Warnings occurred during validation.","","CG852"
"@+EFH76L","@+EFH732","","CRTP ","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 15:34:19","2020-08-25 15:34:19","LIQUSR03","LIQUSR03","","","CG852"
"@+EFH76Z","@+EFH732","","CAN  ","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 15:34:34","2020-08-25 15:34:34","LIQUSR03","LIQUSR03","Lender commitment cancelled effective 27-May-2020. Reason: Other.","","CG852"
"@-EFH7S5","@-EFH7S3","","CRTE ","","@-EFH363","","2020-08-25 15:48:47","2020-08-25 15:48:47","JAQUITAN","JAQUITAN","","","CG852"
"@-EFH7UA","@-EFH7S3","","CIRD ","2020-05-27 00:00:00","@-EFH363","","2020-08-25 15:50:05","2020-08-25 15:50:05","JAQUITAN","JAQUITAN","Facility: WSS_JATEST_IN_FAC4 circled for 70,000,000.00 EUR.","","CG852"
"@-EFH86A","@-EFH84Q","","PORTF","2020-05-27 00:00:00","@-EFH363","","2020-08-25 15:57:17","2020-08-25 15:57:17","JAQUITAN","JAQUITAN","","","CG852"
"@-EFH86E","@-EFH84Q","","STSA ","2020-05-27 00:00:00","@-EFH363","","2020-08-25 15:57:19","2020-08-25 15:57:19","JAQUITAN","JAQUITAN","Warnings occurred during validation: No","","CG852"
"C6EFHAUF","C6EFHAUD","","CRTE ","","C6EFHAQ1","","2020-08-25 16:24:27","2020-08-25 16:24:27","JAQUITAN","JAQUITAN","","","CG852"
"@EEFH9JT","@EEFH99Z","","PORTF","2020-05-27 00:00:00","@EEFGXO8","","2020-08-25 16:27:05","2020-08-25 16:27:05","SMANZANO","SMANZANO","","","CG852"
"@EEFH9M0","@EEFH99Z","","STSA ","2020-05-27 00:00:00","@EEFGXO8","","2020-08-25 16:28:28","2020-08-25 16:28:28","SMANZANO","SMANZANO","Warnings occurred during validation: No","","CG852"
"CLEFHBY0","C6EFHAUU","","CLDT ","2020-05-27 00:00:00","C6EFHAQ1","","2020-08-25 16:30:37","2020-08-25 16:30:37","JANICEA1","JANICEA1","","","CG852"
"CLEFHBY3","C6EFHAUD","","CLDT ","2020-05-27 00:00:00","C6EFHAQ1","","2020-08-25 16:30:37","2020-08-25 16:30:37","JANICEA1","JANICEA1","","","CG852"
"H+EGERWR","H+EGERLM","","FNDG ","","Y5EFF54H","","2020-08-26 17:03:25","2020-08-26 17:03:25","LIQUSR03","LIQUSR03","Funding status changed to Funding/Memo Sent.","","CG852"
"H+EGERWS","H+EGERLS","","FNDG ","","Y5EFF54H","","2020-08-26 17:03:25","2020-08-26 17:03:25","LIQUSR03","LIQUSR03","Funding status changed to Funding/Memo Sent.","","CG852"
"#XEFU8BE","-VEFU2UU","","APRVD","2020-05-29 00:00:00","3MEFH2AH","","2020-09-01 15:09:49","2020-09-01 15:09:49","LIQAPCP3","LIQAPCP3","","","CG852"
"#FEFU897","#!EFU7XT","","APRVD","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 16:28:40","2020-09-01 16:28:40","RPTSUP01","RPTSUP01","","","CG852"
"#!EFU8CC","#!EFU7XT","","STSA ","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 16:30:33","2020-09-01 16:30:33","CMARTILL","CMARTILL","Warnings occurred during validation: No","","CG852"
"#FEFU8DT","#!EFU7XT","","APPST","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 16:31:26","2020-09-01 16:31:26","RPTSUP01","RPTSUP01","Approval completed.  Approver: SUPERVISOR, RODEL. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
":3EFW2MS",":3EFW2ME","","CRTE ","","Y5EFF54H","","2020-09-02 15:51:38","2020-09-02 15:51:38","LIQUSR03","LIQUSR03","","","CG852"
":3EFW2OQ",":3EFW2ME","","PORTF","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 15:53:35","2020-09-02 15:53:35","LIQUSR03","LIQUSR03","","","CG852"
":3EFW2OV",":3EFW2ME","","CIRD ","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 15:53:39","2020-09-02 15:53:39","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 4,000,000.00 EUR.","","CG852"
"0REF4HH4","0REF4G2C","","CLDT ","2020-05-27 00:00:00","0REF4EYL","","2020-08-18 16:48:33","2020-08-18 16:48:33","LIQUSR03","LIQUSR03","","","CG852"
"0REF4G2F","0REF4G2C","","CRTE ","","0REF4EYL","","2020-08-18 16:18:12","2020-08-18 16:18:12","LIQUSR03","LIQUSR03","","","CG852"
"0REF4G7A","0REF4G2C","","CIRD ","2020-05-27 00:00:00","0REF4EYL","","2020-08-18 16:21:05","2020-08-18 16:21:05","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 10,000,000.00 EUR.","","CG852"
"Y5EFF4OC","Y5EFF4MB","","CIRD ","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 11:33:49","2020-08-24 11:33:49","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 3,000,000.00 EUR.","","CG852"
"Y5EFF4OD","Y5EFF4MQ","","CIRD ","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 11:33:49","2020-08-24 11:33:49","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 3,000,000.00 EUR.","","CG852"
"YZEFF1PV","YZEFF13D","","CIRD ","2020-05-27 00:00:00","YZEFEWH5","","2020-08-24 11:42:37","2020-08-24 11:42:37","SMANZANO","SMANZANO","Facility: AMS_FACILITY circled for 100,000,000.00 EUR.","","CG852"
"YZEFF20T","YZEFF13D","","PORTF","2020-05-27 00:00:00","YZEFEWH5","","2020-08-24 11:49:11","2020-08-24 11:49:11","SMANZANO","SMANZANO","","","CG852"
"3ZEFFD63","3ZEFFD5O","","CIRD ","2020-05-27 00:00:00","3ZEFFD20","","2020-08-24 14:50:53","2020-08-24 14:50:53","JAQUITAN","JAQUITAN","Facility: WSS_JATEST_IN_FAC1 circled for 100,000,000.00 EUR.","","CG852"
"3ZEFFD68","3ZEFFD5O","","PORTF","2020-05-27 00:00:00","3ZEFFD20","","2020-08-24 14:51:53","2020-08-24 14:51:53","JAQUITAN","JAQUITAN","","","CG852"
"3EEFFDJS","3ZEFFD5O","","CLDT ","2020-05-27 00:00:00","3ZEFFD20","","2020-08-24 14:53:15","2020-08-24 14:53:15","JANICEA1","JANICEA1","","","CG852"
"(7EFGUI9","(7EFGUI6","","CRTE ","","(7EFGUDN","","2020-08-25 10:43:38","2020-08-25 10:43:38","CMARTILL","CMARTILL","","","CG852"
"(7EFGUIL","(7EFGUI6","","CIRD ","2019-04-03 00:00:00","(7EFGUDN","","2020-08-25 10:48:53","2020-08-25 10:48:53","CMARTILL","CMARTILL","Facility: MNLCP DEAL2 FAC1 circled for 5,000,000.00 EUR.","","CG852"
"@!EFGXYR","(7EFGUI6","","CLDT ","2019-04-03 00:00:00","(7EFGUDN","","2020-08-25 11:12:00","2020-08-25 11:12:00","RPTMGR01","RPTMGR01","","","CG852"
"@+EFH6ZT","@+EFH6ZP","","CRTE ","","3MEFH2AH","","2020-08-25 14:54:05","2020-08-25 14:54:05","LIQUSR03","LIQUSR03","","","CG852"
"@+EFH704","@+EFH6ZP","","CIRD ","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 14:54:39","2020-08-25 14:54:39","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 10,000,000.00 EUR.","","CG852"
"@+EFH73G","@+EFH732","","CRTE ","","3MEFH2AH","","2020-08-25 15:03:54","2020-08-25 15:03:54","LIQUSR03","LIQUSR03","","","CG852"
"@-EFH85Y","@-EFH84Q","","CIRD ","2020-05-27 00:00:00","@-EFH363","","2020-08-25 15:57:04","2020-08-25 15:57:04","JAQUITAN","JAQUITAN","Facility: WSS_JATEST_IN_FAC4 circled for 30,000,000.00 EUR.","","CG852"
"@EEFH9A3","@EEFH99Z","","CRTE ","","@EEFGXO8","","2020-08-25 16:21:29","2020-08-25 16:21:29","SMANZANO","SMANZANO","","","CG852"
"C6EFHAVA","C6EFHAUU","","CIRD ","2020-05-27 00:00:00","C6EFHAQ1","","2020-08-25 16:26:25","2020-08-25 16:26:25","JAQUITAN","JAQUITAN","Facility: WSS_JATEST_OUT_FAC6 circled for 30,000,000.00 EUR.","","CG852"
":3EFW2PB",":3EFW2ME","","STA  ","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 15:53:51","2020-09-02 15:53:51","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
":@EFW32C",":3EFW2ME","","APRVD","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 15:55:46","2020-09-02 15:55:46","LIQAPCP3","LIQAPCP3","","","CG852"
":CEFW3F2",":3EFW2ME","","FNDG ","","Y5EFF54H","","2020-09-02 15:56:55","2020-09-02 15:56:55","LIQUSR03","LIQUSR03","Funding status changed to Funding.","","CG852"
":;EFW3S5",":3EFW2ME","","APPST","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 15:58:09","2020-09-02 15:58:09","LIQAPCP3","LIQAPCP3","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands. Warnings occurred during validation.","","CG852"
":=EFW5XU",":3EFW2ME","","CFREL","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:06:05","2020-09-02 16:06:05","LIQUSR03","LIQUSR03","Cashflow to LENDSHORT0414, servicing group NHB(alias:LN)(Melbourne, VIC,Australia) for EUR 400,000.00.","","CG852"
":=EFW5Y8",":3EFW2ME","","CFCAN","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:07:50","2020-09-02 16:07:50","LIQUSR03","LIQUSR03","Cashflow to LENDSHORT0414, servicing group NHB(alias:LN)(Melbourne, VIC,Australia) for EUR 400,000.00.","","CG852"
":=EFW5YS",":3EFW2ME","","CRTP ","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:09:29","2020-09-02 16:09:29","LIQUSR03","LIQUSR03","","","CG852"
":=EFW5ZM",":3EFW2ME","","FNDG ","","Y5EFF54H","","2020-09-02 16:10:05","2020-09-02 16:10:05","LIQUSR03","LIQUSR03","Funding status changed to Needs Review. Lender share changed. Frozen funding decisions reset to float.","","CG852"
":=EFW5ZK",":3EFW2ME",":3EFW2N3","SHRCH","","Y5EFF54H","Y5EFF559","2020-09-02 16:10:05","2020-09-02 16:10:05","LIQUSR03","LIQUSR03","Share Change Type (PREA).Facility: FACILITY A - Share decreased by 1,000,000.00. Change effective as of Circled Date (Circled and Current Amounts).","","CG852"
":=EFW5ZY",":3EFW2ME","","STA  ","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:10:34","2020-09-02 16:10:34","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
":$EFW6CL",":3EFW2ME","","APRVD","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:11:30","2020-09-02 16:11:30","LIQAPCP3","LIQAPCP3","","","CG852"
":DEFW6Q4",":3EFW2ME","","CRTP ","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:19:23","2020-09-02 16:19:23","LIQUSR03","LIQUSR03","","","CG852"
":DEFW6QJ",":3EFW2ME","","CAN  ","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:19:38","2020-09-02 16:19:38","LIQUSR03","LIQUSR03","Lender commitment cancelled effective 29-May-2020. Reason: Other.","","CG852"
":DEFW6R2",":DEFW6QO","","CRTE ","","Y5EFF54H","","2020-09-02 16:40:54","2020-09-02 16:40:54","LIQUSR03","LIQUSR03","","","CG852"
":DEFW6RS",":DEFW6QO","","TGDTE","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:41:33","2020-09-02 16:41:33","LIQUSR03","LIQUSR03","Delayed trigger date modified (27-May-2020)","","CG852"
":DEFW6SP",":DEFW6QO","","CIRD ","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:41:43","2020-09-02 16:41:43","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 3,000,000.00 EUR.","","CG852"
":DEFW6TG",":DEFW6QO","","PORTF","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 16:42:28","2020-09-02 16:42:28","LIQUSR03","LIQUSR03","","","CG852"
"S+EESXNS","S#EESVUL","","PORTF","2020-07-07 00:00:00","S#EESVPY","","2020-08-12 12:58:35","2020-08-12 12:58:35","CMARTILL","CMARTILL","","","CG852"
"7)EET09H","S#EESVUL","","CAN  ","2020-05-27 00:00:00","S#EESVPY","","2020-08-12 14:02:29","2020-08-12 14:02:29","CMARTILL","CMARTILL","Lender commitment cancelled effective 27-May-2020. Reason: Other. date change","","CG852"
"7)EET0LA","7)EET0L7","","CRTE ","","S#EESVPY","","2020-08-12 14:09:33","2020-08-12 14:09:33","CMARTILL","CMARTILL","","","CG852"
"7)EET0OQ","7)EET0L7","","CIRD ","2020-05-27 00:00:00","S#EESVPY","","2020-08-12 14:11:36","2020-08-12 14:11:36","CMARTILL","CMARTILL","Facility: AMSTER BILAT DEAL1 FAC1 circled for 15,000,000.00 EUR.","","CG852"
"7)EET0PA","7)EET0L7","","PORTF","2020-05-27 00:00:00","S#EESVPY","","2020-08-12 14:11:57","2020-08-12 14:11:57","CMARTILL","CMARTILL","","","CG852"
"7ZEET24Q","7)EET0L7","","CLDT ","2020-05-27 00:00:00","S#EESVPY","","2020-08-12 14:14:43","2020-08-12 14:14:43","RPTSUP01","RPTSUP01","","","CG852"
"(7EFGYY1","(7EFGY58","","STSA ","2020-05-27 00:00:00","(7EFGXIA","","2020-08-25 12:37:55","2020-08-25 12:37:55","CMARTILL","CMARTILL","Warnings occurred during validation: No","","CG852"
"(7EFGZ1W","(7EFGY58","","CRTP ","2020-05-27 00:00:00","(7EFGXIA","","2020-08-25 12:40:16","2020-08-25 12:40:16","CMARTILL","CMARTILL","Reason: Change","","CG852"
"(7EFGZ3H","(7EFGY58","","CAN  ","2020-05-27 00:00:00","(7EFGXIA","","2020-08-25 12:41:13","2020-08-25 12:41:13","CMARTILL","CMARTILL","Lender commitment cancelled effective 27-May-2020. Reason: Other.","","CG852"
"(7EFGYX6","(7EFGY58","","PORTF","2020-05-27 00:00:00","(7EFGXIA","","2020-08-25 12:37:25","2020-08-25 12:37:25","CMARTILL","CMARTILL","","","CG852"
"(7EFGZ4X","(7EFGZ4U","","CRTE ","","(7EFGXIA","","2020-08-25 12:42:03","2020-08-25 12:42:03","CMARTILL","CMARTILL","","","CG852"
"(7EFGZ6N","(7EFGZ4U","","CIRD ","2020-05-27 00:00:00","(7EFGXIA","","2020-08-25 12:43:05","2020-08-25 12:43:05","CMARTILL","CMARTILL","Facility: AMSTER PYMNTS DEAL2 FAC1 circled for 2,000,000.00 EUR.","","CG852"
"(7EFGZ8A","(7EFGZ4U","","PORTF","2020-05-27 00:00:00","(7EFGXIA","","2020-08-25 12:44:05","2020-08-25 12:44:05","CMARTILL","CMARTILL","","","CG852"
"@!EFGZCA","(7EFGZ4U","","CLDT ","2020-05-27 00:00:00","(7EFGXIA","","2020-08-25 12:46:23","2020-08-25 12:46:23","RPTMGR01","RPTMGR01","","","CG852"
"@-EFH84U","@-EFH84Q","","CRTE ","","@-EFH363","","2020-08-25 15:56:22","2020-08-25 15:56:22","JAQUITAN","JAQUITAN","","","CG852"
"COEFH8MM","@-EFH84Q","","CLDT ","2020-05-27 00:00:00","@-EFH363","","2020-08-25 16:01:43","2020-08-25 16:01:43","JANICEA1","JANICEA1","","","CG852"
"COEFH8MP","@-EFH7S3","","CLDT ","2020-05-27 00:00:00","@-EFH363","","2020-08-25 16:01:44","2020-08-25 16:01:44","JANICEA1","JANICEA1","","","CG852"
"C6EFHAUR","C6EFHAUD","","CIRD ","2020-05-27 00:00:00","C6EFHAQ1","","2020-08-25 16:25:36","2020-08-25 16:25:36","JAQUITAN","JAQUITAN","Facility: WSS_JATEST_OUT_FAC6 circled for 70,000,000.00 EUR.","","CG852"
"C6EFHAUY","C6EFHAUU","","CRTE ","","C6EFHAQ1","","2020-08-25 16:25:55","2020-08-25 16:25:55","JAQUITAN","JAQUITAN","","","CG852"
"@EEFH9IA","@EEFH99Z","","CIRD ","2020-05-27 00:00:00","@EEFGXO8","","2020-08-25 16:26:06","2020-08-25 16:26:06","SMANZANO","SMANZANO","Facility: AMS_FACILITY_OF_DEAL5 circled for 100,000,000.00 EUR.","","CG852"
"C6EFHAVF","C6EFHAUU","","PORTF","2020-05-27 00:00:00","C6EFHAQ1","","2020-08-25 16:26:32","2020-08-25 16:26:32","JAQUITAN","JAQUITAN","","","CG852"
"C6EFHAVJ","C6EFHAUU","","STSA ","2020-05-27 00:00:00","C6EFHAQ1","","2020-08-25 16:26:34","2020-08-25 16:26:34","JAQUITAN","JAQUITAN","Warnings occurred during validation: No","","CG852"
"2NEFMSZD","2NEFMSYZ","","CRTE ","","IREFMCO3","","2020-08-28 15:22:18","2020-08-28 15:22:18","SMANZANO","SMANZANO","","","CG852"
"2NEFMSZS","2NEFMSZE","","CRTE ","","IREFMCO3","","2020-08-28 15:22:18","2020-08-28 15:22:18","SMANZANO","SMANZANO","","","CG852"
"2NEFMT1D","2NEFMSZE","","PORTF","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 15:31:37","2020-08-28 15:31:37","SMANZANO","SMANZANO","","","CG852"
"2NEFMT1I","2NEFMSZE","","STA  ","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 15:31:56","2020-08-28 15:31:56","SMANZANO","SMANZANO","Warnings occurred during validation: N","","CG852"
"2NEFMT1N","2NEFMSYZ","","STA  ","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 15:31:56","2020-08-28 15:31:56","SMANZANO","SMANZANO","Warnings occurred during validation: N","","CG852"
"2NEFMT1X","2NEFMSYZ","","PORTF","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 15:33:23","2020-08-28 15:33:23","SMANZANO","SMANZANO","","","CG852"
"2#EFMTEJ","2NEFMSYZ","","APRVD","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 15:37:27","2020-08-28 15:37:27","MANZANOS","MANZANOS","","","CG852"
"2:EFMU3X","2NEFMSYZ","","STSA ","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 15:55:28","2020-08-28 15:55:28","SMANZANO","SMANZANO","Warnings occurred during validation: No","","CG852"
"2:EFMU3Z","2NEFMSZE","","STSA ","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 15:55:28","2020-08-28 15:55:28","SMANZANO","SMANZANO","Warnings occurred during validation: No","","CG852"
"2QEFMUGT","2NEFMSYZ","","APPST","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 16:03:09","2020-08-28 16:03:09","MANZANOS","MANZANOS","Approval completed.  Approver: APPROVER1, SHINE. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"AVEF5UHR","AVEF5UHB","","CIRD ","2020-05-27 00:00:00","V8EF4706","","2020-08-19 09:48:58","2020-08-19 09:48:58","LIQUSR05","LIQUSR05","Facility: 5MFACILITY circled for 5,000,000.00 EUR.","","CG852"
"C0EFHA6G","@EEFH99Z","","APPST","2020-05-27 00:00:00","@EEFGXO8","","2020-08-25 16:38:58","2020-08-25 16:38:58","MANZANOS","MANZANOS","Approval completed.  Approver: APPROVER1, SHINE. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"C0EFHA7A","@EEFH99Z","","CLDT ","2020-05-27 00:00:00","@EEFGXO8","","2020-08-25 16:40:15","2020-08-25 16:40:15","MANZANOS","MANZANOS","","","CG852"
"COEFH8KM","@-EFH84Q","","APPST","2020-05-27 00:00:00","@-EFH363","","2020-08-25 16:00:30","2020-08-25 16:00:30","JANICEA1","JANICEA1","Approval completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"C:EFHB7Z","C6EFHAUU","","APPST","2020-05-27 00:00:00","C6EFHAQ1","","2020-08-25 16:27:16","2020-08-25 16:27:16","JANICEA1","JANICEA1","Approval completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"H+EGERLR","H+EGERLM","","CRTE ","","Y5EFF54H","","2020-08-26 16:38:59","2020-08-26 16:38:59","LIQUSR03","LIQUSR03","","","CG852"
"H+EGERLX","H+EGERLS","","CRTE ","","Y5EFF54H","","2020-08-26 16:38:59","2020-08-26 16:38:59","LIQUSR03","LIQUSR03","","","CG852"
"=YEFJ5TT","H+EGERLM","","APRVD","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 16:49:47","2020-08-26 16:49:47","LIQAPCP3","LIQAPCP3","","","CG852"
"H+EGERSA","H+EGERLS","","PORTF","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 16:51:57","2020-08-26 16:51:57","LIQUSR03","LIQUSR03","","","CG852"
"=LEFJ6WJ","H+EGERLS","","APRVD","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 16:54:35","2020-08-26 16:54:35","LIQUSR04","LIQUSR04","","","CG852"
"H+EGERU2","H+EGERLS","","STSA ","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 16:55:15","2020-08-26 16:55:15","LIQUSR03","LIQUSR03","Warnings occurred during validation: Yes","","CG852"
"H+EGERU4","H+EGERLM","","STSA ","2020-05-28 00:00:00","Y5EFF54H","","2020-08-26 16:55:15","2020-08-26 16:55:15","LIQUSR03","LIQUSR03","Warnings occurred during validation: Yes","","CG852"
"I:EFMI3Q","I:EFMI3M","","CRTE ","","IREFMCO3","","2020-08-28 12:20:12","2020-08-28 12:20:12","SMANZANO","SMANZANO","","","CG852"
"2NEFMT16","2NEFMSZE","","CIRD ","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 15:30:50","2020-08-28 15:30:50","SMANZANO","SMANZANO","Facility: AMS_RPA_FACILITY circled for 50,000,000.00 EUR.","","CG852"
"2NEFMT17","2NEFMSYZ","","CIRD ","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 15:30:50","2020-08-28 15:30:50","SMANZANO","SMANZANO","Facility: AMS_RPA_FACILITY circled for 50,000,000.00 EUR.","","CG852"
"2BEFMTR8","2NEFMSZE","","APRVD","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 15:42:02","2020-08-28 15:42:02","MANZANOM","MANZANOM","","","CG852"
"25EFMUTK","2NEFMSZE","","APPST","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 16:06:49","2020-08-28 16:06:49","MANZANOM","MANZANOM","Approval completed.  Approver: APPROVER2, SHINE. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"25EFMUTZ","2NEFMSZE","","CLDT ","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 16:12:14","2020-08-28 16:12:14","MANZANOM","MANZANOM","","","CG852"
"25EFMUU5","2NEFMSYZ","","CLDT ","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 16:12:14","2020-08-28 16:12:14","MANZANOM","MANZANOM","","","CG852"
"-VEFSJVS","H+EGERLM","","CFCAN","2020-05-28 00:00:00","Y5EFF54H","","2020-08-31 18:44:23","2020-08-31 18:44:23","LIQUSR03","LIQUSR03","Cashflow to COMMONWEALTH BANK AU-OBU(CB022), servicing group LENDING(alias:OL)(Sydney, NSW,Australia) for EUR 400,000.00.  Cashflow from CBA AMSTERDAM(CG852), servicing group LOAN(alias:OL)(Amsterdam, Netherlands) for EUR 400,000.00.","","CG852"
"AVEF5UHW","AVEF5UHB","","PORTF","2020-05-27 00:00:00","V8EF4706","","2020-08-19 09:49:46","2020-08-19 09:49:46","LIQUSR05","LIQUSR05","","","CG852"
"AVEF5UI0","AVEF5UHB","","STSA ","2020-05-27 00:00:00","V8EF4706","","2020-08-19 09:50:10","2020-08-19 09:50:10","LIQUSR05","LIQUSR05","Warnings occurred during validation: No","","CG852"
"9ZEF8319","9ZEF82QB","","PORTF","2020-05-27 00:00:00","9ZEF82FK","","2020-08-20 17:27:18","2020-08-20 17:27:18","JAQUITAN","JAQUITAN","","","CG852"
"9LEF83IB","9ZEF82QB","","CLDT ","2020-05-27 00:00:00","9ZEF82FK","","2020-08-20 17:37:18","2020-08-20 17:37:18","JANICEA1","JANICEA1","","","CG852"
"JPEFF5SH","Y5EFF4MB","","APRVD","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 11:43:32","2020-08-24 11:43:32","LIQUSR02","LIQUSR02","","","CG852"
"Y5EFF4QL","Y5EFF4MQ","","FNDG ","",".FEF9QSQ","","2020-08-24 11:49:52","2020-08-24 11:49:52","LIQUSR03","LIQUSR03","Funding status changed to Funding.","","CG852"
"Y5EFF4QK","Y5EFF4MB","","FNDG ","",".FEF9QSQ","","2020-08-24 11:49:52","2020-08-24 11:49:52","LIQUSR03","LIQUSR03","Funding status changed to Funding.","","CG852"
"Y5EFF4QS","Y5EFF4MQ","","STSA ","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 11:49:56","2020-08-24 11:49:56","LIQUSR03","LIQUSR03","Warnings occurred during validation: Yes","","CG852"
"Y5EFF4QU","Y5EFF4MB","","STSA ","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 11:49:56","2020-08-24 11:49:56","LIQUSR03","LIQUSR03","Warnings occurred during validation: Yes","","CG852"
"Y5EFF58F","Y5EFF58B","","CRTE ","","Y5EFF54H","","2020-08-24 12:34:27","2020-08-24 12:34:27","LIQUSR03","LIQUSR03","","","CG852"
"Y5EFF58S","Y5EFF58B","","PORTF","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:36:08","2020-08-24 12:36:08","LIQUSR03","LIQUSR03","","","CG852"
"Y5EFF58W","Y5EFF58B","","CIRD ","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:36:11","2020-08-24 12:36:11","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 10,000,000.00 EUR.","","CG852"
"Y5EFF590","Y5EFF58B","","STSA ","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:38:52","2020-08-24 12:38:52","LIQUSR03","LIQUSR03","Warnings occurred during validation: No","","CG852"
"JDEFF86S","Y5EFF58B","","APPST","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:41:22","2020-08-24 12:41:22","LIQAPCP3","LIQAPCP3","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"J2EFF9OC","Y5EFF5C4","","APRVD","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:59:53","2020-08-24 12:59:53","LIQUSR02","LIQUSR02","","","CG852"
