"VAH_RID_VAL_HIST","VAH_RID_OWNER","VAH_CDE_OWNER_TYPE","VAH_CDE_VALUE_TYPE","VAH_DTE_START","VAH_DTE_END","VAH_DEC_VALUE","VAH_IND_VALUE","VAH_UID_REC_CREATE","VAH_UID_REC_UPDATE","VAH_TSP_REC_CREATE","VAH_TSP_REC_UPDATE","VAH_TXT_VALUE","VAH_CDE_BRANCH"
"3=EHZP8B","3=EHZP5J","ORT  ","OSTPS","2021-03-01 00:00:00","","0","","JAQUITAN","JAQUITAN","2020-10-13 11:08:25","2020-10-13 11:08:25","","CG852"
"3=EHZP8V","3=EHZP5J","ORT  ","RWBRT","2021-03-01 00:00:00","","0.02","","JAQUITAN","JAQUITAN","2020-10-13 11:08:39","2020-10-13 11:08:39","","CG852"
"3=EHZP96","3=EHZP5J","ORT  ","OSTRT","2021-03-01 00:00:00","","0.02","","JAQUITAN","JAQUITAN","2020-10-13 11:08:39","2020-10-13 11:08:39","","CG852"
"3?EGFO3V","3?EGFNKX","ORT  ","OTPSS","2020-06-19 00:00:00","","","","LOANIQ01","LOANIQ01","2020-09-13 06:21:31","2020-09-13 06:21:31","OFF","CG852"
"3?EGFO3W","3?EGFNKX","ORT  ","OSTPS","2020-06-19 00:00:00","","0","","LOANIQ01","LOANIQ01","2020-09-13 06:21:31","2020-09-13 06:21:31","","CG852"
"3?EGFOD6","3?EGFNKX","ORT  ","RWBRT","2020-06-19 00:00:00","","0.015","","LOANIQ01","LOANIQ01","2020-09-13 06:27:38","2020-09-13 06:27:38","","CG852"
"3?EGFODH","3?EGFNKX","ORT  ","OSTRT","2020-06-19 00:00:00","","0.015","","LOANIQ01","LOANIQ01","2020-09-13 06:27:38","2020-09-13 06:27:38","","CG852"
"3AEITJFG","3AEITJFF","NCS  ","FRS  ","2021-09-13 00:00:00","","0","","MGRALN01","MGRALN01","2020-10-29 13:31:01","2020-10-29 13:31:01","",""
"3EEFFDJJ","3ZEFFD20","DEA  ","PSPD ","2020-05-27 00:00:00","","","N","JANICEA1","JANICEA1","2020-08-24 14:53:15","2020-08-24 14:53:15","","CG852"
"3EEFFDKE","3ZEFFD41","FEE  ","FEERT","2020-05-27 00:00:00","","0.03","","JANICEA1","JANICEA1","2020-08-24 14:53:17","2020-08-24 14:53:17","","CG852"
"3EEFFDKH","3ZEFFD2W","FAC  ","FMTDT","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 14:53:17","2020-08-24 14:53:17","2025-05-27","CG852"
"3GEID0D8",":JEI3DZM","FEE  ","FEERT","2021-03-08 00:00:00","","0.02","","SMANZANO","SMANZANO","2020-10-20 16:54:31","2020-10-20 16:54:31","","CG852"
"3IEEFLSD","3IEEFLSC","NCS  ","FRS  ","2020-07-03 00:00:00","","0","","RPTMGR01","RPTMGR01","2020-08-05 07:37:37","2020-08-05 07:37:37","",""
"3IEFFGSY","3IEFFGSX","NCS  ","FRS  ","2020-05-27 00:00:00","","0","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","",""
"3IEFFGT0","3SEFFFII","OST  ","OSTFX","2020-05-27 00:00:00","","1","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","","CG852"
"3IEFFGT1","3SEFFFIP","ORT  ","PCTRF","2020-05-27 00:00:00","","1","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","LAST","CG852"
"3IEFFGT2","3SEFFFII","OST  ","RPRGF","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","1D","CG852"
"3IEFFGT3","3SEFFFII","OST  ","RDGIF","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","1/8","CG852"
"3IEFFGT4","3SEFFFII","OST  ","RDGFM","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","NONE","CG852"
"3IEFFGT5","3SEFFFII","OST  ","RDGDP","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","3","CG852"
"3IEFFGT6","3SEFFFII","OST  ","RDGDM","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","NONE","CG852"
"3IEFFGT7","3SEFFFII","OST  ","RDGAM","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","BASEF","CG852"
"3IEFFGT8","3SEFFFIP","ORT  ","ALLIN","2020-05-27 00:00:00","","0.05","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","","CG852"
"3IEFFGTM","3SEFFFII","OST  ","OSTPO","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","EURLI","CG852"
"3IEFFGTQ","3SEFFFIP","ORT  ","OSTSD","2020-05-27 00:00:00","","0.02","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","","CG852"
"3IEFFGTS","3SEFFFIP","ORT  ","OSTNM","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","NMFCF","CG852"
"3IEFFGTU","3SEFFFIP","ORT  ","OSTNA","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","","CG852"
"3IEFFGTW","3SEFFFIP","ORT  ","OSTRB","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:16:45","2020-08-24 16:16:45","G365","CG852"
"3IEJL6GW","3?EJL5IQ","IBC  ","OSTFX","2021-11-01 00:00:00","","1","","MGRAMT01","MGRAMT01","2020-11-13 12:51:11","2020-11-13 12:51:11","",""
"3MEHZOS3","38EHZOM4","FEE  ","FEERT","2021-03-01 00:00:00","","0.02","","JANICEA1","JANICEA1","2020-10-13 11:05:18","2020-10-13 11:05:18","","CG852"
"3MEHZOSM","38EHZOL4","FAC  ","FMTDT","2021-03-01 00:00:00","","","","JANICEA1","JANICEA1","2020-10-13 11:05:18","2020-10-13 11:05:18","2025-03-07","CG852"
"3PEFFD9X","3PEFFD7F","ORT  ","OTPSS","2020-05-27 00:00:00","","","","LIQUSR03","LIQUSR03","2020-08-24 13:57:53","2020-08-24 13:57:53","OFF","CG852"
"3PEFFD9Y","3PEFFD7F","ORT  ","OSTPS","2020-05-27 00:00:00","","0","","LIQUSR03","LIQUSR03","2020-08-24 13:57:53","2020-08-24 13:57:53","","CG852"
"3PEFFDAF","3PEFFD7F","ORT  ","RWBRT","2020-05-27 00:00:00","","0.01","","LIQUSR03","LIQUSR03","2020-08-24 13:57:56","2020-08-24 13:57:56","","CG852"
"3PEFFDAQ","3PEFFD7F","ORT  ","OSTRT","2020-05-27 00:00:00","","0.01","","LIQUSR03","LIQUSR03","2020-08-24 13:57:56","2020-08-24 13:57:56","","CG852"
"3QEFFIVZ","3QEFFIVY","NCS  ","FRS  ","2020-05-27 00:00:00","","0","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","",""
"3QEFFIW1","32EFFH8Y","OST  ","OSTFX","2020-05-27 00:00:00","","1","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","","CG852"
"3QEFFIW2","32EFFH95","ORT  ","PCTRF","2020-05-27 00:00:00","","1","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","LAST","CG852"
"3QEFFIW3","32EFFH8Y","OST  ","RPRGF","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","1D","CG852"
"3QEFFIW4","32EFFH8Y","OST  ","RDGIF","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","1/8","CG852"
"3QEFFIW5","32EFFH8Y","OST  ","RDGFM","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","NONE","CG852"
"3QEFFIW6","32EFFH8Y","OST  ","RDGDP","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","3","CG852"
"3QEFFIW7","32EFFH8Y","OST  ","RDGDM","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","NONE","CG852"
"3QEFFIW8","32EFFH8Y","OST  ","RDGAM","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","BASEF","CG852"
"3QEFFIW9","32EFFH95","ORT  ","ALLIN","2020-05-27 00:00:00","","0.05","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","","CG852"
"3QEFFIWN","32EFFH8Y","OST  ","OSTPO","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","EURLI","CG852"
"3QEFFIWR","32EFFH95","ORT  ","OSTSD","2020-05-27 00:00:00","","0.02","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","","CG852"
"3QEFFIWT","32EFFH95","ORT  ","OSTNM","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","NMFCF","CG852"
"3QEFFIWV","32EFFH95","ORT  ","OSTNA","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","","CG852"
"3QEFFIWX","32EFFH95","ORT  ","OSTRB","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 16:23:15","2020-08-24 16:23:15","G365","CG852"
"3REEF6XE","3REEF6XD","NCS  ","FRS  ","2020-07-03 00:00:00","","0","","RPTMGR01","RPTMGR01","2020-08-05 01:21:25","2020-08-05 01:21:25","",""
"3REHZOEI","3REHZOEH","NCS  ","FRS  ","2021-03-01 00:00:00","","0","","MIGGY_MA","MIGGY_MA","2020-10-13 11:04:26","2020-10-13 11:04:26","",""
"3SEFFFKO","3SEFFFIP","ORT  ","OTPSS","2020-05-27 00:00:00","","","","JAQUITAN","JAQUITAN","2020-08-24 16:13:20","2020-08-24 16:13:20","OFF","CG852"
"3SEFFFKP","3SEFFFIP","ORT  ","OSTPS","2020-05-27 00:00:00","","0","","JAQUITAN","JAQUITAN","2020-08-24 16:13:20","2020-08-24 16:13:20","","CG852"
"3SEFFFL5","3SEFFFIP","ORT  ","RWBRT","2020-05-27 00:00:00","","0.03","","JAQUITAN","JAQUITAN","2020-08-24 16:13:27","2020-08-24 16:13:27","","CG852"
"3SEFFFLG","3SEFFFIP","ORT  ","OSTRT","2020-05-27 00:00:00","","0.03","","JAQUITAN","JAQUITAN","2020-08-24 16:13:27","2020-08-24 16:13:27","","CG852"
"3TEFFGOS","3TEFFGM5","ORT  ","OTPSS","2020-05-27 00:00:00","","","","LIQUSR05","LIQUSR05","2020-08-24 15:04:42","2020-08-24 15:04:42","OFF","CG852"
"3TEFFGOT","3TEFFGM5","ORT  ","OSTPS","2020-05-27 00:00:00","","0","","LIQUSR05","LIQUSR05","2020-08-24 15:04:42","2020-08-24 15:04:42","","CG852"
"3TEFFGQ0","3TEFFGM5","ORT  ","RWBRT","2020-05-27 00:00:00","","0.00314","","LIQUSR05","LIQUSR05","2020-08-24 15:06:44","2020-08-24 15:06:44","","CG852"
"3TEFFGQB","3TEFFGM5","ORT  ","OSTRT","2020-05-27 00:00:00","","0.00375","","LIQUSR05","LIQUSR05","2020-08-24 15:06:44","2020-08-24 15:06:44","","CG852"
"3TEFFH1I","3TEFFGY7","ORT  ","OTPSS","2020-05-27 00:00:00","","","","LIQUSR05","LIQUSR05","2020-08-24 15:13:16","2020-08-24 15:13:16","OFF","CG852"
"3TEFFH1J","3TEFFGY7","ORT  ","OSTPS","2020-05-27 00:00:00","","0","","LIQUSR05","LIQUSR05","2020-08-24 15:13:16","2020-08-24 15:13:16","","CG852"
"3TEFFH2D","3TEFFGY7","ORT  ","RWBRT","2020-05-27 00:00:00","","0.00314","","LIQUSR05","LIQUSR05","2020-08-24 15:14:07","2020-08-24 15:14:07","","CG852"
"3TEFFH2G","3TEFFGY7","ORT  ","OSTRT","2020-05-27 00:00:00","","0.00375","","LIQUSR05","LIQUSR05","2020-08-24 15:14:07","2020-08-24 15:14:07","","CG852"
"3VEID24P","IKEI224J","FAC  ","FMTDT","2021-03-04 00:00:00","2021-03-07 00:00:00","","N","JAQUITAN","JAQUITAN","2020-10-20 16:39:21","2020-10-20 17:32:18","2026-03-05","CG852"
"3VEID29I","X-EI206K","FAC  ","FMTDT","2021-03-04 00:00:00","","","N","JAQUITAN","JAQUITAN","2020-10-20 16:47:52","2020-10-21 17:24:37","2026-03-05","CG852"
"3VEID2C6","I-EI259A","FAC  ","FMTDT","2021-03-08 00:00:00","","","","JAQUITAN","JAQUITAN","2020-10-20 16:52:19","2020-10-20 16:52:19","2021-03-05","CG852"
"3VEID2CB","I-EI259A","FAC  ","FMTDT","2021-03-04 00:00:00","2021-03-07 00:00:00","","","JAQUITAN","JAQUITAN","2020-10-20 16:52:19","2020-10-20 16:52:19","2026-03-05","CG852"
"3VEID2D9","B4EI393N","FAC  ","FMTDT","2021-03-04 00:00:00","","","","JAQUITAN","JAQUITAN","2020-10-20 16:56:10","2020-10-20 16:56:10","2021-03-05","CG852"
"3YEFFEG8","3.EFFDYP","DEA  ","PSPD ","2020-05-27 00:00:00","","","N","JANICEA1","JANICEA1","2020-08-24 15:11:24","2020-08-24 15:11:24","","CG852"
"3YEFFEH3","3.EFFE0Q","FEE  ","FEERT","2020-05-27 00:00:00","","0.03","","JANICEA1","JANICEA1","2020-08-24 15:11:25","2020-08-24 15:11:25","","CG852"
"3YEFFEH5","3.EFFDZL","FAC  ","FMTDT","2020-05-27 00:00:00","","","","JANICEA1","JANICEA1","2020-08-24 15:11:25","2020-08-24 15:11:25","2025-05-27","CG852"
"3YEHZNMU","3.EHZMQT","IBC  ","OSTFX","2021-03-01 00:00:00","","1","","MGRRON01","MGRRON01","2020-10-13 10:45:03","2020-10-13 10:45:03","",""
"4$EIQ9Z2","4$EIQ9YU","FRCVR","FREC ","2021-06-09 00:00:00","","","","INPALN01","INPALN01","2020-10-27 19:43:21","2020-10-27 19:43:21","BG_COL",""
"4*EG5IVH","4*EG5IV9","FRCVR","FREC ","2013-04-10 00:00:00","","","","INPROS01","INPROS01","2020-09-07 18:14:29","2020-09-07 18:14:29","RE_RES",""
"4*EHC3W0","4*EHC3VZ","NCS  ","FRS  ","2021-01-11 00:00:00","","0","","MIGGY_MA","MIGGY_MA","2020-09-30 17:41:21","2020-09-30 17:41:21","",""
"4*EHSCDL","4*EHSCDK","NCS  ","FRS  ","2021-01-28 00:00:00","","0","","MGRAMT01","MGRAMT01","2020-10-09 11:35:25","2020-10-09 11:35:25","",""
"4.EHBR1S","4.EHBQJL","ORT  ","OTPSS","2020-07-09 00:00:00","","","","CMARTILL","CMARTILL","2020-09-30 14:09:45","2020-09-30 14:09:45","OFF","CG852"
"4.EHBR1T","4.EHBQJL","ORT  ","OSTPS","2020-07-09 00:00:00","","0","","CMARTILL","CMARTILL","2020-09-30 14:09:45","2020-09-30 14:09:45","","CG852"
"4.EHBRKH","4.EHBQJL","ORT  ","RWBRT","2020-07-09 00:00:00","","0.02","","CMARTILL","CMARTILL","2020-09-30 14:12:03","2020-09-30 14:12:03","","CG852"
"4.EHBRM9","4.EHBQJL","ORT  ","OSTRT","2020-07-09 00:00:00","","0.02","","CMARTILL","CMARTILL","2020-09-30 14:12:03","2020-09-30 14:12:03","","CG852"
"4.EHBRY4","4.EHBQJL","ORT  ","OTPSS","2020-07-09 00:00:00","","","","CMARTILL","CMARTILL","2020-09-30 14:28:58","2020-09-30 14:28:58","OFF","CG852"
"4.EHBRY5","4.EHBQJL","ORT  ","OSTPS","2020-07-09 00:00:00","","0","","CMARTILL","CMARTILL","2020-09-30 14:28:58","2020-09-30 14:28:58","","CG852"
"40EDZTF8","40EDZTF7","DFR  ","DEAFR","2020-06-02 00:00:00","","1","","INPCHER ","INPCHER ","2020-07-27 18:48:55","2020-07-27 18:48:55","","CG852"
"40EDZTFD","40EDZTFC","DFR  ","DEAFR","2020-06-02 00:00:00","","1","","INPCHER ","INPCHER ","2020-07-27 18:49:23","2020-07-27 18:49:23","","CG852"
"41EHSA18","41EHS9YR","ORT  ","OTPSS","2020-07-10 00:00:00","","","","SMANZANO","SMANZANO","2020-10-09 10:31:14","2020-10-09 10:31:14","OFF","CG852"
"41EHSA19","41EHS9YR","ORT  ","OSTPS","2020-07-10 00:00:00","","0","","SMANZANO","SMANZANO","2020-10-09 10:31:14","2020-10-09 10:31:14","","CG852"
"41EHSA87","41EHS9YR","ORT  ","RWBRT","2020-07-10 00:00:00","","0.02","","SMANZANO","SMANZANO","2020-10-09 10:31:41","2020-10-09 10:31:41","","CG852"
"41EHSA8I","41EHS9YR","ORT  ","OSTRT","2020-07-10 00:00:00","","0.02","","SMANZANO","SMANZANO","2020-10-09 10:31:41","2020-10-09 10:31:41","","CG852"
"41EHSAG2","41EHSACI","ORT  ","OTPSS","2020-07-10 00:00:00","","","","SMANZANO","SMANZANO","2020-10-09 10:37:36","2020-10-09 10:37:36","OFF","CG852"
"41EHSAG3","41EHSACI","ORT  ","OSTPS","2020-07-10 00:00:00","","0","","SMANZANO","SMANZANO","2020-10-09 10:37:36","2020-10-09 10:37:36","","CG852"
"41EHSAHA","41EHSACI","ORT  ","RWBRT","2020-07-10 00:00:00","","0.02","","SMANZANO","SMANZANO","2020-10-09 10:37:43","2020-10-09 10:37:43","","CG852"
"41EHSAHX","41EHSACI","ORT  ","OSTRT","2020-07-10 00:00:00","","0.02","","SMANZANO","SMANZANO","2020-10-09 10:37:43","2020-10-09 10:37:43","","CG852"
"43EHS5Q2","43EHS5MR","ORT  ","OTPSS","2020-07-16 00:00:00","","","","SMANZANO","SMANZANO","2020-10-09 09:28:24","2020-10-09 09:28:24","OFF","CG852"
"43EHS5Q3","43EHS5MR","ORT  ","OSTPS","2020-07-16 00:00:00","","0","","SMANZANO","SMANZANO","2020-10-09 09:28:24","2020-10-09 09:28:24","","CG852"
"43EHS5RH","43EHS5MR","ORT  ","RWBRT","2020-07-16 00:00:00","","0.02","","SMANZANO","SMANZANO","2020-10-09 09:28:39","2020-10-09 09:28:39","","CG852"
"43EHS5RS","43EHS5MR","ORT  ","OSTRT","2020-07-16 00:00:00","","0.02","","SMANZANO","SMANZANO","2020-10-09 09:28:39","2020-10-09 09:28:39","","CG852"
"44EF64HL","44EF64EY","ORT  ","OTPSS","2020-05-27 00:00:00","","","","LIQUSR05","LIQUSR05","2020-08-19 13:17:33","2020-08-19 13:17:33","OFF","CG852"
"44EF64HM","44EF64EY","ORT  ","OSTPS","2020-05-27 00:00:00","","0","","LIQUSR05","LIQUSR05","2020-08-19 13:17:33","2020-08-19 13:17:33","","CG852"
"44EF64I2","44EF64EY","ORT  ","RWBRT","2020-05-27 00:00:00","","0.00371","","LIQUSR05","LIQUSR05","2020-08-19 13:18:39","2020-08-19 13:18:39","","CG852"
"44EF64ID","44EF64EY","ORT  ","OSTRT","2020-05-27 00:00:00","","0.00375","","LIQUSR05","LIQUSR05","2020-08-19 13:18:39","2020-08-19 13:18:39","","CG852"
"44EF64OR","44EF64MQ","ORT  ","OTPSS","2020-06-03 00:00:00","","","","LIQUSR05","LIQUSR05","2020-08-19 13:28:15","2020-08-19 13:28:15","OFF","CG852"
"44EF64OS","44EF64MQ","ORT  ","OSTPS","2020-06-03 00:00:00","","0","","LIQUSR05","LIQUSR05","2020-08-19 13:28:15","2020-08-19 13:28:15","","CG852"
"44EF64QM","44EF64MQ","ORT  ","RWBRT","2020-06-03 00:00:00","","0.00218","","LIQUSR05","LIQUSR05","2020-08-19 13:32:01","2020-08-19 13:32:01","","CG852"
"44EF64QP","44EF64MQ","ORT  ","OSTRT","2020-06-03 00:00:00","","0.0025","","LIQUSR05","LIQUSR05","2020-08-19 13:32:01","2020-08-19 13:32:01","","CG852"
"46EHS7YG","46EHS7YF","NCS  ","FRS  ","2020-07-10 00:00:00","","0","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","",""
"46EHS7YI","4;EHS6TZ","OST  ","OSTFX","2020-07-10 00:00:00","","1","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","","CG852"
"46EHS7YJ","4;EHS6U5","ORT  ","PCTRF","2020-07-10 00:00:00","","1","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","LAST","CG852"
"46EHS7YK","4;EHS6TZ","OST  ","RPRGF","2020-07-10 00:00:00","","","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","1D","CG852"
"46EHS7YL","4;EHS6TZ","OST  ","RDGIF","2020-07-10 00:00:00","","","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","1/8","CG852"
"46EHS7YM","4;EHS6TZ","OST  ","RDGFM","2020-07-10 00:00:00","","","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","NONE","CG852"
"46EHS7YN","4;EHS6TZ","OST  ","RDGDP","2020-07-10 00:00:00","","","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","3","CG852"
"46EHS7YO","4;EHS6TZ","OST  ","RDGDM","2020-07-10 00:00:00","","","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","NONE","CG852"
"46EHS7YP","4;EHS6TZ","OST  ","RDGAM","2020-07-10 00:00:00","","","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","BASEF","CG852"
"46EHS7YQ","4;EHS6U5","ORT  ","ALLIN","2020-07-10 00:00:00","","0.04","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","","CG852"
"46EHS7Z9","4;EHS6TZ","OST  ","OSTPO","2020-07-10 00:00:00","","","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","EURLI","CG852"
"46EHS7ZD","4;EHS6U5","ORT  ","OSTSD","2020-07-10 00:00:00","","0.02","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","","CG852"
"46EHS7ZF","4;EHS6U5","ORT  ","OSTNM","2020-07-10 00:00:00","","","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","NMFCF","CG852"
"46EHS7ZH","4;EHS6U5","ORT  ","OSTNA","2020-07-10 00:00:00","","","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","","CG852"
"46EHS7ZJ","4;EHS6U5","ORT  ","OSTRB","2020-07-10 00:00:00","","","","MANZANOM","MANZANOM","2020-10-09 10:23:12","2020-10-09 10:23:12","G365","CG852"
"47EG5EEV","4DEG5D0E","OST  ","OSTPO","2020-06-03 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","EURLI","CG852"
"47EG5EEZ","47EG5EEY","NCS  ","FRS  ","2020-06-03 00:00:00","","0","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","",""
"47EG5EF1","4DEG5D0E","OST  ","OSTFX","2020-06-03 00:00:00","","1","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","","CG852"
"47EG5EF2","4DEG5D0K","ORT  ","PCTRF","2020-06-03 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","","CG852"
"47EG5EF3","4DEG5D0E","OST  ","RPRGF","2020-06-03 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","1D","CG852"
"47EG5EF4","4DEG5D0E","OST  ","RDGIF","2020-06-03 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","1/8","CG852"
"47EG5EF5","4DEG5D0E","OST  ","RDGFM","2020-06-03 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","NONE","CG852"
"47EG5EF6","4DEG5D0E","OST  ","RDGDP","2020-06-03 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","3","CG852"
"47EG5EF7","4DEG5D0E","OST  ","RDGDM","2020-06-03 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","NONE","CG852"
"47EG5EF8","4DEG5D0E","OST  ","RDGAM","2020-06-03 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","BASEF","CG852"
"47EG5EFW","4DEG5D0K","ORT  ","OSTSD","2020-06-03 00:00:00","","0.04","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","","CG852"
"47EG5EFY","4DEG5D0K","ORT  ","OSTNM","2020-06-03 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","NMFCF","CG852"
"47EG5EG0","4DEG5D0K","ORT  ","OSTNA","2020-06-03 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","","CG852"
"47EG5EG2","4DEG5D0K","ORT  ","OSTRB","2020-06-03 00:00:00","","","","JANICEA1","JANICEA1","2020-09-07 17:00:13","2020-09-07 17:00:13","G365","CG852"
"4:EIQ9VB","4:EIQ9VA","NCS  ","FRS  ","2021-06-09 00:00:00","","0","","MGRAMT01","MGRAMT01","2020-10-27 20:33:34","2020-10-27 20:33:34","",""
"4;EHS6SU","4;EHS6Q5","ORT  ","OTPSS","2020-07-10 00:00:00","","","","SMANZANO","SMANZANO","2020-10-09 10:15:23","2020-10-09 10:15:23","OFF","CG852"
"4;EHS6SV","4;EHS6Q5","ORT  ","OSTPS","2020-07-10 00:00:00","","0","","SMANZANO","SMANZANO","2020-10-09 10:15:23","2020-10-09 10:15:23","","CG852"
"4;EHS6TB","4;EHS6Q5","ORT  ","RWBRT","2020-07-10 00:00:00","","0.02","","SMANZANO","SMANZANO","2020-10-09 10:15:28","2020-10-09 10:15:28","","CG852"
"4;EHS6TM","4;EHS6Q5","ORT  ","OSTRT","2020-07-10 00:00:00","","0.02","","SMANZANO","SMANZANO","2020-10-09 10:15:28","2020-10-09 10:15:28","","CG852"
"4;EHS6WG","4;EHS6U5","ORT  ","OTPSS","2020-07-10 00:00:00","","","","SMANZANO","SMANZANO","2020-10-09 10:17:32","2020-10-09 10:17:32","OFF","CG852"
"4;EHS6WH","4;EHS6U5","ORT  ","OSTPS","2020-07-10 00:00:00","","0","","SMANZANO","SMANZANO","2020-10-09 10:17:32","2020-10-09 10:17:32","","CG852"
"4;EHS6WX","4;EHS6U5","ORT  ","RWBRT","2020-07-10 00:00:00","","0.02","","SMANZANO","SMANZANO","2020-10-09 10:17:36","2020-10-09 10:17:36","","CG852"
"4;EHS6X8","4;EHS6U5","ORT  ","OSTRT","2020-07-10 00:00:00","","0.02","","SMANZANO","SMANZANO","2020-10-09 10:17:36","2020-10-09 10:17:36","","CG852"
"4DEG5D26","4DEG5D0K","ORT  ","OTPSS","2020-06-03 00:00:00","","","","JAQUITAN","JAQUITAN","2020-09-07 16:39:27","2020-09-07 16:39:27","OFF","CG852"
"4DEG5D27","4DEG5D0K","ORT  ","OSTPS","2020-06-03 00:00:00","","0","","JAQUITAN","JAQUITAN","2020-09-07 16:39:27","2020-09-07 16:39:27","","CG852"
