"IRI_RID_IMT_RI_MSG","IRI_CDE_MSG_TYPE","IRI_RID_REM_INSTR","IRI_TSP_REC_CREATE","IRI_TSP_REC_UPDATE","IRI_UID_REC_CREATE","IRI_UID_REC_UPDATE","IRI_CDE_INST_CODE","IRI_TXT_REG_REF","IRI_IND_USE_SRCOR","IRI_CDE_DTLS_CHGES","IRI_TXT_ADD_INFO","IRI_CDE_BNK_OP","IRI_TXT_ADD_PARTY","IRI_TXT_PAYMT_DTLS","IRI_TXT_SDR_RVR_TX","IRI_DSC_NARRATIVE","IRI_CDE_BRANCH"
"-#EGLXNM","MT202","-#EGLXB8","2020-09-16 14:53:23","2020-09-16 14:53:23","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGLXXO","MT103","-#EGLXXE","2020-09-16 14:54:44","2020-09-16 14:54:44","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGLY9S","MT202","-#EGLXXE","2020-09-16 14:55:31","2020-09-16 14:55:31","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGLYJR","MT103","-#EGLYJH","2020-09-16 14:56:50","2020-09-16 14:56:50","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGLYVV","MT202","-#EGLYJH","2020-09-16 14:57:27","2020-09-16 14:57:27","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGLZ5U","MT103","-#EGLZ5K","2020-09-16 14:59:49","2020-09-16 14:59:49","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGLZHY","MT202","-#EGLZ5K","2020-09-16 15:00:36","2020-09-16 15:00:36","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGLZRW","MT103","-#EGLZRM","2020-09-16 15:03:15","2020-09-16 15:03:15","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGM040","MT202","-#EGLZRM","2020-09-16 15:03:55","2020-09-16 15:03:55","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGM0DZ","MT103","-#EGM0DP","2020-09-16 15:06:02","2020-09-16 15:06:02","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGM0Q3","MT202","-#EGM0DP","2020-09-16 15:07:26","2020-09-16 15:07:26","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGM102","MT103","-#EGM0ZS","2020-09-16 15:12:26","2020-09-16 15:12:26","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGM1C6","MT202","-#EGM0ZS","2020-09-16 15:12:56","2020-09-16 15:12:56","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGM1M5","MT103","-#EGM1LV","2020-09-16 15:14:41","2020-09-16 15:14:41","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGM1Y9","MT202","-#EGM1LV","2020-09-16 15:15:20","2020-09-16 15:15:20","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGM288","MT103","-#EGM27Y","2020-09-16 15:18:28","2020-09-16 15:18:28","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGM2KC","MT202","-#EGM27Y","2020-09-16 15:19:01","2020-09-16 15:19:01","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGM2UB","MT103","-#EGM2U1","2020-09-16 15:20:01","2020-09-16 15:20:01","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGM36F","MT202","-#EGM2U1","2020-09-16 15:20:36","2020-09-16 15:20:36","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGM3I7","MT103","-#EGM3HX","2020-09-16 15:22:30","2020-09-16 15:22:30","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGM3UB","MT202","-#EGM3HX","2020-09-16 15:23:04","2020-09-16 15:23:04","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"B3EGLYUV","MT103","B3EGLYTT","2020-09-16 16:00:37","2020-09-16 16:00:37","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"-BEGLYUT","MT103","-BEGLYTU","2020-09-16 16:00:38","2020-09-16 16:00:38","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"-BEGLZ2K","MT210","-BEGLYTU","2020-09-16 16:01:38","2020-09-16 16:01:43","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"B3EGLZ2M","MT210","B3EGLYTT","2020-09-16 16:01:45","2020-09-16 16:01:45","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","","","","","",""
"-BEGLZ8U","MT103","-BEGLZ8K","2020-09-16 16:03:26","2020-09-16 16:03:26","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"-BEGLZGL","MT210","-BEGLZ8K","2020-09-16 16:03:39","2020-09-16 16:03:39","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"-BEGLZKE","MT103","-BEGLZK4","2020-09-16 16:04:51","2020-09-16 16:04:51","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"-BEGLZS5","MT210","-BEGLZK4","2020-09-16 16:04:59","2020-09-16 16:04:59","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"#XED9F3J","MT103","#XED9F39","2020-07-13 13:28:51","2020-07-13 13:28:51","JOBINP  ","JOBINP  ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"#XED9FBN","MT103","#XED9FBD","2020-07-13 13:29:53","2020-07-13 13:29:53","JOBINP  ","JOBINP  ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"BXEDBEIJ","MT202","BDEDBA40","2020-07-14 14:00:29","2020-07-14 14:00:29","DANUSR01","DANUSR01","     ","                                   ","Y","","","","","","","",""
"BXEDBEXD","MT103","BDEDBA40","2020-07-14 14:01:03","2020-07-14 14:01:03","DANUSR01","DANUSR01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
":UEDDB2J","MT103",":UEDDB29","2020-07-15 16:00:17","2020-07-15 16:00:17","JOBINP  ","JOBINP  ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
":UEDDBAN","MT103",":UEDDBAD","2020-07-15 16:01:10","2020-07-15 16:01:10","JOBINP  ","JOBINP  ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"SIEESUUW","MT103","SIEESUUM","2020-08-12 10:58:34","2020-08-12 10:58:34","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"SIEESV2M","MT202","SIEESUUM","2020-08-12 10:58:48","2020-08-12 10:58:48","CMARTILL","CMARTILL","     ","                                   ","Y","","","","","","","",""
"SIEESV9P","MT210","SIEESUUM","2020-08-12 10:59:04","2020-08-24 11:31:15","CMARTILL","RPTSUP01","     ","                                   ","Y","BEN  ","","","","","","",""
"ZXEF810O","MT202","ZXEF80SO","2020-08-20 15:38:08","2020-08-20 15:38:08","JAQUITAN","JAQUITAN","     ","                                   ","Y","","","","","","","",""
"1$EFJ0ZG","MT103","1$EFJ0Z6","2020-08-26 14:14:02","2020-08-26 14:14:02","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"HIEFIW3Z","MT103","HIEFIW3P","2020-08-26 12:07:51","2020-08-26 12:07:51","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"1$EFJ0JB","MT103","1$EFJ0J1","2020-08-26 14:11:50","2020-08-26 14:11:50","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"1DEFIYAR","MT103","1DEFIYAH","2020-08-26 14:18:20","2020-08-26 14:18:20","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"1DEFIYO8","MT103","1DEFIYNY","2020-08-26 14:19:41","2020-08-26 14:19:41","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"=UEFJ4XZ","MT103","=UEFJ4XP","2020-08-26 15:37:07","2020-08-26 15:37:07","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"=UEFJ5E4","MT103","=UEFJ5DU","2020-08-26 15:39:20","2020-08-26 15:39:20","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"$#EFJ9QC","MT103","$#EFJ9PQ","2020-08-26 18:27:21","2020-08-26 18:27:21","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"$#EFJA6H","MT103","$#EFJA67","2020-08-26 18:29:43","2020-08-26 18:29:43","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"XZEFL4X4","MT103","XZEFL4WU","2020-08-27 18:25:16","2020-08-27 18:25:16","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"-KEFN0B9","MT103","-KEFN0AZ","2020-08-28 18:17:33","2020-08-28 18:17:33","INPDEL01","INPDEL01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"#ZEFTYF7","MT103","#ZEFTYBM","2020-09-01 13:02:21","2020-09-01 13:02:21","INPROS01","INPROS01","     ","                                   ","Y","BEN  ","","CRED ","","","John Wick","",""
":;EFW40B","MT210",":;EFW3ZZ","2020-09-02 16:00:23","2020-09-02 16:00:23","LIQAPCP3","LIQAPCP3","     ","                                   ","N","BEN  ","","","","","","",""
":;EFW40E","MT202",":;EFW3ZZ","2020-09-02 16:00:23","2020-09-02 16:00:23","LIQAPCP3","LIQAPCP3","     ","                                   ","N","","","","","","","",""
"-BEGLZVY","MT103","-BEGLZVO","2020-09-16 16:06:02","2020-09-16 16:06:02","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"-BEGM03P","MT210","-BEGLZVO","2020-09-16 16:06:14","2020-09-16 16:06:14","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"-BEGM07I","MT103","-BEGM078","2020-09-16 16:07:57","2020-09-16 16:07:57","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"-BEGM0F9","MT210","-BEGM078","2020-09-16 16:08:37","2020-09-16 16:08:37","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"-BEGM0J2","MT103","-BEGM0IS","2020-09-16 16:13:01","2020-09-16 16:13:01","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"-BEGM0QT","MT210","-BEGM0IS","2020-09-16 16:13:08","2020-09-16 16:13:08","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"-BEGM0UM","MT103","-BEGM0UC","2020-09-16 16:14:05","2020-09-16 16:14:05","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"-BEGM12D","MT210","-BEGM0UC","2020-09-16 16:14:23","2020-09-16 16:14:23","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"B+EGMANR","MT103","B+EGMANH","2020-09-16 20:13:57","2020-09-16 20:13:57","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"B+EGMAVI","MT210","B+EGMANH","2020-09-16 20:14:08","2020-09-16 20:14:08","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"QVEGMCW0","MT103","QVEGMCVQ","2020-09-16 20:23:32","2020-09-16 20:23:32","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"QVEGMD8P","MT210","QVEGMCVQ","2020-09-16 20:24:24","2020-09-16 20:24:24","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","","","","","",""
"QVEGMDCI","MT103","QVEGMDC8","2020-09-16 20:28:00","2020-09-16 20:28:00","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"QVEGMDK9","MT210","QVEGMDC8","2020-09-16 20:28:23","2020-09-16 20:28:23","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","","","","","",""
"QVEGMDO3","MT103","QVEGMDNT","2020-09-16 20:34:34","2020-09-16 20:34:34","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"QVEGMDVU","MT210","QVEGMDNT","2020-09-16 20:35:04","2020-09-16 20:35:04","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","","","","","",""
"QVEGMDZN","MT103","QVEGMDZD","2020-09-16 20:37:32","2020-09-16 20:37:32","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"QVEGME7E","MT210","QVEGMDZD","2020-09-16 20:38:10","2020-09-16 20:38:10","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","","","","","",""
"V4EGNCRS","MT103","V4EGNCRI","2020-09-17 09:58:26","2020-09-17 09:58:26","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"V4EGNCZJ","MT210","V4EGNCRI","2020-09-17 09:59:27","2020-09-17 09:59:27","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","","","","","",""
"V4EGND3C","MT103","V4EGND32","2020-09-17 10:00:35","2020-09-17 10:00:35","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"V4EGNDB3","MT210","V4EGND32","2020-09-17 10:00:47","2020-09-17 10:00:47","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","","","","","",""
"L*EGNKWW","MT103","L*EGNKW6","2020-09-17 12:54:33","2020-09-17 12:54:33","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"L*EGNL4N","MT210","L*EGNKW6","2020-09-17 12:54:48","2020-09-17 12:54:48","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"L*EGNL8G","MT103","L*EGNL86","2020-09-17 12:55:38","2020-09-17 12:55:38","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"L*EGNLG7","MT210","L*EGNL86","2020-09-17 12:55:50","2020-09-17 12:55:50","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"*FEGNVOJ","MT103","*FEGNU2H","2020-09-17 16:48:25","2020-09-17 16:48:25","LIQUSR03","LIQUSR03","     ","                                   ","N","BEN  ","","SPAY ","","","","",""
"*FEGNW6H","MT202","*FEGNU2H","2020-09-17 16:49:01","2020-09-17 16:49:01","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"*FEGNWMM","MT103","*FEGNWMC","2020-09-17 16:50:54","2020-09-17 16:50:54","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"*FEGNWX2","MT202","*FEGNWMC","2020-09-17 16:51:02","2020-09-17 16:51:02","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"*FEGNX4J","MT103","*FEGNX49","2020-09-17 16:51:51","2020-09-17 16:51:51","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"*FEGNXCA","MT202","*FEGNX49","2020-09-17 16:51:57","2020-09-17 16:51:57","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"*FEGNXJR","MT103","*FEGNXJH","2020-09-17 16:55:03","2020-09-17 16:55:03","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"*FEGNXRI","MT202","*FEGNXJH","2020-09-17 16:55:09","2020-09-17 16:55:09","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"*FEGNXYZ","MT103","*FEGNXYP","2020-09-17 16:55:38","2020-09-17 16:55:38","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"*FEGNY6Q","MT202","*FEGNXYP","2020-09-17 16:55:44","2020-09-17 16:55:44","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"*FEGNYE7","MT103","*FEGNYDX","2020-09-17 16:56:15","2020-09-17 16:56:15","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"*FEGNYLY","MT202","*FEGNYDX","2020-09-17 16:56:20","2020-09-17 16:56:20","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"A7E8Y5BO","MT103","A7E8Y5BE","2020-04-20 09:15:20","2020-04-20 09:15:20","APP1MANS","APP1MANS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"A7E8Y5JS","MT103","A7E8Y5JI","2020-04-20 09:16:43","2020-04-20 09:16:43","APP1MANS","APP1MANS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"AVE8YDVA","MT103","AVE8YDSK","2020-04-20 12:21:40","2020-04-20 12:21:40","FJUSR01 ","FJUSR01 ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"AVE8YE3Y","MT103","AVE8YE3O","2020-04-20 12:24:31","2020-04-20 12:24:31","FJUSR01 ","FJUSR01 ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"!4E8ZGV4","MT103","!4E8ZGUU","2020-04-21 01:33:33","2020-04-21 01:33:33","FJUSR01 ","FJUSR01 ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"!4E8ZH38","MT103","!4E8ZH2Y","2020-04-21 01:35:10","2020-04-21 01:35:10","FJUSR01 ","FJUSR01 ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"6UE5002T","MT103","6UE4ZZWB","2020-02-04 03:59:58","2020-02-04 03:59:58","BRIANMOK","BRIANMOK","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"(KE4Q1C8","MT103","(KE4Q1BY","2020-01-29 05:08:34","2020-01-29 05:08:34","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"(KE4Q1JZ","MT202","(KE4Q1BY","2020-01-29 05:08:47","2020-01-29 05:08:47","WBAYERS ","WBAYERS ","     ","                                   ","Y","","","","","","","",""
"?ZE4CLOM","MT103","?ZE4CLLI","2020-01-22 13:48:37","2020-01-22 13:48:37","RPTINP01","RPTINP01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"?ZE4CLWC","MT202","?ZE4CLLI","2020-01-22 13:48:51","2020-01-22 13:48:51","RPTINP01","RPTINP01","     ","                                   ","Y","","","","","","","",""
"FPE4MS6C","MT103","FPE4MROR","2020-01-27 11:19:04","2020-01-27 11:19:04","MGALING ","MGALING ","     ","                                   ","Y","BEN  ","","SPRI ","","","","",""
"FPE4MSGU","MT202","FPE4MROR","2020-01-27 11:19:30","2020-01-27 11:19:30","MGALING ","MGALING ","     ","                                   ","Y","","","","","","","",""
"@*DZF8YJ","MT103","@*DZF8KW","2019-10-18 03:33:27","2019-10-18 03:33:27","GIBLINC ","GIBLINC ","     ","                                   ","N","OUR  ","","SPRI ","","","","",""
"@*DZF9B8","MT202","@*DZF8KW","2019-10-18 03:37:56","2019-10-18 03:37:56","GIBLINC ","GIBLINC ","     ","                                   ","N","","","","","","","",""
"6UE500G3","MT202","6UE4ZZWB","2020-02-04 04:01:17","2020-02-04 04:01:17","BRIANMOK","BRIANMOK","     ","                                   ","Y","","","","","","","",""
"6UE5010U","MT103","6UE5010J","2020-02-04 04:08:20","2020-02-04 04:08:20","BRIANMOK","BRIANMOK","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"6UE501KM","MT202","6UE5010J","2020-02-04 04:09:41","2020-02-04 04:09:41","BRIANMOK","BRIANMOK","     ","                                   ","Y","","","","","","","",""
"6UE501UG","MT103","6UE501U6","2020-02-04 04:14:08","2020-02-04 04:14:08","BRIANMOK","BRIANMOK","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"6UE5028Y","MT202","6UE501U6","2020-02-04 04:15:12","2020-02-04 04:15:12","BRIANMOK","BRIANMOK","     ","                                   ","Y","","","","","","","",""
"6UE502IV","MT103","6UE502IL","2020-02-04 04:18:02","2020-02-04 04:18:02","BRIANMOK","BRIANMOK","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"6UE502VL","MT202","6UE502IL","2020-02-04 04:19:44","2020-02-04 04:19:44","BRIANMOK","BRIANMOK","     ","                                   ","Y","","","","","","","",""
"A4E8XPQC","MT103","A4E8XPP4","2020-04-20 03:40:00","2020-04-20 03:40:00","APP1MANS","APP1MANS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"AME8XY20","MT103","AME8XY1Q","2020-04-20 05:46:51","2020-04-20 05:46:51","APP1MANS","APP1MANS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"AME8XYA4","MT103","AME8XY9U","2020-04-20 05:48:19","2020-04-20 05:48:19","APP1MANS","APP1MANS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"A4E8XPYJ","MT103","A4E8XPY9","2020-04-20 03:41:30","2020-04-20 03:41:30","APP1MANS","APP1MANS","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"GEEDOPSV","MT103","GEEDOPSL","2020-07-21 18:49:25","2020-07-21 18:49:25","DJRHINPT","DJRHINPT","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"GEEDOQ0Z","MT103","GEEDOQ0P","2020-07-21 18:50:25","2020-07-21 18:50:25","DJRHINPT","DJRHINPT","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"GZEF48GG","MT103","GZEF48G6","2020-08-18 15:26:43","2020-08-18 15:26:43","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"GZEF48WL","MT103","GZEF48WB","2020-08-18 15:28:30","2020-08-18 15:28:30","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"GZEF49CQ","MT103","GZEF49CG","2020-08-18 15:30:17","2020-08-18 15:30:17","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"GZEF49SV","CV202","GZEF49SL","2020-08-18 15:32:06","2020-08-18 15:32:06","WBAYERS ","WBAYERS ","     ","                                   ","Y","","","","","","","",""
"GZEF4ADS","MT103","GZEF49SL","2020-08-18 15:33:12","2020-08-18 15:33:12","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","SSTD ","/123456 Hello again 201 Sussex St","","","",""
"GZEF4ATX","CV202","GZEF4ATN","2020-08-18 15:34:39","2020-08-18 15:34:39","WBAYERS ","WBAYERS ","     ","                                   ","Y","","","","","","","",""
"GZEF4BBY","MT103","GZEF4ATN","2020-08-18 15:35:02","2020-08-18 15:35:02","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","SSTD ","","","","",""
"V+EF4APS","MT103","V+EF4API","2020-08-18 16:16:53","2020-08-18 16:16:53","ALNINP01","ALNINP01","     ","                                   ","Y","BEN  ","","SSTD ","","","","",""
"9:EF86H4","MT103","9:EF86GU","2020-08-20 17:37:34","2020-08-20 17:37:34","ALNINP01","ALNINP01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"EZEF8E4B","MT103","EZEF8E41","2020-08-20 20:11:33","2020-08-20 20:11:33","INPRON01","INPRON01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"EJEF8G2T","MT103","EJEF8G2J","2020-08-20 21:22:26","2020-08-20 21:22:26","INPRON01","INPRON01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"EJEF8GGA","MT103","EJEF8GG0","2020-08-20 21:23:36","2020-08-20 21:23:36","INPRON01","INPRON01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"YEEFEY8Q","MT103","YEEFEY8G","2020-08-24 09:26:02","2020-08-24 09:26:02","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"YCEFF0MF","MT210","YCEFF0KT","2020-08-24 10:04:04","2020-08-24 10:04:04","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","","","","","",""
"YREFF1ET","MT210","ZXEF80SO","2020-08-24 10:07:26","2020-08-24 14:20:19","JANICEA2","JANICEA2","     ","                                   ","Y","BEN  ","","","","","","",""
"Y3EFEZRB","MT103","Y3EFEZR1","2020-08-24 10:26:24","2020-08-24 10:26:24","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y3EFF07G","MT103","Y3EFF076","2020-08-24 10:28:55","2020-08-24 10:28:55","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y@EFF0M3","MT202","Y@EFF0LT","2020-08-24 10:33:04","2020-08-24 10:33:04","CMARTILL","CMARTILL","     ","                                   ","Y","","","","","","","",""
"Y@EFF0VX","MT210","Y@EFF0VN","2020-08-24 11:01:52","2020-08-24 11:01:52","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"JLEFFBJP","MT202","JLEFFBJG","2020-08-24 13:49:03","2020-08-24 13:49:03","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"3PEFFEC2","MT210","3PEFFEB7","2020-08-24 15:25:55","2020-08-24 15:25:55","LIQUSR03","LIQUSR03","     ","                                   ","N","BEN  ","","","","","","",""
"3PEFFEC6","MT210","3PEFFEB7","2020-08-24 15:25:55","2020-08-24 15:25:55","LIQUSR03","LIQUSR03","     ","                                   ","N","BEN  ","","","","","","",""
"3PEFFEBK","MT202","3PEFFEB7","2020-08-24 15:25:55","2020-08-24 15:25:55","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"3PEFFEBR","MT202","3PEFFEB7","2020-08-24 15:25:55","2020-08-24 15:25:55","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"3PEFFER0","MT103","3PEFFEH7","2020-08-24 15:35:12","2020-08-24 15:35:12","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"3REFFFWQ","MT103","JLEFFBJG","2020-08-24 15:37:24","2020-08-24 15:37:24","FI717102","FI717102","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"3*EFFGEQ","MT210","3*EFFGD9","2020-08-24 16:59:07","2020-08-24 16:59:07","RPTMGR01","RPTMGR01","     ","                                   ","Y","BEN  ","","","","","","",""
"3*EFFGEV","MT210","3*EFFGD9","2020-08-24 16:59:07","2020-08-24 16:59:07","RPTMGR01","RPTMGR01","     ","                                   ","Y","BEN  ","","","","","","",""
"3*EFFGDM","MT103","3*EFFGD9","2020-08-24 16:59:07","2020-08-24 16:59:07","RPTMGR01","RPTMGR01","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"3*EFFGDV","MT103","3*EFFGD9","2020-08-24 16:59:07","2020-08-24 16:59:07","RPTMGR01","RPTMGR01","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"3*EFFGE8","MT202","3*EFFGD9","2020-08-24 16:59:07","2020-08-24 16:59:07","RPTMGR01","RPTMGR01","     ","                                   ","Y","","","","","","","",""
"3*EFFGEF","MT202","3*EFFGD9","2020-08-24 16:59:07","2020-08-24 16:59:07","RPTMGR01","RPTMGR01","     ","                                   ","Y","","","","","","","",""
