"LGE_RID_EVENT","LGE_CHR_USER_ID","LGE_CHR_LOGIN_ID","LGE_CHR_NODE","LGE_CDE_EVENT","LGE_TXT_COMMENT","LGE_TSP_REC_CREATE","LGE_TSP_REC_UPDATE","LGE_UID_REC_CREATE","LGE_UID_REC_UPDATE"
"$AEGIPNN","DANUSR01","DANUSR01                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 05:42:59","2020-09-15 05:42:59","LS2LOCK ","LS2LOCK "
"$KEGIQFZ","JOBMANGR","JOBMANGR                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 05:59:59","2020-09-15 05:59:59","LS2LOCK ","LS2LOCK "
"$UEGIQIE","DANUSR01","DANUSR01                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 06:01:26","2020-09-15 06:01:26","LS2LOCK ","LS2LOCK "
"$FEGIRK5","JOBSUPER","JOBSUPER                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 06:24:05","2020-09-15 06:24:05","LS2LOCK ","LS2LOCK "
"$ZEGIRQ8","DANUSR01","DANUSR01                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 06:27:44","2020-09-15 06:27:44","LS2LOCK ","LS2LOCK "
"$9EGIRSA","JOBSUPER","JOBSUPER                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 06:28:58","2020-09-15 06:28:58","LS2LOCK ","LS2LOCK "
"$)EGIRX9","DANUSR01","DANUSR01                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 06:31:57","2020-09-15 06:31:57","LS2LOCK ","LS2LOCK "
"$EEGIS1I","JOBMANGR","JOBMANGR                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 06:34:30","2020-09-15 06:34:30","LS2LOCK ","LS2LOCK "
"$.EGIS5L","DANUSR01","DANUSR01                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 06:36:57","2020-09-15 06:36:57","LS2LOCK ","LS2LOCK "
"$TEGIS72","DANUSR01","DANUSR01                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 06:37:50","2020-09-15 06:37:50","LS2LOCK ","LS2LOCK "
"$8EGISMA","JOBSUPER","JOBSUPER                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 06:46:58","2020-09-15 06:46:58","LS2LOCK ","LS2LOCK "
"$OEGISOV","DANUSR01","DANUSR01                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 06:48:31","2020-09-15 06:48:31","LS2LOCK ","LS2LOCK "
"$YEGISRM","JOBMANGR","JOBMANGR                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 06:50:10","2020-09-15 06:50:10","LS2LOCK ","LS2LOCK "
"$JEGIT5E","DANUSR01","DANUSR01                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 06:58:26","2020-09-15 06:58:26","LS2LOCK ","LS2LOCK "
"$3EGITGV","JOBSUPER","JOBSUPER                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 07:05:19","2020-09-15 07:05:19","LS2LOCK ","LS2LOCK "
"$(EGITJD","DANUSR01","DANUSR01                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 07:06:49","2020-09-15 07:06:49","LS2LOCK ","LS2LOCK "
"$@EGITM5","JOBMANGR","JOBMANGR                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 07:08:29","2020-09-15 07:08:29","LS2LOCK ","LS2LOCK "
"$CEGITZZ","DANUSR01","DANUSR01                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 07:16:47","2020-09-15 07:16:47","LS2LOCK ","LS2LOCK "
"$;EGIUAK","JOBMANGR","JOBMANGR                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 07:23:08","2020-09-15 07:23:08","LS2LOCK ","LS2LOCK "
"$REGIUID","DANUSR01","DANUSR01                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 07:27:49","2020-09-15 07:27:49","LS2LOCK ","LS2LOCK "
"$HEGIVPC","INPDEL01","INPDEL01                                                        ","00000A75203C","FLGWP","InvalidPassword","2020-09-15 07:53:35","2020-09-15 07:53:35","LS2LOCK ","LS2LOCK "
"$1EGIVPH","INPDEL01","INPDEL01                                                        ","00000A75203C","SLGIN","SuccessfulLogin","2020-09-15 07:53:41","2020-09-15 07:53:41","LS2LOCK ","LS2LOCK "
"$=EGIW2K","INPDEL01","INPDEL01                                                        ","00000A75203C","SLGIN","SuccessfulLogin","2020-09-15 08:01:32","2020-09-15 08:01:32","LS2LOCK ","LS2LOCK "
"$$EGIWI1","SUPDEL01","SUPDEL01                                                        ","00000A75203C","SLGIN","SuccessfulLogin","2020-09-15 08:10:49","2020-09-15 08:10:49","LS2LOCK ","LS2LOCK "
"$DEGIWOO","INPDEL01","INPDEL01                                                        ","00000A75203C","SLGIN","SuccessfulLogin","2020-09-15 08:14:48","2020-09-15 08:14:48","LS2LOCK ","LS2LOCK "
"$?EGIX0U","DANUSR01","DANUSR01                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 08:22:06","2020-09-15 08:22:06","LS2LOCK ","LS2LOCK "
"$7EGIXIW","JOBSUPER","JOBSUPER                                                        ","00000A752018","SLGIN","SuccessfulLogin","2020-09-15 08:32:56","2020-09-15 08:32:56","LS2LOCK ","LS2LOCK "
"DHEGIYG0","INPDEL01","INPDEL01                                                        ","00000A75203C","SLGIN","SuccessfulLogin","2020-09-15 08:52:48","2020-09-15 08:52:48","LS2LOCK ","LS2LOCK "
"?0EFK8K7","JANICEA2","JANICEA2                                                        ","00000AF2181D","SLGIN","SuccessfulLogin","2020-08-27 14:55:19","2020-08-27 14:55:19","LS2LOCK ","LS2LOCK "
"?*EFK8PC","INPROS01","INPROS01                                                        ","00000A75203E","SLGIN","SuccessfulLogin","2020-08-27 14:58:24","2020-08-27 14:58:24","LS2LOCK ","LS2LOCK "
"SAEFK8TD","DJRHINPT","DJRHINPT                                                        ","00000A7520D3","SLGIN","SuccessfulLogin","2020-08-27 15:00:49","2020-08-27 15:00:49","LS2LOCK ","LS2LOCK "
"S!EFK9CG","SMANZANO","SMANZANO                                                        ","00000AF2181D","SLGIN","SuccessfulLogin","2020-08-27 15:12:16","2020-08-27 15:12:16","LS2LOCK ","LS2LOCK "
"SPEFK9DG","DJRHSUPP","DJRHSUPP                                                        ","00000A7520D3","SLGIN","SuccessfulLogin","2020-08-27 15:12:52","2020-08-27 15:12:52","LS2LOCK ","LS2LOCK "
"S4EFK9I5","DJRHAPRV","DJRHAPRV                                                        ","00000A7520D3","SLGIN","SuccessfulLogin","2020-08-27 15:15:41","2020-08-27 15:15:41","LS2LOCK ","LS2LOCK "
"SKEFK9OL","CMARTILL","CMARTILL                                                        ","00000AF21966","SLGIN","SuccessfulLogin","2020-08-27 15:19:33","2020-08-27 15:19:33","LS2LOCK ","LS2LOCK "
"SGEFKA6T","INPDEL01","INPDEL01                                                        ","00000A7520BB","SLGIN","SuccessfulLogin","2020-08-27 15:30:29","2020-08-27 15:30:29","LS2LOCK ","LS2LOCK "
"S+EFKA70","SMANZANO","SMANZANO                                                        ","00000AF2181D","SLGIN","SuccessfulLogin","2020-08-27 15:30:36","2020-08-27 15:30:36","LS2LOCK ","LS2LOCK "
"S*EFKADO","INPCHER ","INPCHER                                                         ","00000A75213F","SLGIN","SuccessfulLogin","2020-08-27 15:34:36","2020-08-27 15:34:36","LS2LOCK ","LS2LOCK "
"7TEFKB4I","CMARTILL","CMARTILL                                                        ","00000AF21966","SLGIN","SuccessfulLogin","2020-08-27 15:50:42","2020-08-27 15:50:42","LS2LOCK ","LS2LOCK "
"78EFKBAV","JAQUITAN","JAQUITAN                                                        ","00000A752057","SLGIN","SuccessfulLogin","2020-08-27 15:54:31","2020-08-27 15:54:31","LS2LOCK ","LS2LOCK "
"7OEFKBF1","MANZANOS","MANZANOS                                                        ","00000AF2181D","SLGIN","SuccessfulLogin","2020-08-27 15:57:01","2020-08-27 15:57:01","LS2LOCK ","LS2LOCK "
"7YEFKBNW","LIQAPCP3","LIQAPCP3                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-27 16:02:20","2020-08-27 16:02:20","LS2LOCK ","LS2LOCK "
"76EFKCFZ","LIQUSR03","LIQUSR03                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-27 16:19:11","2020-08-27 16:19:11","LS2LOCK ","LS2LOCK "
"7WEFKCHS","JANICEA1","JANICEA1                                                        ","00000A752057","SLGIN","SuccessfulLogin","2020-08-27 16:20:16","2020-08-27 16:20:16","LS2LOCK ","LS2LOCK "
"7XEFKDM4","INPCHO01","INPCHO01                                                        ","00000A7520E3","SLGIN","SuccessfulLogin","2020-08-27 16:44:28","2020-08-27 16:44:28","LS2LOCK ","LS2LOCK "
"XZEFKHXR","INPAMT01","INPAMT01                                                        ","00000A7520B3","SLGIN","SuccessfulLogin","2020-08-27 18:17:51","2020-08-27 18:17:51","LS2LOCK ","LS2LOCK "
"X9EFKHYF","INPCHER ","INPCHER                                                         ","00000A75213F","SLGIN","SuccessfulLogin","2020-08-27 18:18:15","2020-08-27 18:18:15","LS2LOCK ","LS2LOCK "
"X)EFKI26","FJSUP01 ","FJSUP01                                                         ","00000A75205E","SLGIN","SuccessfulLogin","2020-08-27 18:20:30","2020-08-27 18:20:30","LS2LOCK ","LS2LOCK "
"X.EFKICD","SUPAMT01","SUPAMT01                                                        ","00000A7520B3","SLGIN","SuccessfulLogin","2020-08-27 18:26:37","2020-08-27 18:26:37","LS2LOCK ","LS2LOCK "
"XTEFKICT","INPROS01","INPROS01                                                        ","00000A75203E","SLGIN","SuccessfulLogin","2020-08-27 18:26:53","2020-08-27 18:26:53","LS2LOCK ","LS2LOCK "
"XCEFKJAM","DJRHINPT","DJRHINPT                                                        ","00000A7520D3","SLGIN","SuccessfulLogin","2020-08-27 18:47:10","2020-08-27 18:47:10","LS2LOCK ","LS2LOCK "
"X;EFKJAR","MANZANOS","MANZANOS                                                        ","00000AF2181D","SLGIN","SuccessfulLogin","2020-08-27 18:47:15","2020-08-27 18:47:15","LS2LOCK ","LS2LOCK "
"XREFKJM3","MANZANOM","MANZANOM                                                        ","00000AF2181D","SLGIN","SuccessfulLogin","2020-08-27 18:54:03","2020-08-27 18:54:03","LS2LOCK ","LS2LOCK "
"X6EFKKBI","MANZANOS","MANZANOS                                                        ","00000AF2181D","SLGIN","SuccessfulLogin","2020-08-27 19:09:18","2020-08-27 19:09:18","LS2LOCK ","LS2LOCK "
"XMEFKKX0","SMANZANO","SMANZANO                                                        ","00000AF2181D","SLGIN","SuccessfulLogin","2020-08-27 19:22:12","2020-08-27 19:22:12","LS2LOCK ","LS2LOCK "
"XWEFKLBH","MANZANOS","MANZANOS                                                        ","00000AF2181D","SLGIN","SuccessfulLogin","2020-08-27 19:30:53","2020-08-27 19:30:53","LS2LOCK ","LS2LOCK "
"X=EFKLTM","SMANZANO","SMANZANO                                                        ","00000AF2181D","SLGIN","SuccessfulLogin","2020-08-27 19:41:46","2020-08-27 19:41:46","LS2LOCK ","LS2LOCK "
"X$EFKMMG","MANZANOS","MANZANOS                                                        ","00000AF2181D","SLGIN","SuccessfulLogin","2020-08-27 19:59:04","2020-08-27 19:59:04","LS2LOCK ","LS2LOCK "
"XDEFKMYW","MANZANOM","MANZANOM                                                        ","00000AF2181D","SLGIN","SuccessfulLogin","2020-08-27 20:06:32","2020-08-27 20:06:32","LS2LOCK ","LS2LOCK "
"XIEFKOTE","ALNSUP01","ALNSUP01                                                        ","00000A75213B","SLGIN","SuccessfulLogin","2020-08-27 20:46:26","2020-08-27 20:46:26","LS2LOCK ","LS2LOCK "
"IMEFLN64","MGRAMT01","MGRAMT01                                                        ","00000A752045","SLGIN","SuccessfulLogin","2020-08-28 09:08:28","2020-08-28 09:08:28","LS2LOCK ","LS2LOCK "
"IWEFLN8X","INPROS01","INPROS01                                                        ","00000A752045","SLGIN","SuccessfulLogin","2020-08-28 09:10:09","2020-08-28 09:10:09","LS2LOCK ","LS2LOCK "
"IDEFLPB0","INPALN01","INPALN01                                                        ","00000A75207B","SLGIN","SuccessfulLogin","2020-08-28 09:54:36","2020-08-28 09:54:36","LS2LOCK ","LS2LOCK "
"I?EFLPN5","MGRAMT01","MGRAMT01                                                        ","00000A752045","SLGIN","SuccessfulLogin","2020-08-28 10:01:53","2020-08-28 10:01:53","LS2LOCK ","LS2LOCK "
"IXEFLPQ4","INPROS01","INPROS01                                                        ","00000A752045","SLGIN","SuccessfulLogin","2020-08-28 10:03:40","2020-08-28 10:03:40","LS2LOCK ","LS2LOCK "
"I-EFLRJM","JAQUITAN","JAQUITAN                                                        ","00000A752035","SLGIN","SuccessfulLogin","2020-08-28 10:42:58","2020-08-28 10:42:58","LS2LOCK ","LS2LOCK "
"ILEFLSEY","DANUSR01","DANUSR01                                                        ","00000A75202F","SLGIN","SuccessfulLogin","2020-08-28 11:01:46","2020-08-28 11:01:46","LS2LOCK ","LS2LOCK "
"I+EFLSTO","INPAMT01","INPAMT01                                                        ","00000A7520A4","SLGIN","SuccessfulLogin","2020-08-28 11:10:36","2020-08-28 11:10:36","LS2LOCK ","LS2LOCK "
"I*EFLSYQ","JANICEA1","JANICEA1                                                        ","00000A752035","SLGIN","SuccessfulLogin","2020-08-28 11:13:38","2020-08-28 11:13:38","LS2LOCK ","LS2LOCK "
"2EEFLU79","JANICEA1","JANICEA1                                                        ","00000A752035","SLGIN","SuccessfulLogin","2020-08-28 11:40:21","2020-08-28 11:40:21","LS2LOCK ","LS2LOCK "
"28EFLUAN","JANICEA1","JANICEA1                                                        ","00000A752035","SLGIN","SuccessfulLogin","2020-08-28 11:42:23","2020-08-28 11:42:23","LS2LOCK ","LS2LOCK "
"2JEFLVBH","MGRALN01","MGRALN01                                                        ","00000A75207B","SLGIN","SuccessfulLogin","2020-08-28 12:04:29","2020-08-28 12:04:29","LS2LOCK ","LS2LOCK "
"2(EFLVFI","JAQUITAN","JAQUITAN                                                        ","00000A752035","SLGIN","SuccessfulLogin","2020-08-28 12:06:54","2020-08-28 12:06:54","LS2LOCK ","LS2LOCK "
"2@EFLVGE","JANICEA1","JANICEA1                                                        ","00000A752035","SLGIN","SuccessfulLogin","2020-08-28 12:07:26","2020-08-28 12:07:26","LS2LOCK ","LS2LOCK "
"93EHCP00","SUPAMT01","SUPAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:16:48","2020-10-01 10:16:48","LS2LOCK ","LS2LOCK "
"9(EHCP0M","JANICEA2","JANICEA2                                                        ","00000A75206E","SLGIN","SuccessfulLogin","2020-10-01 10:17:10","2020-10-01 10:17:10","LS2LOCK ","LS2LOCK "
"9@EHCP0S","MGRAMT01","MGRAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:17:16","2020-10-01 10:17:16","LS2LOCK ","LS2LOCK "
"9CEHCP1D","CFRANCIS","CFRANCIS                                                        ","00000A75206A","FLGWP","InvalidPassword","2020-10-01 10:17:37","2020-10-01 10:17:37","LS2LOCK ","LS2LOCK "
"9;EHCP1I","CFRANCIS","CFRANCIS                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:17:42","2020-10-01 10:17:42","LS2LOCK ","LS2LOCK "
"9REHCP2F","CFRANCIS","CFRANCIS                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:18:15","2020-10-01 10:18:15","LS2LOCK ","LS2LOCK "
"9HEHCP5V","CFRANCIS","CFRANCIS                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:20:19","2020-10-01 10:20:19","LS2LOCK ","LS2LOCK "
"91EHCP6D","JAVNZN01","JAVNZN01                                                        ","00000A752025","SLGIN","SuccessfulLogin","2020-10-01 10:20:37","2020-10-01 10:20:37","LS2LOCK ","LS2LOCK "
"9=EHCPDY","SAMGR01 ","SAMGR01                                                         ","00000A75201F","SLGIN","SuccessfulLogin","2020-10-01 10:25:10","2020-10-01 10:25:10","LS2LOCK ","LS2LOCK "
"9$EHCPEW","SUPAMT01","SUPAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:25:44","2020-10-01 10:25:44","LS2LOCK ","LS2LOCK "
"9DEHCPH8","MGRAMT01","MGRAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:27:08","2020-10-01 10:27:08","LS2LOCK ","LS2LOCK "
"9?EHCPHJ","CCUISIA ","CCUISIA                                                         ","00000A75201F","SLGIN","SuccessfulLogin","2020-10-01 10:27:19","2020-10-01 10:27:19","LS2LOCK ","LS2LOCK "
"9SEHCPSF","LIQSVR05","LIQSVR05                                                        ","00000A75203A","SLGIN","SuccessfulLogin","2020-10-01 10:33:51","2020-10-01 10:33:51","LS2LOCK ","LS2LOCK "
"97EHCPTC","        ","CMARTILL                                                        ","00000AF2181E","UNKEV","EventUnknown","2020-10-01 10:34:23","2020-10-01 10:34:23","LS2LOCK ","LS2LOCK "
"9NEHCPUT","        ","CMARTILL                                                        ","00000AF2181E","UNKEV","EventUnknown","2020-10-01 10:35:17","2020-10-01 10:35:17","LS2LOCK ","LS2LOCK "
"9XEHCPV7","        ","CMARTILL                                                        ","00000AF2181E","UNKEV","EventUnknown","2020-10-01 10:35:31","2020-10-01 10:35:31","LS2LOCK ","LS2LOCK "
"92EHCPV9","CMARTILL","CMARTILL                                                        ","00000AF2181E","SLGIN","SuccessfulLogin","2020-10-01 10:35:33","2020-10-01 10:35:33","LS2LOCK ","LS2LOCK "
"9-EHCQ27","SUPAMT01","SUPAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:39:43","2020-10-01 10:39:43","LS2LOCK ","LS2LOCK "
"9#EHCQ51","MGRAMT01","MGRAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:41:25","2020-10-01 10:41:25","LS2LOCK ","LS2LOCK "
"9BEHCQ7P","CFRANCIS","CFRANCIS                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:43:01","2020-10-01 10:43:01","LS2LOCK ","LS2LOCK "
"9:EHCQAA","CFRANCIS","CFRANCIS                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:44:34","2020-10-01 10:44:34","LS2LOCK ","LS2LOCK "
"9VEHCQDV","CFRANCIS","CFRANCIS                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:46:43","2020-10-01 10:46:43","LS2LOCK ","LS2LOCK "
"9GEHCQNZ","SUPAMT01","SUPAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:52:47","2020-10-01 10:52:47","LS2LOCK ","LS2LOCK "
"90EHCQRD","MGRAMT01","MGRAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 10:54:49","2020-10-01 10:54:49","LS2LOCK ","LS2LOCK "
"9+EHCQT8","SAMGR01 ","SAMGR01                                                         ","00000A75201F","SLGIN","SuccessfulLogin","2020-10-01 10:55:56","2020-10-01 10:55:56","LS2LOCK ","LS2LOCK "
"9*EHCR0U","CFRANCIS","CFRANCIS                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 11:00:30","2020-10-01 11:00:30","LS2LOCK ","LS2LOCK "
")AEHCR5U","JAQUITAN","JAQUITAN                                                        ","00000A75206E","SLGIN","SuccessfulLogin","2020-10-01 11:03:30","2020-10-01 11:03:30","LS2LOCK ","LS2LOCK "
")!EHCRBQ","JANICEA1","JANICEA1                                                        ","00000A75206E","SLGIN","SuccessfulLogin","2020-10-01 11:07:02","2020-10-01 11:07:02","LS2LOCK ","LS2LOCK "
")PEHCRGZ","CCUISIA ","CCUISIA                                                         ","00000A75201F","SLGIN","SuccessfulLogin","2020-10-01 11:10:11","2020-10-01 11:10:11","LS2LOCK ","LS2LOCK "
")4EHCRPU","JAQUITAN","JAQUITAN                                                        ","00000A75206E","SLGIN","SuccessfulLogin","2020-10-01 11:15:30","2020-10-01 11:15:30","LS2LOCK ","LS2LOCK "
").EHCSJC","SUPAMT01","SUPAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 11:33:12","2020-10-01 11:33:12","LS2LOCK ","LS2LOCK "
")TEHCSNF","MGRAMT01","MGRAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 11:35:39","2020-10-01 11:35:39","LS2LOCK ","LS2LOCK "
")8EHCSQ6","CFRANCIS","CFRANCIS                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 11:37:18","2020-10-01 11:37:18","LS2LOCK ","LS2LOCK "
")OEHCSU4","SUPAMT01","SUPAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 11:39:40","2020-10-01 11:39:40","LS2LOCK ","LS2LOCK "
")YEHCSU6","CCUISIA ","CCUISIA                                                         ","00000A75201F","SLGIN","SuccessfulLogin","2020-10-01 11:39:42","2020-10-01 11:39:42","LS2LOCK ","LS2LOCK "
")JEHCSW4","MGRAMT01","MGRAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 11:40:52","2020-10-01 11:40:52","LS2LOCK ","LS2LOCK "
")@EHCT3J","CFRANCIS","CFRANCIS                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 11:45:19","2020-10-01 11:45:19","LS2LOCK ","LS2LOCK "
")6EHCT72","CFRANCIS","CFRANCIS                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 11:47:26","2020-10-01 11:47:26","LS2LOCK ","LS2LOCK "
")HEHCTIB","MGRAMT01","MGRAMT01                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 11:54:11","2020-10-01 11:54:11","LS2LOCK ","LS2LOCK "
")$EHCTRP","CFRANCIS","CFRANCIS                                                        ","00000A75206A","SLGIN","SuccessfulLogin","2020-10-01 11:59:49","2020-10-01 11:59:49","LS2LOCK ","LS2LOCK "
")DEHCU0B","LIQSVR04","LIQSVR04                                                        ","00000A75203A","SLGIN","SuccessfulLogin","2020-10-01 12:04:59","2020-10-01 12:04:59","LS2LOCK ","LS2LOCK "
")?EHCU22","FJUSRAM ","FJUSRAM                                                         ","00000A752025","SLGIN","SuccessfulLogin","2020-10-01 12:06:02","2020-10-01 12:06:02","LS2LOCK ","LS2LOCK "
")SEHCUP2","FJUSRAM ","FJUSRAM                                                         ","00000A752025","SLGIN","SuccessfulLogin","2020-10-01 12:19:50","2020-10-01 12:19:50","LS2LOCK ","LS2LOCK "
")7EHCUX0","SMANZANO","SMANZANO                                                        ","00000A75206F","SLGIN","SuccessfulLogin","2020-10-01 12:24:36","2020-10-01 12:24:36","LS2LOCK ","LS2LOCK "
")NEHCUXU","SAMGR01 ","SAMGR01                                                         ","00000A75201F","SLGIN","SuccessfulLogin","2020-10-01 12:25:06","2020-10-01 12:25:06","LS2LOCK ","LS2LOCK "
")XEHCV1H","INPAMT01","INPAMT01                                                        ","00000A75412D","SLGIN","SuccessfulLogin","2020-10-01 12:27:17","2020-10-01 12:27:17","LS2LOCK ","LS2LOCK "
"YLEFEETB","JANICEA1","JANICEA1                                                        ","00000A752084","SLGIN","SuccessfulLogin","2020-08-24 11:24:47","2020-08-24 11:24:47","LS2LOCK ","LS2LOCK "
"J4EFEFOF","RPTSUP01","RPTSUP01                                                        ","00000AF21820","FLGWP","InvalidPassword","2020-08-24 11:43:26","2020-08-24 11:43:26","LS2LOCK ","LS2LOCK "
"JKEFEFOL","RPTSUP01","RPTSUP01                                                        ","00000AF21820","FLGWP","InvalidPassword","2020-08-24 11:43:33","2020-08-24 11:43:33","LS2LOCK ","LS2LOCK "
"JFEFEFSJ","LIQUSR04","LIQUSR04                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 11:45:55","2020-08-24 11:45:55","LS2LOCK ","LS2LOCK "
"JZEFEG09","LIQUSR02","LIQUSR02                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 11:50:33","2020-08-24 11:50:33","LS2LOCK ","LS2LOCK "
"JDEFEI92","LIQAPCP3","LIQAPCP3                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 12:39:02","2020-08-24 12:39:02","LS2LOCK ","LS2LOCK "
"J?EFEIIV","FI717102","FI717102                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 12:44:55","2020-08-24 12:44:55","LS2LOCK ","LS2LOCK "
"JXEFEJ56","LIQUSR03","LIQUSR03                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 12:58:18","2020-08-24 12:58:18","LS2LOCK ","LS2LOCK "
"JIEFEJ66","LIQUSR03","LIQUSR03                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 12:58:54","2020-08-24 12:58:54","LS2LOCK ","LS2LOCK "
"J2EFEJ6G","LIQUSR02","LIQUSR02                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 12:59:04","2020-08-24 12:59:04","LS2LOCK ","LS2LOCK "
"J-EFEJ8B","LIQUSR03","LIQUSR03                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 13:00:11","2020-08-24 13:00:11","LS2LOCK ","LS2LOCK "
"J#EFEJAZ","LIQAPCP3","LIQAPCP3                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 13:01:47","2020-08-24 13:01:47","LS2LOCK ","LS2LOCK "
"JBEFEJBA","RPTSUP01","RPTSUP01                                                        ","00000AF21820","FLGWP","InvalidPassword","2020-08-24 13:01:57","2020-08-24 13:01:57","LS2LOCK ","LS2LOCK "
"JQEFEJBZ","LIQUSR02","LIQUSR02                                                        ","00000A754164","FLGWP","InvalidPassword","2020-08-24 13:02:22","2020-08-24 13:02:22","LS2LOCK ","LS2LOCK "
"J5EFEJC5","LIQUSR02","LIQUSR02                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 13:02:29","2020-08-24 13:02:29","LS2LOCK ","LS2LOCK "
"JVEFEL8I","JAQUITAN","JAQUITAN                                                        ","00000A752084","SLGIN","SuccessfulLogin","2020-08-24 13:43:30","2020-08-24 13:43:30","LS2LOCK ","LS2LOCK "
"J+EFELC0","LIQUSR05","LIQUSR05                                                        ","00000A15D819","SLGIN","SuccessfulLogin","2020-08-24 13:45:36","2020-08-24 13:45:36","LS2LOCK ","LS2LOCK "
"J*EFELOZ","LIQAPCP3","LIQAPCP3                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 13:53:23","2020-08-24 13:53:23","LS2LOCK ","LS2LOCK "
"3AEFELRG","FI717102","FI717102                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 13:54:52","2020-08-24 13:54:52","LS2LOCK ","LS2LOCK "
"3!EFELRJ","SMANZANO","SMANZANO                                                        ","00000AF21824","SLGIN","SuccessfulLogin","2020-08-24 13:54:55","2020-08-24 13:54:55","LS2LOCK ","LS2LOCK "
"3@EFEQFA","LIQAPCP3","LIQAPCP3                                                        ","00000A754164","SLGIN","SuccessfulLogin","2020-08-24 15:35:34","2020-08-24 15:35:34","LS2LOCK ","LS2LOCK "
"3CEFEQGT","        ","JOBINP01                                                        ","00000AF2189E","FLGIU","InvalidUser","2020-08-24 15:36:28","2020-08-24 15:36:28","LS2LOCK ","LS2LOCK "
"3;EFEQGY","JOBINPUT","JOBINPUT                                                        ","00000AF2189E","FLGWP","InvalidPassword","2020-08-24 15:36:34","2020-08-24 15:36:34","LS2LOCK ","LS2LOCK "
