"APP_RID_ACR_PMT_PT","APP_RID_ACR_CY_PMT","APP_CID_LENDER","APP_RID_LENDER_SG","APP_CDE_PORTFOLIO","APP_CDE_EXPENSE","APP_CDE_BRANCH","APP_AMT_SHARE","APP_AMT_BOOK","APP_UID_REC_CREATE","APP_UID_REC_UPDATE","APP_TSP_REC_CREATE","APP_TSP_REC_UPDATE"
"9GEGPS9X","9GEGPS8Y","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-47.78","-47.78","SMANZANO","SMANZANO","2020-09-18 16:20:05","2020-09-18 16:20:05"
"CBEGWTJ2","CBEGWTIM","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-256.6","-256.6","MANZANOS","MANZANOS","2020-09-22 12:37:08","2020-09-22 12:37:08"
"LFEH9Q56","LFEH9Q3Y","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","10000","10000","SMANZANO","SMANZANO","2020-09-28 17:39:06","2020-09-28 17:39:06"
"+.EHBL7L","+.EHBL7G","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","2.08","2.08","LIQUSR05","LIQUSR05","2020-09-30 10:02:20","2020-09-30 10:02:20"
"9OEHDKOG","9OEHDKOB","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1.69","1.69","LIQUSR05","LIQUSR05","2020-10-01 10:53:07","2020-10-01 10:53:07"
"9OEHDKBL","9OEHDKBG","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1","1","LIQUSR05","LIQUSR05","2020-10-01 10:32:49","2020-10-01 10:32:49"
")AEHDGK5",")AEHDGJQ","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-453698.63","-453698.63","JAQUITAN","JAQUITAN","2020-10-01 11:06:19","2020-10-01 11:06:19"
".@EHDVYT",".@EHDVYD","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","500","500","LIQUSR03","LIQUSR03","2020-10-01 16:50:50","2020-10-01 16:50:50"
")7EHDKMG",")7EHDKM1","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-453698.63","-453698.63","SMANZANO","SMANZANO","2020-10-01 12:36:51","2020-10-01 12:36:51"
".@EHDVXL",".@EHDVUV","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","500","500","LIQUSR03","LIQUSR03","2020-10-01 16:50:50","2020-10-01 16:50:50"
".4EHDWCV",".4EHDWCG","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-453698.63","-453698.63","SMANZANO","SMANZANO","2020-10-01 18:00:39","2020-10-01 18:00:39"
".:EHDZNI",".:EHDZN2","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-453698.63","-453698.63","MANZANOS","MANZANOS","2020-10-01 19:10:27","2020-10-01 19:10:27"
"NJEHN8QV","NJEHN8Q4","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","-0.59","-0.59","LIQUSR03","LIQUSR03","2020-10-06 19:07:24","2020-10-06 19:07:24"
"#NEHOCTQ","#NEHOCTE","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","100","100","LIQUSR03","LIQUSR03","2020-10-07 09:19:05","2020-10-07 09:19:05"
"#VEHODNN","#VEHODNG","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-100","-100","LIQUSR03","LIQUSR03","2020-10-07 09:32:03","2020-10-07 09:32:03"
"L)EHP1BE","L)EHP1B9","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.51","0.51","RPTSUP01","RPTSUP01","2020-10-07 17:40:41","2020-10-07 17:40:41"
"F)EHSGZ7","F)EHSGZ1","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","23.67","23.67","MANZANOM","MANZANOM","2020-10-09 14:49:18","2020-10-09 14:49:18"
"C(EHZYB9","C(EHZYAT","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","764876.71","764876.71","JAQUITAN","JAQUITAN","2020-10-13 15:14:02","2020-10-13 15:14:02"
"JIEHZQTN","JIEHZQTH","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","0.57","0.57","LIQUSR05","LIQUSR05","2020-10-13 08:58:54","2020-10-13 08:58:54"
"C8EI04I8","C8EI04HY","E2E4RAUV","@ME4QUQW","NONE ","BG_COL         ","CG852","500","500","LIQUSR05","LIQUSR05","2020-10-13 14:59:12","2020-10-13 14:59:12"
"C@EHZYSQ","C@EHZYSC","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-764876.71","-764876.71","JANICEA1","JANICEA1","2020-10-13 15:21:37","2020-10-13 15:21:37"
"CDEI014P","CDEI0149","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","100821.92","100821.92","JAQUITAN","JAQUITAN","2020-10-13 16:18:08","2020-10-13 16:18:08"
"Q=EI3LC5","Q=EI3LBZ","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","67.52","67.52","LIQUSR03","LIQUSR03","2020-10-15 14:43:47","2020-10-15 14:43:47"
"17EJ2Z95","17EJ2Z8P","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","662786.12","662786.12","JAQUITAN","JAQUITAN","2020-11-03 16:13:42","2020-11-03 16:13:42"
"NREJ852O","NREJ852A","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","113424.66","113424.66","RPTINP01","RPTINP01","2020-11-06 11:04:38","2020-11-06 11:04:38"
"+OEH9ZAE","+OEH9Z95","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","5000","5000","JAQUITAN","JAQUITAN","2020-09-29 14:08:32","2020-09-29 14:08:32"
"+REH9YTB","+REH9YQF","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.59","0.59","CMARTILL","CMARTILL","2020-09-29 15:03:07","2020-09-29 15:03:07"
"*$EHA9FL","*$EHA9FG","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","40.27","40.27","SMANZANO","SMANZANO","2020-09-29 17:53:16","2020-09-29 17:53:16"
"4BEHC336","4BEHC32S","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","7561.64","7561.64","JAQUITAN","JAQUITAN","2020-09-30 17:13:55","2020-09-30 17:13:55"
"9.EHDFAF","9.EHDFA7","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-1000","-1000","JANICEA1","JANICEA1","2020-10-01 10:16:07","2020-10-01 10:16:07"
"9.EHDFA3","9.EHDF9R","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-1000","-1000","JANICEA1","JANICEA1","2020-10-01 10:16:07","2020-10-01 10:16:07"
")#EHDPLB",")#EHDPJM","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-453698.63","-453698.63","MANZANOS","MANZANOS","2020-10-01 15:34:37","2020-10-01 15:34:37"
";;EHJ0OM",";;EHJ0O6","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.78","0.78","CMARTILL","CMARTILL","2020-10-04 12:22:35","2020-10-04 12:22:35"
";;EHJ6NL",";;EHJ6MC","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.78","0.78","CMARTILL","CMARTILL","2020-10-04 14:31:35","2020-10-04 14:31:35"
"43EHS5T8","43EHS5T2","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","105.48","105.48","SMANZANO","SMANZANO","2020-10-09 09:29:56","2020-10-09 09:29:56"
"JIEHZQYZ","JIEHZQYU","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","0.76","0.76","LIQUSR05","LIQUSR05","2020-10-13 09:23:39","2020-10-13 09:23:39"
"DVEI1YYT","DVEI1YYF","E2E4RAUV","@ME4QUQW","NONE ","BG_COL         ","CG852","1000","1000","SMANZANO","SMANZANO","2020-10-14 14:36:44","2020-10-14 14:36:44"
"BAEI3H2Q","BAEI3H17","E2E4RAUV","@ME4QUQW","NONE ","BG_COL         ","CG852","10.13","10.13","LIQUSR05","LIQUSR05","2020-10-15 10:28:42","2020-10-15 10:28:42"
