"RMA_RID_RMT_ASC","RMA_RID_RMT_CNTNR","RMA_RID_RMT_INST","RMA_UID_REC_UPDATE","RMA_UID_REC_CREATE","RMA_TSP_REC_UPDATE","RMA_TSP_REC_CREATE","RMA_IND_AUTO_DOIT","RMA_IND_HOST_CORRS","RMA_CDE_DBL_IMPCT","RMA_CDE_BRANCH"
"-BEGM1A0","S#EESVQG","-#EGM2U1","CMARTILL","CMARTILL","2020-09-16 16:40:25","2020-09-16 16:40:25","Y","N","","CG852"
"-BEGM1AP","S#EESVQG","-#EGLTAU","CMARTILL","CMARTILL","2020-09-16 16:41:01","2020-09-16 16:41:01","Y","N","","CG852"
"L*EGNGFS","(7EFGXKK","-#EGM27Y","CMARTILL","CMARTILL","2020-09-17 10:46:56","2020-09-17 10:46:56","Y","N","","CG852"
"L*EGNJSU","(7EFGXKK","6UE501U6","CMARTILL","CMARTILL","2020-09-17 12:30:14","2020-09-17 12:30:14","Y","N","","CG852"
"X2EH2OLC","X2EH2OL8","QVEGMDNT","SMANZANO","SMANZANO","2020-09-25 16:38:09","2020-09-25 16:38:09","Y","N","",""
"X2EH2OLB","X2EH2OL8","QVEGMDC8","SMANZANO","SMANZANO","2020-09-25 16:38:09","2020-09-25 16:38:09","Y","N","",""
"X2EH2OL9","X2EH2OL8",")?EF897Y","SMANZANO","SMANZANO","2020-09-25 16:38:09","2020-09-25 16:38:09","Y","N","",""
"X2EH2OLD","X2EH2OL8","QVEGMDZD","SMANZANO","SMANZANO","2020-09-25 16:38:09","2020-09-25 16:38:09","Y","N","",""
"X2EH2OLA","X2EH2OL8","QVEGMCVQ","SMANZANO","SMANZANO","2020-09-25 16:38:09","2020-09-25 16:38:09","Y","N","",""
")MEHDN4O","IREFMDBX","Q-EH8CT4","RPTSUP01","RPTSUP01","2020-10-01 14:41:28","2020-10-01 14:41:28","Y","N","","CG852"
"B+EGM3P6","S#EESVQG","-#EGM27Y","CMARTILL","CMARTILL","2020-09-16 17:44:45","2020-09-16 17:44:45","Y","N","","CG852"
"L#EGNDLR","YZEFEWHT","-#EGLYJH","SMANZANO","SMANZANO","2020-09-17 08:58:01","2020-09-17 08:58:01","Y","N","","CG852"
"L#EGNDN3","YZEFEWHT","-#EGLZ5K","SMANZANO","SMANZANO","2020-09-17 08:58:28","2020-09-17 08:58:28","Y","N","","CG852"
"L*EGNGHB","(7EFGXKK","-#EGLUQP","CMARTILL","CMARTILL","2020-09-17 11:00:02","2020-09-17 11:00:02","Y","N","","CG852"
"L*EGNGI1","(7EFGXKK","-#EGLVFD","CMARTILL","CMARTILL","2020-09-17 11:03:54","2020-09-17 11:03:54","Y","N","","CG852"
"L*EGNGK8","(7EFGXKK","-#EGM1LV","CMARTILL","CMARTILL","2020-09-17 11:06:49","2020-09-17 11:06:49","Y","N","","CG852"
"L*EGNGKY","(7EFGXKK","-#EGM2U1","CMARTILL","CMARTILL","2020-09-17 11:07:31","2020-09-17 11:07:31","Y","N","","CG852"
"L*EGNJU3","(7EFGXKK","6UE502IL","CMARTILL","CMARTILL","2020-09-17 12:30:51","2020-09-17 12:30:51","Y","N","","CG852"
"B=EGM08M","9ZEF82G3","6UE501U6","JAQUITAN","JAQUITAN","2020-09-16 16:11:27","2020-09-16 16:11:27","Y","N","","CG852"
"L#EGNDL1","YZEFEWHT","-#EGLXXE","SMANZANO","SMANZANO","2020-09-17 08:57:15","2020-09-17 08:57:15","Y","N","","CG852"
"L#EGNDNT","YZEFEWHT","6UE4ZZWB","SMANZANO","SMANZANO","2020-09-17 08:58:59","2020-09-17 08:58:59","Y","N","","CG852"
"LVEGNF91","YZEFEWHL","QVEGMCVQ","SMANZANO","SMANZANO","2020-09-17 09:17:03","2020-09-17 09:17:03","Y","N","","CG852"
"LVEGNF92","YZEFEWHL","QVEGMDC8","SMANZANO","SMANZANO","2020-09-17 09:17:03","2020-09-17 09:17:03","Y","N","","CG852"
"LVEGNF94","YZEFEWHL","QVEGMDZD","SMANZANO","SMANZANO","2020-09-17 09:17:03","2020-09-17 09:17:03","Y","N","","CG852"
"LVEGNF93","YZEFEWHL","QVEGMDNT","SMANZANO","SMANZANO","2020-09-17 09:17:03","2020-09-17 09:17:03","Y","N","","CG852"
"L$EGNI8B","0REF4EZ6","-#EGLVFD","LIQSVR05","LIQSVR05","2020-09-17 09:56:28","2020-09-17 09:56:28","Y","N","","CG852"
"L$EGNI8E","0REF4EZ6","-#EGM3HX","LIQSVR05","LIQSVR05","2020-09-17 09:56:28","2020-09-17 09:56:28","N","N","","CG852"
"L$EGNI89","0REF4EZ6","-#EGLXXE","LIQSVR05","LIQSVR05","2020-09-17 09:56:28","2020-09-17 09:56:28","Y","N","","CG852"
"L$EGNI8C","0REF4EZ6","-#EGLW1G","LIQSVR05","LIQSVR05","2020-09-17 09:56:28","2020-09-17 09:56:28","Y","N","","CG852"
"L$EGNI88","0REF4EZ6","-#EGLXB8","LIQSVR05","LIQSVR05","2020-09-17 09:56:28","2020-09-17 09:56:28","Y","N","","CG852"
"L$EGNI87","0REF4EZ6","-#EGLWNX","LIQSVR05","LIQSVR05","2020-09-17 09:56:28","2020-09-17 09:56:28","Y","N","","CG852"
"L$EGNI8D","0REF4EZ6","-#EGM4A3","LIQSVR05","LIQSVR05","2020-09-17 09:56:28","2020-09-17 09:56:28","Y","N","","CG852"
"L$EGNI8A","0REF4EZ6","-#EGLU0B","LIQSVR05","LIQSVR05","2020-09-17 09:56:28","2020-09-17 09:56:28","Y","N","","CG852"
"V9EGNFA8","9ZEF82G3","-#EGM0DP","JAQUITAN","JAQUITAN","2020-09-17 10:52:48","2020-09-17 10:52:48","Y","N","","CG852"
"V9EGNFCC","9ZEF82G3","-#EGM0ZS","JAQUITAN","JAQUITAN","2020-09-17 10:53:49","2020-09-17 10:53:49","Y","N","","CG852"
"L*EGNGJD","(7EFGXKK","-#EGLTAU","CMARTILL","CMARTILL","2020-09-17 11:05:27","2020-09-17 11:05:27","Y","N","","CG852"
"+OEH9ZGF","+OEH9ZF8","6UE501U6","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZG8","+OEH9ZF8","-#EGLTAU","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZG9","+OEH9ZF8","-#EGLVFD","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZG3","+OEH9ZF8","-#EGM1LV","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZG4","+OEH9ZF8","-#EGM27Y","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZGD","+OEH9ZF8","6UE4ZZWB","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZG6","+OEH9ZF8","-#EGLU0B","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZG2","+OEH9ZF8","-#EGM0ZS","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZGG","+OEH9ZF8","6UE502IL","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZFY","+OEH9ZF8","-#EGLYJH","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZFV","+OEH9ZF8","-#EGLWNX","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZFX","+OEH9ZF8","-#EGLXXE","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZGC","+OEH9ZF8","-#EGM3HX","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","N","N","","CG852"
"+OEH9ZGA","+OEH9ZF8","-#EGLW1G","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZFZ","+OEH9ZF8","-#EGLZ5K","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZG1","+OEH9ZF8","-#EGM0DP","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZFW","+OEH9ZF8","-#EGLXB8","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZGB","+OEH9ZF8","-#EGM4A3","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZGE","+OEH9ZF8","6UE5010J","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZG5","+OEH9ZF8","-#EGM2U1","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZG7","+OEH9ZF8","-#EGLUQP","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
"+OEH9ZG0","+OEH9ZF8","-#EGLZRM","JAQUITAN","JAQUITAN","2020-09-29 14:23:48","2020-09-29 14:23:48","Y","N","","CG852"
";;EHIZJD","IREFMDBX","QVEGMDZD","CMARTILL","CMARTILL","2020-10-04 10:51:46","2020-10-04 10:51:46","Y","N","","CG852"
"FYEHSELE","FYEHSEK8","-#EGLW1G","ARFELI01","ARFELI01","2020-10-09 14:01:29","2020-10-09 14:01:29","Y","N","","CG852"
"FYEHSELG","FYEHSEK8","-#EGM3HX","ARFELI01","ARFELI01","2020-10-09 14:01:29","2020-10-09 14:01:29","N","N","","CG852"
"FYEHSEL0","FYEHSEK8","-#EGLXB8","ARFELI01","ARFELI01","2020-10-09 14:01:29","2020-10-09 14:01:29","Y","N","","CG852"
"FYEHSELB","FYEHSEK8","-#EGLUQP","ARFELI01","ARFELI01","2020-10-09 14:01:29","2020-10-09 14:01:29","Y","N","","CG852"
"FYEHSEL3","FYEHSEK8","-#EGLZ5K","ARFELI01","ARFELI01","2020-10-09 14:01:29","2020-10-09 14:01:29","Y","N","","CG852"
"FYEHSEKZ","FYEHSEK8","-#EGLWNX","ARFELI01","ARFELI01","2020-10-09 14:01:29","2020-10-09 14:01:29","Y","N","","CG852"
"F$EHSHRH","F$EHSHRC","FMEHSG8F","ARFELI01","ARFELI01","2020-10-09 14:47:09","2020-10-09 14:47:09","Y","N","","CG852"
"F$EHSHRG","F$EHSHRC","FMEHSG82","ARFELI01","ARFELI01","2020-10-09 14:47:09","2020-10-09 14:47:09","Y","N","","CG852"
"F$EHSHRI","F$EHSHRC","FMEHSGGJ","ARFELI01","ARFELI01","2020-10-09 14:47:09","2020-10-09 14:47:09","Y","N","","CG852"
"F$EHSHS8","F$EHSHRL","-#EGLWNX","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSQ","F$EHSHRL","6UE4ZZWB","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSJ","F$EHSHRL","-#EGLU0B","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSB","F$EHSHRL","-#EGLYJH","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSH","F$EHSHRL","-#EGM27Y","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSN","F$EHSHRL","-#EGLW1G","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSR","F$EHSHRL","6UE5010J","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSE","F$EHSHRL","-#EGM0DP","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSK","F$EHSHRL","-#EGLUQP","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSC","F$EHSHRL","-#EGLZ5K","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHS9","F$EHSHRL","-#EGLXB8","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSO","F$EHSHRL","-#EGM4A3","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSP","F$EHSHRL","-#EGM3HX","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","N","N","","CG852"
"F$EHSHSS","F$EHSHRL","6UE501U6","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHST","F$EHSHRL","6UE502IL","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSA","F$EHSHRL","-#EGLXXE","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSG","F$EHSHRL","-#EGM1LV","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSL","F$EHSHRL","-#EGLTAU","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSD","F$EHSHRL","-#EGLZRM","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSI","F$EHSHRL","-#EGM2U1","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSM","F$EHSHRL","-#EGLVFD","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F$EHSHSF","F$EHSHRL","-#EGM0ZS","ARFELI01","ARFELI01","2020-10-09 14:48:21","2020-10-09 14:48:21","Y","N","","CG852"
"F*EHSKB1","F*EHSKAV","FQEHSJ02","ARFELI01","ARFELI01","2020-10-09 15:47:54","2020-10-09 15:47:54","Y","N","","CG852"
"F*EHSKB0","F*EHSKAV","FQEHSIRY","ARFELI01","ARFELI01","2020-10-09 15:47:54","2020-10-09 15:47:54","Y","N","","CG852"
"F*EHSKAZ","F*EHSKAV","FQEHSIRL","ARFELI01","ARFELI01","2020-10-09 15:47:54","2020-10-09 15:47:54","Y","N","","CG852"
"F*EHSKCB","F*EHSKB4","6UE501U6","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKC6","F*EHSKB4","-#EGLW1G","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKBX","F*EHSKB4","-#EGM0DP","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKC4","F*EHSKB4","-#EGLTAU","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKC0","F*EHSKB4","-#EGM27Y","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKBZ","F*EHSKB4","-#EGM1LV","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKC2","F*EHSKB4","-#EGLU0B","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKC7","F*EHSKB4","-#EGM4A3","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKBT","F*EHSKB4","-#EGLXXE","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKCA","F*EHSKB4","6UE5010J","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKC1","F*EHSKB4","-#EGM2U1","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKCC","F*EHSKB4","6UE502IL","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKBS","F*EHSKB4","-#EGLXB8","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKBU","F*EHSKB4","-#EGLYJH","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKBR","F*EHSKB4","-#EGLWNX","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKBY","F*EHSKB4","-#EGM0ZS","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKC9","F*EHSKB4","6UE4ZZWB","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKC5","F*EHSKB4","-#EGLVFD","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKBW","F*EHSKB4","-#EGLZRM","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKBV","F*EHSKB4","-#EGLZ5K","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"F*EHSKC8","F*EHSKB4","-#EGM3HX","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","N","N","","CG852"
"F*EHSKC3","F*EHSKB4","-#EGLUQP","ARFELI01","ARFELI01","2020-10-09 15:49:13","2020-10-09 15:49:13","Y","N","","CG852"
"9TEHSZ3G","9TEHSZ3E","ACEHQQK9","CESSINP1","CESSINP1","2020-10-09 20:21:46","2020-10-09 20:21:46","Y","N","","CG852"
"9TEHSZ3O","9TEHSZ3I",":;EFW3ZZ","CESSINP1","CESSINP1","2020-10-09 20:24:23","2020-10-09 20:24:23","Y","N","","CG852"
"9TEHSZ3Q","9TEHSZ3I","FPE4MROR","CESSINP1","CESSINP1","2020-10-09 20:24:23","2020-10-09 20:24:23","Y","N","","CG852"
"9TEHSZ3N","9TEHSZ3I","8-EGTR6B","CESSINP1","CESSINP1","2020-10-09 20:24:23","2020-10-09 20:24:23","N","N","","CG852"
"9TEHSZ3P","9TEHSZ3I","FPE4MRO4","CESSINP1","CESSINP1","2020-10-09 20:24:23","2020-10-09 20:24:23","Y","N","","CG852"
"#XEHOQV2","#XEHOQU7","-#EGLU0B","LIQSVR04","LIQSVR04","2020-10-07 11:36:33","2020-10-07 11:36:33","Y","N","","CG852"
"#XEHOQXI","#XEHOQU7","6UE501U6","LIQSVR04","LIQSVR04","2020-10-07 11:37:57","2020-10-07 11:37:57","Y","N","","CG852"
"#XEHOQXH","#XEHOQU7","6UE5010J","LIQSVR04","LIQSVR04","2020-10-07 11:37:57","2020-10-07 11:37:57","Y","N","","CG852"
"AREHQR53","AREHQR45","-#EGLU0B","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR50","AREHQR45","-#EGM1LV","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR4T","AREHQR45","-#EGLXB8","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR56","AREHQR45","-#EGLVFD","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR5B","AREHQR45","6UE5010J","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR5C","AREHQR45","6UE501U6","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR59","AREHQR45","-#EGM3HX","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","N","N","","CG852"
"AREHQR4Y","AREHQR45","-#EGM0DP","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR54","AREHQR45","-#EGLUQP","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR5D","AREHQR45","6UE502IL","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR55","AREHQR45","-#EGLTAU","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR4X","AREHQR45","-#EGLZRM","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR4S","AREHQR45","-#EGLWNX","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR4W","AREHQR45","-#EGLZ5K","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR4U","AREHQR45","-#EGLXXE","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR52","AREHQR45","-#EGM2U1","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR58","AREHQR45","-#EGM4A3","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR4Z","AREHQR45","-#EGM0ZS","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR4V","AREHQR45","-#EGLYJH","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR57","AREHQR45","-#EGLW1G","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR51","AREHQR45","-#EGM27Y","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"AREHQR5A","AREHQR45","6UE4ZZWB","ARFELI01","ARFELI01","2020-10-08 15:26:18","2020-10-08 15:26:18","Y","N","","CG852"
"42EHS9ZH","42EHS9YQ","-#EGLZ5K","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZE","42EHS9YQ","-#EGLXB8","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZP","42EHS9YQ","-#EGLUQP","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZR","42EHS9YQ","-#EGLVFD","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZF","42EHS9YQ","-#EGLXXE","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZK","42EHS9YQ","-#EGM0ZS","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZN","42EHS9YQ","-#EGM2U1","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZJ","42EHS9YQ","-#EGM0DP","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZQ","42EHS9YQ","-#EGLTAU","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZX","42EHS9YQ","6UE501U6","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZW","42EHS9YQ","6UE5010J","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZM","42EHS9YQ","-#EGM27Y","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZU","42EHS9YQ","-#EGM3HX","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","N","N","","CG852"
"42EHS9ZI","42EHS9YQ","-#EGLZRM","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZL","42EHS9YQ","-#EGM1LV","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZG","42EHS9YQ","-#EGLYJH","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZO","42EHS9YQ","-#EGLU0B","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZT","42EHS9YQ","-#EGM4A3","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZD","42EHS9YQ","-#EGLWNX","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZV","42EHS9YQ","6UE4ZZWB","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZY","42EHS9YQ","6UE502IL","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
"42EHS9ZS","42EHS9YQ","-#EGLW1G","LIQUSR03","LIQUSR03","2020-10-09 11:04:48","2020-10-09 11:04:48","Y","N","","CG852"
")YEHXS8F",")YEHXS8D","ACEHQQK9","CESSINP1","CESSINP1","2020-10-12 11:09:44","2020-10-12 11:09:44","Y","N","","CG852"
")YEHXS8M",")YEHXS8H","8-EGTR6B","CESSINP1","CESSINP1","2020-10-12 11:12:44","2020-10-12 11:12:44","N","N","","CG852"
")YEHXS8P",")YEHXS8H","FPE4MROR","CESSINP1","CESSINP1","2020-10-12 11:12:44","2020-10-12 11:12:44","Y","N","","CG852"
")YEHXS8N",")YEHXS8H",":;EFW3ZZ","CESSINP1","CESSINP1","2020-10-12 11:12:44","2020-10-12 11:12:44","Y","N","","CG852"
")YEHXS8O",")YEHXS8H","FPE4MRO4","CESSINP1","CESSINP1","2020-10-12 11:12:44","2020-10-12 11:12:44","Y","N","","CG852"
"ENEHXW2X","ENEHXW2V","ACEHQQK9","CESSINP1","CESSINP1","2020-10-12 13:06:15","2020-10-12 13:06:15","Y","N","","CG852"
"ENEHXW5L","ENEHXW5A","FPE4MRO4","CESSINP1","CESSINP1","2020-10-12 13:08:29","2020-10-12 13:08:29","Y","N","","CG852"
