"IMR_RID_SWFT_ROLE","IMR_CDE_SWFT_RTYP","IMR_RID_REM_INSTR","IMR_CDE_OWNER_TYPE","IMR_UID_REC_CREATE","IMR_UID_REC_UPDATE","IMR_TSP_REC_CREATE","IMR_TSP_REC_UPDATE","IMR_RID_SWFT_ID","IMR_TXT_ACCT_NO","IMR_TXT_CLG_CODE","IMR_TXT_TELEX_NO","IMR_TXT_ANSWRBACK","IMR_CDE_LOCCL_TYPE","IMR_TXT_DESC","IMR_CDE_BRANCH"
"3*EFFGDO","BENCR","3*EFFGDM","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","41798485","","","","","","Commonwealth Bank of Australia - OBU",""
"3*EFFGDT","SENDR","3*EFFGDM","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","","","","","",""
"3*EFFGDU","SRCOR","3*EFFGDM","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","41798485","","","","","","",""
"3*EFFGDW","ACWIN","3*EFFGDV","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","","","","","",""
"3*EFFGDZ","ORCSR","3*EFFGDV","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","","","","","","","Commonwealth Bank of Australia - OBU",""
"3*EFFGE1","RCCOR","3*EFFGDV","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","","","","","",""
"3*EFFGDX","BENCR","3*EFFGDV","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","41798485","","","","","","Commonwealth Bank of Australia - OBU",""
"3*EFFGE2","SENDR","3*EFFGDV","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","","","","","",""
"3*EFFGDY","INTMY","3*EFFGDV","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","","","","","",""
"3*EFFGE3","SRCOR","3*EFFGDV","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","41798485","","","","","","",""
"3*EFFGE0","ORINS","3*EFFGDV","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","","","","","Commonwealth Bank of Australia - OBU",""
"3*EFFGEA","BENIN","3*EFFGE8","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","41798485","","                    ","","","CLG  ","Commonwealth Bank of Australia - OBU",""
"3*EFFGEB","ORINS","3*EFFGE8","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","                    ","","","CLG  ","Commonwealth Bank of Australia - OBU",""
"3*EFFGEC","RCCOR","3*EFFGE8","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","                    ","","","CLG  ","",""
"3*EFFGE9","ACWIN","3*EFFGE8","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","                    ","","","CLG  ","",""
"3*EFFGED","SENDR","3*EFFGE8","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","                    ","","","CLG  ","",""
"3*EFFGEE","SRCOR","3*EFFGE8","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","41798485","","","","","","",""
"3*EFFGEI","ORINS","3*EFFGEF","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","                    ","","","CLG  ","Commonwealth Bank of Australia - OBU",""
"3*EFFGEK","SENDR","3*EFFGEF","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","                    ","","","CLG  ","",""
"3*EFFGEG","ACWIN","3*EFFGEF","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","                    ","","","CLG  ","",""
"3*EFFGEJ","RCCOR","3*EFFGEF","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","@*DZF8R7","","                    ","","","CLG  ","",""
"3*EFFGEL","SRCOR","3*EFFGEF","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","41798485","","","","","","",""
"3*EFFGEH","BENIN","3*EFFGEF","IRI  ","RPTMGR01","RPTMGR01","2020-08-24 16:59:07","2020-08-24 16:59:07","41798485","","                    ","","","CLG  ","Commonwealth Bank of Australia - OBU",""
"@?EFH2B1","BENCR","@?EFH2B0","IRI  ","INPAMT01","INPAMT01","2020-08-25 13:43:04","2020-08-25 13:43:04","","4561234789                              ","","","","","Sanseera Electronics Ltd 001",""
"@?EFH2B2","ORCSR","@?EFH2B0","IRI  ","INPAMT01","INPAMT01","2020-08-25 13:43:04","2020-08-25 13:43:04","","","","","","","Sanseera Electronics Ltd 001",""
"@?EFH2J8","ACWIN","@?EFH2B0","IRI  ","INPAMT01","INPAMT01","2020-08-25 13:43:04","2020-08-25 13:43:04","42569194","","//AU032938          ","","","","",""
"@+EFH9DM","ACWIN","@+EFH98L","IRI  ","LIQUSR03","LIQUSR03","2020-08-25 15:58:13","2020-08-25 15:58:13","41798485","","","","","","",""
"@+EFH9FT","BENCR","@+EFH98L","IRI  ","LIQUSR03","LIQUSR03","2020-08-25 15:58:13","2020-08-25 15:58:13","@*DZF8R7","","","","","","Commonwealth Bank of Australia - OBU",""
"@+EFH9H8","INTMY","@+EFH98L","IRI  ","LIQUSR03","LIQUSR03","2020-08-25 15:58:13","2020-08-25 15:58:13","41798504","","","","","","",""
"(2EFGVI7","ORCSR","(2EFGVI5","IRI  ","INPRON01","INPRON01","2020-08-25 10:10:01","2020-08-25 10:10:01","","","","","","","BE Pty Ltd as trustee for the Dances With Wolves Fam 08202066",""
"(2EFGVI6","BENCR","(2EFGVI5","IRI  ","INPRON01","INPRON01","2020-08-25 10:10:01","2020-08-25 10:10:01","","/509748214                              ","","","","","BE Pty Ltd as trustee for the Dances With Wolves Fam 08202066",""
"(2EFGVQD","ACWIN","(2EFGVI5","IRI  ","INPRON01","INPRON01","2020-08-25 10:10:01","2020-08-25 10:10:01","42146666","","//AU082674          ","","","","",""
"3PEFFEI7","ORINS","3PEFFEI6","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","41798485","","","","","","Commonwealth Bank of Australia - OBU",""
"3PEFFEI8","SENDR","3PEFFEI6","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","@*DZF8R7","","                    ","","","CLG  ","",""
"3PEFFEI9","SRCOR","3PEFFEI6","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","@*DZF8R7","","","","","","",""
"3PEFFEHM","BENIN","3PEFFEHK","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","41798485","","                    ","","","CLG  ","Commonwealth Bank of Australia - OBU",""
"3PEFFEHN","ORINS","3PEFFEHK","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","@*DZF8R7","","                    ","","","CLG  ","Commonwealth Bank of Australia - OBU",""
"3PEFFEHO","RCCOR","3PEFFEHK","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","@*DZF8R7","","                    ","","","CLG  ","",""
"3PEFFEHL","ACWIN","3PEFFEHK","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","@*DZF8R7","","                    ","","","CLG  ","",""
"3PEFFEHQ","SRCOR","3PEFFEHK","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","41798485","","","","","","",""
"3PEFFEHP","SENDR","3PEFFEHK","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","@*DZF8R7","","                    ","","","CLG  ","",""
"3PEFFEHT","BENIN","3PEFFEHR","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","41798485","","                    ","","","CLG  ","Commonwealth Bank of Australia - OBU",""
"3PEFFEHW","SENDR","3PEFFEHR","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","@*DZF8R7","","                    ","","","CLG  ","",""
"3PEFFEHV","RCCOR","3PEFFEHR","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","@*DZF8R7","","                    ","","","CLG  ","",""
"3PEFFEHX","SRCOR","3PEFFEHR","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","41798485","","","","","","",""
"3PEFFEHS","ACWIN","3PEFFEHR","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","@*DZF8R7","","                    ","","","CLG  ","",""
"3PEFFEHU","ORINS","3PEFFEHR","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:27:05","2020-08-24 15:27:05","@*DZF8R7","","                    ","","","CLG  ","Commonwealth Bank of Australia - OBU",""
"3VEFFJ1A","BENCR","3VEFFJ19","IRI  ","DJRHINPT","DJRHINPT","2020-08-24 17:01:18","2020-08-24 17:01:18","","","","","","","ESPS11413431",""
"3VEFFJ1B","ORCSR","3VEFFJ19","IRI  ","DJRHINPT","DJRHINPT","2020-08-24 17:01:18","2020-08-24 17:01:18","","","","","","","ESPS11413431",""
"(2EFGVVN","BENCR","(2EFGVVM","IRI  ","INPRON01","INPRON01","2020-08-25 10:11:16","2020-08-25 10:11:16","","/509748214                              ","","","","","BE Pty Ltd as trustee for the Dances With Wolves Fam 08202066",""
"(2EFGVVO","ORCSR","(2EFGVVM","IRI  ","INPRON01","INPRON01","2020-08-25 10:11:16","2020-08-25 10:11:16","","","","","","","BE Pty Ltd as trustee for the Dances With Wolves Fam 08202066",""
"(2EFGW3U","ACWIN","(2EFGVVM","IRI  ","INPRON01","INPRON01","2020-08-25 10:11:16","2020-08-25 10:11:16","42146666","","//AU082674          ","","","","",""
"@+EFH9IL","ORCSR","@+EFH98L","IRI  ","LIQUSR03","LIQUSR03","2020-08-25 15:58:13","2020-08-25 15:58:13","41798519","","","","","","Commonwealth Bank of Australia - OBU",""
"CBEFHDFL","SENDR","CBEFHDFF","IRI  ","LOANIQ01","LOANIQ01","2020-08-25 16:25:31","2020-08-25 16:25:31","@*DZF8R7","","","","","","",""
"CBEFHDFI","INTMY","CBEFHDFF","IRI  ","LOANIQ01","LOANIQ01","2020-08-25 16:25:31","2020-08-25 16:25:31","41798485","","","","","","",""
"CBEFHDFJ","ORINS","CBEFHDFF","IRI  ","LOANIQ01","LOANIQ01","2020-08-25 16:25:31","2020-08-25 16:25:31","@*DZF8R7","","","","","","Commonwealth Bank of Australia - OBU",""
"CBEFHDFH","BENIN","CBEFHDFF","IRI  ","LOANIQ01","LOANIQ01","2020-08-25 16:25:31","2020-08-25 16:25:31","@*DZF8R7","","","","","","Commonwealth Bank of Australia - OBU",""
"RWEFHKRU","BENCR","RWEFHKRT","IRI  ","INPAMT01","INPAMT01","2020-08-25 19:20:36","2020-08-25 19:20:36","","4561234789                              ","","","","","Sanseera Electronics Ltd 001",""
"RWEFHL01","ACWIN","RWEFHKRT","IRI  ","INPAMT01","INPAMT01","2020-08-25 19:20:36","2020-08-25 19:20:36","42569194","","//AU032938          ","","","","",""
"RWEFHL5C","ORCSR","RWEFHL5A","IRI  ","INPAMT01","INPAMT01","2020-08-25 19:21:47","2020-08-25 19:21:47","","","","","","","Sanseera Electronics Ltd 001",""
"RWEFHL5B","BENCR","RWEFHL5A","IRI  ","INPAMT01","INPAMT01","2020-08-25 19:21:47","2020-08-25 19:21:47","","4561234789                              ","","","","","Sanseera Electronics Ltd 001",""
"RWEFHLDI","ACWIN","RWEFHL5A","IRI  ","INPAMT01","INPAMT01","2020-08-25 19:21:47","2020-08-25 19:21:47","42569194","","//AU032938          ","","","","",""
"$ZEFJ72B","ORCSR","$ZEFJ729","IRI  ","INPAMT01","INPAMT01","2020-08-26 17:26:43","2020-08-26 17:26:43","","","","","","","Sanseera Electronics Ltd 002",""
"RWEFHKRV","ORCSR","RWEFHKRT","IRI  ","INPAMT01","INPAMT01","2020-08-25 19:20:36","2020-08-25 19:20:36","","","","","","","Sanseera Electronics Ltd 001",""
"$ZEFJ72A","BENCR","$ZEFJ729","IRI  ","INPAMT01","INPAMT01","2020-08-26 17:26:43","2020-08-26 17:26:43","","4561234789                              ","","","","","Sanseera Electronics Ltd 002",""
"$ZEFJ7AH","ACWIN","$ZEFJ729","IRI  ","INPAMT01","INPAMT01","2020-08-26 17:26:43","2020-08-26 17:26:43","42569194","","//AU032938          ","","","","",""
"7NEFL08J","BENCR","7NEFL08I","IRI  ","INPALN01","INPALN01","2020-08-27 16:57:51","2020-08-27 16:57:51","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"7NEFL08K","ORCSR","7NEFL08I","IRI  ","INPALN01","INPALN01","2020-08-27 16:57:51","2020-08-27 16:57:51","","","","","","","ARIHANT TRADING COMPANY",""
"7NEFL0GQ","ACWIN","7NEFL08I","IRI  ","INPALN01","INPALN01","2020-08-27 16:57:51","2020-08-27 16:57:51","@*DZF8R7","","","","","","",""
"I+EFMIEJ","BENCR","I+EFMIEI","IRI  ","INPAMT01","INPAMT01","2020-08-28 11:16:22","2020-08-28 11:16:22","","4561234789                              ","","","","","Sanseera Electronics Ltd 004",""
"I+EFMIEK","ORCSR","I+EFMIEI","IRI  ","INPAMT01","INPAMT01","2020-08-28 11:16:22","2020-08-28 11:16:22","","","","","","","Sanseera Electronics Ltd 004",""
"I+EFMIMQ","ACWIN","I+EFMIEI","IRI  ","INPAMT01","INPAMT01","2020-08-28 11:16:22","2020-08-28 11:16:22","42569194","","//AU032938          ","","","","",""
"I2EFMH4Y","BENCR","I2EFMH4X","IRI  ","INPALN01","INPALN01","2020-08-28 11:23:28","2020-08-28 11:23:28","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"I2EFMH4Z","ORCSR","I2EFMH4X","IRI  ","INPALN01","INPALN01","2020-08-28 11:23:28","2020-08-28 11:23:28","","","","","","","ARIHANT TRADING COMPANY",""
"I2EFMHD5","ACWIN","I2EFMH4X","IRI  ","INPALN01","INPALN01","2020-08-28 11:23:28","2020-08-28 11:23:28","@*DZF8R7","","","","","","",""
"I2EFMHL4","ORCSR","I2EFMHL2","IRI  ","INPALN01","INPALN01","2020-08-28 11:25:44","2020-08-28 11:25:44","","","","","","","ARIHANT TRADING COMPANY",""
"I2EFMHL3","BENCR","I2EFMHL2","IRI  ","INPALN01","INPALN01","2020-08-28 11:25:44","2020-08-28 11:25:44","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"I2EFMHTA","ACWIN","I2EFMHL2","IRI  ","INPALN01","INPALN01","2020-08-28 11:25:44","2020-08-28 11:25:44","@*DZF8R7","","","","","","",""
"U!EG6TTM","BENCR","U!EG6TTL","IRI  ","JCUSR01 ","JCUSR01 ","2020-09-08 11:46:25","2020-09-08 11:46:25","","","","","","","WESTPAC BANKING CORP",""
"U!EG6TTN","ORCSR","U!EG6TTL","IRI  ","JCUSR01 ","JCUSR01 ","2020-09-08 11:46:25","2020-09-08 11:46:25","","","","","","","WESTPAC BANKING CORP",""
"U!EG6UEV","RECVR","U!EG6TTL","IRI  ","JCUSR01 ","JCUSR01 ","2020-09-08 11:46:25","2020-09-08 11:46:25","@*DZF8R7","","","","","","",""
"U!EG6UI9","BENIN","U!EG6UI8","IRI  ","JCUSR01 ","JCUSR01 ","2020-09-08 11:48:40","2020-09-08 11:48:40","42569194","","","","","","",""
"U!EG6UT1","RECVR","U!EG6UI8","IRI  ","JCUSR01 ","JCUSR01 ","2020-09-08 11:48:40","2020-09-08 11:48:40","@*DZF8R7","","","","","","",""
"U.EG6VYT","BENIN","U.EG6VYS","IRI  ","JCUSR01 ","JCUSR01 ","2020-09-08 12:04:30","2020-09-08 12:04:30","","","","","","","WESTPAC BANKING CORP",""
"U.EG6WGE","RECVR","U.EG6VYS","IRI  ","JCUSR01 ","JCUSR01 ","2020-09-08 12:04:30","2020-09-08 12:04:30","@*DZF8R7","","","","","","",""
"FREG77NM","BENCR","FREG77NL","IRI  ","INPAMT01","INPAMT01","2020-09-08 15:32:23","2020-09-08 15:32:23","","4561234789                              ","","","","","Sanseera Electronics Ltd 007",""
"FREG77NN","ORCSR","FREG77NL","IRI  ","INPAMT01","INPAMT01","2020-09-08 15:32:23","2020-09-08 15:32:23","","","","","","","Sanseera Electronics Ltd 007",""
"FREG77VT","ACWIN","FREG77NL","IRI  ","INPAMT01","INPAMT01","2020-09-08 15:32:23","2020-09-08 15:32:23","42569194","","//AU032938          ","","","","",""
"FREG7813","BENCR","FREG7812","IRI  ","INPAMT01","INPAMT01","2020-09-08 15:33:43","2020-09-08 15:33:43","","4561234789                              ","","","","","Sanseera Electronics Ltd 007",""
"FREG7814","ORCSR","FREG7812","IRI  ","INPAMT01","INPAMT01","2020-09-08 15:33:43","2020-09-08 15:33:43","","","","","","","Sanseera Electronics Ltd 007",""
"FREG789A","ACWIN","FREG7812","IRI  ","INPAMT01","INPAMT01","2020-09-08 15:33:43","2020-09-08 15:33:43","42569194","","//AU032938          ","","","","",""
";;EFHDT0","BENCR",";;EFHDSZ","IRI  ","INPROS01","INPROS01","2020-08-25 17:36:44","2020-08-25 17:36:44","@*DZF8R7","","","","","","Sanseera Electronics Ltd1213041",""
";;EFHDT1","ORCSR",";;EFHDSZ","IRI  ","INPROS01","INPROS01","2020-08-25 17:36:44","2020-08-25 17:36:44","","","","","","","Sanseera Electronics Ltd1213041",""
"HIEFIW41","ORCSR","HIEFIW3Z","IRI  ","INPAMT01","INPAMT01","2020-08-26 12:07:51","2020-08-26 12:07:51","","","","","","","Sanseera Electronics Ltd 001",""
"HIEFIW40","BENCR","HIEFIW3Z","IRI  ","INPAMT01","INPAMT01","2020-08-26 12:07:51","2020-08-26 12:07:51","","4561234789                              ","","","","","Sanseera Electronics Ltd 001",""
"HIEFIWC7","ACWIN","HIEFIW3Z","IRI  ","INPAMT01","INPAMT01","2020-08-26 12:07:51","2020-08-26 12:07:51","42569194","","//AU032938          ","","","","",""
"1$EFJ0JC","BENCR","1$EFJ0JB","IRI  ","INPALN01","INPALN01","2020-08-26 14:11:50","2020-08-26 14:11:50","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"1$EFJ0JD","ORCSR","1$EFJ0JB","IRI  ","INPALN01","INPALN01","2020-08-26 14:11:50","2020-08-26 14:11:50","","","","","","","ARIHANT TRADING COMPANY",""
"1$EFJ0RJ","ACWIN","1$EFJ0JB","IRI  ","INPALN01","INPALN01","2020-08-26 14:11:50","2020-08-26 14:11:50","@*DZF8R7","","","","","","",""
"1$EFJ0ZH","BENCR","1$EFJ0ZG","IRI  ","INPALN01","INPALN01","2020-08-26 14:14:02","2020-08-26 14:14:02","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"1$EFJ0ZI","ORCSR","1$EFJ0ZG","IRI  ","INPALN01","INPALN01","2020-08-26 14:14:02","2020-08-26 14:14:02","","","","","","","ARIHANT TRADING COMPANY",""
"1$EFJ17O","ACWIN","1$EFJ0ZG","IRI  ","INPALN01","INPALN01","2020-08-26 14:14:02","2020-08-26 14:14:02","@*DZF8R7","","","","","","",""
"1DEFIYAT","ORCSR","1DEFIYAR","IRI  ","INPAMT01","INPAMT01","2020-08-26 14:18:20","2020-08-26 14:18:20","","","","","","","Sanseera Electronics Ltd 001",""
"1DEFIYAS","BENCR","1DEFIYAR","IRI  ","INPAMT01","INPAMT01","2020-08-26 14:18:20","2020-08-26 14:18:20","","4561234789                              ","","","","","Sanseera Electronics Ltd 001",""
"1DEFIYIZ","ACWIN","1DEFIYAR","IRI  ","INPAMT01","INPAMT01","2020-08-26 14:18:20","2020-08-26 14:18:20","42569194","","//AU032938          ","","","","",""
"1DEFIYO9","BENCR","1DEFIYO8","IRI  ","INPAMT01","INPAMT01","2020-08-26 14:19:41","2020-08-26 14:19:41","","4561234789                              ","","","","","Sanseera Electronics Ltd 001",""
"1DEFIYOA","ORCSR","1DEFIYO8","IRI  ","INPAMT01","INPAMT01","2020-08-26 14:19:41","2020-08-26 14:19:41","","","","","","","Sanseera Electronics Ltd 001",""
"1DEFIYWG","ACWIN","1DEFIYO8","IRI  ","INPAMT01","INPAMT01","2020-08-26 14:19:41","2020-08-26 14:19:41","42569194","","//AU032938          ","","","","",""
"=UEFJ4Y1","ORCSR","=UEFJ4XZ","IRI  ","INPALN01","INPALN01","2020-08-26 15:37:07","2020-08-26 15:37:07","","","","","","","ARIHANT TRADING COMPANY",""
"=UEFJ4Y0","BENCR","=UEFJ4XZ","IRI  ","INPALN01","INPALN01","2020-08-26 15:37:07","2020-08-26 15:37:07","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"=UEFJ567","ACWIN","=UEFJ4XZ","IRI  ","INPALN01","INPALN01","2020-08-26 15:37:07","2020-08-26 15:37:07","@*DZF8R7","","","","","","",""
"=UEFJ5E6","ORCSR","=UEFJ5E4","IRI  ","INPALN01","INPALN01","2020-08-26 15:39:20","2020-08-26 15:39:20","","","","","","","ARIHANT TRADING COMPANY",""
"=UEFJ5E5","BENCR","=UEFJ5E4","IRI  ","INPALN01","INPALN01","2020-08-26 15:39:20","2020-08-26 15:39:20","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"=UEFJ5MC","ACWIN","=UEFJ5E4","IRI  ","INPALN01","INPALN01","2020-08-26 15:39:20","2020-08-26 15:39:20","@*DZF8R7","","","","","","",""
"$#EFJ9QD","BENCR","$#EFJ9QC","IRI  ","INPALN01","INPALN01","2020-08-26 18:27:21","2020-08-26 18:27:21","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"$#EFJ9QE","ORCSR","$#EFJ9QC","IRI  ","INPALN01","INPALN01","2020-08-26 18:27:21","2020-08-26 18:27:21","","","","","","","ARIHANT TRADING COMPANY",""
"$#EFJ9YK","ACWIN","$#EFJ9QC","IRI  ","INPALN01","INPALN01","2020-08-26 18:27:21","2020-08-26 18:27:21","@*DZF8R7","","","","","","",""
"$#EFJA6I","BENCR","$#EFJA6H","IRI  ","INPALN01","INPALN01","2020-08-26 18:29:43","2020-08-26 18:29:43","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"$#EFJA6J","ORCSR","$#EFJA6H","IRI  ","INPALN01","INPALN01","2020-08-26 18:29:43","2020-08-26 18:29:43","","","","","","","ARIHANT TRADING COMPANY",""
"$#EFJAEP","ACWIN","$#EFJA6H","IRI  ","INPALN01","INPALN01","2020-08-26 18:29:43","2020-08-26 18:29:43","@*DZF8R7","","","","","","",""
"XZEFL4X6","ORCSR","XZEFL4X4","IRI  ","INPAMT01","INPAMT01","2020-08-27 18:25:16","2020-08-27 18:25:16","","","","","","","Sanseera Electronics Ltd 003",""
"XZEFL4X5","BENCR","XZEFL4X4","IRI  ","INPAMT01","INPAMT01","2020-08-27 18:25:16","2020-08-27 18:25:16","","4561234789                              ","","","","","Sanseera Electronics Ltd 003",""
"XZEFL55C","ACWIN","XZEFL4X4","IRI  ","INPAMT01","INPAMT01","2020-08-27 18:25:16","2020-08-27 18:25:16","42569194","","//AU032938          ","","","","",""
"-KEFN0BA","BENCR","-KEFN0B9","IRI  ","INPDEL01","INPDEL01","2020-08-28 18:17:33","2020-08-28 18:17:33","","","","","","","Sanseera Electronics Ltd 1914539",""
"-KEFN0BB","ORCSR","-KEFN0B9","IRI  ","INPDEL01","INPDEL01","2020-08-28 18:17:33","2020-08-28 18:17:33","","","","","","","Sanseera Electronics Ltd 1914539",""
"#ZEFTYF9","ORCSR","#ZEFTYF7","IRI  ","INPROS01","INPROS01","2020-09-01 13:02:21","2020-09-01 13:02:21","","","","","","","Sanseera Electronics Ltd 1913520",""
"#ZEFTYF8","BENCR","#ZEFTYF7","IRI  ","INPROS01","INPROS01","2020-09-01 13:02:21","2020-09-01 13:02:21","","","","","","","Sanseera Electronics Ltd 1913520",""
"#ZEFTYM1","ACWIN","#ZEFTYF7","IRI  ","INPROS01","INPROS01","2020-09-01 13:02:21","2020-09-01 13:02:21","41798485","1020188515                              ","","","","","SANSEERA ELECTRONICS LTD",""
":;EFW40D","RECVR",":;EFW40B","IRI  ","LIQAPCP3","LIQAPCP3","2020-09-02 16:00:23","2020-09-02 16:00:23","41798485","","","","","","",""
":;EFW40C","ORINS",":;EFW40B","IRI  ","LIQAPCP3","LIQAPCP3","2020-09-02 16:00:23","2020-09-02 16:00:23","","","","","","","LENDLEG0414",""
":;EFW40G","RECVR",":;EFW40E","IRI  ","LIQAPCP3","LIQAPCP3","2020-09-02 16:00:23","2020-09-02 16:00:23","41798485","","","","","","",""
":;EFW40F","BENIN",":;EFW40E","IRI  ","LIQAPCP3","LIQAPCP3","2020-09-02 16:00:23","2020-09-02 16:00:23","","","","","","","LENDLEG0414",""
"-#EGLVC4","BENIN","-#EGLV5O","IRI  ","LIQUSR03","LIQUSR03","2020-09-16 14:36:36","2020-09-16 14:36:36","","","","","","","Commonwealth Bank of Australia - Amsterdam",""
"-#EGLUZC","ACWIN","-#EGLUTK","IRI  ","LIQUSR03","LIQUSR03","2020-09-16 14:35:14","2020-09-16 14:35:14","6UE5002O","","","","","","",""
"-#EGLV0T","BENCR","-#EGLUTK","IRI  ","LIQUSR03","LIQUSR03","2020-09-16 14:35:14","2020-09-16 14:35:14","","","","","","","Commonwealth Bank of Australia - Amsterdam",""
"-#EGLV29","ORCSR","-#EGLUTK","IRI  ","LIQUSR03","LIQUSR03","2020-09-16 14:35:14","2020-09-16 14:35:14","","","","","","","Commonwealth Bank of Australia - Amsterdam",""
"-#EGLV3P","SENDR","-#EGLUTK","IRI  ","LIQUSR03","LIQUSR03","2020-09-16 14:35:14","2020-09-16 14:35:14","@*DZF8R7","","","","","","",""
"-#EGLV50","SRCOR","-#EGLUTK","IRI  ","LIQUSR03","LIQUSR03","2020-09-16 14:35:14","2020-09-16 14:35:14","6UE5002O","","","","","","",""
"-#EGLVAT","ACWIN","-#EGLV5O","IRI  ","LIQUSR03","LIQUSR03","2020-09-16 14:36:36","2020-09-16 14:36:36","6UE5002O","","","","","","",""
"-#EGLVDH","SENDR","-#EGLV5O","IRI  ","LIQUSR03","LIQUSR03","2020-09-16 14:36:36","2020-09-16 14:36:36","@*DZF8R7","","","","","","",""
"-#EGLVEO","SRCOR","-#EGLV5O","IRI  ","LIQUSR03","LIQUSR03","2020-09-16 14:36:36","2020-09-16 14:36:36","6UE5002O","","","","","","",""
"-#EGLW7I","ACWIN","-#EGLW1Q","IRI  ","LIQUSR03","LIQUSR03","2020-09-16 14:41:10","2020-09-16 14:41:10","6UE5002O","","","","","","",""
"-#EGLW8Z","BENCR","-#EGLW1Q","IRI  ","LIQUSR03","LIQUSR03","2020-09-16 14:41:10","2020-09-16 14:41:10","","","","","","","Commonwealth Bank of Australia - Amsterdam",""
