ABA_CDE_FED_ABA,ABA_NME_SHORT,ABA_CDE_STATE,ABA_NME_CITY,ABA_IND_ACTIVE,ABA_IND_MAY_DEACT,ABA_TSP_REC_CREATE,ABA_UID_REC_CREATE,ABA_TSP_REC_UPDATE,ABA_UID_REC_UPDATE,ABA_NME_FULL
011600033,HOWARD BK BURLNGTN,VT,"WILLISTON           ",Y,Y,2005-08-31 16:30:18,LS2BATCH,2005-08-31 16:35:26,"ADMIN2  ","BANKNORTH, NATIONAL ASSOCIATION"
011900445,"FLEET NATL CONN   ",CT,"HARTFORD            ",Y,Y,2005-08-31 16:30:18,LS2BATCH,2005-08-31 16:30:18,LS2BATCH,FLEET NATIONAL BANK OF CT.
011900571,FLEET NATL BANK CT,CT,"HARTFORD            ",Y,Y,2005-08-31 16:30:19,LS2BATCH,2005-08-31 16:30:19,LS2BATCH,FLEET NATIONAL BANK OF CONNECTICUT
021000018,"BK OF NYC         ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:19,LS2BATCH,2005-08-31 16:30:19,LS2BATCH,BANK OF NEW YORK
021000021,"JPMCHASE          ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:19,LS2BATCH,2005-08-31 16:30:19,LS2BATCH,JPMORGAN CHASE BANK
021000089,"CITIBANK NYC      ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:19,LS2BATCH,2005-08-31 16:30:19,LS2BATCH,CITIBANK N.A.
021000238,"JPMCHASE          ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:19,LS2BATCH,2005-08-31 16:30:19,LS2BATCH,JPMORGAN CHASE BANK
021001033,DBTCO AMERICAS NYC,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:19,LS2BATCH,2005-08-31 16:30:19,LS2BATCH,DEUTSCHE BANK TRUST CO. AMERICAS
021001088,"HSBC USA          ",NY,"BUFFALO             ",Y,Y,2005-08-31 16:30:19,LS2BATCH,2005-08-31 16:30:19,LS2BATCH,HSBC BANK USA
021001208,"FRB NYC           ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:19,LS2BATCH,2005-08-31 16:30:19,LS2BATCH,FRB NEW YORK
021001318,"US TR NYC         ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:19,LS2BATCH,2005-08-31 16:30:19,LS2BATCH,U.S. TRUST COMPANY OF NEW YORK
021001486,"EURO AMER NYC     ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:19,LS2BATCH,2005-08-31 16:30:19,LS2BATCH,CITIBANK - EAB
021004823,"REPUBLIC NYC      ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:20,LS2BATCH,2005-08-31 16:30:20,LS2BATCH,HSBC/REPUBLIC
021030004,"TREAS NYC         ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:20,LS2BATCH,2005-08-31 16:30:20,LS2BATCH,TREAS NYC/FUNDS TRANSFER DIVISION
021089437,"FRBNY AGENT       ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:20,LS2BATCH,2005-08-31 16:30:20,LS2BATCH,FRBNY AS AGENT
021101108,"FIRST UNION CT    ",NJ,"NEWARK              ",Y,Y,2005-08-31 16:30:20,LS2BATCH,2005-08-31 16:30:20,LS2BATCH,FIRST UNION NATIONAL BANK
021113086,"US TR CO CONN     ",CT,"GREENWICH           ",Y,Y,2005-08-31 16:30:20,LS2BATCH,2005-08-31 16:30:20,LS2BATCH,U.S.TRUST COMPANY
021113688,"ABBEY NATL CT     ",CT,"STAMFORD            ",Y,Y,2005-08-31 16:30:20,LS2BATCH,2005-08-31 16:30:20,LS2BATCH,ABBEY NATIONAL TREASURY SERVICES
021200339,"FLEET NATL NYC    ",NJ,"JERSEY CITY         ",Y,Y,2005-08-31 16:30:20,LS2BATCH,2005-08-31 16:35:37,"ADMIN2  ","FLEET NATIONAL BANK, NYC."
021200957,"COMMERCE NORTH    ",NJ,"CHERRY HILL         ",Y,Y,2005-08-31 16:30:20,LS2BATCH,2005-08-31 16:35:43,"ADMIN2  ","COMMERCE BANK, NORTH"
021201383,"VALLEY PASSAIC    ",NJ,"PASSAIC             ",Y,Y,2005-08-31 16:30:20,LS2BATCH,2005-08-31 16:30:20,LS2BATCH,VALLEY NATIONAL BANK
021201503,"HUDSON UNITED NJ  ",NJ,"MAHWAH              ",Y,Y,2005-08-31 16:30:20,LS2BATCH,2005-08-31 16:30:20,LS2BATCH,HUDSON UNITED BANK
021202162,FLEET NATL BANK NJ,NJ,"HACKENSACK          ",Y,Y,2005-08-31 16:30:21,LS2BATCH,2005-08-31 16:30:21,LS2BATCH,FLEET NATIONAL BANK
021202719,"BK OF NY NA NCD   ",NJ,"RUTHERFORD          ",Y,Y,2005-08-31 16:30:21,LS2BATCH,2005-08-31 16:35:52,"ADMIN2  ","BANK OF NEW YORK, N.A., NAT'L COMM."
021206074,"BROAD NEWARK      ",NJ,"NEWARK              ",Y,Y,2005-08-31 16:30:21,LS2BATCH,2005-08-31 16:30:21,LS2BATCH,INDEPENDENCE COMMUNITY BANK
021206469,"MERRILL NJ        ",NJ,"PRINCETON           ",Y,Y,2005-08-31 16:30:21,LS2BATCH,2005-08-31 16:30:21,LS2BATCH,MERRILL LYNCH BANK & TRUST CO.
021207413,"PRESTIGE STATE BK ",NJ,"FLEMINGTON          ",Y,Y,2005-08-31 16:30:21,LS2BATCH,2005-08-31 16:30:21,LS2BATCH,COMMERCE BANK  N.A.
021213368,"WATERHOUSE NBNJ   ",NJ,"JERSEY CITY         ",Y,Y,2005-08-31 16:30:21,LS2BATCH,2005-08-31 16:36:00,"ADMIN2  ","TD WATERHOUSE BANK, N.A."
021272655,"CITIBANK FSB NJ   ",NJ,"PARSIPPANY          ",Y,Y,2005-08-31 16:30:21,LS2BATCH,2005-08-31 16:36:06,"ADMIN2  ","CITIBANK,FSB NEW JERSEY"
021272684,"CITIBANK FSB      ",NJ,"ENGLEWOOD CLIFFS    ",Y,Y,2005-08-31 16:30:21,LS2BATCH,2005-08-31 16:30:21,LS2BATCH,CITIBANK FSB
021272710,"TD BANK USA, FSB  ",NJ,"JERSEY CITY         ",Y,Y,2005-08-31 16:30:21,LS2BATCH,2005-08-31 16:36:21,"ADMIN2  ","TD BANK USA, FSB"
021300019,"FLEET NATL BUFF   ",RI,"PROVIDENCE          ",Y,Y,2005-08-31 16:30:21,LS2BATCH,2005-08-31 16:30:21,LS2BATCH,FLEET NATIONAL BANK OF BUFFALO
021300077,"KEY BANK ALBANY   ",NY,"ALBANY              ",Y,Y,2005-08-31 16:30:22,LS2BATCH,2005-08-31 16:30:22,LS2BATCH,KEY BANK N.A.
021303511,"ALLIANCE BANK NA  ",NY,"CORTLAND            ",Y,Y,2005-08-31 16:30:22,LS2BATCH,2005-08-31 16:36:41,"ADMIN2  ","ALLIANCE BANK, N.A."
021305386,"COMMUNITY BK SYR  ",NY,"DEWITT              ",Y,Y,2005-08-31 16:30:22,LS2BATCH,2005-08-31 16:36:48,"ADMIN2  ","COMMUNITY BANK, N.A."
021309201,"CITIZENS HAMMOND  ",NY,"HAMMOND             ",Y,Y,2005-08-31 16:30:22,LS2BATCH,2005-08-31 16:30:22,LS2BATCH,CITIZENS NATIONAL BANK
021313103,"CHARTER ONE BK NA ",NY,"ALBANY              ",Y,Y,2005-08-31 16:30:22,LS2BATCH,2005-08-31 16:30:22,LS2BATCH,CHARTER ONE COMMERCIAL
021405464,"SUFFOLK RIVERHEAD ",NY,"RIVERHEAD           ",Y,Y,2005-08-31 16:30:22,LS2BATCH,2005-08-31 16:30:22,LS2BATCH,SUFFOLK COUNTY NATIONAL BANK
021407912,"NORTH FORK BANK   ",NY,"MELVILLE            ",Y,Y,2005-08-31 16:30:22,LS2BATCH,2005-08-31 16:30:22,LS2BATCH,NORTH FORK BANK
021502011,"BANCO POPULAR PR  ",PR,"SAN JUAN            ",Y,Y,2005-08-31 16:30:22,LS2BATCH,2005-08-31 16:30:22,LS2BATCH,BANCO POPULAR DE PUERTO RICO
021502228,"BANCO COMM PR     ",PR,"SAN JUAN            ",Y,Y,2005-08-31 16:30:22,LS2BATCH,2005-08-31 16:30:22,LS2BATCH,BANCO BILBOA VIZCAYA PUERTO RICO
021502341,BANCO SANTANDER PR,PR,"SAN JUAN            ",Y,Y,2005-08-31 16:30:22,LS2BATCH,2005-08-31 16:37:00,"ADMIN2  ","BANCO SANTANDER,  PUERTO RICO"
021905977,"UNION STATE BK    ",NY,"ORANGEBURG          ",Y,Y,2005-08-31 16:30:23,LS2BATCH,2005-08-31 16:30:23,LS2BATCH,UNION STATE BANK
021912915,"WATERHOUSE NBNY   ",NJ,"JERSEY CITY         ",Y,Y,2005-08-31 16:30:23,LS2BATCH,2005-08-31 16:37:07,"ADMIN2  ","TD WATERHOUSE BANK,N.A."
022000046,"MFRS BUF          ",NY,"BUFFALO             ",Y,Y,2005-08-31 16:30:23,LS2BATCH,2005-08-31 16:30:23,LS2BATCH,MANUFACTURERS & TRADERS TRUST CO.
022000266,"FRB BUF           ",NY,"BUFFALO             ",Y,Y,2005-08-31 16:30:23,LS2BATCH,2005-08-31 16:30:23,LS2BATCH,FRB BUFFALO
022000868,"CITIBANK BUF      ",NY,"PITTSFORD           ",Y,Y,2005-08-31 16:30:23,LS2BATCH,2005-08-31 16:30:23,LS2BATCH,CITIBANK (NEW YORK STATE)
026000217,"NATL BK KUWAIT    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:23,LS2BATCH,2005-08-31 16:30:23,LS2BATCH,NATIONAL BANK OF KUWAIT
026001122,"NORTHERN INTL NYC ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:23,LS2BATCH,2005-08-31 16:30:23,LS2BATCH,NORTHERN TRUST INTL BKG. CORP.
026001847,"BCO BILBAO NYC    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:23,LS2BATCH,2005-08-31 16:30:23,LS2BATCH,BANCO BILBAO VIZCAYA ARGENTARIA
026002053,"AMER EXP BK INTL  ",FL,"MIAMI               ",Y,Y,2005-08-31 16:30:23,LS2BATCH,2005-08-31 16:30:23,LS2BATCH,AMERICAN EXPRESS BANK INTERNATIONAL
026002066,"DTC SDFS          ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:23,LS2BATCH,2005-08-31 16:30:23,LS2BATCH,DEPOSITORY TRUST COMPANY
026002532,BK NOVA SCOTIA NYC,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:24,LS2BATCH,2005-08-31 16:30:24,LS2BATCH,BANK OF NOVA SCOTIA
026002545,"LANDESBANK HESSEN ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:24,LS2BATCH,2005-08-31 16:30:24,LS2BATCH,LANDESBANK HESSEN-THURINGEN
026002558,"CAN IMPERIAL COMM ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:24,LS2BATCH,2005-08-31 16:30:24,LS2BATCH,CANADIAN IMPERIAL BANK OF COMMERCE
026002561,"STANDARD CHART    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:24,LS2BATCH,2005-08-31 16:30:24,LS2BATCH,STANDARD CHARTERED BANK LIMITED
026002574,"BARCLAYS PLC      ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:24,LS2BATCH,2005-08-31 16:37:20,"ADMIN2  ","BARCLAYS BANK, PLC"
026002655,"LLOYDS TSB BK PLC ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:24,LS2BATCH,2005-08-31 16:30:24,LS2BATCH,LLOYDS TSB BANK PLC
026002668,"AGRICOLE INDO NYC ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:24,LS2BATCH,2005-08-31 16:30:24,LS2BATCH,CREDIT AGRICOLE INDOSUEZ
026002749,"NATWEST PLC       ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:24,LS2BATCH,2005-08-31 16:30:24,LS2BATCH,NATIONAL WESTMINSTER BANK PLC
026002794,"BK LEUMI TR NY    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:24,LS2BATCH,2005-08-31 16:30:24,LS2BATCH,BANK LEUMI USA
026002927,"CATHAY BANK       ",NY,"FLUSHING            ",Y,Y,2005-08-31 16:30:24,LS2BATCH,2005-08-31 16:30:24,LS2BATCH,CATHAY BANK
026002956,"COMMERCEBANK NA   ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:24,LS2BATCH,2005-08-31 16:37:36,"ADMIN2  ","COMMERCEBANK, N.A. NEW YORK BRANCH"
026003010,"WESTDEUT LANDESBK ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:25,LS2BATCH,2005-08-31 16:30:25,LS2BATCH,WESTDEUTSCHE LANDESBANK GIRO.
026003023,"SAFRA NATIONAL    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:25,LS2BATCH,2005-08-31 16:30:25,LS2BATCH,SAFRA NATIONAL BANK OF NEW YORK
026003188,"BK SCOTLAND       ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:25,LS2BATCH,2005-08-31 16:30:25,LS2BATCH,BANK OF SCOTLAND
026003243,"TOR DOM NY BRANCH ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:25,LS2BATCH,2005-08-31 16:30:25,LS2BATCH,TORONTO DOMINION BANK
026003269,"BK OF CHINA NYC   ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:25,LS2BATCH,2005-08-31 16:30:25,LS2BATCH,BANK OF CHINA
026003379,AMALGAMATED BK NYC,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:25,LS2BATCH,2005-08-31 16:30:25,LS2BATCH,AMALGAMATED BANK
026003447,WESTPAC BKING CORP,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:25,LS2BATCH,2005-08-31 16:30:25,LS2BATCH,WESTPAC BANKING CORPORATION
026003450,"BK MONTREAL TC    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:25,LS2BATCH,2005-08-31 16:30:25,LS2BATCH,HARRIS TRUST COMPANY OF NEW YORK
026003557,"BCO BRASIL NYC    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:25,LS2BATCH,2005-08-31 16:30:25,LS2BATCH,BANCO DO BRASIL S.A.
026003719,"DEN DANSKE NYC    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:25,LS2BATCH,2005-08-31 16:30:25,LS2BATCH,DANSKE BANK A/S
026003780,"DEUTSCHE BK NY    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:26,LS2BATCH,2005-08-31 16:37:47,"ADMIN2  ","DEUTSCHE BANK, A.G."
026003968,"CORP BANCA NY     ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:26,LS2BATCH,2005-08-31 16:30:26,LS2BATCH,CORP BANCA C.A.BANCO UNIVERSAL
026004048,"ARAB CORP         ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:26,LS2BATCH,2005-08-31 16:30:26,LS2BATCH,ARAB BANKING CORPORATION
026004077,WELLS FARGO INT NY,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:26,LS2BATCH,2005-08-31 16:30:26,LS2BATCH,WELLS FARGO BANK INTERNATIONAL
026004093,"ROYAL BK CAN NYC  ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:26,LS2BATCH,2005-08-31 16:30:26,LS2BATCH,ROYAL BANK OF CANADA
026004226,"SOCIETE GEN       ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:26,LS2BATCH,2005-08-31 16:30:26,LS2BATCH,SOCIETE GENERALE
026004297,"NATL BK NYC       ",NY,"FLUSHING            ",Y,Y,2005-08-31 16:30:26,LS2BATCH,2005-08-31 16:30:26,LS2BATCH,NATIONAL BANK OF NEW YORK CITY
026004307,"MHCB NY           ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:26,LS2BATCH,2005-08-31 16:38:03,"ADMIN2  ","MIZUHO CORPORATE BANK,LIMITED"
026004747,"TOKAI BK LTD NYC  ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:26,LS2BATCH,2005-08-31 16:30:26,LS2BATCH,UFJ BANK LIMITED
026005050,"UBOCI             ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:26,LS2BATCH,2005-08-31 16:30:26,LS2BATCH,UNION BANK OF CALIFORNIA INT'L
026005092,"WACHOVIA NY INTL  ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:27,LS2BATCH,2005-08-31 16:30:27,LS2BATCH,WACHOVIA NY INTL
026005319,"INTESABCI         ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:27,LS2BATCH,2005-08-31 16:30:27,LS2BATCH,INTESABCI S.P.A.
026005458,"BK INDIA NYC      ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:27,LS2BATCH,2005-08-31 16:30:27,LS2BATCH,BANK OF INDIA
026005487,"NATL CANADA NYC   ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:27,LS2BATCH,2005-08-31 16:30:27,LS2BATCH,NATIONAL BANK OF CANADA
026005652,"BCO CHILE NYC     ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:27,LS2BATCH,2005-08-31 16:30:27,LS2BATCH,BANCO DE CHILE
026005665,MIDLAND BK PLC NYC,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:27,LS2BATCH,2005-08-31 16:30:27,LS2BATCH,MIDLAND BANK PLC
026005720,"ABL NEW YORK      ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:27,LS2BATCH,2005-08-31 16:30:27,LS2BATCH,ARAB BANK PLC
026005908,"MPS NYC           ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:27,LS2BATCH,2005-08-31 16:38:13,"ADMIN2  ","BANCA MONTE DEI PASCHI DI SIENA,S.PA"
026005911,"SHANGHAI COMM NYC ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:27,LS2BATCH,2005-08-31 16:30:27,LS2BATCH,SHANGHAI COMMERCIAL BANK LIMITED
026006237,"BK AUDI USA       ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:27,LS2BATCH,2005-08-31 16:30:27,LS2BATCH,BANK AUDI USA
026006318,BANCA POPOLARE NYC,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:27,LS2BATCH,2005-08-31 16:30:27,LS2BATCH,BANCA POPOLARE DI MILANO
026007184,"NIPPON NYC        ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:28,LS2BATCH,2005-08-31 16:30:28,LS2BATCH,NIPPON CREDIT BANK LIMITED
026007689,"BQE NAT PARIS     ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:28,LS2BATCH,2005-08-31 16:30:28,LS2BATCH,BNP PARIBAS
026007692,"BCO SANTANDER NYC ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:28,LS2BATCH,2005-08-31 16:30:28,LS2BATCH,BANCO SANTANDER CENTRAL HISPANO S.A.
026007922,"FIDUCIARY TR NYC  ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:28,LS2BATCH,2005-08-31 16:30:28,LS2BATCH,FIDUCIARY TRUST CO. INT'L
026007935,BANKBOSTON INTL NY,FL,"CORAL GABLES        ",Y,Y,2005-08-31 16:30:28,LS2BATCH,2005-08-31 16:30:28,LS2BATCH,BANKBOSTON INTERNATIONAL
026007993,"UBS AG NYC        ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:28,LS2BATCH,2005-08-31 16:30:28,LS2BATCH,UBS AG.
026008044,"COMMERZBANK NYC   ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:29,LS2BATCH,2005-08-31 16:30:29,LS2BATCH,COMMERZBANK AKTIENGESELLSCHAFT
026008073,CREDIT LYONNAIS NY,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:29,LS2BATCH,2005-08-31 16:30:29,LS2BATCH,CREDIT LYONNAIS
026008206,IND BK JAPAN TR CO,NJ,"JERSEY CITY         ",Y,Y,2005-08-31 16:30:29,LS2BATCH,2005-08-31 16:30:29,LS2BATCH,MIZUHO CORPORATE BANK (USA)
026008248,"KBC BANK NV NYC   ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:29,LS2BATCH,2005-08-31 16:38:34,"ADMIN2  ","KBC BANK, N.V."
026008303,"DRESDNER BANK NYC ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:29,LS2BATCH,2005-08-31 16:30:29,LS2BATCH,DRESDNER BANK A.G.
026008345,"IND BK JAPAN LTD  ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:29,LS2BATCH,2005-08-31 16:38:43,"ADMIN2  ","MIZUHO CORPORATE BANK,LIMITED"
026008455,"DZ BK AG DEUTSCHE ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:29,LS2BATCH,2005-08-31 16:30:29,LS2BATCH,DZ BANK AG DEUTSCHE ZENTRAL-GENOSSEN
026008617,"BANCA ROMA NYC    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:29,LS2BATCH,2005-08-31 16:38:52,"ADMIN2  ","BANCA DI ROMA, S.P.A"
026008620,"MITSUBISHI TR NYC ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:29,LS2BATCH,2005-08-31 16:30:29,LS2BATCH,MITSUBISHI TR & BKG CORP
026008659,"CF DE CIC UE      ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:29,LS2BATCH,2005-08-31 16:30:29,LS2BATCH,CREDIT INDUSTRIEL ET COMMERCIAL
026008714,BCO BOGOTA NY AGCY,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:30,LS2BATCH,2005-08-31 16:30:30,LS2BATCH,BANCO DE BOGOTA
026008772,"KOREA EXCH BK NYC ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:30,LS2BATCH,2005-08-31 16:30:30,LS2BATCH,KOREA EXCHANGE BANK
026008808,"BAY VEREINS BK    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:30,LS2BATCH,2005-08-31 16:30:30,LS2BATCH,BAYERISCHE HYPO-UND VEREINSBANK AG.
026008811,BCO POPULAR NOAMER,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:30,LS2BATCH,2005-08-31 16:30:30,LS2BATCH,BANCO POPULAR NORTH AMERICA
026008853,"ALLIED IRISH NYC  ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:30,LS2BATCH,2005-08-31 16:30:30,LS2BATCH,ALLIED IRISH BANK LIMITED
026008866,"BK HAPOALIM NYC   ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:30,LS2BATCH,2005-08-31 16:30:30,LS2BATCH,BANK HAPOALIM B.M.
026008895,LONG TERM CR JAPAN,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:30,LS2BATCH,2005-08-31 16:30:30,LS2BATCH,LONG TERM CR BK OF JAPAN LIMITED
026008905,"MCB USA           ",NJ,"JERSEY CITY         ",Y,Y,2005-08-31 16:30:30,LS2BATCH,2005-08-31 16:30:30,LS2BATCH,MIZUHO CORPORATE BANK (USA)
026009027,"COMWEALTH AUSTRAL ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:30,LS2BATCH,2005-08-31 16:30:30,LS2BATCH,COMMONWEALTH BANK OF AUSTRALIA
026009085,"ICBC NYC          ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:30,LS2BATCH,2005-08-31 16:30:30,LS2BATCH,INT'L COMMERCIAL BANK OF CHINA
026009140,"ST BK INDIA NYC   ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:31,LS2BATCH,2005-08-31 16:30:31,LS2BATCH,STATE BANK OF INDIA
026009166,"ST BOS SEC NYC    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:31,LS2BATCH,2005-08-31 16:30:31,LS2BATCH,STATE STREET BANK & TRUST COMPANY
026009179,"CR SUISSE NY      ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:31,LS2BATCH,2005-08-31 16:30:31,LS2BATCH,CREDIT SUISSE FIRST BOSTON
026009470,"ROYAL BK SCOTLAND ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:31,LS2BATCH,2005-08-31 16:30:31,LS2BATCH,ROYAL BANK OF SCOTLAND PLC
026009580,"ABN AMRO NYC      ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:31,LS2BATCH,2005-08-31 16:30:31,LS2BATCH,ABN AMRO BANK N.V.
026009593,"BK AMER NYC       ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:31,LS2BATCH,2005-08-31 16:30:31,LS2BATCH,BANK OF AMERICA NATL TR.& SAV.ASSOC.
026009632,"BTM LTD NY        ",NJ,"JERSEY CITY         ",Y,Y,2005-08-31 16:30:31,LS2BATCH,2005-08-31 16:39:04,"ADMIN2  ","BANK OF TOKYO-MITSUBISHI, LTD."
026009674,"SUMITOMO BK NYC   ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:31,LS2BATCH,2005-08-31 16:30:31,LS2BATCH,SUMITOMO MITSUI BANKING CORPORATION
026009687,"BTM TRUST NY      ",NJ,"JERSEY CITY         ",Y,Y,2005-08-31 16:30:31,LS2BATCH,2005-08-31 16:30:31,LS2BATCH,BANK OF TOKYO-MITSUBISHI TRUST COMP.
026009739,"FHLB NYC          ",NJ,"JERSEY CITY         ",Y,Y,2005-08-31 16:30:31,LS2BATCH,2005-08-31 16:30:31,LS2BATCH,FEDERAL HOME LOAN BANK OF NEW YORK
026009768,ISRAEL DISC BK NYC,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:31,LS2BATCH,2005-08-31 16:30:31,LS2BATCH,ISRAEL DISCOUNT BANK OF NEW YORK
026009797,"FIRST CHGO IN NYC ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:32,LS2BATCH,2005-08-31 16:30:32,LS2BATCH,BANK ONE INTERNATIONAL CORPORATION
026009810,"BCA LAVORA NYC    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:32,LS2BATCH,2005-08-31 16:30:32,LS2BATCH,BANCA NAZIONALE DEL LAVORO
026009823,"SANWA NYC         ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:32,LS2BATCH,2005-08-31 16:30:32,LS2BATCH,UFJ BANK LIMITED
026009849,"BCO ESPANOL NYC   ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:32,LS2BATCH,2005-08-31 16:30:32,LS2BATCH,BANCO ESPANOL DE CREDITO
026009917,"ANZ BK LTD NYC    ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:32,LS2BATCH,2005-08-31 16:30:32,LS2BATCH,AUSTRALIA & NEW ZEALAND BKG. GROUP
026009920,BGE FRAN COMM EXTE,NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:32,LS2BATCH,2005-08-31 16:30:32,LS2BATCH,NATEXIS BANQUES POPULAIRES-NEW YORK
026009988,"NATL BK EGYPT NY  ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:32,LS2BATCH,2005-08-31 16:30:32,LS2BATCH,NATIONAL BANK OF EGYPT
026010090,"SUMITOMO TR NYC   ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:32,LS2BATCH,2005-08-31 16:30:32,LS2BATCH,SUMITOMO TR & BKG CO. LIMITED
026010100,"DAIWA TR NYC      ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:32,LS2BATCH,2005-08-31 16:30:32,LS2BATCH,DAIWA BANK TRUST COMPANY
026010773,"DELTABANK NYC     ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:32,LS2BATCH,2005-08-31 16:30:32,LS2BATCH,DELTA NATIONAL BANK & TRUST COMPANY
