"APS_RID_ACR_PMT_SG","APS_RID_ACR_CY_PMT","APS_CID_LENDER","APS_RID_LENDER_SG","APS_AMT_SHARE","APS_UID_REC_CREATE","APS_UID_REC_UPDATE","APS_TSP_REC_CREATE","APS_TSP_REC_UPDATE","APS_CDE_BRANCH"
"4DEHBVW0","4DEHBVVK","E2E4RAUV","@ME4QUQW","756164.38","JAQUITAN","JAQUITAN","2020-09-30 15:55:03","2020-09-30 15:55:03","CG852"
"4FEHC054","4FEHC04U","AMDPAOVM","@*DZF8KQ","2000","CFRANCIS","CFRANCIS","2020-09-30 17:26:55","2020-09-30 17:26:55",""
"4FEHC04O","4FEHC03G","AMDPAOVM","@*DZF8KQ","2000","CFRANCIS","CFRANCIS","2020-09-30 17:26:55","2020-09-30 17:26:55",""
"SDEI1XLP","SDEI1XLC","E2E4RAUV","@ME4QUQW","90.03","SMANZANO","SMANZANO","2020-10-14 15:50:37","2020-10-14 15:50:37",""
"2SEI2BXF","2SEI2BWY","(KE4Q19S","M.EFIAQS","0","MGRAMT01","MGRAMT01","2020-10-14 21:36:10","2020-10-14 21:36:10",""
"2SEI2BXE","2SEI2BWY","AMDPAOVM","@*DZF8KS","0","MGRAMT01","MGRAMT01","2020-10-14 21:36:10","2020-10-14 21:36:10",""
"2SEI2BXG","2SEI2BWY","FPE4MRNP","FPE4MSO6","0","MGRAMT01","MGRAMT01","2020-10-14 21:36:10","2020-10-14 21:36:10",""
"G8EK1TW3","G8EK1TVY","E2E4RAUV","@ME4QUQW","3.62","CMARTILL","CMARTILL","2020-11-22 13:08:14","2020-11-22 13:08:14","CG852"
"AIEK3QIE","AIEK3QHZ","E2E4RAUV","@ME4QUQW","73977.15","RPTINP01","RPTINP01","2020-11-23 13:01:16","2020-11-23 13:01:16","CG852"
"F)EK5IL0","F)EK5IKW","E2E4RAUV","@ME4QUQW","21.81","CMARTILL","CMARTILL","2020-11-24 12:56:37","2020-11-24 12:56:37","CG852"
"F)EK5ILA","F)EK5IL6","E2E4RAUV","@ME4QUQW","21.81","CMARTILL","CMARTILL","2020-11-24 12:56:37","2020-11-24 12:56:37","CG852"
"IHEFML3O","IHEFML3H","E2E4RAUV","@ME4QUQW","4.23","LIQUSR05","LIQUSR05","2020-08-28 11:24:50","2020-08-28 11:24:50","CG852"
"2AEFMIFV","2AEFMIFK","E2E4RAUV","@ME4QUQW","-737383.56","JAQUITAN","JAQUITAN","2020-08-28 11:25:50","2020-08-28 11:25:50","CG852"
"2OEFMQ5K","2OEFMQ57","E2E4RAUV","@ME4QUQW","0.52","LIQUSR05","LIQUSR05","2020-08-28 13:14:00","2020-08-28 13:14:00","CG852"
"+IEFZRIA","+IEFZRI0","E2E4RAUV","@ME4QUQW","1000","JAQUITAN","JAQUITAN","2020-09-04 14:53:43","2020-09-04 14:53:43",""
"+IEFZRHU","+IEFZRHG","E2E4RAUV","@ME4QUQW","1000","JAQUITAN","JAQUITAN","2020-09-04 14:53:43","2020-09-04 14:53:43",""
"0-EFZRX8","0-EFZRW2","E2E4RAUV","@ME4QUQW","0.58","CMARTILL","CMARTILL","2020-09-04 16:21:52","2020-09-04 16:21:52","CG852"
"+QEFZVO3","+QEFZVNR","E2E4RAUV","@ME4QUQW","500","RPTSUP01","CMARTILL","2020-09-04 17:42:37","2020-09-04 17:53:02",""
"F?EG7C4T","F?EG7C4P","E2E4RAUV","@ME4QUQW","279.45","JAQUITAN","JAQUITAN","2020-09-08 18:20:56","2020-09-08 18:20:56","CG852"
"Z$EG8MR4","Z$EG8MQP","E2E4RAUV","@ME4QUQW","-0.78","CMARTILL","CMARTILL","2020-09-09 10:08:08","2020-09-09 10:08:08","CG852"
"AJEGO1K0","AJEGO1JI","E2E4RAUV","@ME4QUQW","0.77","CMARTILL","CMARTILL","2020-09-17 18:53:53","2020-09-17 18:53:53","CG852"
"KXEGPH46","KXEGPH3V","AMDPAOVM","@*DZF8KQ","1000","LIQSVR05","LIQSVR05","2020-09-18 10:18:33","2020-09-18 10:18:33",""
"V:EH9VP8","V:EH9VP3","E2E4RAUV","@ME4QUQW","11.51","LIQUSR05","LIQUSR05","2020-09-29 11:52:43","2020-09-29 11:52:43","CG852"
"GKEH9QZZ","GKEH9QYS","E2E4RAUV","@ME4QUQW","10000","SMANZANO","SMANZANO","2020-09-29 11:26:34","2020-09-29 11:26:34","CG852"
"G)EHQHTG","G)EHQHSQ","E2E4RAUV","@ME4QUQW","0","LIQUSR02","LIQUSR02","2020-10-08 09:52:38","2020-10-08 09:52:38",""
"Q8EHOSS3","Q8EHOSRU","AMDPAOVM","@*DZF8KS","219.18","LIQUSR03","LIQUSR03","2020-10-07 14:42:52","2020-10-07 14:42:52",""
"G)EHQHOM","G)EHQHO4","E2E4RAUV","@ME4QUQW","0","LIQUSR02","LIQUSR02","2020-10-08 09:51:03","2020-10-08 09:51:03",""
"G(EHQL6K","G(EHQL6F","E2E4RAUV","@ME4QUQW","0.54","LIQSVR02","LIQSVR02","2020-10-08 11:24:48","2020-10-08 11:24:48","CG852"
"=+EI1LIU","=+EI1LI9","E2E4RAUV","@ME4QUQW","676116.48","SMANZANO","SMANZANO","2020-10-14 11:55:06","2020-10-14 11:55:06","CG852"
"$?EI1VNI","$?EI1VN5","E2E4RAUV","@ME4QUQW","200","LIQUSR05","LIQUSR05","2020-10-14 12:34:53","2020-10-14 12:34:53",""
"B:EIIKMB","B:EIIKKA","E2E4RAUV","@ME4QUQW","1546.6","SMANZANO","SMANZANO","2020-10-23 17:00:32","2020-10-23 17:00:32","CG852"
":7EIILGC",":7EIILG5","E2E4RAUV","@ME4QUQW","-1546.6","SMANZANO","SMANZANO","2020-10-23 17:16:45","2020-10-23 17:16:45","CG852"
"3)EJL1J7","3)EJL1IZ","AMDPAOVM","@*DZF8KQ","10","INPAMT01","INPAMT01","2020-11-13 10:15:19","2020-11-13 10:15:19",""
"3)EJL1K5","3)EJL1JW","AMDPAOVM","@*DZF8KQ","10","INPAMT01","INPAMT01","2020-11-13 10:15:19","2020-11-13 10:15:19",""
"AAEK3JKT","AAEK3JKI","AMDPAOVM","@*DZF8KS","9397.26","DANUSR01","DANUSR01","2020-11-23 10:06:15","2020-11-23 10:06:15",""
"AAEK3JKB","AAEK3JJT","AMDPAOVM","@*DZF8KS","9397.26","DANUSR01","DANUSR01","2020-11-23 10:06:15","2020-11-23 10:06:15",""
"IHEFMJ3W","IHEFMJ3K","E2E4RAUV","@ME4QUQW","0","LIQUSR05","LIQUSR05","2020-08-28 09:52:06","2020-08-28 09:52:06",""
"IHEFMKCD","IHEFMKC1","E2E4RAUV","@ME4QUQW","0","LIQUSR05","LIQUSR05","2020-08-28 11:08:27","2020-08-28 11:08:27",""
"2YEFMLXK","2YEFMLXG","E2E4RAUV","@ME4QUQW","164.38","JAQUITAN","JAQUITAN","2020-08-28 12:02:28","2020-08-28 12:02:28","CG852"
"(CEHFUL5","(CEHFUKS","AMDPAOVM","@*DZF8KS","100","FI717102","FI717102","2020-10-02 17:21:35","2020-10-02 17:21:35",""
"#XEHOMRK","#XEHOMRG","E2E4RAUV","@ME4QUQW","0.3","LIQSVR04","LIQSVR04","2020-10-07 09:13:35","2020-10-07 09:13:35","CG852"
"Q8EHOT0F","Q8EHOT06","AMDPAOVM","@*DZF8KS","219.18","LIQUSR03","LIQUSR03","2020-10-07 14:45:05","2020-10-07 14:45:05",""
"FAEHSDEZ","FAEHSDEU","E2E4RAUV","@ME4QUQW","32.88","SMANZANO","SMANZANO","2020-10-09 13:31:55","2020-10-09 13:31:55","CG852"
"F2EHSIQ3","F2EHSIPV","E2E4RAUV","@ME4QUQW","32.88","CMARTILL","CMARTILL","2020-10-09 15:31:18","2020-10-09 15:31:18","CG852"
"SWEI1WU6","SWEI1WTT","E2E4RAUV","@ME4QUQW","105.56","SMANZANO","SMANZANO","2020-10-14 15:43:19","2020-10-14 15:43:19",""
"3GEICZRY","3GEICZRI","E2E4RAUV","@ME4QUQW","50.99","SMANZANO","SMANZANO","2020-10-20 16:42:01","2020-10-20 16:42:01","CG852"
"3GEICZXW","3GEICZXJ","E2E4RAUV","@ME4QUQW","59570.65","SMANZANO","SMANZANO","2020-10-20 16:45:24","2020-10-20 16:45:24","CG852"
"3GEID041","3GEID03R","E2E4RAUV","@ME4QUQW","76538.29","SMANZANO","SMANZANO","2020-10-20 16:49:15","2020-10-20 16:49:15","CG852"
"($EID4WB","($EID4W4","E2E4RAUV","@ME4QUQW","-50.99","SMANZANO","SMANZANO","2020-10-20 17:22:51","2020-10-20 17:22:51","CG852"
"*MEIPYWH","*MEIPYW7","E2E4RAUV","@ME4QUQW","226.77","LIQSVR04","LIQSVR04","2020-10-27 12:40:58","2020-10-27 12:40:58","CG852"
"L3EFXZ4C","L3EFXZ3Z","E2E4RAUV","@ME4QUQW","737383.56","JAQUITAN","JAQUITAN","2020-09-03 16:45:04","2020-09-03 16:45:04","CG852"
"LDEFY5SF","LDEFY5Q5","E2E4RAUV","@ME4QUQW","-737383.56","JANICEA1","JANICEA1","2020-09-03 19:26:02","2020-09-03 19:26:02","CG852"
"0-EFZW5P","0-EFZW5A","E2E4RAUV","@ME4QUQW","500","CMARTILL","CMARTILL","2020-09-04 17:53:02","2020-09-04 17:53:02",""
"AWEG13X0","AWEG13WP","AMDPAOVM","@*DZF8KQ","10000","SMANZANO","SMANZANO","2020-09-05 08:37:09","2020-09-05 08:37:09",""
"A?EG155H","A?EG1559","AMDPAOVM","@*DZF8KQ","-10000","SMANZANO","SMANZANO","2020-09-05 09:22:36","2020-09-05 09:22:36",""
"!GEG56P7","!GEG56NW","E2E4RAUV","@ME4QUQW","-0.78","CMARTILL","CMARTILL","2020-09-07 14:29:22","2020-09-07 14:29:22","CG852"
"!GEG59VW","!GEG59VF","E2E4RAUV","@ME4QUQW","0.58","CMARTILL","CMARTILL","2020-09-07 15:38:12","2020-09-07 15:38:12","CG852"
"!GEG5G8X","!GEG5G8N","E2E4RAUV","@ME4QUQW","0.78","CMARTILL","CMARTILL","2020-09-07 17:55:37","2020-09-07 17:55:37","CG852"
"K#EG6SZT","K#EG6SZN","E2E4RAUV","@ME4QUQW","707580.82","JAQUITAN","JAQUITAN","2020-09-08 10:13:43","2020-09-08 10:13:43","CG852"
"K#EG6SZC","K#EG6SZ8","E2E4RAUV","@ME4QUQW","205.48","JAQUITAN","JAQUITAN","2020-09-08 10:13:43","2020-09-08 10:13:43","CG852"
"FJEG73C1","FJEG73AG","E2E4RAUV","@ME4QUQW","230.3","SMANZANO","SMANZANO","2020-09-08 15:12:10","2020-09-08 15:12:10","CG852"
"FJEG73MS","FJEG73M1","E2E4RAUV","@ME4QUQW","180.66","SMANZANO","SMANZANO","2020-09-08 15:18:39","2020-09-08 15:18:39","CG852"
"FGEG7E5D","FGEG7E59","E2E4RAUV","@ME4QUQW","180.82","JAQUITAN","JAQUITAN","2020-09-08 18:36:00","2020-09-08 18:36:00","CG852"
"OLEGDDIZ","OLEGDDIQ","E2E4RAUV","@ME4QUQW","2.18","CMARTILL","CMARTILL","2020-09-11 13:07:31","2020-09-11 13:07:31","CG852"
"OLEGDDMP","OLEGDDML","E2E4RAUV","@ME4QUQW","1.53","CMARTILL","CMARTILL","2020-09-11 13:16:29","2020-09-11 13:16:29","CG852"
";2EGHREF",";2EGHRE6","E2E4RAUV","@ME4QUQW","749031.37","SMANZANO","SMANZANO","2020-09-14 08:31:01","2020-09-14 08:31:01","CG852"
"OLEGDNQE","OLEGDNQA","E2E4RAUV","@ME4QUQW","0.66","CMARTILL","CMARTILL","2020-09-11 14:49:23","2020-09-11 14:49:23","CG852"
";2EGHRDV",";2EGHRDQ","E2E4RAUV","@ME4QUQW","1045.21","SMANZANO","SMANZANO","2020-09-14 08:31:01","2020-09-14 08:31:01","CG852"
"-MEGLNFT","-MEGLNFP","E2E4RAUV","@ME4QUQW","197.26","SMANZANO","SMANZANO","2020-09-16 11:53:15","2020-09-16 11:53:15","CG852"
"A@EGO1RV","A@EGO1RG","E2E4RAUV","@ME4QUQW","756164.38","JAQUITAN","JAQUITAN","2020-09-17 18:58:32","2020-09-17 18:58:32","CG852"
"PEEGO404","PEEGO3ZO","E2E4RAUV","@ME4QUQW","0","RPTSUP01","RPTSUP01","2020-09-17 19:46:36","2020-09-17 19:46:36",""
"*4EGPB74","*4EGPB5R","AMDPAOVM","@*DZF8KQ","1000","LIQSVR05","LIQSVR05","2020-09-18 09:19:45","2020-09-18 09:19:45",""
"U!EGPIPK","U!EGPIPC","AMDPAOVM","@*DZF8KQ","-1000","LIQUSR05","LIQUSR05","2020-09-18 11:05:54","2020-09-18 11:05:54",""
"UMEGPGRR","UMEGPGRC","E2E4RAUV","@ME4QUQW","250","CMARTILL","CMARTILL","2020-09-18 13:19:54","2020-09-18 13:19:54",""
"9$EGPQOJ","9$EGPQOF","E2E4RAUV","@ME4QUQW","172.6","SMANZANO","SMANZANO","2020-09-18 15:42:27","2020-09-18 15:42:27","CG852"
"9MEGPROC","9MEGPRNZ","E2E4RAUV","@ME4QUQW","-756164.38","JANICEA2","JANICEA2","2020-09-18 17:05:52","2020-09-18 17:05:52","CG852"
"OEEGUSCS","OEEGUSCI","E2E4RAUV","@ME4QUQW","1000","JAQUITAN","JAQUITAN","2020-09-21 10:18:25","2020-09-21 10:18:25",""
"OEEGUSCC","OEEGUSBK","E2E4RAUV","@ME4QUQW","1000","JAQUITAN","JAQUITAN","2020-09-21 10:18:25","2020-09-21 10:18:25",""
"JOEGUYC9","JOEGUYBZ","E2E4RAUV","@ME4QUQW","1000","JAQUITAN","JAQUITAN","2020-09-21 12:20:22","2020-09-21 12:20:22",""
"JOEGUYBT","JOEGUYBE","E2E4RAUV","@ME4QUQW","1000","JAQUITAN","JAQUITAN","2020-09-21 12:20:22","2020-09-21 12:20:22",""
"JJEGUZ7D","JJEGUZ6Y","E2E4RAUV","@ME4QUQW","748635.62","JAQUITAN","JAQUITAN","2020-09-21 12:25:52","2020-09-21 12:25:52","CG852"
"C9EGWSR2","C9EGWSQY","E2E4RAUV","@ME4QUQW","256.6","SMANZANO","SMANZANO","2020-09-22 12:22:38","2020-09-22 12:22:38","CG852"
"N.EH2BP1","N.EH2BOX","E2E4RAUV","@ME4QUQW","2.18","CMARTILL","CMARTILL","2020-09-25 10:56:43","2020-09-25 10:56:43","CG852"
"Q8EH9O6K","Q8EH9O5D","E2E4RAUV","@ME4QUQW","10000","SMANZANO","SMANZANO","2020-09-28 12:49:15","2020-09-28 12:49:15","CG852"
"-$EH2WFT","-$EH2WFE","AMDPAOVM","@*DZF8KU","0","MGALING ","MGALING ","2020-09-25 19:14:04","2020-09-25 19:14:04",""
"I-EFMHH3","I-EFMHGQ","E2E4RAUV","@ME4QUQW","737383.56","JAQUITAN","JAQUITAN","2020-08-28 11:13:07","2020-08-28 11:13:07","CG852"
"2OEFMUKX","2OEFMUKT","E2E4RAUV","@ME4QUQW","0.14","LIQUSR05","LIQUSR05","2020-08-28 14:49:24","2020-08-28 14:49:24","CG852"
"#AEFTRK8","#AEFTRJ9","E2E4RAUV","@ME4QUQW","249.32","SMANZANO","SMANZANO","2020-09-01 10:28:04","2020-09-01 10:28:04","CG852"
"QGEFWGQK","QGEFWGQ2","E2E4RAUV","@ME4QUQW","0","MANZANOS","MANZANOS","2020-09-02 20:48:43","2020-09-02 20:48:43",""
"Y1EH6E4C","Y1EH6E3Z","E2E4RAUV","@ME4QUQW","226849.32","JAQUITAN","JAQUITAN","2020-09-11 14:45:04","2020-09-11 14:45:04","CG852"
"IYEGKRGI","IYEGKRG8","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-09-15 23:02:13","2020-09-15 23:02:13",""
"I(EGKS5U","I(EGKS5K","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-09-15 23:16:44","2020-09-15 23:16:44",""
"I(EGKS77","I(EGKS6X","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-09-15 23:19:11","2020-09-15 23:19:11",""
"I(EGKSAX","I(EGKSAM","AMDPAOVM","@*DZF8KS","50000","DANUSR01","DANUSR01","2020-09-15 23:25:03","2020-09-15 23:25:03",""
"I;EGKT1J","I;EGKT18","AMDPAOVM","@*DZF8KS","50000","DANUSR01","DANUSR01","2020-09-15 23:31:17","2020-09-15 23:31:17",""
"54EH9P68","54EH9P5P","E2E4RAUV","@ME4QUQW","-10000","SMANZANO","SMANZANO","2020-09-28 15:53:44","2020-09-28 15:53:44","CG852"
"LZEH9QNS","LZEH9QN9","E2E4RAUV","@ME4QUQW","-10000","MANZANOS","MANZANOS","2020-09-28 17:41:16","2020-09-28 17:41:16","CG852"
"V:EH9SNW","V:EH9SNN","E2E4RAUV","@ME4QUQW","1045.21","LIQUSR05","LIQUSR05","2020-09-29 10:47:46","2020-09-29 10:47:46","CG852"
"GZEH9RL8","GZEH9RKP","E2E4RAUV","@ME4QUQW","-10000","MANZANOS","MANZANOS","2020-09-29 11:29:34","2020-09-29 11:29:34","CG852"
"94EHDE1J","94EHDE1C","E2E4RAUV","@ME4QUQW","-1000","JAQUITAN","JAQUITAN","2020-10-01 10:07:08","2020-10-01 10:07:08",""
"94EHDE17","94EHDE0W","E2E4RAUV","@ME4QUQW","-1000","JAQUITAN","JAQUITAN","2020-10-01 10:07:08","2020-10-01 10:07:08",""
"9)EHDEU8","9)EHDETY","E2E4RAUV","@ME4QUQW","1000","JAQUITAN","JAQUITAN","2020-10-01 10:12:15","2020-10-01 10:12:15",""
"9)EHDETS","9)EHDETD","E2E4RAUV","@ME4QUQW","1000","JAQUITAN","JAQUITAN","2020-10-01 10:12:15","2020-10-01 10:12:15",""
")4EHDHEX",")4EHDHEM","E2E4RAUV","@ME4QUQW","-7561.64","JAQUITAN","JAQUITAN","2020-10-01 11:18:23","2020-10-01 11:18:23","CG852"
"JIEHZTLZ","JIEHZTLN","E2E4RAUV","@ME4QUQW","1500","LIQUSR05","LIQUSR05","2020-10-13 11:09:17","2020-10-13 13:39:24",""
"@EEI01RD","@EEI01QZ","E2E4RAUV","@ME4QUQW","1500","LIQUSR05","LIQUSR05","2020-10-13 13:39:24","2020-10-13 13:39:24",""
"CXEI01N1","CXEI01MO","E2E4RAUV","@ME4QUQW","-100821.92","JANICEA1","JANICEA1","2020-10-13 16:24:09","2020-10-13 16:24:09","CG852"
"($EID50W","($EID50N","E2E4RAUV","@ME4QUQW","50.99","SMANZANO","SMANZANO","2020-10-20 17:26:35","2020-10-20 17:26:35","CG852"
"U*EIQN85","U*EIQN7Q","FPE4MRNP","FPE4MSO6","1.3","KIDUENAS","KIDUENAS","2020-10-28 01:21:36","2020-10-28 01:21:36",""
"U*EIQN83","U*EIQN7Q","AMDPAOVM","@*DZF8KQ","7.8","KIDUENAS","KIDUENAS","2020-10-28 01:21:36","2020-10-28 01:21:36",""
"U*EIQN84","U*EIQN7Q","(KE4Q19S","(KE4Q1RL","3.9","KIDUENAS","KIDUENAS","2020-10-28 01:21:36","2020-10-28 01:21:36",""
"U*EIQN7F","U*EIQN71","AMDPAOVM","@*DZF8KQ","7.8","KIDUENAS","KIDUENAS","2020-10-28 01:21:36","2020-10-28 01:21:36",""
"U*EIQN7D","U*EIQN71","FPE4MRNP","FPE4MSO6","1.3","KIDUENAS","KIDUENAS","2020-10-28 01:21:36","2020-10-28 01:21:36",""
"U*EIQN7E","U*EIQN71","(KE4Q19S","(KE4Q1RL","3.9","KIDUENAS","KIDUENAS","2020-10-28 01:21:36","2020-10-28 01:21:36",""
"+2EFZSR6","+2EFZSQE","E2E4RAUV","@ME4QUQW","-1000","JANICEA1","JANICEA1","2020-09-04 16:39:49","2020-09-04 16:39:49",""
"0-EFZT1P","0-EFZT11","E2E4RAUV","@ME4QUQW","0.78","CMARTILL","CMARTILL","2020-09-04 16:46:08","2020-09-04 16:46:08","CG852"
"+2EFZSRI","+2EFZSRB","E2E4RAUV","@ME4QUQW","-1000","JANICEA1","JANICEA1","2020-09-04 16:39:49","2020-09-04 16:39:49",""
"+:EGNW1X","+:EGNW1T","E2E4RAUV","@ME4QUQW","47.78","SMANZANO","SMANZANO","2020-09-17 16:54:37","2020-09-17 16:54:37","CG852"
"P9EGO63G","P9EGO639","E2E4RAUV","@ME4QUQW","-1000","JAQUITAN","JAQUITAN","2020-09-17 19:10:48","2020-09-17 19:10:48",""
"P9EGO634","P9EGO62T","E2E4RAUV","@ME4QUQW","-1000","JAQUITAN","JAQUITAN","2020-09-17 19:10:48","2020-09-17 19:10:48",""
"9GEGPS9W","9GEGPS8Y","E2E4RAUV","@ME4QUQW","-47.78","SMANZANO","SMANZANO","2020-09-18 16:20:05","2020-09-18 16:20:05","CG852"
"T-EGQBMT","T-EGQBMK","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 00:25:45","2020-09-19 00:25:45",""
"T-EGQBLA","T-EGQBL2","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 00:25:45","2020-09-19 00:25:45",""
"T-EGQC8R","T-EGQC8I","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 00:38:50","2020-09-19 00:38:50",""
"T-EGQC78","T-EGQC70","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 00:38:50","2020-09-19 00:38:50",""
"T-EGQCIY","T-EGQCIP","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 00:41:58","2020-09-19 00:41:58",""
"T-EGQCHC","T-EGQCH4","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 00:41:58","2020-09-19 00:41:58",""
"T-EGQCSZ","T-EGQCSQ","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 00:46:37","2020-09-19 00:46:37",""
"T-EGQCRG","T-EGQCR8","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 00:46:37","2020-09-19 00:46:37",""
"T-EGQD3W","T-EGQD3N","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 00:51:36","2020-09-19 00:51:36",""
"T-EGQD2D","T-EGQD25","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 00:51:36","2020-09-19 00:51:36",""
"T-EGQDET","T-EGQDEK","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 00:56:54","2020-09-19 00:56:54",""
"T-EGQDDA","T-EGQDD2","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 00:56:54","2020-09-19 00:56:54",""
"T-EGQDO5","T-EGQDNW","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 01:07:02","2020-09-19 01:07:02",""
"T-EGQDMM","T-EGQDME","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 01:07:02","2020-09-19 01:07:02",""
"T:EGQEO9","T:EGQEO0","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 01:22:11","2020-09-19 01:22:11",""
"T:EGQEMN","T:EGQEMF","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 01:22:11","2020-09-19 01:22:11",""
"T5EGQFQQ","T5EGQFQH","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 01:42:40","2020-09-19 01:42:40",""
"T5EGQFP4","T5EGQFOW","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 01:42:40","2020-09-19 01:42:40",""
"TVEGQGUU","TVEGQGUL","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 01:59:20","2020-09-19 01:59:20",""
"TVEGQGTB","TVEGQGT3","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 01:59:20","2020-09-19 01:59:20",""
"TVEGQHDM","TVEGQHDD","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 02:15:58","2020-09-19 02:15:58",""
"TVEGQHC3","TVEGQHBV","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 02:15:58","2020-09-19 02:15:58",""
"TVEGQHQL","TVEGQHQC","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 02:22:26","2020-09-19 02:22:26",""
"TVEGQHOZ","TVEGQHOR","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 02:22:26","2020-09-19 02:22:26",""
"T0EGQIQO","T0EGQIQF","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 02:31:59","2020-09-19 02:31:59",""
"T0EGQIP2","T0EGQIOU","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 02:31:59","2020-09-19 02:31:59",""
"T*EGQJUD","T*EGQJU4","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 02:47:18","2020-09-19 02:47:18",""
"T*EGQJSR","T*EGQJSJ","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 02:47:18","2020-09-19 02:47:18",""
"8PEGQLB0","8PEGQLAR","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 02:59:06","2020-09-19 02:59:06",""
"8PEGQL9H","8PEGQL99","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 02:59:06","2020-09-19 02:59:06",""
"8PEGQLJA","8PEGQLJ1","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 03:03:02","2020-09-19 03:03:02",""
"8PEGQLHR","8PEGQLHJ","AMDPAOVM","@*DZF8KQ","1000000","DANUSR01","DANUSR01","2020-09-19 03:03:02","2020-09-19 03:03:02",""
"CBEGWTJ1","CBEGWTIM","E2E4RAUV","@ME4QUQW","-256.6","MANZANOS","MANZANOS","2020-09-22 12:37:08","2020-09-22 12:37:08","CG852"
"-$EH2WA9","-$EH2W9U","AMDPAOVM","@*DZF8KU","0","MGALING ","MGALING ","2020-09-25 19:12:10","2020-09-25 19:12:10",""
"-$EH2WD0","-$EH2WCL","AMDPAOVM","@*DZF8KU","0","MGALING ","MGALING ","2020-09-25 19:12:58","2020-09-25 19:12:58",""
"LFEH9Q55","LFEH9Q3Y","E2E4RAUV","@ME4QUQW","10000","SMANZANO","SMANZANO","2020-09-28 17:39:06","2020-09-28 17:39:06","CG852"
"9OEHDKBK","9OEHDKBG","E2E4RAUV","@ME4QUQW","1","LIQUSR05","LIQUSR05","2020-10-01 10:32:49","2020-10-01 10:32:49","CG852"
")AEHDGK4",")AEHDGJQ","E2E4RAUV","@ME4QUQW","-756164.38","JAQUITAN","JAQUITAN","2020-10-01 11:06:19","2020-10-01 11:06:19","CG852"
".@EHDVVB",".@EHDVUV","E2E4RAUV","@ME4QUQW","500","LIQUSR03","LIQUSR03","2020-10-01 16:48:38","2020-10-01 16:50:50",""
"?EEHN4CT","?EEHN4C3","E2E4RAUV","@ME4QUQW","0","LIQUSR05","LIQUSR05","2020-10-06 13:19:51","2020-10-06 13:19:51",""
"NJEHN8QU","NJEHN8Q4","E2E4RAUV","@ME4QUQW","-0.59","LIQUSR03","LIQUSR03","2020-10-06 19:07:24","2020-10-06 19:07:24","CG852"
"4FEHBZWT","4FEHBZWJ","AMDPAOVM","@*DZF8KQ","1000","CFRANCIS","CFRANCIS","2020-09-30 17:21:56","2020-09-30 17:21:56",""
