"PRE_PID_PRODUCT_ID","PRE_CDE_PROD_TYPE","PRE_CDE_EVENT_TYPE","PRE_TSP_REC_CREATE","PRE_TSP_REC_UPDATE","PRE_UID_REC_CREATE","PRE_UID_REC_UPDATE","PRE_DTE_EFFECTIVE","PRE_RID_PROD_EVENT","PRE_TXT_AMEND_NUM","PRE_RID_OLD_PRD_EV","PRE_CDE_OWNER_TYPE","PRE_RID_OWNER","PRE_DTE_PREVIOUS","PRE_TXT_USER_DATA","PRE_TXT_EVENT_CMT","PRE_CDE_BRANCH"
")YEHXS7X","DEA  ","PSPDU","2020-10-13 16:04:09","2020-10-13 16:04:09","RPTMGR01","RPTMGR01","2021-03-01 00:00:00","CHEHZYWK","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 01-Mar-2021","CG852"
")YEHXS7X","DEA  ","STA  ","2020-10-13 15:55:23","2020-10-13 15:55:23","RPTINP01","RPTINP01","2021-03-01 00:00:00","@SEHZYHP","","","","","","","Warnings occurred during validation: N","CG852"
")YEHXS7X","DEA  ","URDEA","2020-10-12 11:05:56","2020-10-12 11:05:56","CESSINP1","CESSINP1","2020-07-13 00:00:00",")YEHXS88","","","","","","","","CG852"
"*4EI53P2","DEA  ","CRTE ","2020-10-16 09:17:24","2020-10-16 09:17:24","ARFELI01","ARFELI01","2021-03-08 00:00:00","*4EI53P7","","","","","","","Host Bank Deal.","CG852"
"*4EI53P2","DEA  ","FRHCH","2020-10-16 09:24:26","2020-10-16 09:24:26","ARFELI01","ARFELI01","2021-03-08 00:00:00","*4EI53QZ","","","","","","","Debt Service Coverage Ratio (DSCR) changed to 1 beginning 08-Mar-2021.","CG852"
"*4EI53P2","DEA  ","URDEA","2020-10-16 09:21:56","2020-10-16 09:21:56","ARFELI01","ARFELI01","2021-03-08 00:00:00","*4EI53QV","","","","","","","","CG852"
"*4EI53R8","FAC  ","CRTE ","2020-10-16 09:28:18","2020-10-16 09:28:18","ARFELI01","ARFELI01","2021-03-08 00:00:00","*4EI53R9","","","","","","","","CG852"
"+OEH9ZC4","DEA  ","APRVD","2020-09-29 14:28:07","2020-09-29 14:28:07","JANICEA1","JANICEA1","2020-07-08 00:00:00","+;EH9ZVT","","","","","","","Approval completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"+OEH9ZC4","DEA  ","CLDT ","2020-09-29 14:29:06","2020-09-29 14:29:06","JANICEA1","JANICEA1","2020-07-08 00:00:00","+;EH9ZYD","","","","","","","","CG852"
"+OEH9ZC4","DEA  ","CRTE ","2020-09-29 14:20:02","2020-09-29 14:20:02","JAQUITAN","JAQUITAN","2020-07-08 00:00:00","+OEH9ZC9","","","","","","","Host Bank Deal. Copied from: AMS_RPA_DEAL_SOLE_LENDER_UNTICKED","CG852"
"+OEH9ZC4","DEA  ","PSPDU","2020-09-29 14:29:04","2020-09-29 14:29:04","JANICEA1","JANICEA1","2020-07-08 00:00:00","+;EH9ZXK","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 08-Jul-2020","CG852"
"+OEH9ZC4","DEA  ","STA  ","2020-09-29 14:26:51","2020-09-29 14:26:51","JAQUITAN","JAQUITAN","2020-07-08 00:00:00","+OEH9ZIU","","","","","","","Warnings occurred during validation: N","CG852"
"+OEH9ZC4","DEA  ","URDEA","2020-09-29 14:20:35","2020-09-29 14:20:35","JAQUITAN","JAQUITAN","2020-07-08 00:00:00","+OEH9ZEL","","","","","","","","CG852"
"+OEH9ZD0","FAC  ","CRTE ","2020-09-29 14:20:06","2020-09-29 14:20:06","JAQUITAN","JAQUITAN","2020-07-08 00:00:00","+OEH9ZD1","","","","","","","Copied from: AMS_RPA_FACILITY","CG852"
"+OEH9ZD0","FAC  ","FDDCH","2020-10-09 10:29:43","2020-10-09 10:29:43","MANZANOM","MANZANOM","2020-07-10 00:00:00","4HEHS9IY","","","","","","","First loan drawdown date changed to 10-Jul-2020.","CG852"
"+OEH9ZD0","FAC  ","RECLS","2020-10-09 10:29:43","2020-10-09 10:29:43","MANZANOM","MANZANOM","2020-07-10 00:00:00","4HEHS9IZ","","","DPRCL","","","","Automatic discount P/L reclass due to release of Euro LIBOR Option Initial Drawdown (60001156).","CG852"
"+OEH9ZD0","FAC  ","TGDTE","2020-09-29 14:29:06","2020-09-29 14:29:06","JANICEA1","JANICEA1","2020-07-08 00:00:00","+;EH9ZXW","","","","","","","Delayed trigger date modified (08-Jul-2020)","CG852"
"+TEHQI55","DEA  ","CRTE ","2020-10-08 12:14:01","2020-10-08 12:14:01","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQI5A","","","","","","","Host Bank Deal.","CG852"
"+TEHQI5K","DEA  ","CRTE ","2020-10-08 12:27:02","2020-10-08 12:27:02","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQI5P","","","","","","","Host Bank Deal.","CG852"
"+TEHQI5Y","DEA  ","CRTE ","2020-10-08 12:33:20","2020-10-08 12:33:20","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQI63","","","","","","","Host Bank Deal.","CG852"
"+TEHQI6F","DEA  ","CRTE ","2020-10-08 12:39:33","2020-10-08 12:39:33","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQI6K","","","","","","","Host Bank Deal.","CG852"
"+TEHQI6W","DEA  ","CRTE ","2020-10-08 12:48:13","2020-10-08 12:48:13","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQI71","","","","","","","Host Bank Deal.","CG852"
"+TEHQI7N","DEA  ","CRTE ","2020-10-08 13:03:35","2020-10-08 13:03:35","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQI7S","","","","","","","Host Bank Deal.","CG852"
"+TEHQI7N","DEA  ","URDEA","2020-10-08 13:05:55","2020-10-08 13:05:55","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQI9M","","","","","","","","CG852"
"+TEHQI9O","DEA  ","CRTE ","2020-10-08 13:15:07","2020-10-08 13:15:07","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQI9T","","","","","","","Host Bank Deal.","CG852"
"+TEHQI9O","DEA  ","FRHCH","2020-10-08 13:19:03","2020-10-08 13:19:03","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQIBR","","","","","","","Debt Service Coverage Ratio (DSCR) changed to 1 beginning 10-jul.-2020.","CG852"
"+TEHQI9O","DEA  ","URDEA","2020-10-08 13:17:30","2020-10-08 13:17:30","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQIBN","","","","","","","","CG852"
"+TEHQIIH","DEA  ","CRTE ","2020-10-08 13:31:24","2020-10-08 13:31:24","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQIIM","","","","","","","Host Bank Deal.","CG852"
"+TEHQIIH","DEA  ","FRHCH","2020-10-08 13:35:27","2020-10-08 13:35:27","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQIP9","","","","","","","Debt Service Coverage Ratio (DSCR) changed to 1 beginning 10-jul.-2020.","CG852"
"+TEHQIIH","DEA  ","URDEA","2020-10-08 13:33:47","2020-10-08 13:33:47","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQIN9","","","","","","","","CG852"
"+TEHQISO","FAC  ","CRTE ","2020-10-08 13:37:32","2020-10-08 13:37:32","ARFELI01","ARFELI01","2020-07-10 00:00:00","+TEHQISP","","","","","","","","CG852"
".FEF9QSQ","DEA  ","APRVD","2020-08-21 15:49:22","2020-08-21 15:49:22","FI717102","FI717102","2020-05-27 00:00:00","..EF9WZE","","","","","","","Approval completed.  Approver: DENG, ANDREW. Job Function: Deal Administration Manager; Ranking: 10. Location: Sydney, NSW,Australia.","CG852"
".FEF9QSQ","DEA  ","CLDT ","2020-08-21 15:50:27","2020-08-21 15:50:27","LIQUSR03","LIQUSR03","2020-05-27 00:00:00",".FEF9T8T","","","","","","","","CG852"
".FEF9QSQ","DEA  ","CRTE ","2020-08-21 14:35:26","2020-08-21 14:35:26","LIQUSR03","LIQUSR03","2020-05-27 00:00:00",".FEF9QSV","","","","","","","Host Bank Deal.","CG852"
".FEF9QSQ","DEA  ","PSPDU","2020-08-21 15:47:15","2020-08-21 15:47:15","LIQUSR03","LIQUSR03","2020-05-27 00:00:00",".FEF9T2K","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 27-May-2020","CG852"
".FEF9QSQ","DEA  ","PSPDU","2020-08-21 15:50:26","2020-08-21 15:50:26","LIQUSR03","LIQUSR03","2020-05-27 00:00:00",".FEF9T7Z","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 27-May-2020","CG852"
".FEF9QSQ","DEA  ","RENME","2020-08-24 12:07:53","2020-08-24 12:07:53","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","Y5EFF54F","","","","","","","Name changed from TEST DEAL MANUAL CP 4 to TEST DEAL MANUAL CP 4 - IGNORE Alias changed from TESTDEALMANUALCP4 to TESTDEALMANUALCP4IGN","CG852"
".FEF9QSQ","DEA  ","STA  ","2020-08-21 15:47:16","2020-08-21 15:47:16","LIQUSR03","LIQUSR03","2020-05-27 00:00:00",".FEF9T2V","","","","","","","Warnings occurred during validation: N","CG852"
".FEF9QTS","FAC  ","CRTE ","2020-08-21 14:40:39","2020-08-21 14:40:39","LIQUSR03","LIQUSR03","2020-05-27 00:00:00",".FEF9QTT","","","","","","","","CG852"
".FEF9QTS","FAC  ","FDDCH","2020-08-21 15:55:33","2020-08-21 15:55:33","LIQUSR03","LIQUSR03","2020-05-27 00:00:00",".FEF9THL","","","","","","","First loan drawdown date changed to 27-May-2020.","CG852"
".FEF9QTS","FAC  ","RECLS","2020-08-21 15:55:33","2020-08-21 15:55:33","LIQUSR03","LIQUSR03","2020-05-27 00:00:00",".FEF9THM","","","DPRCL","","","","Automatic discount P/L reclass due to release of Euro LIBOR Option Initial Drawdown (60000425).","CG852"
".KEHY3KB","DEA  ","CRTE ","2020-10-12 15:17:30","2020-10-12 15:17:30","DELINP01","DELINP01","2020-07-13 00:00:00",".KEHY3KG","","","","","","","Host Bank Deal.","CG852"
".KEHY3KB","DEA  ","URDEA","2020-10-12 15:21:22","2020-10-12 15:21:22","DELINP01","DELINP01","2020-07-13 00:00:00",".KEHY3M4","","","","","","","","CG852"
".XEHY4LC","DEA  ","APRVD","2020-10-12 15:43:53","2020-10-12 15:43:53","LIQAPCP3","LIQAPCP3","2020-07-13 00:00:00","T;EHY7AG","","","","","","","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
".XEHY4LC","DEA  ","CLDT ","2020-10-12 15:44:02","2020-10-12 15:44:02","LIQAPCP3","LIQAPCP3","2020-07-13 00:00:00","T;EHY7D5","","","","","","","","CG852"
".XEHY4LC","DEA  ","CRTE ","2020-10-12 15:24:50","2020-10-12 15:24:50","LIQUSR03","LIQUSR03","2020-07-13 00:00:00",".XEHY4LH","","","","","","","Host Bank Deal.","CG852"
".XEHY4LC","DEA  ","PSPDU","2020-10-12 15:44:01","2020-10-12 15:44:01","LIQAPCP3","LIQAPCP3","2020-07-13 00:00:00","T;EHY7BQ","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 13-Jul-2020","CG852"
".XEHY4LC","DEA  ","STA  ","2020-10-12 15:42:49","2020-10-12 15:42:49","LIQUSR03","LIQUSR03","2020-07-13 00:00:00","TCEHY6XT","","","","","","","Warnings occurred during validation: N","CG852"
".XEHY4LC","DEA  ","URDEA","2020-10-12 15:32:08","2020-10-12 15:32:08","LIQUSR03","LIQUSR03","2020-07-13 00:00:00","TOEHY5JA","","","","","","","","CG852"
".XEHY4PA","FAC  ","CRTE ","2020-10-12 15:27:35","2020-10-12 15:27:35","LIQUSR03","LIQUSR03","2020-07-13 00:00:00",".XEHY4PB","","","","","","","","CG852"
"0JEGNPY5","FAC  ","CMI  ","2020-09-17 13:17:38","2020-09-17 13:17:38","MANZANOS","MANZANOS","2020-06-25 00:00:00","0REGNQJ5","1    ","","FTR  ","0JEGNQ0R","","","Unscheduled increase of 100,000,000.00, under amendment number 1","CG852"
"0JEGNPY5","FAC  ","CRTE ","2020-09-17 13:07:05","2020-09-17 13:07:05","SMANZANO","SMANZANO","2020-06-25 00:00:00","0JEGNPY6","","","","","","","","CG852"
"0JEGNPY5","FAC  ","IPRC ","2020-09-17 13:11:27","2020-09-17 13:11:27","SMANZANO","SMANZANO","2020-06-25 00:00:00","0JEGNPZY","","","","","","","USD LIBOR Option: added","CG852"
"0JEGNPY5","FAC  ","OPRC ","2020-09-17 13:10:10","2020-09-17 13:10:10","SMANZANO","SMANZANO","2020-06-25 00:00:00","0JEGNPZ3","","","","","","","Facility Ongoing Fee - Commitment Fee: added","CG852"
"0REF4EYL","DEA  ","APRVD","2020-08-18 16:45:20","2020-08-18 16:45:20","FI717102","FI717102","2020-05-27 00:00:00","+XEF4L5G","","","","","","","Approval completed.  Approver: DENG, ANDREW. Job Function: Deal Administration Manager; Ranking: 10. Location: Sydney, NSW,Australia.","CG852"
"0REF4EYL","DEA  ","CLDT ","2020-08-18 16:48:57","2020-08-18 16:48:57","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","0REF4HI6","","","","","","","","CG852"
"0REF4EYL","DEA  ","CRTE ","2020-08-18 15:46:55","2020-08-18 15:46:55","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","0REF4EYQ","","","","","","","Host Bank Deal.","CG852"
"0REF4EYL","DEA  ","PCTCL","2020-08-27 16:17:56","2020-08-27 16:17:56","LIQUSR03","LIQUSR03","2020-05-29 00:00:00","7;EFL2GZ","","","PCP  ","7;EFL2GT","",""," ","CG852"
"0REF4EYL","DEA  ","PCTCL","2020-10-01 16:19:24","2020-10-01 16:19:24","LIQAPCP3","LIQAPCP3","2020-07-09 00:00:00",".KEHDS31","","","PCP  ","ZMEHDRL5","",""," ","CG852"
"0REF4EYL","DEA  ","PCTRL","2020-08-31 18:27:47","2020-08-31 18:27:47","LIQUSR03","LIQUSR03","2020-05-29 00:00:00","-VEFSJ59","","","PCP  ","7;EFL2HS","","","Repayment for TEST DEAL MANUAL CP 2 of 1,183.43 has been applied.","CG852"
"0REF4EYL","DEA  ","PCTRL","2020-09-03 21:57:16","2020-09-03 21:57:16","LIQUSR03","LIQUSR03","2020-05-29 00:00:00","51EFYCVJ","","","PCP  ",":OEFW1RP","","","Repayment for TEST DEAL MANUAL CP 2 of 1,183.43 has been applied.","CG852"
"0REF4EYL","DEA  ","PCTRL","2020-09-04 16:34:08","2020-09-04 16:34:08","LIQUSR03","LIQUSR03","2020-05-29 00:00:00","*!EFZUXD","","","PCP  ","+:EFZTMV","","","Repayment for TEST DEAL MANUAL CP 2 of 1,183.43 has been applied.","CG852"
"0REF4EYL","DEA  ","PCTRL","2020-10-06 19:50:41","2020-10-06 19:50:41","LIQUSR03","LIQUSR03","2020-07-09 00:00:00","X?EHNAUD","","","PCP  ","NJEHN9A4","","","Paper Clip for TEST DEAL MANUAL CP 2 of 10,000.00 has been applied.","CG852"
"0REF4EYL","DEA  ","PSPDU","2020-08-18 16:39:22","2020-08-18 16:39:22","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","0REF4H1J","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 27-May-2020","CG852"
"0REF4EYL","DEA  ","RENME","2020-08-20 15:35:08","2020-08-20 15:35:08","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","Z;EF7YMY","","","","","","","Name changed from TEST DEAL MANUAL CP 1 to TEST DEAL MANUAL CP 2 Alias changed from TESTDEALMANUALCP1 to TESTDEALMANUALCP2","CG852"
"0REF4EYL","DEA  ","RPCTC","2020-09-03 22:00:05","2020-09-03 22:00:05","LIQUSR03","LIQUSR03","2020-05-29 00:00:00","51EFYCX7","","","PCP  ","51EFYCW5","",""," ","CG852"
"0REF4EYL","DEA  ","STA  ","2020-08-18 16:39:34","2020-08-18 16:39:34","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","0REF4H23","","","","","","","Warnings occurred during validation: N","CG852"
"0REF4EYL","DEA  ","UFFP1","2020-10-06 20:39:46","2020-10-06 20:39:46","LIQUSR03","LIQUSR03","2020-07-09 00:00:00","I?EHND1D","","","PTR  ",".SEHE1LG","","","","CG852"
"0REF4EYL","DEA  ","UPRC ","2020-10-01 19:53:11","2020-10-01 19:53:11","LIQUSR03","LIQUSR03","2020-07-09 00:00:00",".SEHE1K4","","","","","","","Upfront Fee - Underwriting Fee: added","CG852"
"0REF4EYL","DEA  ","URDEA","2020-08-18 16:33:41","2020-08-18 16:33:41","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","0REF4GS8","","","","","","","","CG852"
"0REF4FMA","FAC  ","CRTE ","2020-08-18 16:08:34","2020-08-18 16:08:34","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","0REF4FME","","","","","","","","CG852"
"0REF4FMA","FAC  ","FCTRD","2020-09-17 10:16:00","2020-09-17 10:16:00","LIQSVR04","LIQSVR04","2020-06-25 00:00:00","VUEGNJ9I","","","FCTRN","L$EGNHWN","","","Facility Change Transaction for FACILITY A released.","CG852"
"0REF4FMA","FAC  ","FCTRD","2020-09-17 10:41:33","2020-09-17 10:41:33","LIQSVR05","LIQSVR05","2020-06-25 00:00:00","V8EGNKCV","","","FCTRN","V.EGNJRT","","","Facility Change Transaction for FACILITY A released.","CG852"
"0REF4FMA","FAC  ","FDDCH","2020-08-20 15:18:03","2020-08-20 15:18:03","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","Z;EF7Y8Q","","","","","","","First loan drawdown date changed to 27-May-2020.","CG852"
"0REF4FMA","FAC  ","IPRC ","2020-08-26 15:31:25","2020-08-26 15:31:25","FI717102","FI717102","2020-05-28 00:00:00","=8EFJ5CI","","","","","","","Pricing Changed by Pricing Change Transaction Number 1","CG852"
"0REF4FMA","FAC  ","OPRC ","2020-08-26 15:31:25","2020-08-26 15:31:25","FI717102","FI717102","2020-05-28 00:00:00","=8EFJ5CG","","","","","","","Pricing Changed by Pricing Change Transaction Number 1","CG852"
"0REF4FMA","FAC  ","PRCHR","2020-08-26 15:31:25","2020-08-26 15:31:25","FI717102","FI717102","2020-05-28 00:00:00","=8EFJ5CM","","","FPRCH","H+EFJ1GM","","","Pricing Change Transaction Number 1 released. Drill down to see details","CG852"
"0REF4FMA","FAC  ","RECLS","2020-08-20 15:18:03","2020-08-20 15:18:03","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","Z;EF7Y8R","","","DPRCL","","","","Automatic discount P/L reclass due to release of Euro LIBOR Option Initial Drawdown (60000366).","CG852"
"3.EFFDYP","DEA  ","APRVD","2020-08-24 15:11:16","2020-08-24 15:11:16","JANICEA1","JANICEA1","2020-05-27 00:00:00","3YEFFEFR","","","","","","","Approval completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"3.EFFDYP","DEA  ","CLDT ","2020-08-24 15:11:25","2020-08-24 15:11:25","JANICEA1","JANICEA1","2020-05-27 00:00:00","3YEFFEH4","","","","","","","","CG852"
"3.EFFDYP","DEA  ","CRTE ","2020-08-24 14:58:17","2020-08-24 14:58:17","JAQUITAN","JAQUITAN","2020-05-27 00:00:00","3.EFFDYU","","","","","","","Host Bank Deal.","CG852"
"3.EFFDYP","DEA  ","PSPDU","2020-08-24 15:11:24","2020-08-24 15:11:24","JANICEA1","JANICEA1","2020-05-27 00:00:00","3YEFFEG9","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 27-May-2020","CG852"
"3.EFFDYP","DEA  ","STA  ","2020-08-24 15:10:27","2020-08-24 15:10:27","JAQUITAN","JAQUITAN","2020-05-27 00:00:00","3.EFFE37","","","","","","","Warnings occurred during validation: N","CG852"
"3.EFFDYP","DEA  ","URDEA","2020-08-24 14:58:26","2020-08-24 14:58:26","JAQUITAN","JAQUITAN","2020-05-27 00:00:00","3.EFFDZ0","","","","","","","","CG852"
"3.EFFDZL","FAC  ","CRTE ","2020-08-24 15:01:25","2020-08-24 15:01:25","JAQUITAN","JAQUITAN","2020-05-27 00:00:00","3.EFFDZM","","","","","","","","CG852"
"3.EFFDZL","FAC  ","FDDCH","2020-08-24 16:23:15","2020-08-24 16:23:15","JANICEA1","JANICEA1","2020-05-27 00:00:00","3QEFFIVK","","","","","","","First loan drawdown date changed to 27-May-2020.","CG852"
"3.EFFDZL","FAC  ","RECLS","2020-08-24 16:23:15","2020-08-24 16:23:15","JANICEA1","JANICEA1","2020-05-27 00:00:00","3QEFFIVL","","","DPRCL","","","","Automatic discount P/L reclass due to release of Euro LIBOR Option Initial Drawdown (60000473).","CG852"
"3.EFFDZL","FAC  ","TGDTE","2020-08-24 15:11:25","2020-08-24 15:11:25","JANICEA1","JANICEA1","2020-05-27 00:00:00","3YEFFEGL","","","","","","","Delayed trigger date modified (27-May-2020)","CG852"
"34EITIZT","FAC  ","CRTE ","2020-10-29 13:46:51","2020-10-29 13:46:51","TESTINP ","TESTINP ","2021-08-12 00:00:00","34EITIZU","","","","","","","","CG852"
"34EITJ7N","FAC  ","AMSSC","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","2021-08-12 00:00:00","34EITJG2","","","","","","","The schedule Indicator has been changed from:  to: Final.","CG852"
"34EITJ7N","FAC  ","CRTE ","2020-10-29 14:24:58","2020-10-29 14:24:58","TESTINP ","TESTINP ","2021-08-12 00:00:00","34EITJ7O","","","","","","","","CG852"
"34EITJ7N","FAC  ","FDDCH","2020-10-30 15:46:45","2020-10-30 15:46:45","TESTMGR ","TESTMGR ","2021-09-15 00:00:00","M#EIVG1G","","","","","","","First loan drawdown date changed to 15-Sep-2021.","CG852"
"34EITJ7N","FAC  ","RECLS","2020-10-30 15:46:45","2020-10-30 15:46:45","TESTMGR ","TESTMGR ","2021-09-15 00:00:00","M#EIVG1H","","","DPRCL","","","","Automatic discount P/L reclass due to release of Fixed Rate Option Initial Drawdown (60001344).","CG852"
"38EHZOL4","FAC  ","CMI  ","2020-10-13 11:05:18","2020-10-13 11:05:18","JANICEA1","JANICEA1","2021-03-01 00:00:00","3MEHZOSC","3    ","","FTR  ","38EHZONM","","","Unscheduled increase of 200,000,000.00, under amendment number 3","CG852"
"38EHZOL4","FAC  ","CRTE ","2020-10-13 10:52:13","2020-10-13 10:52:13","JAQUITAN","JAQUITAN","2021-03-01 00:00:00","38EHZOL5","","","","","","","","CG852"
"38EHZOL4","FAC  ","FDDCH","2020-10-13 12:36:22","2020-10-13 12:36:22","JANICEA1","JANICEA1","2021-03-01 00:00:00","(0EHZSB6","","","","","","","First loan drawdown date changed to 01-Mar-2021.","CG852"
"38EHZOL4","FAC  ","IPRC ","2020-10-13 10:56:06","2020-10-13 10:56:06","JAQUITAN","JAQUITAN","2021-03-01 00:00:00","38EHZOMS","","","","","","","GBP LIBOR Option: added","CG852"
"38EHZOL4","FAC  ","OPRC ","2020-10-13 10:55:01","2020-10-13 10:55:01","JAQUITAN","JAQUITAN","2021-03-01 00:00:00","38EHZOM0","","","","","","","Facility Ongoing Fee - Commitment Fee: added","CG852"
"38EHZOL4","FAC  ","RECLS","2020-10-13 12:36:22","2020-10-13 12:36:22","JANICEA1","JANICEA1","2021-03-01 00:00:00","(0EHZSB7","","","DPRCL","","","","Automatic discount P/L reclass due to release of GBP LIBOR Option Initial Drawdown (60001183).","CG852"
"3MEFH2AH","DEA  ","APRVD","2020-08-25 14:58:12","2020-08-25 14:58:12","LIQAPCP3","LIQAPCP3","2020-05-27 00:00:00","CPEFH9F4","","","","","","","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"3MEFH2AH","DEA  ","CLDT ","2020-08-25 14:58:30","2020-08-25 14:58:30","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","@+EFH72S","","","","","","","","CG852"
"3MEFH2AH","DEA  ","CRTE ","2020-08-25 13:50:12","2020-08-25 13:50:12","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","3MEFH2AM","","","","","","","Host Bank Deal.","CG852"
"3MEFH2AH","DEA  ","PSPDU","2020-08-25 14:57:46","2020-08-25 14:57:46","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","@+EFH70Z","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 27-May-2020","CG852"
"3MEFH2AH","DEA  ","RENME","2020-08-26 12:56:06","2020-08-26 12:56:06","LIQUSR03","LIQUSR03","2020-05-28 00:00:00","H+EFIWDC","","","","","","","Name changed from TEST DEAL MANUAL CP 4 to TEST DEAL MANUAL CP 4 - IGNORE 3 Alias changed from TESTDEALMANUALCP4 to TESTDEALMANUALCP4IG3","CG852"
"3MEFH2AH","DEA  ","STA  ","2020-08-25 14:57:48","2020-08-25 14:57:48","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","@+EFH71B","","","","","","","Warnings occurred during validation: N","CG852"
"3MEFH2AH","DEA  ","URDEA","2020-08-25 14:44:34","2020-08-25 14:44:34","LIQUSR03","LIQUSR03","2020-05-27 00:00:00","@+EFH6W2","","","","","","","","CG852"
"3ZEFFD20","DEA  ","APRVD","2020-08-24 14:53:05","2020-08-24 14:53:05","JANICEA1","JANICEA1","2020-05-27 00:00:00","3EEFFDJ2","","","","","","","Approval completed.  Approver: JANICEA1, JANICEA1. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"3ZEFFD20","DEA  ","CLDT ","2020-08-24 14:53:17","2020-08-24 14:53:17","JANICEA1","JANICEA1","2020-05-27 00:00:00","3EEFFDKF","","","","","","","","CG852"
"3ZEFFD20","DEA  ","CRTE ","2020-08-24 14:22:58","2020-08-24 14:22:58","JAQUITAN","JAQUITAN","2020-05-27 00:00:00","3ZEFFD25","","","","","","","Host Bank Deal.","CG852"
"3ZEFFD20","DEA  ","PSPDU","2020-08-24 14:53:15","2020-08-24 14:53:15","JANICEA1","JANICEA1","2020-05-27 00:00:00","3EEFFDJK","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 27-May-2020","CG852"
"3ZEFFD20","DEA  ","STA  ","2020-08-24 14:52:23","2020-08-24 14:52:23","JAQUITAN","JAQUITAN","2020-05-27 00:00:00","3ZEFFD6I","","","","","","","Warnings occurred during validation: N","CG852"
"3ZEFFD20","DEA  ","URDEA","2020-08-24 14:23:04","2020-08-24 14:23:04","JAQUITAN","JAQUITAN","2020-05-27 00:00:00","3ZEFFD2B","","","","","","","","CG852"
"3ZEFFD2W","FAC  ","CRTE ","2020-08-24 14:36:54","2020-08-24 14:36:54","JAQUITAN","JAQUITAN","2020-05-27 00:00:00","3ZEFFD2X","","","","","","","","CG852"
"3ZEFFD2W","FAC  ","FDDCH","2020-08-24 16:16:45","2020-08-24 16:16:45","JANICEA1","JANICEA1","2020-05-27 00:00:00","3IEFFGSJ","","","","","","","First loan drawdown date changed to 27-May-2020.","CG852"
"3ZEFFD2W","FAC  ","RECLS","2020-08-24 16:16:45","2020-08-24 16:16:45","JANICEA1","JANICEA1","2020-05-27 00:00:00","3IEFFGSK","","","DPRCL","","","","Automatic discount P/L reclass due to release of Euro LIBOR Option Initial Drawdown (60000472).","CG852"
"3ZEFFD2W","FAC  ","TGDTE","2020-08-24 14:53:17","2020-08-24 14:53:17","JANICEA1","JANICEA1","2020-05-27 00:00:00","3EEFFDJW","","","","","","","Delayed trigger date modified (27-May-2020)","CG852"
