"PHC_RID_CALENDAR","PHC_IND_BORR_INT","PHC_CDE_CALENDAR","PHC_IND_EFFEC_DATE","PHC_IND_FXRATE_STG","PHC_IND_INTRTE_STG","PHC_RID_OWNER","PHC_CDE_OWNER_TYPE","PHC_IND_PADV_DATES","PHC_IND_BILLING","PHC_TSP_REC_CREATE","PHC_TSP_REC_UPDATE","PHC_UID_REC_CREATE","PHC_UID_REC_UPDATE","PHC_CDE_BRANCH"
"0JEGNP9V","Y","NLAMS","Y","Y","Y","0JEGNP9U","OST  ","Y","Y","2020-09-17 13:04:24","2020-09-17 13:04:24","SMANZANO","SMANZANO","CG852"
"0JEGNPI4","Y","NLAMS","Y","Y","Y","0JEGNPI3","OST  ","Y","Y","2020-09-17 13:05:23","2020-09-17 13:05:23","SMANZANO","SMANZANO","CG852"
"0JEGNPQD","Y","NLAMS","Y","Y","Y","0JEGNPQC","OST  ","Y","Y","2020-09-17 13:06:05","2020-09-17 13:06:05","SMANZANO","SMANZANO","CG852"
"0KEFZE05","Y","NLAMS","Y","Y","Y","0KEFZE04","CDECH","Y","Y","2020-09-04 11:07:51","2020-09-04 11:07:51","JAQUITAN","JAQUITAN",""
"0KEFZE06","Y","NLAMS","Y","Y","Y","0KEFZE03","GTR  ","Y","Y","2020-09-04 11:07:51","2020-09-04 11:07:51","JAQUITAN","JAQUITAN",""
"0REF4EYN","Y","NLAMS","Y","Y","Y","0REF4EYL","DEA  ","Y","Y","2020-08-18 15:46:55","2020-08-18 15:46:55","LIQUSR03","LIQUSR03","CG852"
"16EJ2N16","Y","NLAMS","Y","Y","Y","16EJ2N15","OST  ","Y","Y","2020-11-03 15:35:49","2020-11-03 15:35:49","C116594 ","C116594 ","CG852"
"1:EHLCWJ","Y","NLAMS","Y","Y","Y","1:EHLCWI","OST  ","Y","Y","2020-10-05 20:06:39","2020-10-05 20:06:39","A116594 ","A116594 ","CG852"
"1;EFJ1ZC","Y","NLAMS","Y","Y","Y","1;EFJ1ZB","OST  ","Y","Y","2020-08-26 15:39:55","2020-08-26 15:39:55","SMANZANO","SMANZANO","CG852"
"2)EFMJC4","Y","NLAMS","Y","Y","Y","2)EFMJC3","OST  ","Y","Y","2020-08-28 11:39:47","2020-08-28 11:39:47","JAQUITAN","JAQUITAN","CG852"
"2OEFMMMS","Y","NLAMS","Y","Y","Y","2OEFMMMR","LRP  ","Y","Y","2020-08-28 11:54:53","2020-08-28 11:54:53","LIQUSR05","LIQUSR05","CG852"
"2OEFMMR6","Y","NLAMS","Y","Y","Y","2OEFMMR5","OST  ","Y","Y","2020-08-28 11:59:10","2020-08-28 11:59:10","LIQUSR05","LIQUSR05","CG852"
"2OEFMSFE","Y","NLAMS","Y","Y","Y","2OEFMSFD","LRP  ","Y","Y","2020-08-28 14:03:16","2020-08-28 14:03:16","LIQUSR05","LIQUSR05",""
"2PEI269B","Y","AUSYD","Y","Y","Y","2PEI269A","OST  ","Y","Y","2020-10-14 20:13:00","2020-10-14 20:13:00","SMANZANO","SMANZANO","CG852"
"2YEFMLIJ","Y","NLAMS","Y","Y","Y","2YEFMLII","LRP  ","Y","Y","2020-08-28 11:59:39","2020-08-28 11:59:39","JAQUITAN","JAQUITAN","CG852"
"2YEFMLKY","Y","NLAMS","Y","Y","Y","2YEFMLKX","OST  ","Y","Y","2020-08-28 11:59:59","2020-08-28 11:59:59","JAQUITAN","JAQUITAN","CG852"
"2YEFMLQ9","Y","NLAMS","Y","Y","Y","2YEFMLQ8","LRP  ","Y","Y","2020-08-28 12:01:47","2020-08-28 12:01:47","JAQUITAN","JAQUITAN","CG852"
"2YEFMLSN","Y","NLAMS","Y","Y","Y","2YEFMLSM","OST  ","Y","Y","2020-08-28 12:02:01","2020-08-28 12:02:01","JAQUITAN","JAQUITAN","CG852"
"2YEFMLYW","Y","NLAMS","Y","Y","Y","2YEFMLYV","OST  ","Y","Y","2020-08-28 12:03:01","2020-08-28 12:03:01","JAQUITAN","JAQUITAN","CG852"
"3.EFFDYR","Y","NLAMS","Y","Y","Y","3.EFFDYP","DEA  ","Y","Y","2020-08-24 14:58:17","2020-08-24 14:58:17","JAQUITAN","JAQUITAN","CG852"
"32EFFH8Z","Y","NLAMS","Y","Y","Y","32EFFH8Y","OST  ","Y","Y","2020-08-24 16:19:23","2020-08-24 16:19:23","JAQUITAN","JAQUITAN","CG852"
"34EHZNM7","Y","NLAMS","Y","Y","Y","34EHZNM6","OST  ","Y","Y","2020-10-13 10:34:31","2020-10-13 10:34:31","JAQUITAN","JAQUITAN","CG852"
"3=EHZP5C","Y","NLAMS","Y","Y","Y","3=EHZP5B","OST  ","Y","Y","2020-10-13 11:08:25","2020-10-13 11:08:25","JAQUITAN","JAQUITAN","CG852"
"3?EGFNKS","Y","NLAMS","Y","Y","Y","3?EGFNKR","OST  ","Y","Y","2020-09-13 06:21:31","2020-09-13 06:21:31","LOANIQ01","LOANIQ01","CG852"
"3MEFH2AJ","Y","NLAMS","Y","Y","Y","3MEFH2AH","DEA  ","Y","Y","2020-08-25 13:50:12","2020-08-25 13:50:12","LIQUSR03","LIQUSR03","CG852"
"3PEFFD79","Y","NLAMS","Y","Y","Y","3PEFFD78","OST  ","Y","Y","2020-08-24 13:57:53","2020-08-24 13:57:53","LIQUSR03","LIQUSR03","CG852"
"3SEFFFIJ","Y","NLAMS","Y","Y","Y","3SEFFFII","OST  ","Y","Y","2020-08-24 16:13:20","2020-08-24 16:13:20","JAQUITAN","JAQUITAN","CG852"
"3TEFFGLZ","Y","NLAMS","Y","Y","Y","3TEFFGLY","OST  ","Y","Y","2020-08-24 15:04:42","2020-08-24 15:04:42","LIQUSR05","LIQUSR05","CG852"
"3TEFFGY2","Y","NLAMS","Y","Y","Y","3TEFFGY1","OST  ","Y","Y","2020-08-24 15:13:16","2020-08-24 15:13:16","LIQUSR05","LIQUSR05","CG852"
"3ZEFFD22","Y","NLAMS","Y","Y","Y","3ZEFFD20","DEA  ","Y","Y","2020-08-24 14:22:58","2020-08-24 14:22:58","JAQUITAN","JAQUITAN","CG852"
"4.EHBQJF","Y","NLAMS","Y","Y","Y","4.EHBQJE","OST  ","Y","Y","2020-09-30 14:09:45","2020-09-30 14:09:45","CMARTILL","CMARTILL","CG852"
"40EDZTD9","Y","AUSYD","Y","Y","Y","40EDZTD7","DEA  ","Y","Y","2020-07-27 18:38:53","2020-07-27 18:38:53","INPCHER ","INPCHER ","CG852"
"41EHS9YL","Y","NLAMS","Y","Y","Y","41EHS9YK","OST  ","Y","Y","2020-10-09 10:31:14","2020-10-09 10:31:14","SMANZANO","SMANZANO","CG852"
"41EHSACA","Y","NLAMS","Y","Y","Y","41EHSAC9","OST  ","Y","Y","2020-10-09 10:37:36","2020-10-09 10:37:36","SMANZANO","SMANZANO","CG852"
"42EHS9YG","Y","NLAMS","Y","Y","Y","42EHS9YE","DEA  ","Y","Y","2020-10-09 11:04:23","2020-10-09 11:04:23","LIQUSR03","LIQUSR03","CG852"
"43EHS5JN","Y","NLAMS","Y","Y","Y","43EHS5JM","LRP  ","Y","Y","2020-10-09 09:27:43","2020-10-09 09:27:43","SMANZANO","SMANZANO","CG852"
"43EHS5MM","Y","NLAMS","Y","Y","Y","43EHS5ML","OST  ","Y","Y","2020-10-09 09:28:24","2020-10-09 09:28:24","SMANZANO","SMANZANO","CG852"
"44EF64ES","Y","NLAMS","Y","Y","Y","44EF64ER","OST  ","Y","Y","2020-08-19 13:17:33","2020-08-19 13:17:33","LIQUSR05","LIQUSR05","CG852"
"44EF64K4","Y","NLAMS","Y","Y","Y","44EF64K3","LRP  ","Y","Y","2020-08-19 13:25:29","2020-08-19 13:25:29","LIQUSR05","LIQUSR05","CG852"
"44EF64ML","Y","NLAMS","Y","Y","Y","44EF64MK","OST  ","Y","Y","2020-08-19 13:28:15","2020-08-19 13:28:15","LIQUSR05","LIQUSR05","CG852"
"4;EHS6NY","Y","NLAMS","Y","Y","Y","4;EHS6NX","LRP  ","Y","Y","2020-10-09 10:09:14","2020-10-09 10:09:14","SMANZANO","SMANZANO","CG852"
"4;EHS6Q0","Y","NLAMS","Y","Y","Y","4;EHS6PZ","OST  ","Y","Y","2020-10-09 10:15:23","2020-10-09 10:15:23","SMANZANO","SMANZANO","CG852"
"4;EHS6U0","Y","NLAMS","Y","Y","Y","4;EHS6TZ","OST  ","Y","Y","2020-10-09 10:17:32","2020-10-09 10:17:32","SMANZANO","SMANZANO","CG852"
"4DEG5CY2","Y","NLAMS","Y","Y","Y","4DEG5CY1","LRP  ","Y","Y","2020-09-07 16:39:06","2020-09-07 16:39:06","JAQUITAN","JAQUITAN","CG852"
"4DEG5D0F","Y","NLAMS","Y","Y","Y","4DEG5D0E","OST  ","Y","Y","2020-09-07 16:39:27","2020-09-07 16:39:27","JAQUITAN","JAQUITAN","CG852"
"4GEHSB0O","Y","NLAMS","Y","Y","Y","4GEHSAYO","DEA  ","Y","Y","2020-10-09 11:32:19","2020-10-09 11:32:19","ARFELI01","ARFELI01","CG852"
"4GEHSB35","Y","NLAMS","Y","Y","Y","4GEHSB15","DEA  ","Y","Y","2020-10-09 11:57:46","2020-10-09 11:57:46","ARFELI01","ARFELI01","CG852"
"4GEHSB5M","Y","NLAMS","Y","Y","Y","4GEHSB3M","DEA  ","Y","Y","2020-10-09 12:16:28","2020-10-09 12:16:28","ARFELI01","ARFELI01","CG852"
"4GEHSB83","Y","NLAMS","Y","Y","Y","4GEHSB63","DEA  ","Y","Y","2020-10-09 12:41:43","2020-10-09 12:41:43","ARFELI01","ARFELI01","CG852"
"4IEG5EWO","Y","NLAMS","Y","Y","Y","4IEG5EWN","LRP  ","Y","Y","2020-09-07 17:18:20","2020-09-07 17:18:20","JAQUITAN","JAQUITAN","CG852"
"4IEG5EY9","Y","NLAMS","Y","Y","Y","4IEG5EY8","LRP  ","Y","Y","2020-09-07 17:19:20","2020-09-07 17:19:20","JAQUITAN","JAQUITAN","CG852"
"4IEG5FAJ","Y","NLAMS","Y","Y","Y","4IEG5FAI","OST  ","Y","Y","2020-09-07 17:34:38","2020-09-07 17:34:38","JAQUITAN","JAQUITAN","CG852"
"4MEHS8E9","Y","NLAMS","Y","Y","Y","4MEHS8E8","OST  ","Y","Y","2020-10-09 10:25:43","2020-10-09 10:25:43","SMANZANO","SMANZANO","CG852"
"5+EHOSQK","Y","NLAMS","Y","Y","Y","5+EHOSQJ","OST  ","Y","Y","2020-10-07 17:20:32","2020-10-07 17:20:32","C116594 ","C116594 ","CG852"
"5PEFXSFR","Y","AUMEL","Y","Y","Y","5PEFXSFQ","CDECH","Y","Y","2020-09-03 14:37:08","2020-09-03 14:37:08","JCUSR01 ","JCUSR01 ",""
"5PEFXSFS","Y","AUSYD","Y","Y","Y","5PEFXSFQ","CDECH","Y","Y","2020-09-03 14:37:08","2020-09-03 14:37:08","JCUSR01 ","JCUSR01 ",""
"5PEFXSFT","Y","AUMEL","Y","Y","Y","5PEFXSFP","GTR  ","Y","Y","2020-09-03 14:37:08","2020-09-03 14:37:08","JCUSR01 ","JCUSR01 ",""
"5PEFXSFU","Y","AUSYD","Y","Y","Y","5PEFXSFP","GTR  ","Y","Y","2020-09-03 14:37:08","2020-09-03 14:37:08","JCUSR01 ","JCUSR01 ",""
"6.EGZ9LR","Y","AUMEL","Y","Y","Y","6.EGZ9LQ","LRP  ","Y","Y","2020-09-23 20:22:12","2020-09-23 20:22:12","JCUSR01 ","JCUSR01 ",""
"6.EGZ9LS","Y","AUSYD","Y","Y","Y","6.EGZ9LQ","LRP  ","Y","Y","2020-09-23 20:22:12","2020-09-23 20:22:12","JCUSR01 ","JCUSR01 ",""
"6YEIVDYR","Y","AUSYD","Y","Y","Y","6YEIVDYQ","OST  ","Y","Y","2020-10-30 14:46:44","2020-10-30 14:46:44","TESTINP ","TESTINP ","CG852"
"6YEIVDYS","Y","NLAMS","Y","Y","Y","6YEIVDYQ","OST  ","Y","Y","2020-10-30 14:46:44","2020-10-30 14:46:44","TESTINP ","TESTINP ","CG852"
"7(EFL02J","Y","NLAMS","Y","Y","Y","7(EFL02I","OST  ","Y","Y","2020-08-27 16:27:11","2020-08-27 16:27:11","SMANZANO","SMANZANO","CG852"
"7)EET3QQ","Y","AUSYD","Y","Y","Y","7)EET3QP","OST  ","Y","Y","2020-08-12 15:22:02","2020-08-12 15:22:02","CMARTILL","CMARTILL","CG852"
"7)EETAUA","Y","AUSYD","Y","Y","Y","7)EETAU9","OST  ","Y","Y","2020-08-12 17:52:14","2020-08-12 17:52:14","CMARTILL","CMARTILL","CG852"
"7)EETFNS","Y","AUSYD","Y","Y","Y","7)EETFNR","OST  ","Y","Y","2020-08-12 19:39:41","2020-08-12 19:39:41","CMARTILL","CMARTILL","CG852"
"7+EFL3X3","Y","AUSYD","Y","Y","Y","7+EFL3X2","LRP  ","Y","Y","2020-08-27 17:20:34","2020-08-27 17:20:34","DJRHINPT","DJRHINPT",""
"7+EFL3X4","Y","USNYC","Y","Y","Y","7+EFL3X2","LRP  ","Y","Y","2020-08-27 17:20:34","2020-08-27 17:20:34","DJRHINPT","DJRHINPT",""
"71EFL042","Y","AUSYD","Y","Y","Y","71EFL041","LRP  ","Y","Y","2020-08-27 16:25:25","2020-08-27 16:25:25","DJRHINPT","DJRHINPT",""
"71EFL043","Y","USNYC","Y","Y","Y","71EFL041","LRP  ","Y","Y","2020-08-27 16:25:25","2020-08-27 16:25:25","DJRHINPT","DJRHINPT",""
"72EFL1C1","Y","AUSYD","Y","Y","Y","72EFL1C0","LRP  ","Y","Y","2020-08-27 16:56:25","2020-08-27 16:56:25","DJRHINPT","DJRHINPT",""
"72EFL1C2","Y","USNYC","Y","Y","Y","72EFL1C0","LRP  ","Y","Y","2020-08-27 16:56:25","2020-08-27 16:56:25","DJRHINPT","DJRHINPT",""
"7?EJ6TYI","Y","AUMEL","Y","Y","Y","7?EJ6TYH","CDECH","Y","Y","2020-11-05 21:53:17","2020-11-05 21:53:17","LOANIQ01","LOANIQ01",""
"7?EJ6TYJ","Y","AUSYD","Y","Y","Y","7?EJ6TYH","CDECH","Y","Y","2020-11-05 21:53:17","2020-11-05 21:53:17","LOANIQ01","LOANIQ01",""
"7?EJ6TYK","Y","JPTYO","Y","Y","Y","7?EJ6TYH","CDECH","Y","Y","2020-11-05 21:53:17","2020-11-05 21:53:17","LOANIQ01","LOANIQ01",""
"7?EJ6TYL","Y","SGSIN","Y","Y","Y","7?EJ6TYH","CDECH","Y","Y","2020-11-05 21:53:17","2020-11-05 21:53:17","LOANIQ01","LOANIQ01",""
"7?EJ6TYM","Y","USNYC","Y","Y","Y","7?EJ6TYH","CDECH","Y","Y","2020-11-05 21:53:17","2020-11-05 21:53:17","LOANIQ01","LOANIQ01",""
"7?EJ6TYN","Y","AUMEL","Y","Y","Y","7?EJ6TYG","GTR  ","Y","Y","2020-11-05 21:53:17","2020-11-05 21:53:17","LOANIQ01","LOANIQ01",""
"7?EJ6TYO","Y","AUSYD","Y","Y","Y","7?EJ6TYG","GTR  ","Y","Y","2020-11-05 21:53:17","2020-11-05 21:53:17","LOANIQ01","LOANIQ01",""
"7?EJ6TYP","Y","JPTYO","Y","Y","Y","7?EJ6TYG","GTR  ","Y","Y","2020-11-05 21:53:17","2020-11-05 21:53:17","LOANIQ01","LOANIQ01",""
"7?EJ6TYQ","Y","SGSIN","Y","Y","Y","7?EJ6TYG","GTR  ","Y","Y","2020-11-05 21:53:17","2020-11-05 21:53:17","LOANIQ01","LOANIQ01",""
"7?EJ6TYR","Y","USNYC","Y","Y","Y","7?EJ6TYG","GTR  ","Y","Y","2020-11-05 21:53:17","2020-11-05 21:53:17","LOANIQ01","LOANIQ01",""
"7GEFL2JT","Y","NLAMS","Y","Y","Y","7GEFL2JQ","OST  ","Y","Y","2020-08-27 17:49:11","2020-08-27 17:49:11","SMANZANO","SMANZANO","CG852"
"7MEHN1Y2","Y","NLAMS","Y","Y","Y","7MEHN1Y1","LRP  ","Y","Y","2020-10-06 15:55:13","2020-10-06 15:55:13","CMARTILL","CMARTILL","CG852"
"7MEHN24I","Y","NLAMS","Y","Y","Y","7MEHN24H","OST  ","Y","Y","2020-10-06 15:58:12","2020-10-06 15:58:12","CMARTILL","CMARTILL","CG852"
"7MEHN2R4","Y","NLAMS","Y","Y","Y","7MEHN2R3","LRP  ","Y","Y","2020-10-06 16:57:52","2020-10-06 16:57:52","CMARTILL","CMARTILL",""
"7MEHN31K","Y","NLAMS","Y","Y","Y","7MEHN31J","LRP  ","Y","Y","2020-10-06 17:04:13","2020-10-06 17:04:13","CMARTILL","CMARTILL",""
"7MEHN3WL","Y","NLAMS","Y","Y","Y","7MEHN3WK","LRP  ","Y","Y","2020-10-06 17:22:57","2020-10-06 17:22:57","CMARTILL","CMARTILL","CG852"
"7MEHN43K","Y","NLAMS","Y","Y","Y","7MEHN43J","LRP  ","Y","Y","2020-10-06 17:27:12","2020-10-06 17:27:12","CMARTILL","CMARTILL","CG852"
"7MEHN4HL","Y","NLAMS","Y","Y","Y","7MEHN4HK","LRP  ","Y","Y","2020-10-06 17:35:57","2020-10-06 17:35:57","CMARTILL","CMARTILL","CG852"
"86EFDXX3","Y","AUSYD","Y","Y","Y","86EFDXX2","OST  ","Y","Y","2020-08-23 21:17:03","2020-08-23 21:17:03","CMARTILL","CMARTILL","CG852"
"9$EGPQAQ","Y","NLAMS","Y","Y","Y","9$EGPQAP","LRP  ","Y","Y","2020-09-18 15:40:10","2020-09-18 15:40:10","SMANZANO","SMANZANO","CG852"
"9$EGPQEN","Y","NLAMS","Y","Y","Y","9$EGPQEM","OST  ","Y","Y","2020-09-18 15:40:48","2020-09-18 15:40:48","SMANZANO","SMANZANO","CG852"
"92EHDFN2","Y","NLAMS","Y","Y","Y","92EHDFN1","OST  ","Y","Y","2020-10-01 11:47:56","2020-10-01 11:47:56","CMARTILL","CMARTILL","CG852"
"92EHDPMG","Y","NLAMS","Y","Y","Y","92EHDPMF","OST  ","Y","Y","2020-10-01 15:36:23","2020-10-01 15:36:23","CMARTILL","CMARTILL","CG852"
"9@EGPQ3P","Y","NLAMS","Y","Y","Y","9@EGPQ3O","LRP  ","Y","Y","2020-09-18 15:05:06","2020-09-18 15:05:06","JAQUITAN","JAQUITAN","CG852"
"9@EGPQ6B","Y","NLAMS","Y","Y","Y","9@EGPQ6A","OST  ","Y","Y","2020-09-18 15:07:42","2020-09-18 15:07:42","JAQUITAN","JAQUITAN","CG852"
"9EEK5WDY","Y","NLAMS","Y","Y","Y","9EEK5WDW","DEA  ","Y","Y","2020-11-24 17:54:47","2020-11-24 17:54:47","SKOUSR01","SKOUSR01","CG852"
"9EEK5YB1","Y","NLAMS","Y","Y","Y","9EEK5YAZ","DEA  ","Y","Y","2020-11-24 18:29:18","2020-11-24 18:29:18","SKOUSR01","SKOUSR01","CG852"
"9EEK5YBP","Y","AUSYD","Y","Y","Y","9EEK5YAZ","DEA  ","Y","Y","2020-11-24 18:34:15","2020-11-24 18:34:15","SKOUSR01","SKOUSR01","CG852"
"9FEGPOB4","Y","NLAMS","Y","Y","Y","9FEGPOB3","LRP  ","Y","Y","2020-09-18 14:43:15","2020-09-18 14:43:15","SMANZANO","SMANZANO","CG852"
"9FEGPOG1","Y","NLAMS","Y","Y","Y","9FEGPOG0","OST  ","Y","Y","2020-09-18 14:49:21","2020-09-18 14:49:21","SMANZANO","SMANZANO","CG852"
"9OEHDK3N","Y","NLAMS","Y","Y","Y","9OEHDK3M","LRP  ","Y","Y","2020-10-01 10:26:35","2020-10-01 10:26:35","LIQUSR05","LIQUSR05","CG852"
"9OEHDK61","Y","NLAMS","Y","Y","Y","9OEHDK60","OST  ","Y","Y","2020-10-01 10:31:28","2020-10-01 10:31:28","LIQUSR05","LIQUSR05","CG852"
"9OEHDKFI","Y","NLAMS","Y","Y","Y","9OEHDKFH","LRP  ","Y","Y","2020-10-01 10:50:52","2020-10-01 10:50:52","LIQUSR05","LIQUSR05","CG852"
"9OEHDKIV","Y","NLAMS","Y","Y","Y","9OEHDKIU","OST  ","Y","Y","2020-10-01 10:52:06","2020-10-01 10:52:06","LIQUSR05","LIQUSR05","CG852"
"9SEF82GW","Y","AUMEL","Y","Y","Y","9SEF82GV","LRP  ","Y","Y","2020-08-20 17:15:46","2020-08-20 17:15:46","JCUSR01 ","JCUSR01 ",""
"9SEF82GX","Y","AUSYD","Y","Y","Y","9SEF82GV","LRP  ","Y","Y","2020-08-20 17:15:46","2020-08-20 17:15:46","JCUSR01 ","JCUSR01 ",""
"9TEHSZ30","Y","NLAMS","Y","Y","Y","9TEHSZ2Y","DEA  ","Y","Y","2020-10-09 20:17:52","2020-10-09 20:17:52","CESSINP1","CESSINP1","CG852"
"9ZEF82FM","Y","NLAMS","Y","Y","Y","9ZEF82FK","DEA  ","Y","Y","2020-08-20 16:37:35","2020-08-20 16:37:35","JAQUITAN","JAQUITAN","CG852"
"9ZEGPOEA","Y","NLAMS","Y","Y","Y","9ZEGPOE9","LRP  ","Y","Y","2020-09-18 14:47:11","2020-09-18 14:47:11","JAQUITAN","JAQUITAN","CG852"
"9ZEGPOGY","Y","NLAMS","Y","Y","Y","9ZEGPOGX","OST  ","Y","Y","2020-09-18 14:48:30","2020-09-18 14:48:30","JAQUITAN","JAQUITAN","CG852"
":(EIIF96","Y","NLAMS","Y","Y","Y",":(EIIF95","OST  ","Y","Y","2020-10-23 16:22:41","2020-10-23 16:22:41","C116594 ","C116594 ","CG852"
":*EDFXOB","Y","NLAMS","Y","Y","Y",":*EDFXA8","DEA  ","Y","Y","2020-07-17 02:09:01","2020-07-17 02:09:01","FJUSRAM ","FJUSRAM ","CG852"
":*EDFXOO","Y","AUSYD","Y","Y","Y",":*EDFXA8","DEA  ","Y","Y","2020-07-17 02:09:14","2020-07-17 02:09:14","FJUSRAM ","FJUSRAM ","CG852"
":*EDG1F6","Y","NLAMS","Y","Y","Y",":*EDG12Y","DEA  ","Y","Y","2020-07-17 03:29:59","2020-07-17 03:29:59","FJUSRAM ","FJUSRAM ","CG852"
":*EDG1FR","Y","AUSYD","Y","Y","Y",":*EDG12Y","DEA  ","Y","Y","2020-07-17 03:30:18","2020-07-17 03:30:18","FJUSRAM ","FJUSRAM ","CG852"
":+EH7WBB","Y","NLAMS","Y","Y","Y",":+EH7WBA","OST  ","Y","Y","2020-09-28 12:14:42","2020-09-28 12:14:42","SMANZANO","SMANZANO","CG852"
":+EH7WYC","Y","NLAMS","Y","Y","Y",":+EH7WYB","OST  ","Y","Y","2020-09-28 12:18:02","2020-09-28 12:18:02","SMANZANO","SMANZANO","CG852"
":+EH8RM0","Y","NLAMS","Y","Y","Y",":+EH8RLZ","OST  ","Y","Y","2020-09-28 12:31:54","2020-09-28 12:31:54","SMANZANO","SMANZANO","CG852"
":+EJEFS8","Y","NLAMS","Y","Y","Y",":+EJEFS6","DEA  ","Y","Y","2020-11-09 20:51:32","2020-11-09 20:51:32","CESSINP1","CESSINP1","CG852"
":+EJEFT3","Y","AUSYD","Y","Y","Y",":+EJEFS6","DEA  ","Y","Y","2020-11-09 20:56:54","2020-11-09 20:56:54","CESSINP1","CESSINP1","CG852"
":+EJEFT4","Y","GBLON","Y","Y","Y",":+EJEFS6","DEA  ","Y","Y","2020-11-09 20:57:23","2020-11-09 20:57:23","CESSINP1","CESSINP1","CG852"
":+EJEFT5","Y","NOOSL","Y","Y","Y",":+EJEFS6","DEA  ","Y","Y","2020-11-09 20:58:20","2020-11-09 20:58:20","CESSINP1","CESSINP1","CG852"
":+EJEFT6","Y","USNYC","Y","Y","Y",":+EJEFS6","DEA  ","Y","Y","2020-11-09 20:58:48","2020-11-09 20:58:48","CESSINP1","CESSINP1","CG852"
":.EH7S4W","Y","NLAMS","Y","Y","Y",":.EH7S4V","OST  ","Y","Y","2020-09-28 07:50:27","2020-09-28 07:50:27","LIQUSR05","LIQUSR05","CG852"
":3EI3ED4","Y","AUSYD","Y","Y","Y",":3EI3ED3","OST  ","Y","Y","2020-10-15 11:03:53","2020-10-15 11:03:53","LIQUSR03","LIQUSR03","CG852"
":4EFVZZH","Y","AUSYD","Y","Y","Y",":4EFVZZG","LRP  ","Y","Y","2020-09-02 14:12:50","2020-09-02 14:12:50","DJRHINPT","DJRHINPT",""
":4EFVZZI","Y","USNYC","Y","Y","Y",":4EFVZZG","LRP  ","Y","Y","2020-09-02 14:12:50","2020-09-02 14:12:50","DJRHINPT","DJRHINPT",""
":6EI3GEH","Y","NLAMS","Y","Y","Y",":6EI3GEF","DEA  ","Y","Y","2020-10-15 11:53:38","2020-10-15 11:53:38","LIQUSR03","LIQUSR03","CG852"
":=EHOY0R","Y","NLAMS","Y","Y","Y",":=EHOY0Q","OST  ","Y","Y","2020-10-07 13:18:21","2020-10-07 13:18:21","LIQUSR05","LIQUSR05","CG852"
":@EDDZU5","Y","NLAMS","Y","Y","Y",":@EDDZTB","DEA  ","Y","Y","2020-07-16 00:11:53","2020-07-16 00:11:53","FJUSRAM ","FJUSRAM ","CG852"
":@EDDZU6","Y","AUSYD","Y","Y","Y",":@EDDZTB","DEA  ","Y","Y","2020-07-16 00:12:15","2020-07-16 00:12:15","FJUSRAM ","FJUSRAM ","CG852"
":CEJDX1E","Y","NLAMS","Y","Y","Y",":CEJDX1D","OST  ","Y","Y","2020-11-09 17:03:48","2020-11-09 17:03:48","B116594 ","B116594 ","CG852"
":FEH6SL7","Y","AUMEL","Y","Y","Y",":FEH6SL6","LRP  ","Y","Y","2020-09-27 21:56:16","2020-09-27 21:56:16","JCUSR01 ","JCUSR01 ",""
":FEH6SL8","Y","AUSYD","Y","Y","Y",":FEH6SL6","LRP  ","Y","Y","2020-09-27 21:56:16","2020-09-27 21:56:16","JCUSR01 ","JCUSR01 ",""
":LEI3GNU","Y","NLAMS","Y","Y","Y",":LEI3GNT","OST  ","Y","Y","2020-10-15 12:05:14","2020-10-15 12:05:14","CMARTILL","CMARTILL","CG852"
":PEII6R6","Y","NLAMS","Y","Y","Y",":PEII6R5","OST  ","Y","Y","2020-10-23 13:21:56","2020-10-23 13:21:56","A116594 ","A116594 ","CG852"
":VEJEE2B","Y","NLAMS","Y","Y","Y",":VEJEE29","DEA  ","Y","Y","2020-11-09 20:34:08","2020-11-09 20:34:08","CESSSUP1","CESSSUP1","CG852"
":YEI3DT6","Y","NLAMS","Y","Y","Y",":YEI3DT4","DEA  ","Y","Y","2020-10-15 11:28:07","2020-10-15 11:28:07","CESSINP1","CESSINP1","CG852"
":YEI3DU1","Y","AUSYD","Y","Y","Y",":YEI3DT4","DEA  ","Y","Y","2020-10-15 11:36:43","2020-10-15 11:36:43","CESSINP1","CESSINP1","CG852"
":YEI3DU2","Y","GBLON","Y","Y","Y",":YEI3DT4","DEA  ","Y","Y","2020-10-15 11:37:13","2020-10-15 11:37:13","CESSINP1","CESSINP1","CG852"
":YEI3DU3","Y","NOOSL","Y","Y","Y",":YEI3DT4","DEA  ","Y","Y","2020-10-15 11:38:12","2020-10-15 11:38:12","CESSINP1","CESSINP1","CG852"
":YEI3DU4","Y","USNYC","Y","Y","Y",":YEI3DT4","DEA  ","Y","Y","2020-10-15 11:38:42","2020-10-15 11:38:42","CESSINP1","CESSINP1","CG852"
":YEI3DWP","Y","NLAMS","Y","Y","Y",":YEI3DWN","DEA  ","Y","Y","2020-10-15 12:08:34","2020-10-15 12:08:34","CESSINP1","CESSINP1","CG852"
":YEI3DXK","Y","AUSYD","Y","Y","Y",":YEI3DWN","DEA  ","Y","Y","2020-10-15 12:17:23","2020-10-15 12:17:23","CESSINP1","CESSINP1","CG852"
":YEI3DXL","Y","GBLON","Y","Y","Y",":YEI3DWN","DEA  ","Y","Y","2020-10-15 12:17:47","2020-10-15 12:17:47","CESSINP1","CESSINP1","CG852"
