"FEE_FID_FEE","FEE_PID_FACILITY","FEE_PID_DEAL","FEE_CDE_OBJ_STATE","FEE_CDE_OB_ST_CTG","FEE_CDE_FEE_CTGRY","FEE_CDE_FEE_TYPE","FEE_TSP_REC_CREATE","FEE_TSP_REC_UPDATE","FEE_UID_REC_CREATE","FEE_UID_REC_UPDATE","FEE_PCT_RATE","FEE_IND_ADVANCE","FEE_IND_ACCRUABLE","FEE_CDE_PERF_STAT","FEE_CID_PAID_BY","FEE_RID_PAID_BY_SG","FEE_IND_DIST_LIST","FEE_PCT_BALANCE","FEE_DTE_EFFECTIVE","FEE_CDE_PERIOD","FEE_CDE_RATE_BASIS","FEE_AMT_MAXIMUM","FEE_AMT_MINIMUM","FEE_AMT_FLAT","FEE_CDE_ENDTE_RULE","FEE_DTE_EXPIRY","FEE_DTE_FLT_RTE_ST","FEE_CDE_ACT_ACR_RL","FEE_NUM_SPCFC_DAY","FEE_IND_SYNC_BILL","FEE_RID_OWNER","FEE_CDE_OWNER_TYPE","FEE_IND_BILL_BORR","FEE_NUM_BILL_DAYS","FEE_IND_DONT_PRINT","FEE_IND_DONT_MAIL","FEE_IND_ACR_SCHBAL","FEE_IND_CARE_OF","FEE_IND_ABND_FEE","FEE_CDE_BRANCH"
")=EIAU2O",")=EIAU1O",")=EIATZI","RELSD","ACTUA","ONG  ","UNUT ","2020-10-19 12:38:49","2020-10-26 09:01:45","ARFELI01","LS2BATCH","0.04","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-08 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-03-08 00:00:00","","","N",")=EIAU1O","FAC  ","Y","2","N","N","N","N","N","CG852"
")EEIAOA3",")EEIAO93",")9EIAMDP","PEND ","POTEN","ONG  ","UNUT ","2020-10-19 09:34:51","2020-10-19 09:34:51","DELINP01","DELINP01","0.0175","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","BANK ","","","","TOAD ","","","","","N",")EEIAO93","FAC  ","N","10","N","N","N","N","N","CG852"
"34EITJ6C","34EITIZT",")XEIRVS4","PEND ","POTEN","LCI  ","FROI ","2020-10-29 14:04:41","2020-10-29 14:04:41","TESTINP ","TESTINP ","0.02","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N","34EITIZT","FAC  ","N","0","N","N","N","N","N","CG852"
"34EITJ6I","34EITIZT",")XEIRVS4","RELSD","ACTUA","ONG  ","UNUT ","2020-10-29 14:04:41","2020-10-29 21:48:20","TESTINP ","LS2BATCH","0.0004","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-08-12 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-08-12 00:00:00","","","N","34EITIZT","FAC  ","Y","2","N","N","N","N","N","CG852"
"34EITJ6U","34EITIZT",")XEIRVS4","PEND ","POTEN","LCI  ","ISFEE","2020-10-29 14:04:41","2020-10-29 14:04:41","TESTINP ","TESTINP ","0.02","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N","34EITIZT","FAC  ","N","0","N","N","N","N","N","CG852"
"42EHSA2H","42EHSA2A","42EHS9YE","RELSD","ACTUA","ONG  ","UNUT ","2020-10-09 11:12:46","2020-10-12 22:23:31","LIQUSR03","LS2BATCH","0.0075","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-07-10 00:00:00","QUA  ","BANK ","","","","TOAD ","","2020-07-10 00:00:00","","","N","42EHSA2A","FAC  ","N","10","N","N","N","N","N","CG852"
"T*EHY7XB","T*EHY77J",")YEHXS7X","RELSD","ACTUA","ONG  ","UNUT ","2020-10-12 17:22:36","2020-10-13 20:28:46","CESSINP1","LS2BATCH","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-01 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-03-01 00:00:00","","","N","T*EHY77J","FAC  ","N","10","N","N","N","N","N","CG852"
"I-EI25AI","I-EI259A","D3EI1MRL","INACT","INACT","ONG  ","UNUT ","2020-10-14 20:00:31","2020-10-20 16:52:19","SMANZANO","JAQUITAN","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-05 00:00:00","QUA  ","G365 ","","","","TOAD ","2021-03-05 00:00:00","2021-03-05 00:00:00","","","N","I-EI259A","FAC  ","Y","10","N","N","N","N","N","CG852"
"*4EI53S8","*4EI53R8","*4EI53P2","PEND ","POTEN","ONG  ","UNUT ","2020-10-16 09:35:18","2020-10-16 09:35:18","ARFELI01","ARFELI01","0.04","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N","*4EI53R8","FAC  ","Y","2","N","N","N","N","N","CG852"
"Q.EJEGPL","Q.EJEGOA","Q.EJEGLJ","RELSD","ACTUA","ONG  ","UNUT ","2020-11-09 22:04:04","2020-11-10 11:05:57","CESSINP1","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-10-15 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-10-15 00:00:00","","","N","Q.EJEGOA","FAC  ","Y","10","N","N","N","N","N","CG852"
"ZUEJHU07","ZUEJHSA1","ZUEJHS93","RELSD","ACTUA","ONG  ","UNUT ","2020-11-11 15:02:36","2020-11-13 20:07:20","FOULISTR","LS2BATCH","0.025","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-10-18 00:00:00","QUA  ","BANK ","","","","TOAD ","","2021-10-18 00:00:00","","","N","ZUEJHSA1","FAC  ","N","10","N","N","N","N","N","CB141"
":+EJEFW8",":+EJEFUX",":+EJEFS6","PEND ","POTEN","ONG  ","UNUT ","2020-11-09 21:11:41","2020-11-09 21:11:41","CESSINP1","CESSINP1","0.02","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N",":+EJEFUX","FAC  ","Y","10","N","N","N","N","N","CG852"
"5JEJEJRY","5JEJEJQZ","Q.EJEGLJ","PEND ","POTEN","ONG  ","UNUT ","2020-11-09 22:58:01","2020-11-09 22:58:01","CESSINP1","CESSINP1","0.05","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N","5JEJEJQZ","FAC  ","Y","10","N","N","N","N","N","CG852"
"5;EJEK89","5;EJEK7A","Q.EJEGLJ","PEND ","POTEN","ONG  ","UNUT ","2020-11-09 23:15:06","2020-11-09 23:15:06","CESSINP1","CESSINP1","0.05","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N","5;EJEK7A","FAC  ","Y","10","N","N","N","N","N","CG852"
"5LEJELZ2","5LEJELY3","Q.EJEGLJ","RELSD","ACTUA","ONG  ","UNUT ","2020-11-10 00:13:05","2020-11-10 11:05:56","CESSINP1","LS2BATCH","0.05","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-10-15 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-10-15 00:00:00","","","N","5LEJELY3","FAC  ","Y","10","N","N","N","N","N","CG852"
