ORT_RID_MF_RATES,ORT_RID_OUTSTANDNG,ORT_TSP_REC_CREATE,ORT_TSP_REC_UPDATE,ORT_UID_REC_CREATE,ORT_UID_REC_UPDATE,ORT_CDE_OWNER_TYPE,ORT_IND_ADVANCE,ORT_IND_FLAT_AMT,ORT_IND_AVG_RATE,ORT_PCT_MARGIN,ORT_IND_AUTO_COF,ORT_AMT_MINIMUM,ORT_PCT_BASE_RATE,ORT_PCT_COST_FUND,ORT_PCT_SPREAD,ORT_CDE_RATE_BASIS,ORT_DTE_FLT_RTE_ST,ORT_DTE_FLT_SPR_ST,ORT_CDE_MFCF_RT_BS,ORT_CDE_FEE_TYPE,ORT_PCT_RAC_RATE,ORT_NUM_OVRD_PRCSN,ORT_RTE_EFFECTIVE,ORT_AMT_NET_PR_VAL,ORT_PCT_SWAP_RCVE,ORT_IND_FIX_SPREAD,ORT_PCT_PRIOR_BASE,ORT_PCT_PRIOR_SPRD,ORT_NUM_SPCFC_DAY,ORT_IND_SYNC_BILL,ORT_PCT_PRF_FORMLA,ORT_CDE_PRF_USAGE,ORT_PCT_BALI_RATE,ORT_IND_CAP_OVRIDE,ORT_IND_FLR_OVRIDE,ORT_PCT_PNLTY_SPRD,ORT_CDE_PNLTY_STAT,ORT_IND_INTPL_RATE,ORT_CDE_BASE_RATE,ORT_CDE_BRANCH
41EHSACI,41EHSAC9,2020-10-09 10:37:36,2020-10-09 10:42:45,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2020-07-10 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,LIBOR,CG852
43EHS5MR,43EHS5ML,2020-10-09 09:28:24,2020-10-09 09:28:39,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
44EF64EY,44EF64ER,2020-08-19 13:17:33,2020-08-28 09:39:25,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.00375,,0.0252,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.02895,N,N,0,"OFF  ",N,LIBOR,CG852
44EF64MQ,44EF64MK,2020-08-19 13:28:15,2020-08-19 13:32:01,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.0025,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.0277,N,N,0,"OFF  ",N,LIBOR,CG852
4;EHS6Q5,4;EHS6PZ,2020-10-09 10:15:23,2020-10-09 10:15:28,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
4;EHS6U5,4;EHS6TZ,2020-10-09 10:17:32,2020-10-09 10:23:12,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2020-07-10 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,LIBOR,CG852
4DEG5D0K,4DEG5D0E,2020-09-07 16:39:27,2020-09-08 12:33:57,JAQUITAN,LS2BATCH,"LOAN ",N,N,N,0,N,,0.02,,0.04,"G365 ",,2020-06-03 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
4IEG5FAO,4IEG5FAI,2020-09-07 17:34:38,2020-09-08 12:33:56,JAQUITAN,LS2BATCH,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2020-06-03 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
4MEHS8EH,4MEHS8E8,2020-10-09 10:25:43,2020-10-09 10:29:43,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2020-07-10 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,LIBOR,CG852
5+EHOSQP,5+EHOSQJ,2020-10-07 17:20:32,2020-10-07 17:21:02,"C116594 ","C116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
6YEIVDZ1,6YEIVDYQ,2020-10-30 14:46:44,2020-10-30 15:46:45,"TESTINP ","TESTMGR ","LOAN ",N,N,N,0,N,,0.03,,0.02,"G365 ",,2021-09-15 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.05,N,N,0,"OFF  ",N,"FIX  ",CG852
7(EFL02P,7(EFL02I,2020-08-27 16:27:11,2020-08-27 16:46:12,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.03,,0.03,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.06,N,N,0,"OFF  ",N,LIBOR,CG852
7)EET3QW,7)EET3QP,2020-08-12 15:22:02,2020-08-12 15:22:53,CMARTILL,CMARTILL,"LOAN ",N,N,N,0,N,,0.013,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.043,N,N,0,"OFF  ",N,LIBOR,CG852
7)EETAUF,7)EETAU9,2020-08-12 17:52:14,2020-10-09 12:56:04,CMARTILL,LS2BATCH,"LOAN ",N,N,N,0,N,,0.0098,,0.015,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.0248,N,N,0,"OFF  ",N,LIBOR,CG852
7)EETFNY,7)EETFNR,2020-08-12 19:39:41,2020-08-12 19:54:06,CMARTILL,RPTMGR01,"LOAN ",N,N,N,0,N,,0.022,,0.03,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.052,N,N,0,"OFF  ",N,LIBOR,CG852
7GEFL2K0,7GEFL2JQ,2020-08-27 17:49:11,2020-08-27 18:10:23,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.04,,0.03,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.07,N,N,0,"OFF  ",N,LIBOR,CG852
7MEHN24N,7MEHN24H,2020-10-06 15:58:12,2020-10-07 15:47:05,CMARTILL,LS2BATCH,"LOAN ",N,N,N,0,N,,0.03,,0.02,"G365 ",,2020-07-09 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
86EFDXX8,86EFDXX2,2020-08-23 21:17:03,2020-10-09 12:56:04,CMARTILL,LS2BATCH,"LOAN ",N,N,N,0,N,,0.025,,0.015,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,LIBOR,CG852
9$EGPQF0,9$EGPQEM,2020-09-18 15:40:48,2020-09-18 20:59:10,SMANZANO,LS2BATCH,"LOAN ",N,N,N,0,N,,0,,0.04,"G365 ",,2020-06-29 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
92EHDFN8,92EHDFN1,2020-10-01 11:47:56,2020-10-01 15:05:40,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.03,,0.02,"G365 ",,2020-07-09 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.05,N,N,0,"OFF  ",N,LIBOR,CG852
92EHDPMM,92EHDPMF,2020-10-01 15:36:23,2020-10-01 16:40:24,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.03,,0.02,"G365 ",,2020-07-09 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.05,N,N,0,"OFF  ",N,LIBOR,CG852
9@EGPQ6I,9@EGPQ6A,2020-09-18 15:07:42,2020-09-18 20:59:12,JAQUITAN,LS2BATCH,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2020-06-29 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
9FEGPOGE,9FEGPOG0,2020-09-18 14:49:21,2020-09-18 20:59:10,SMANZANO,LS2BATCH,"LOAN ",N,N,N,0,N,,0,,0.04,"G365 ",,2020-06-29 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
9OEHDK66,9OEHDK60,2020-10-01 10:31:28,2020-10-01 10:32:00,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.0025,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.0277,N,N,0,"OFF  ",N,LIBOR,CG852
9OEHDKJ0,9OEHDKIU,2020-10-01 10:52:06,2020-10-01 10:52:31,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.0025,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.0277,N,N,0,"OFF  ",N,LIBOR,CG852
9ZEGPOH5,9ZEGPOGX,2020-09-18 14:48:30,2020-09-18 20:59:11,JAQUITAN,LS2BATCH,"LOAN ",N,N,N,0,N,,0.02,,0.04,"G365 ",,2020-06-29 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
:(EIIF9C,:(EIIF95,2020-10-23 16:22:41,2020-10-23 16:23:00,"C116594 ","C116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
:+EH7WBP,:+EH7WBA,2020-09-28 12:14:42,2020-09-28 12:41:21,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.02,,0.03,"G365 ",,2020-07-07 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.05,N,N,0,"OFF  ",N,"FIX  ",CG852
:+EH7WYQ,:+EH7WYB,2020-09-28 12:18:02,2020-09-28 12:43:35,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.03,,0.03,"G365 ",,2020-07-07 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.06,N,N,0,"OFF  ",N,"FIX  ",CG852
:+EH8RME,:+EH8RLZ,2020-09-28 12:31:54,2020-09-28 12:46:01,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.04,,0.03,"G365 ",,2020-07-07 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.07,N,N,0,"OFF  ",N,"FIX  ",CG852
:.EH7S52,:.EH7S4V,2020-09-28 07:50:27,2020-09-28 07:50:55,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.00517,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.02517,N,N,0,"OFF  ",N,LIBOR,CG852
:3EI3ED8,:3EI3ED3,2020-10-15 11:03:53,2020-10-15 11:03:58,LIQUSR03,LIQUSR03,"LOAN ",N,N,N,0,N,,0.034424,,,"BANK ",,,"BANK ",,,,,,,N,,,,N,,,0.054424,N,N,0,"OFF  ",N,"BAB  ",CG852
:=EHOY11,:=EHOY0Q,2020-10-07 13:18:21,2020-10-08 09:45:15,LIQUSR05,LIQUSR02,"LOAN ",N,N,N,0,N,,0.00314,,0.02,"G365 ",,2020-07-09 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.02314,N,N,0,"OFF  ",N,LIBOR,CG852
:CEJDX1K,:CEJDX1D,2020-11-09 17:03:48,2020-11-09 17:04:07,"B116594 ","B116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
:LEI3GO4,:LEI3GNT,2020-10-15 12:05:14,2020-10-15 12:46:51,CMARTILL,RPTMGR01,"LOAN ",N,N,N,0,N,,0.05,,0.02,"G365 ",,2021-03-08 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.07,N,N,0,"OFF  ",N,LIBOR,CG852
:PEII6RC,:PEII6R5,2020-10-23 13:21:56,2020-10-23 13:22:51,"A116594 ","A116594 ","LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,LIBOR,CG852
;0EGHUE8,;0EGHUE1,2020-09-14 09:20:50,2020-09-14 09:20:58,LOANIQ01,LOANIQ01,"LOAN ",N,N,N,0,N,,0.01,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,LIBOR,CG852
;1EI07P7,;1EI07P0,2020-10-13 19:03:20,2020-10-13 19:03:56,CMARTILL,CMARTILL,"LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,LIBOR,CG852
;;EHIZTH,;;EHIZTA,2020-10-04 12:03:57,2020-10-04 12:13:37,CMARTILL,CMARTILL,"LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,LIBOR,CG852
;UEI04RQ,;UEI04RJ,2020-10-13 18:17:13,2020-10-13 21:10:32,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2021-03-03 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,LIBOR,CG852
=;EJ2YX8,=;EJ2YX1,2020-11-03 19:53:31,2020-11-03 19:53:46,"C116594 ","C116594 ","LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,LIBOR,CG852
=REHMM79,=REHMM72,2020-10-06 10:13:18,2020-10-06 10:13:54,CMARTILL,CMARTILL,"LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,NIBOR,CG852
=SEFJ4Z0,=SEFJ4YS,2020-08-26 16:46:41,2020-08-26 18:44:30,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.04,,0.04,"G365 ",,2020-05-28 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.08,N,N,0,"OFF  ",N,LIBOR,CG852
=YEJ2X4Z,=YEJ2X4S,2020-11-03 19:10:03,2020-11-03 19:10:16,"A116594 ","A116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
?!EHMO5H,?!EHMO5A,2020-10-06 13:00:32,2020-10-06 13:00:56,"B116594 ","B116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
?1EJ4SC1,?1EJ4SBU,2020-11-04 18:07:27,2020-11-04 18:07:45,"A116594 ","A116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
?2EBX2OA,?2EBX2O1,2020-06-17 10:03:07,2020-06-18 11:15:22,RPTINPAM,RPTINPAM,"LOAN ",N,N,N,0,N,,0.02,,0.03,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.05,N,N,0,"OFF  ",N,LIBOR,CG852
?5EI1TCQ,?5EI1TBD,2020-10-14 14:40:50,2020-10-14 14:40:55,LIQUSR03,LIQUSR03,"LOAN ",N,N,N,0,N,,0.035,,,"BANK ",,,"BANK ",,,,,,,N,,,,N,,,0.046,N,N,0,"OFF  ",N,"BAB  ",CG852
?EEHN4OM,?EEHN4OB,2020-10-06 13:52:35,2020-10-09 12:56:19,LIQUSR05,LS2BATCH,"LOAN ",N,N,N,0,N,,0.00217,,0.00371,"G365 ",,2020-06-01 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.00588,N,N,0,"OFF  ",N,,CG852
?LEIG4MM,?LEIG4MH,2020-10-22 09:09:58,2020-10-22 09:10:11,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
@3EITP4G,@3EITP45,2020-10-29 15:56:42,2020-10-29 15:58:01,"TESTINP ","TESTINP ","LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,"FIX  ",CG852
@MEHZTOT,@MEHZTOL,2020-10-13 13:14:58,2020-10-13 13:15:13,JAQUITAN,JAQUITAN,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
@SEITR1Y,@SEITR1K,2020-10-29 17:53:26,2020-10-29 18:07:35,"TESTINP ","TESTMGR ",LCISS,N,N,N,0,N,0,0.02,,,"G365 ",2021-09-14 00:00:00,,,ISFEE,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,,CG852
@SEITR2D,@SEITR1M,2020-10-29 17:53:26,2020-10-29 17:53:26,"TESTINP ","TESTINP ",LCFCE,N,N,N,0,N,0,0,,,"BANK ",,,,,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,,CG852
A@EGO1OH,A@EGO1O9,2020-09-17 18:57:11,2020-09-17 18:57:11,JAQUITAN,JAQUITAN,"LOAN ",N,N,N,0,N,,,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0,N,N,0,"OFF  ",N,,CG852
ACEGO0BW,ACEGO0BI,2020-09-17 17:54:51,2020-09-17 18:04:00,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.03,,0.04,"G365 ",,2020-06-26 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.07,N,N,0,"OFF  ",N,LIBOR,CG852
ACEGO0MY,ACEGO0MK,2020-09-17 17:56:14,2020-09-17 18:11:13,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.02,,0.04,"G365 ",,2020-06-26 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.06,N,N,0,"OFF  ",N,LIBOR,CG852
B#EGM23A,B#EGM233,2020-09-16 16:18:37,2020-09-16 16:27:06,JAQUITAN,JANICEA1,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2020-06-25 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,LIBOR,CG852
B*EFVTNA,B*EFVTN3,2020-09-02 13:12:32,2020-09-02 13:15:24,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,LIBOR,CG852
B*EFVX8J,B*EFVX86,2020-09-02 14:29:26,2020-09-02 17:53:07,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,LIBOR,CG852
B+EGM7R3,B+EGM7QV,2020-09-16 19:14:16,2020-10-09 12:56:04,CMARTILL,LS2BATCH,"LOAN ",N,N,N,0,N,,0.022,,0.01,"G365 ",,2020-06-25 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.032,N,N,0,"OFF  ",N,"CDOR ",CG852
B+EGM981,B+EGM97T,2020-09-16 19:48:02,2020-10-09 12:56:04,CMARTILL,LS2BATCH,"LOAN ",N,N,N,0,N,,0.019,,0.0001,"G365 ",,2020-06-25 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.0191,N,N,0,"OFF  ",N,LIBOR,CG852
B+EGM9O3,B+EGM9NV,2020-09-16 19:54:34,2020-10-09 12:56:04,CMARTILL,LS2BATCH,"LOAN ",N,N,N,0,N,,0.01,,0.01,"G365 ",,2020-06-25 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.02,N,N,0,"OFF  ",N,HIBOR,CG852
B+EGM9YD,B+EGM9Y5,2020-09-16 19:58:30,2020-10-09 12:56:04,CMARTILL,LS2BATCH,"LOAN ",N,N,N,0,N,,0.02,,0.01,"G365 ",,2020-06-25 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.03,N,N,0,"OFF  ",N,THBFI,CG852
B+EGMA8T,B+EGMA8L,2020-09-16 20:06:45,2020-10-09 12:56:04,CMARTILL,LS2BATCH,"LOAN ",N,N,N,0,N,,0.018,,0.0001,"G365 ",,2020-06-25 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.0181,N,N,0,"OFF  ",N,LIBOR,CG852
B5EHONE5,B5EHONDY,2020-10-07 12:57:09,2020-10-07 13:29:18,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.03,,0.02,"G365 ",,2020-07-07 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.05,N,N,0,"OFF  ",N,LIBOR,CG852
B5EHOOI4,B5EHOOHX,2020-10-07 13:46:34,2020-10-07 14:29:34,CMARTILL,CMARTILL,"LOAN ",N,N,N,0,N,,0.03,,0.023,"G365 ",,2020-07-09 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.053,N,N,0,"OFF  ",N,"FIX  ",CG852
BGEGM4DK,BGEGM4DB,2020-09-16 17:02:46,2020-09-16 17:07:04,JAQUITAN,JANICEA1,"LOAN ",N,N,N,0,N,,0.02,,0.04,"G365 ",,2020-06-25 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.06,N,N,0,"OFF  ",N,LIBOR,CG852
BKEHOLEV,BKEHOLEO,2020-10-07 12:39:04,2020-10-07 12:42:36,LIQUSR03,LIQAPCP3,"LOAN ",N,N,N,0,N,,0.01,,0.01,"BANK ",,2020-07-09 00:00:00,"BANK ",,,,,,,N,,,,N,1,"LAST ",0.02,N,N,0,"OFF  ",N,LIBOR,CG852
BZEI38KY,BZEI38KR,2020-10-15 09:37:20,2020-10-15 09:37:31,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.031215,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.051215,N,N,0,"OFF  ",N,LIBOR,CG852
C(EFH91W,C(EFH91P,2020-08-25 16:04:16,2020-08-25 16:08:08,JAQUITAN,JANICEA1,"LOAN ",N,N,N,0,N,,0.03,,0.04,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.07,N,N,0,"OFF  ",N,LIBOR,CG852
CBEHZYBH,CBEHZYBA,2020-10-13 17:23:23,2020-10-13 17:24:06,"C116594 ","C116594 ","LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,LIBOR,CG852
CFEHZW9O,CFEHZW9G,2020-10-13 14:42:31,2020-10-13 14:46:26,JAQUITAN,JAQUITAN,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,LIBOR,CG852
D*EJ4NGP,D*EJ4NGI,2020-11-04 16:19:49,2020-11-04 16:20:11,"C116594 ","C116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
D.EJ4BOJ,D.EJ4BOC,2020-11-04 13:19:23,2020-11-04 13:19:41,"C116594 ","C116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
D2EI1V7K,D2EI1V7E,2020-10-14 13:52:12,2020-10-14 13:52:17,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.031215,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.051215,N,N,0,"OFF  ",N,LIBOR,CG852
DGEFKGBW,DGEFKGBP,2020-08-27 09:15:00,2020-08-27 14:37:43,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.02,,0.03,"G365 ",,2020-05-28 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.05,N,N,0,"OFF  ",N,LIBOR,CG852
DOEJ4DJS,DOEJ4DJM,2020-11-04 14:07:23,2020-11-04 14:07:53,"A116594 ","A116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
DTEI1U4V,DTEI1U4P,2020-10-14 13:25:46,2020-10-14 13:25:50,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.031215,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.051215,N,N,0,"OFF  ",N,LIBOR,CG852
E?EIAVKV,E?EIAVKO,2020-10-19 13:02:24,2020-10-19 13:03:41,ARFELI01,ARFELI01,"LOAN ",N,N,N,0,N,,0.1,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.15,N,N,0,"OFF  ",N,"FIX  ",CG852
F)EHSGRS,F)EHSGRK,2020-10-09 14:48:20,2020-10-09 14:48:25,MANZANOM,MANZANOM,"LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,LIBOR,CG852
F2EHSIKL,F2EHSIKF,2020-10-09 15:28:24,2020-10-09 15:29:05,CMARTILL,CMARTILL,"LOAN ",N,N,N,0,N,,0.04,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.06,N,N,0,"OFF  ",N,LIBOR,CG852
F;EHSRKK,F;EHSRKD,2020-10-09 14:32:39,2020-10-09 14:34:15,LIQUSR03,LIQUSR03,"LOAN ",N,N,N,0,N,,0.01,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.03,N,N,0,"OFF  ",N,LIBOR,CG852
F?EF7SNX,F?EF7SNQ,2020-08-20 11:32:18,2020-08-20 14:48:00,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.00375,,0.0252,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.02895,N,N,0,"OFF  ",N,LIBOR,CG852
F?EG7BYR,F?EG7BYL,2020-09-08 18:19:26,2020-09-10 18:08:02,JAQUITAN,LS2BATCH,"LOAN ",N,N,N,0,N,,0.02,,0.04,"G365 ",,2020-06-04 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
FAEHSD8J,FAEHSD8D,2020-10-09 13:31:15,2020-10-09 13:31:28,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
FFEHSALJ,FFEHSALC,2020-10-09 14:18:21,2020-10-09 14:19:10,"C116594 ","C116594 ","LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,LIBOR,CG852
FGEG7DZV,FGEG7DZP,2020-09-08 18:35:32,2020-09-08 18:35:43,JAQUITAN,JAQUITAN,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.06,N,N,0,"OFF  ",N,LIBOR,CG852
